spec.jvm2008.report.run.location=PERCY001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 02:20:47 BST 2016, end=Mon Jun 27 02:20:47 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 02:20:47 BST 2016, end=Mon Jun 27 02:20:47 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 02:20:47 BST 2016, end=Mon Jun 27 02:21:00 BST 2016, operations=1.0, operationsPerMinute=4.684572142410993
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 02:21:00 BST 2016, end=Mon Jun 27 02:21:03 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 02:21:03 BST 2016, end=Mon Jun 27 02:21:05 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 02:21:05 BST 2016, end=Mon Jun 27 02:21:13 BST 2016, operations=1.0, operationsPerMinute=7.03152466893238
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 02:21:13 BST 2016, end=Mon Jun 27 02:21:21 BST 2016, operations=1.0, operationsPerMinute=8.062348830959419
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 02:21:21 BST 2016, end=Mon Jun 27 02:21:27 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 02:21:27 BST 2016, end=Mon Jun 27 02:21:29 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 02:21:29 BST 2016, end=Mon Jun 27 02:21:30 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 02:21:30 BST 2016, end=Mon Jun 27 02:21:31 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 02:21:31 BST 2016, end=Mon Jun 27 02:21:37 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 02:21:37 BST 2016, end=Mon Jun 27 02:21:38 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 02:21:38 BST 2016, end=Mon Jun 27 02:21:39 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 02:21:39 BST 2016, end=Mon Jun 27 02:21:41 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 02:21:41 BST 2016, end=Mon Jun 27 02:21:47 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 02:21:47 BST 2016, end=Mon Jun 27 02:22:07 BST 2016, operations=1.0, operationsPerMinute=3.0070666065253344
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 02:22:07 BST 2016, end=Mon Jun 27 02:22:08 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 02:22:18 BST 2016, end=Mon Jun 27 02:24:18 BST 2016, operations=504.53653561365036, operationsPerMinute=252.26826780682518, mode=normal, start=Mon Jun 27 02:24:20 BST 2016, end=Mon Jun 27 02:28:20 BST 2016, operations=1014.2123338393703, operationsPerMinute=253.55308345984258
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 02:28:24 BST 2016, end=Mon Jun 27 02:30:24 BST 2016, operations=200.62108043401633, operationsPerMinute=100.31054021700817, mode=normal, start=Mon Jun 27 02:30:28 BST 2016, end=Mon Jun 27 02:34:28 BST 2016, operations=396.8209157305811, operationsPerMinute=99.20522893264527
benchmark-name=compress, mod=warmup, start=Mon Jun 27 02:34:31 BST 2016, end=Mon Jun 27 02:36:31 BST 2016, operations=399.244494676076, operationsPerMinute=199.622247338038, mode=normal, start=Mon Jun 27 02:36:33 BST 2016, end=Mon Jun 27 02:40:33 BST 2016, operations=798.2650559740989, operationsPerMinute=199.56626399352473
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 02:40:35 BST 2016, end=Mon Jun 27 02:42:35 BST 2016, operations=139.85998656516978, operationsPerMinute=69.92999328258489, mode=normal, start=Mon Jun 27 02:42:41 BST 2016, end=Mon Jun 27 02:46:41 BST 2016, operations=293.8537256381092, operationsPerMinute=73.4634314095273
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 02:46:46 BST 2016, end=Mon Jun 27 02:48:46 BST 2016, operations=232.67002555463912, operationsPerMinute=116.33501277731956, mode=normal, start=Mon Jun 27 02:48:50 BST 2016, end=Mon Jun 27 02:52:50 BST 2016, operations=466.0598301681649, operationsPerMinute=116.51495754204123
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 02:52:54 BST 2016, end=Mon Jun 27 02:54:54 BST 2016, operations=408.08592518592513, operationsPerMinute=204.04296259296257, mode=normal, start=Mon Jun 27 02:54:56 BST 2016, end=Mon Jun 27 02:58:56 BST 2016, operations=814.4756186103573, operationsPerMinute=203.61890465258932
benchmark-name=derby, mod=warmup, start=Mon Jun 27 02:59:18 BST 2016, end=Mon Jun 27 03:01:18 BST 2016, operations=360.116901032495, operationsPerMinute=180.0584505162475, mode=normal, start=Mon Jun 27 03:01:20 BST 2016, end=Mon Jun 27 03:05:20 BST 2016, operations=720.5755386997139, operationsPerMinute=180.14388467492847
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 03:05:22 BST 2016, end=Mon Jun 27 03:07:22 BST 2016, operations=205.18324063732126, operationsPerMinute=102.59162031866063, mode=normal, start=Mon Jun 27 03:07:26 BST 2016, end=Mon Jun 27 03:11:26 BST 2016, operations=410.30029420441394, operationsPerMinute=102.57507355110349
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 03:11:29 BST 2016, end=Mon Jun 27 03:13:29 BST 2016, operations=78.60388427024404, operationsPerMinute=39.30194213512202, mode=normal, start=Mon Jun 27 03:13:36 BST 2016, end=Mon Jun 27 03:17:36 BST 2016, operations=151.37918804581557, operationsPerMinute=37.84479701145389
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 03:17:44 BST 2016, end=Mon Jun 27 03:19:44 BST 2016, operations=13.784912831289441, operationsPerMinute=6.892456415644721, mode=normal, start=Mon Jun 27 03:20:28 BST 2016, end=Mon Jun 27 03:24:28 BST 2016, operations=27.896546816157514, operationsPerMinute=6.9741367040393785
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 03:25:11 BST 2016, end=Mon Jun 27 03:27:11 BST 2016, operations=74.51465011840939, operationsPerMinute=37.257325059204696, mode=normal, start=Mon Jun 27 03:27:20 BST 2016, end=Mon Jun 27 03:31:20 BST 2016, operations=148.98718379545713, operationsPerMinute=37.24679594886428
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 03:31:32 BST 2016, end=Mon Jun 27 03:33:32 BST 2016, operations=42.69787732523626, operationsPerMinute=21.34893866261813, mode=normal, start=Mon Jun 27 03:33:44 BST 2016, end=Mon Jun 27 03:37:44 BST 2016, operations=85.56033187605851, operationsPerMinute=21.390082969014628
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 03:37:59 BST 2016, end=Mon Jun 27 03:39:59 BST 2016, operations=742.6536245205403, operationsPerMinute=371.3268122602702, mode=normal, start=Mon Jun 27 03:40:00 BST 2016, end=Mon Jun 27 03:44:00 BST 2016, operations=1411.0431597814015, operationsPerMinute=352.7607899453504
