spec.jvm2008.report.run.location=CASTLEAZES011
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 15:13:06 BST 2016, end=Thu Jun 23 15:13:06 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 15:13:06 BST 2016, end=Thu Jun 23 15:13:06 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 15:13:06 BST 2016, end=Thu Jun 23 15:13:19 BST 2016, operations=1.0, operationsPerMinute=4.679092256102316
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 15:13:19 BST 2016, end=Thu Jun 23 15:13:22 BST 2016, operations=1.0, operationsPerMinute=18.668326073428748
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 15:13:22 BST 2016, end=Thu Jun 23 15:13:23 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 15:13:23 BST 2016, end=Thu Jun 23 15:13:32 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 15:13:32 BST 2016, end=Thu Jun 23 15:13:39 BST 2016, operations=1.0, operationsPerMinute=7.945967421533572
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 15:13:39 BST 2016, end=Thu Jun 23 15:13:46 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 15:13:46 BST 2016, end=Thu Jun 23 15:13:48 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 15:13:48 BST 2016, end=Thu Jun 23 15:13:49 BST 2016, operations=1.0, operationsPerMinute=85.47008547008546
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 15:13:49 BST 2016, end=Thu Jun 23 15:13:49 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 15:13:49 BST 2016, end=Thu Jun 23 15:13:55 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 15:13:55 BST 2016, end=Thu Jun 23 15:13:56 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 15:13:56 BST 2016, end=Thu Jun 23 15:13:57 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 15:13:57 BST 2016, end=Thu Jun 23 15:13:59 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 15:13:59 BST 2016, end=Thu Jun 23 15:14:06 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 15:14:06 BST 2016, end=Thu Jun 23 15:14:26 BST 2016, operations=1.0, operationsPerMinute=2.9382957884427032
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 15:14:26 BST 2016, end=Thu Jun 23 15:14:27 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 15:14:37 BST 2016, end=Thu Jun 23 15:16:37 BST 2016, operations=488.9600247172391, operationsPerMinute=244.48001235861955, mode=normal, start=Thu Jun 23 15:16:38 BST 2016, end=Thu Jun 23 15:20:38 BST 2016, operations=978.7321597678872, operationsPerMinute=244.6830399419718
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 15:20:42 BST 2016, end=Thu Jun 23 15:22:42 BST 2016, operations=196.81310059833766, operationsPerMinute=98.40655029916883, mode=normal, start=Thu Jun 23 15:22:45 BST 2016, end=Thu Jun 23 15:26:45 BST 2016, operations=394.3883881594461, operationsPerMinute=98.59709703986152
benchmark-name=compress, mod=warmup, start=Thu Jun 23 15:26:49 BST 2016, end=Thu Jun 23 15:28:49 BST 2016, operations=398.4208932336711, operationsPerMinute=199.21044661683555, mode=normal, start=Thu Jun 23 15:28:51 BST 2016, end=Thu Jun 23 15:32:51 BST 2016, operations=796.0885546439447, operationsPerMinute=199.02213866098617
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 15:32:53 BST 2016, end=Thu Jun 23 15:34:53 BST 2016, operations=138.8553312133688, operationsPerMinute=69.4276656066844, mode=normal, start=Thu Jun 23 15:34:57 BST 2016, end=Thu Jun 23 15:38:57 BST 2016, operations=293.45766848020975, operationsPerMinute=73.36441712005244
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 15:39:02 BST 2016, end=Thu Jun 23 15:41:02 BST 2016, operations=234.35500731589747, operationsPerMinute=117.17750365794873, mode=normal, start=Thu Jun 23 15:41:05 BST 2016, end=Thu Jun 23 15:45:05 BST 2016, operations=468.11851629436796, operationsPerMinute=117.02962907359199
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 15:45:08 BST 2016, end=Thu Jun 23 15:47:08 BST 2016, operations=407.2008459190754, operationsPerMinute=203.6004229595377, mode=normal, start=Thu Jun 23 15:47:10 BST 2016, end=Thu Jun 23 15:51:10 BST 2016, operations=814.3558207578444, operationsPerMinute=203.5889551894611
benchmark-name=derby, mod=warmup, start=Thu Jun 23 15:51:33 BST 2016, end=Thu Jun 23 15:53:33 BST 2016, operations=359.1798303428212, operationsPerMinute=179.5899151714106, mode=normal, start=Thu Jun 23 15:53:35 BST 2016, end=Thu Jun 23 15:57:35 BST 2016, operations=720.9212876929986, operationsPerMinute=180.23032192324965
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 15:57:37 BST 2016, end=Thu Jun 23 15:59:37 BST 2016, operations=207.9262974269516, operationsPerMinute=103.9631487134758, mode=normal, start=Thu Jun 23 15:59:41 BST 2016, end=Thu Jun 23 16:03:41 BST 2016, operations=412.963084270829, operationsPerMinute=103.24077106770724
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 16:03:44 BST 2016, end=Thu Jun 23 16:05:44 BST 2016, operations=78.6410298834995, operationsPerMinute=39.32051494174975, mode=normal, start=Thu Jun 23 16:05:51 BST 2016, end=Thu Jun 23 16:09:51 BST 2016, operations=145.91184358659632, operationsPerMinute=36.47796089664908
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 16:09:59 BST 2016, end=Thu Jun 23 16:11:59 BST 2016, operations=13.940463535898342, operationsPerMinute=6.970231767949171, mode=normal, start=Thu Jun 23 16:12:43 BST 2016, end=Thu Jun 23 16:16:43 BST 2016, operations=28.05916575822348, operationsPerMinute=7.01479143955587
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 16:17:34 BST 2016, end=Thu Jun 23 16:19:34 BST 2016, operations=74.69281254717218, operationsPerMinute=37.34640627358609, mode=normal, start=Thu Jun 23 16:19:42 BST 2016, end=Thu Jun 23 16:23:42 BST 2016, operations=148.94042128751337, operationsPerMinute=37.23510532187834
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 16:23:52 BST 2016, end=Thu Jun 23 16:25:52 BST 2016, operations=42.65470271872307, operationsPerMinute=21.327351359361536, mode=normal, start=Thu Jun 23 16:26:04 BST 2016, end=Thu Jun 23 16:30:04 BST 2016, operations=85.60873080844024, operationsPerMinute=21.40218270211006
