spec.jvm2008.report.run.location=BEDSONTC076
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:11 BST 2016, end=Fri Jun 03 15:01:11 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:11 BST 2016, end=Fri Jun 03 15:01:11 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:11 BST 2016, end=Fri Jun 03 15:01:23 BST 2016, operations=1.0, operationsPerMinute=4.78965434661132
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:23 BST 2016, end=Fri Jun 03 15:01:27 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:27 BST 2016, end=Fri Jun 03 15:01:28 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:28 BST 2016, end=Fri Jun 03 15:01:36 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:36 BST 2016, end=Fri Jun 03 15:01:44 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:44 BST 2016, end=Fri Jun 03 15:01:50 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:01:50 BST 2016, end=Fri Jun 03 15:01:53 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:01:53 BST 2016, end=Fri Jun 03 15:01:53 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:01:53 BST 2016, end=Fri Jun 03 15:01:54 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:01:54 BST 2016, end=Fri Jun 03 15:02:00 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:00 BST 2016, end=Fri Jun 03 15:02:01 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:01 BST 2016, end=Fri Jun 03 15:02:02 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:02 BST 2016, end=Fri Jun 03 15:02:04 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:04 BST 2016, end=Fri Jun 03 15:02:11 BST 2016, operations=1.0, operationsPerMinute=9.289363678588018
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:11 BST 2016, end=Fri Jun 03 15:02:31 BST 2016, operations=1.0, operationsPerMinute=3.000150007500375
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:31 BST 2016, end=Fri Jun 03 15:02:32 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:42 BST 2016, end=Fri Jun 03 15:04:42 BST 2016, operations=481.27702298273744, operationsPerMinute=240.63851149136872, mode=normal, start=Fri Jun 03 15:04:43 BST 2016, end=Fri Jun 03 15:08:43 BST 2016, operations=999.3302689645561, operationsPerMinute=249.83256724113903
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:08:47 BST 2016, end=Fri Jun 03 15:10:47 BST 2016, operations=196.99138129311632, operationsPerMinute=98.49569064655816, mode=normal, start=Fri Jun 03 15:10:51 BST 2016, end=Fri Jun 03 15:14:51 BST 2016, operations=388.91518839428124, operationsPerMinute=97.22879709857031
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:14:54 BST 2016, end=Fri Jun 03 15:16:54 BST 2016, operations=396.96974387786344, operationsPerMinute=198.48487193893172, mode=normal, start=Fri Jun 03 15:16:56 BST 2016, end=Fri Jun 03 15:20:56 BST 2016, operations=791.9695214000733, operationsPerMinute=197.99238035001832
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:20:58 BST 2016, end=Fri Jun 03 15:22:58 BST 2016, operations=138.3709228640741, operationsPerMinute=69.18546143203704, mode=normal, start=Fri Jun 03 15:23:03 BST 2016, end=Fri Jun 03 15:27:03 BST 2016, operations=287.852469039012, operationsPerMinute=71.963117259753
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:07 BST 2016, end=Fri Jun 03 15:29:07 BST 2016, operations=235.8767898696937, operationsPerMinute=117.93839493484685, mode=normal, start=Fri Jun 03 15:29:11 BST 2016, end=Fri Jun 03 15:33:11 BST 2016, operations=472.1706176184026, operationsPerMinute=118.04265440460065
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:15 BST 2016, end=Fri Jun 03 15:35:15 BST 2016, operations=404.65683205683206, operationsPerMinute=202.32841602841603, mode=normal, start=Fri Jun 03 15:35:17 BST 2016, end=Fri Jun 03 15:39:17 BST 2016, operations=807.4936956803737, operationsPerMinute=201.87342392009342
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:39:40 BST 2016, end=Fri Jun 03 15:41:40 BST 2016, operations=355.2779509853939, operationsPerMinute=177.63897549269694, mode=normal, start=Fri Jun 03 15:41:42 BST 2016, end=Fri Jun 03 15:45:42 BST 2016, operations=724.7317824369914, operationsPerMinute=181.18294560924784
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:45:45 BST 2016, end=Fri Jun 03 15:47:45 BST 2016, operations=200.44854342347077, operationsPerMinute=100.22427171173538, mode=normal, start=Fri Jun 03 15:47:49 BST 2016, end=Fri Jun 03 15:51:49 BST 2016, operations=413.2726011696283, operationsPerMinute=103.31815029240707
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:51:52 BST 2016, end=Fri Jun 03 15:53:52 BST 2016, operations=71.14152403962615, operationsPerMinute=35.570762019813074, mode=normal, start=Fri Jun 03 15:54:01 BST 2016, end=Fri Jun 03 15:58:01 BST 2016, operations=141.38965363056536, operationsPerMinute=35.34741340764134
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:11 BST 2016, end=Fri Jun 03 16:00:11 BST 2016, operations=13.835943737327467, operationsPerMinute=6.9179718686637335, mode=normal, start=Fri Jun 03 16:00:56 BST 2016, end=Fri Jun 03 16:04:56 BST 2016, operations=27.82539379663327, operationsPerMinute=6.956348449158318
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:05:31 BST 2016, end=Fri Jun 03 16:07:31 BST 2016, operations=74.12775440910994, operationsPerMinute=37.06387720455497, mode=normal, start=Fri Jun 03 16:07:40 BST 2016, end=Fri Jun 03 16:11:40 BST 2016, operations=148.35269650047417, operationsPerMinute=37.08817412511854
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:11:52 BST 2016, end=Fri Jun 03 16:13:52 BST 2016, operations=42.984904747856845, operationsPerMinute=21.492452373928423, mode=normal, start=Fri Jun 03 16:14:03 BST 2016, end=Fri Jun 03 16:18:03 BST 2016, operations=86.00745741996332, operationsPerMinute=21.50186435499083
