spec.jvm2008.report.run.location=TOLL10
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Tue Jun 28 20:42:25 BST 2016, end=Tue Jun 28 20:42:25 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 20:42:25 BST 2016, end=Tue Jun 28 20:42:25 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 20:42:25 BST 2016, end=Tue Jun 28 20:42:46 BST 2016, operations=1.0, operationsPerMinute=2.8595939376608523
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 20:42:46 BST 2016, end=Tue Jun 28 20:42:51 BST 2016, operations=1.0, operationsPerMinute=11.585248117397182
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 20:42:51 BST 2016, end=Tue Jun 28 20:42:53 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 20:42:53 BST 2016, end=Tue Jun 28 20:43:05 BST 2016, operations=1.0, operationsPerMinute=5.218752718100374
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 20:43:05 BST 2016, end=Tue Jun 28 20:43:13 BST 2016, operations=1.0, operationsPerMinute=7.1616137502984
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 20:43:13 BST 2016, end=Tue Jun 28 20:43:20 BST 2016, operations=1.0, operationsPerMinute=8.13118308713918
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 20:43:20 BST 2016, end=Tue Jun 28 20:43:24 BST 2016, operations=1.0, operationsPerMinute=15.894039735099337
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 20:43:24 BST 2016, end=Tue Jun 28 20:43:25 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 20:43:25 BST 2016, end=Tue Jun 28 20:43:27 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 20:43:27 BST 2016, end=Tue Jun 28 20:43:35 BST 2016, operations=1.0, operationsPerMinute=7.646234229641902
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 20:43:35 BST 2016, end=Tue Jun 28 20:43:37 BST 2016, operations=1.0, operationsPerMinute=33.149171270718234
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 20:43:37 BST 2016, end=Tue Jun 28 20:43:39 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 20:43:39 BST 2016, end=Tue Jun 28 20:43:43 BST 2016, operations=1.0, operationsPerMinute=14.734774066797643
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 20:43:43 BST 2016, end=Tue Jun 28 20:43:51 BST 2016, operations=1.0, operationsPerMinute=7.326007326007326
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 20:43:51 BST 2016, end=Tue Jun 28 20:44:32 BST 2016, operations=1.0, operationsPerMinute=1.4878738282993602
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 20:44:32 BST 2016, end=Tue Jun 28 20:44:33 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 20:44:50 BST 2016, end=Tue Jun 28 20:46:50 BST 2016, operations=242.85018103322238, operationsPerMinute=121.42509051661119, mode=normal, start=Tue Jun 28 20:46:51 BST 2016, end=Tue Jun 28 20:50:51 BST 2016, operations=492.0457735842351, operationsPerMinute=123.01144339605878
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 20:50:57 BST 2016, end=Tue Jun 28 20:52:57 BST 2016, operations=96.16930329645626, operationsPerMinute=48.08465164822813, mode=normal, start=Tue Jun 28 20:52:59 BST 2016, end=Tue Jun 28 20:56:59 BST 2016, operations=193.44968164214734, operationsPerMinute=48.362420410536835
benchmark-name=compress, mod=warmup, start=Tue Jun 28 20:57:04 BST 2016, end=Tue Jun 28 20:59:04 BST 2016, operations=149.9262085161339, operationsPerMinute=74.96310425806695, mode=normal, start=Tue Jun 28 20:59:05 BST 2016, end=Tue Jun 28 21:03:05 BST 2016, operations=299.70246864678035, operationsPerMinute=74.92561716169509
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 21:03:08 BST 2016, end=Tue Jun 28 21:05:08 BST 2016, operations=42.56177079787227, operationsPerMinute=21.280885398936135, mode=normal, start=Tue Jun 28 21:05:16 BST 2016, end=Tue Jun 28 21:09:16 BST 2016, operations=89.71033228743323, operationsPerMinute=22.427583071858308
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 21:09:22 BST 2016, end=Tue Jun 28 21:11:22 BST 2016, operations=87.14541107041107, operationsPerMinute=43.572705535205536, mode=normal, start=Tue Jun 28 21:11:25 BST 2016, end=Tue Jun 28 21:15:25 BST 2016, operations=174.63747226340212, operationsPerMinute=43.65936806585053
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 21:15:28 BST 2016, end=Tue Jun 28 21:17:28 BST 2016, operations=140.0870067365629, operationsPerMinute=70.04350336828145, mode=normal, start=Tue Jun 28 21:17:30 BST 2016, end=Tue Jun 28 21:21:30 BST 2016, operations=279.66078777189887, operationsPerMinute=69.91519694297472
benchmark-name=derby, mod=warmup, start=Tue Jun 28 21:23:30 BST 2016, end=Tue Jun 28 21:25:30 BST 2016, operations=103.46193875629334, operationsPerMinute=51.73096937814667, mode=normal, start=Tue Jun 28 21:25:33 BST 2016, end=Tue Jun 28 21:29:33 BST 2016, operations=210.693825027505, operationsPerMinute=52.67345625687625
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 21:29:36 BST 2016, end=Tue Jun 28 21:31:36 BST 2016, operations=66.09418618735441, operationsPerMinute=33.047093093677205, mode=normal, start=Tue Jun 28 21:31:41 BST 2016, end=Tue Jun 28 21:35:41 BST 2016, operations=132.52632281730848, operationsPerMinute=33.13158070432712
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 21:35:45 BST 2016, end=Tue Jun 28 21:37:45 BST 2016, operations=34.77153171602719, operationsPerMinute=17.385765858013595, mode=normal, start=Tue Jun 28 21:37:53 BST 2016, end=Tue Jun 28 21:41:53 BST 2016, operations=69.9345855279949, operationsPerMinute=17.483646381998724
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 21:42:00 BST 2016, end=Tue Jun 28 21:44:00 BST 2016, operations=7.108008795148632, operationsPerMinute=3.554004397574316, mode=normal, start=Tue Jun 28 21:44:32 BST 2016, end=Tue Jun 28 21:48:32 BST 2016, operations=14.191103439048032, operationsPerMinute=3.547775859762008
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 21:49:03 BST 2016, end=Tue Jun 28 21:51:03 BST 2016, operations=32.35956178553362, operationsPerMinute=16.17978089276681, mode=normal, start=Tue Jun 28 21:51:11 BST 2016, end=Tue Jun 28 21:55:11 BST 2016, operations=64.75466073721392, operationsPerMinute=16.18866518430348
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 21:55:22 BST 2016, end=Tue Jun 28 21:57:22 BST 2016, operations=23.761898227128597, operationsPerMinute=11.880949113564299, mode=normal, start=Tue Jun 28 21:57:29 BST 2016, end=Tue Jun 28 22:01:29 BST 2016, operations=47.35500489266101, operationsPerMinute=11.838751223165252
