spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 23:53:18 BST 2016, end=Mon Jul 04 23:53:18 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 23:53:18 BST 2016, end=Mon Jul 04 23:53:19 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jul 05 01:10:37 BST 2016, end=Tue Jul 05 01:12:37 BST 2016, operations=705.0782887204621, operationsPerMinute=352.53914436023103, mode=normal, start=Tue Jul 05 01:12:38 BST 2016, end=Tue Jul 05 01:16:38 BST 2016, operations=1425.718741334135, operationsPerMinute=356.42968533353377
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jul 05 01:16:39 BST 2016, end=Tue Jul 05 01:18:39 BST 2016, operations=576.3930900975681, operationsPerMinute=288.19654504878406, mode=normal, start=Tue Jul 05 01:18:41 BST 2016, end=Tue Jul 05 01:22:41 BST 2016, operations=1138.3636034658268, operationsPerMinute=284.5909008664567
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jul 05 01:22:42 BST 2016, end=Tue Jul 05 01:24:42 BST 2016, operations=330.48753868961523, operationsPerMinute=165.24376934480762, mode=normal, start=Tue Jul 05 01:24:44 BST 2016, end=Tue Jul 05 01:28:44 BST 2016, operations=661.3036809912053, operationsPerMinute=165.32592024780132
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jul 05 01:28:46 BST 2016, end=Tue Jul 05 01:30:46 BST 2016, operations=506.7191249756396, operationsPerMinute=253.3595624878198, mode=normal, start=Tue Jul 05 01:30:47 BST 2016, end=Tue Jul 05 01:34:47 BST 2016, operations=1023.8631887023582, operationsPerMinute=255.96579717558956
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jul 05 01:34:48 BST 2016, end=Tue Jul 05 01:36:48 BST 2016, operations=119.60275984076449, operationsPerMinute=59.801379920382246, mode=normal, start=Tue Jul 05 01:36:54 BST 2016, end=Tue Jul 05 01:40:54 BST 2016, operations=240.23346699139105, operationsPerMinute=60.058366747847764
benchmark-name=serial, mod=warmup, start=Tue Jul 05 01:41:00 BST 2016, end=Tue Jul 05 01:43:00 BST 2016, operations=237.50492009394162, operationsPerMinute=118.75246004697081, mode=normal, start=Tue Jul 05 01:43:04 BST 2016, end=Tue Jul 05 01:47:04 BST 2016, operations=479.95084123178333, operationsPerMinute=119.98771030794583
benchmark-name=sunflow, mod=warmup, start=Tue Jul 05 01:47:07 BST 2016, end=Tue Jul 05 01:49:07 BST 2016, operations=173.96828322323302, operationsPerMinute=86.98414161161651, mode=normal, start=Tue Jul 05 01:49:09 BST 2016, end=Tue Jul 05 01:53:09 BST 2016, operations=354.3747021510293, operationsPerMinute=88.59367553775732
benchmark-name=xml.transform, mod=warmup, start=Tue Jul 05 01:53:30 BST 2016, end=Tue Jul 05 01:55:30 BST 2016, operations=512.243514165991, operationsPerMinute=256.1217570829955, mode=normal, start=Tue Jul 05 01:55:31 BST 2016, end=Tue Jul 05 01:59:31 BST 2016, operations=1028.1005997617951, operationsPerMinute=257.0251499404488
benchmark-name=xml.validation, mod=warmup, start=Tue Jul 05 01:59:33 BST 2016, end=Tue Jul 05 02:01:33 BST 2016, operations=1015.2722355603021, operationsPerMinute=507.63611778015104, mode=normal, start=Tue Jul 05 02:01:34 BST 2016, end=Tue Jul 05 02:05:34 BST 2016, operations=2019.883636666566, operationsPerMinute=504.9709091666415
##-nursultan-##,GREY-05,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 23:53:18 BST 2016,Mon Jul 04 23:53:18 BST 2016,1.0,1935.483870967742,startup.helloworld,Mon Jul 04 23:53:18 BST 2016,Mon Jul 04 23:53:19 BST 2016,1.0,480.0,startup.compiler.compiler,Mon Jul 04 23:53:19 BST 2016,Mon Jul 04 23:53:37 BST 2016,1.0,3.301782962799912,startup.compiler.sunflow,Mon Jul 04 23:53:37 BST 2016,Mon Jul 04 23:53:40 BST 2016,1.0,17.326017903551833,startup.compress,Mon Jul 04 23:53:40 BST 2016,Mon Jul 04 23:53:41 BST 2016,1.0,48.701298701298704,startup.crypto.aes,Mon Jul 04 23:53:41 BST 2016,Mon Jul 04 23:53:50 BST 2016,1.0,7.057993177273262,startup.crypto.rsa,Mon Jul 04 23:53:50 BST 2016,Mon Jul 04 23:53:57 BST 2016,1.0,7.963897000265463,startup.crypto.signverify,Mon Jul 04 23:53:57 BST 2016,Mon Jul 04 23:54:04 BST 2016,1.0,9.029345372460497,startup.mpegaudio,Mon Jul 04 23:54:04 BST 2016,Mon Jul 04 23:54:06 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Mon Jul 04 23:54:06 BST 2016,Mon Jul 04 23:54:07 BST 2016,1.0,83.56545961002786,startup.scimark.lu,Mon Jul 04 23:54:07 BST 2016,Mon Jul 04 23:54:08 BST 2016,1.0,66.3716814159292,startup.scimark.monte_carlo,Mon Jul 04 23:54:08 BST 2016,Mon Jul 04 23:54:13 BST 2016,1.0,10.926971407758149,startup.scimark.sor,Mon Jul 04 23:54:13 BST 2016,Mon Jul 04 23:54:15 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Mon Jul 04 23:54:15 BST 2016,Mon Jul 04 23:54:16 BST 2016,1.0,61.09979633401222,startup.serial,Mon Jul 04 23:54:16 BST 2016,Mon Jul 04 23:54:18 BST 2016,1.0,28.708133971291865,startup.sunflow,Mon Jul 04 23:54:18 BST 2016,Mon Jul 04 23:54:24 BST 2016,1.0,9.358914365933552,startup.xml.transform,Mon Jul 04 23:54:24 BST 2016,Mon Jul 04 23:54:44 BST 2016,1.0,2.9840354105535387,startup.xml.validation,Mon Jul 04 23:54:44 BST 2016,Mon Jul 04 23:54:45 BST 2016,1.0,73.98273736128236,compiler.compiler,Mon Jul 04 23:54:56 BST 2016,Mon Jul 04 23:56:56 BST 2016,487.8191987682944,243.9095993841472,Mon Jul 04 23:56:58 BST 2016,Tue Jul 05 00:00:58 BST 2016,1015.170338004699,253.79258450117476,compiler.sunflow,Tue Jul 05 00:01:03 BST 2016,Tue Jul 05 00:03:03 BST 2016,200.47084532808248,100.23542266404124,Tue Jul 05 00:03:06 BST 2016,Tue Jul 05 00:07:06 BST 2016,392.1899904685944,98.0474976171486,compress,Tue Jul 05 00:07:10 BST 2016,Tue Jul 05 00:09:10 BST 2016,395.6180896887955,197.80904484439776,Tue Jul 05 00:09:13 BST 2016,Tue Jul 05 00:13:13 BST 2016,790.3178732667847,197.57946831669616,crypto.aes,Tue Jul 05 00:13:15 BST 2016,Tue Jul 05 00:15:15 BST 2016,135.35279924716866,67.67639962358433,Tue Jul 05 00:15:21 BST 2016,Tue Jul 05 00:19:21 BST 2016,286.54728236658036,71.63682059164509,crypto.rsa,Tue Jul 05 00:19:26 BST 2016,Tue Jul 05 00:21:26 BST 2016,229.97422488596595,114.98711244298298,Tue Jul 05 00:21:29 BST 2016,Tue Jul 05 00:25:29 BST 2016,457.5997378730498,114.39993446826244,crypto.signverify,Tue Jul 05 00:25:32 BST 2016,Tue Jul 05 00:27:32 BST 2016,407.2115751143749,203.60578755718745,Tue Jul 05 00:27:34 BST 2016,Tue Jul 05 00:31:34 BST 2016,815.0507988749648,203.7626997187412,derby,Tue Jul 05 00:32:15 BST 2016,Tue Jul 05 00:34:15 BST 2016,363.0653331338099,181.53266656690494,Tue Jul 05 00:34:17 BST 2016,Tue Jul 05 00:38:17 BST 2016,725.3851970929286,181.34629927323215,mpegaudio,Tue Jul 05 00:38:20 BST 2016,Tue Jul 05 00:40:20 BST 2016,208.1235961320235,104.06179806601175,Tue Jul 05 00:40:23 BST 2016,Tue Jul 05 00:44:23 BST 2016,415.61985552458805,103.90496388114701,scimark.fft.large,Tue Jul 05 00:44:27 BST 2016,Tue Jul 05 00:46:27 BST 2016,70.65075411539844,35.32537705769922,Tue Jul 05 00:46:35 BST 2016,Tue Jul 05 00:50:35 BST 2016,148.04839945347058,37.012099863367645,scimark.lu.large,Tue Jul 05 00:50:43 BST 2016,Tue Jul 05 00:52:43 BST 2016,13.825496497045869,6.912748248522934,Tue Jul 05 00:53:27 BST 2016,Tue Jul 05 00:57:27 BST 2016,27.87163044105845,6.9679076102646125,scimark.sor.large,Tue Jul 05 00:57:54 BST 2016,Tue Jul 05 00:59:54 BST 2016,74.6263255385819,37.31316276929095,Tue Jul 05 01:00:02 BST 2016,Tue Jul 05 01:04:02 BST 2016,149.30690346805267,37.32672586701317,scimark.sparse.large,Tue Jul 05 01:04:14 BST 2016,Tue Jul 05 01:06:14 BST 2016,43.3703197900767,21.68515989503835,Tue Jul 05 01:06:24 BST 2016,Tue Jul 05 01:10:24 BST 2016,86.35764079534694,21.589410198836735,scimark.fft.small,Tue Jul 05 01:10:37 BST 2016,Tue Jul 05 01:12:37 BST 2016,705.0782887204621,352.53914436023103,Tue Jul 05 01:12:38 BST 2016,Tue Jul 05 01:16:38 BST 2016,1425.718741334135,356.42968533353377,scimark.lu.small,Tue Jul 05 01:16:39 BST 2016,Tue Jul 05 01:18:39 BST 2016,576.3930900975681,288.19654504878406,Tue Jul 05 01:18:41 BST 2016,Tue Jul 05 01:22:41 BST 2016,1138.3636034658268,284.5909008664567,scimark.sor.small,Tue Jul 05 01:22:42 BST 2016,Tue Jul 05 01:24:42 BST 2016,330.48753868961523,165.24376934480762,Tue Jul 05 01:24:44 BST 2016,Tue Jul 05 01:28:44 BST 2016,661.3036809912053,165.32592024780132,scimark.sparse.small,Tue Jul 05 01:28:46 BST 2016,Tue Jul 05 01:30:46 BST 2016,506.7191249756396,253.3595624878198,Tue Jul 05 01:30:47 BST 2016,Tue Jul 05 01:34:47 BST 2016,1023.8631887023582,255.96579717558956,scimark.monte_carlo,Tue Jul 05 01:34:48 BST 2016,Tue Jul 05 01:36:48 BST 2016,119.60275984076449,59.801379920382246,Tue Jul 05 01:36:54 BST 2016,Tue Jul 05 01:40:54 BST 2016,240.23346699139105,60.058366747847764,serial,Tue Jul 05 01:41:00 BST 2016,Tue Jul 05 01:43:00 BST 2016,237.50492009394162,118.75246004697081,Tue Jul 05 01:43:04 BST 2016,Tue Jul 05 01:47:04 BST 2016,479.95084123178333,119.98771030794583,sunflow,Tue Jul 05 01:47:07 BST 2016,Tue Jul 05 01:49:07 BST 2016,173.96828322323302,86.98414161161651,Tue Jul 05 01:49:09 BST 2016,Tue Jul 05 01:53:09 BST 2016,354.3747021510293,88.59367553775732,xml.transform,Tue Jul 05 01:53:30 BST 2016,Tue Jul 05 01:55:30 BST 2016,512.243514165991,256.1217570829955,Tue Jul 05 01:55:31 BST 2016,Tue Jul 05 01:59:31 BST 2016,1028.1005997617951,257.0251499404488,xml.validation,Tue Jul 05 01:59:33 BST 2016,Tue Jul 05 02:01:33 BST 2016,1015.2722355603021,507.63611778015104,Tue Jul 05 02:01:34 BST 2016,Tue Jul 05 02:05:34 BST 2016,2019.883636666566,504.9709091666415
