spec.jvm2008.report.run.location=GLAZIER06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 11:39:38 BST 2016, end=Fri Jun 24 11:39:38 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 11:39:38 BST 2016, end=Fri Jun 24 11:39:38 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 11:39:38 BST 2016, end=Fri Jun 24 11:39:55 BST 2016, operations=1.0, operationsPerMinute=3.5124692658939236
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 11:39:55 BST 2016, end=Fri Jun 24 11:39:59 BST 2016, operations=1.0, operationsPerMinute=14.513788098693759
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 11:39:59 BST 2016, end=Fri Jun 24 11:40:01 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 11:40:01 BST 2016, end=Fri Jun 24 11:40:10 BST 2016, operations=1.0, operationsPerMinute=6.619593998234775
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 11:40:10 BST 2016, end=Fri Jun 24 11:40:17 BST 2016, operations=1.0, operationsPerMinute=7.723001673317029
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 11:40:17 BST 2016, end=Fri Jun 24 11:40:24 BST 2016, operations=1.0, operationsPerMinute=8.780916142250842
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 11:40:24 BST 2016, end=Fri Jun 24 11:40:27 BST 2016, operations=1.0, operationsPerMinute=22.49718785151856
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 11:40:27 BST 2016, end=Fri Jun 24 11:40:28 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 11:40:28 BST 2016, end=Fri Jun 24 11:40:29 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 11:40:29 BST 2016, end=Fri Jun 24 11:40:35 BST 2016, operations=1.0, operationsPerMinute=9.886307464162135
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 11:40:35 BST 2016, end=Fri Jun 24 11:40:37 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 11:40:37 BST 2016, end=Fri Jun 24 11:40:38 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 11:40:38 BST 2016, end=Fri Jun 24 11:40:40 BST 2016, operations=1.0, operationsPerMinute=22.76176024279211
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 11:40:40 BST 2016, end=Fri Jun 24 11:40:47 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 11:40:47 BST 2016, end=Fri Jun 24 11:41:12 BST 2016, operations=1.0, operationsPerMinute=2.449779519843214
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 11:41:12 BST 2016, end=Fri Jun 24 11:41:13 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 11:41:27 BST 2016, end=Fri Jun 24 11:43:27 BST 2016, operations=413.6176138016896, operationsPerMinute=206.8088069008448, mode=normal, start=Fri Jun 24 11:43:28 BST 2016, end=Fri Jun 24 11:47:28 BST 2016, operations=850.9708214025494, operationsPerMinute=212.74270535063735
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 11:47:34 BST 2016, end=Fri Jun 24 11:49:34 BST 2016, operations=168.51955083501096, operationsPerMinute=84.25977541750548, mode=normal, start=Fri Jun 24 11:49:38 BST 2016, end=Fri Jun 24 11:53:38 BST 2016, operations=330.7509897060411, operationsPerMinute=82.68774742651027
benchmark-name=compress, mod=warmup, start=Fri Jun 24 11:53:41 BST 2016, end=Fri Jun 24 11:55:41 BST 2016, operations=352.28160767982706, operationsPerMinute=176.14080383991353, mode=normal, start=Fri Jun 24 11:55:43 BST 2016, end=Fri Jun 24 11:59:43 BST 2016, operations=705.6343084581947, operationsPerMinute=176.40857711454868
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 11:59:45 BST 2016, end=Fri Jun 24 12:01:45 BST 2016, operations=116.15242366010024, operationsPerMinute=58.07621183005012, mode=normal, start=Fri Jun 24 12:01:52 BST 2016, end=Fri Jun 24 12:05:52 BST 2016, operations=245.99540662034494, operationsPerMinute=61.498851655086234
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 12:05:59 BST 2016, end=Fri Jun 24 12:07:59 BST 2016, operations=206.30268509569294, operationsPerMinute=103.15134254784647, mode=normal, start=Fri Jun 24 12:08:02 BST 2016, end=Fri Jun 24 12:12:02 BST 2016, operations=413.17695949159497, operationsPerMinute=103.29423987289874
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 12:12:06 BST 2016, end=Fri Jun 24 12:14:06 BST 2016, operations=351.3944580371302, operationsPerMinute=175.6972290185651, mode=normal, start=Fri Jun 24 12:14:08 BST 2016, end=Fri Jun 24 12:18:08 BST 2016, operations=704.4742880974018, operationsPerMinute=176.11857202435044
benchmark-name=derby, mod=warmup, start=Fri Jun 24 12:19:18 BST 2016, end=Fri Jun 24 12:21:18 BST 2016, operations=261.6705125325846, operationsPerMinute=130.8352562662923, mode=normal, start=Fri Jun 24 12:21:21 BST 2016, end=Fri Jun 24 12:25:21 BST 2016, operations=526.9557923762325, operationsPerMinute=131.73894809405812
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 12:25:24 BST 2016, end=Fri Jun 24 12:27:24 BST 2016, operations=173.4011370421332, operationsPerMinute=86.7005685210666, mode=normal, start=Fri Jun 24 12:27:29 BST 2016, end=Fri Jun 24 12:31:29 BST 2016, operations=346.89643281485746, operationsPerMinute=86.72410820371437
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 12:31:33 BST 2016, end=Fri Jun 24 12:33:33 BST 2016, operations=105.50645039544034, operationsPerMinute=52.75322519772017, mode=normal, start=Fri Jun 24 12:33:39 BST 2016, end=Fri Jun 24 12:37:39 BST 2016, operations=197.63237524848765, operationsPerMinute=49.40809381212191
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 12:37:46 BST 2016, end=Fri Jun 24 12:39:46 BST 2016, operations=21.653088566673595, operationsPerMinute=10.826544283336798, mode=normal, start=Fri Jun 24 12:40:16 BST 2016, end=Fri Jun 24 12:44:16 BST 2016, operations=43.531799189398676, operationsPerMinute=10.882949797349669
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 12:44:40 BST 2016, end=Fri Jun 24 12:46:40 BST 2016, operations=69.59261375281736, operationsPerMinute=34.79630687640868, mode=normal, start=Fri Jun 24 12:46:51 BST 2016, end=Fri Jun 24 12:50:51 BST 2016, operations=139.40401829042864, operationsPerMinute=34.85100457260716
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 12:51:00 BST 2016, end=Fri Jun 24 12:53:00 BST 2016, operations=72.13173716853875, operationsPerMinute=36.065868584269374, mode=normal, start=Fri Jun 24 12:53:10 BST 2016, end=Fri Jun 24 12:57:10 BST 2016, operations=144.09217257243597, operationsPerMinute=36.02304314310899
