spec.jvm2008.report.run.location=BEDSONTC013
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 09:28:17 BST 2016, end=Sat Jun 04 09:28:17 BST 2016, operations=1.0, operationsPerMinute=1333.3333333333333
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 09:28:17 BST 2016, end=Sat Jun 04 09:28:17 BST 2016, operations=1.0, operationsPerMinute=441.1764705882353
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 09:28:17 BST 2016, end=Sat Jun 04 09:28:30 BST 2016, operations=1.0, operationsPerMinute=4.592422502870264
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 09:28:30 BST 2016, end=Sat Jun 04 09:28:34 BST 2016, operations=1.0, operationsPerMinute=17.657445556209534
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 09:28:34 BST 2016, end=Sat Jun 04 09:28:35 BST 2016, operations=1.0, operationsPerMinute=47.24409448818898
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 09:28:35 BST 2016, end=Sat Jun 04 09:28:43 BST 2016, operations=1.0, operationsPerMinute=7.201152184349496
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 09:28:43 BST 2016, end=Sat Jun 04 09:28:51 BST 2016, operations=1.0, operationsPerMinute=8.003201280512204
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 09:28:51 BST 2016, end=Sat Jun 04 09:28:57 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 09:28:57 BST 2016, end=Sat Jun 04 09:29:00 BST 2016, operations=1.0, operationsPerMinute=25.962786672436174
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 09:29:00 BST 2016, end=Sat Jun 04 09:29:00 BST 2016, operations=1.0, operationsPerMinute=75.66204287515762
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 09:29:00 BST 2016, end=Sat Jun 04 09:29:01 BST 2016, operations=1.0, operationsPerMinute=64.93506493506493
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 09:29:01 BST 2016, end=Sat Jun 04 09:29:07 BST 2016, operations=1.0, operationsPerMinute=10.699001426533524
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 09:29:07 BST 2016, end=Sat Jun 04 09:29:08 BST 2016, operations=1.0, operationsPerMinute=41.32231404958678
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 09:29:08 BST 2016, end=Sat Jun 04 09:29:09 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 09:29:09 BST 2016, end=Sat Jun 04 09:29:11 BST 2016, operations=1.0, operationsPerMinute=27.881040892193308
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 09:29:11 BST 2016, end=Sat Jun 04 09:29:18 BST 2016, operations=1.0, operationsPerMinute=9.586195877935772
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 09:29:18 BST 2016, end=Sat Jun 04 09:29:38 BST 2016, operations=1.0, operationsPerMinute=2.9949086552860136
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 09:29:38 BST 2016, end=Sat Jun 04 09:29:39 BST 2016, operations=1.0, operationsPerMinute=71.51370679380214
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 09:29:49 BST 2016, end=Sat Jun 04 09:31:49 BST 2016, operations=490.6302978902148, operationsPerMinute=245.3151489451074, mode=normal, start=Sat Jun 04 09:31:50 BST 2016, end=Sat Jun 04 09:35:50 BST 2016, operations=997.6694934666552, operationsPerMinute=249.4173733666638
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 09:35:54 BST 2016, end=Sat Jun 04 09:37:54 BST 2016, operations=197.32974696008705, operationsPerMinute=98.66487348004352, mode=normal, start=Sat Jun 04 09:37:58 BST 2016, end=Sat Jun 04 09:41:58 BST 2016, operations=386.52298554284584, operationsPerMinute=96.63074638571146
benchmark-name=compress, mod=warmup, start=Sat Jun 04 09:42:01 BST 2016, end=Sat Jun 04 09:44:01 BST 2016, operations=400.45401530628396, operationsPerMinute=200.22700765314198, mode=normal, start=Sat Jun 04 09:44:02 BST 2016, end=Sat Jun 04 09:48:02 BST 2016, operations=801.6561060405879, operationsPerMinute=200.41402651014698
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 09:48:04 BST 2016, end=Sat Jun 04 09:50:04 BST 2016, operations=138.03887205664068, operationsPerMinute=69.01943602832034, mode=normal, start=Sat Jun 04 09:50:10 BST 2016, end=Sat Jun 04 09:54:10 BST 2016, operations=294.8915624500816, operationsPerMinute=73.7228906125204
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 09:54:15 BST 2016, end=Sat Jun 04 09:56:15 BST 2016, operations=236.0880001956032, operationsPerMinute=118.0440000978016, mode=normal, start=Sat Jun 04 09:56:19 BST 2016, end=Sat Jun 04 10:00:19 BST 2016, operations=467.956975357909, operationsPerMinute=116.98924383947725
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 10:00:22 BST 2016, end=Sat Jun 04 10:02:22 BST 2016, operations=408.7791093892021, operationsPerMinute=204.38955469460106, mode=normal, start=Sat Jun 04 10:02:24 BST 2016, end=Sat Jun 04 10:06:24 BST 2016, operations=816.8429092588681, operationsPerMinute=204.21072731471702
benchmark-name=derby, mod=warmup, start=Sat Jun 04 10:06:47 BST 2016, end=Sat Jun 04 10:08:47 BST 2016, operations=360.8590838878076, operationsPerMinute=180.4295419439038, mode=normal, start=Sat Jun 04 10:08:49 BST 2016, end=Sat Jun 04 10:12:49 BST 2016, operations=724.8332955355786, operationsPerMinute=181.20832388389465
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 10:12:51 BST 2016, end=Sat Jun 04 10:14:51 BST 2016, operations=205.63147669845154, operationsPerMinute=102.81573834922577, mode=normal, start=Sat Jun 04 10:14:55 BST 2016, end=Sat Jun 04 10:18:55 BST 2016, operations=415.4805938311773, operationsPerMinute=103.87014845779433
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 10:18:59 BST 2016, end=Sat Jun 04 10:20:59 BST 2016, operations=76.56131094163648, operationsPerMinute=38.28065547081824, mode=normal, start=Sat Jun 04 10:21:07 BST 2016, end=Sat Jun 04 10:25:07 BST 2016, operations=144.73898400081026, operationsPerMinute=36.184746000202566
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 10:25:16 BST 2016, end=Sat Jun 04 10:27:16 BST 2016, operations=13.891263725292935, operationsPerMinute=6.945631862646468, mode=normal, start=Sat Jun 04 10:28:01 BST 2016, end=Sat Jun 04 10:32:01 BST 2016, operations=27.886284581502913, operationsPerMinute=6.971571145375728
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 10:32:36 BST 2016, end=Sat Jun 04 10:34:36 BST 2016, operations=74.16872999521523, operationsPerMinute=37.084364997607615, mode=normal, start=Sat Jun 04 10:34:46 BST 2016, end=Sat Jun 04 10:38:46 BST 2016, operations=148.66144058571504, operationsPerMinute=37.16536014642876
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 10:38:56 BST 2016, end=Sat Jun 04 10:40:56 BST 2016, operations=43.005433937881904, operationsPerMinute=21.502716968940952, mode=normal, start=Sat Jun 04 10:41:08 BST 2016, end=Sat Jun 04 10:45:08 BST 2016, operations=85.93307560443175, operationsPerMinute=21.483268901107937
