spec.jvm2008.report.run.location=TOLL03
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 14:33:24 BST 2016, end=Wed Jun 29 14:33:24 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 15:55:26 BST 2016, end=Wed Jun 29 15:57:26 BST 2016, operations=241.7453862815002, operationsPerMinute=120.8726931407501, mode=normal, start=Wed Jun 29 15:57:27 BST 2016, end=Wed Jun 29 16:01:27 BST 2016, operations=494.6894505873306, operationsPerMinute=123.67236264683265
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 16:01:29 BST 2016, end=Wed Jun 29 16:03:29 BST 2016, operations=151.77381182331112, operationsPerMinute=75.88690591165556, mode=normal, start=Wed Jun 29 16:03:31 BST 2016, end=Wed Jun 29 16:07:31 BST 2016, operations=306.2635709614127, operationsPerMinute=76.56589274035318
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 16:07:33 BST 2016, end=Wed Jun 29 16:09:33 BST 2016, operations=141.80841951622352, operationsPerMinute=70.90420975811176, mode=normal, start=Wed Jun 29 16:09:34 BST 2016, end=Wed Jun 29 16:13:34 BST 2016, operations=282.7876470588235, operationsPerMinute=70.69691176470587
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jun 29 16:13:37 BST 2016, end=Wed Jun 29 16:15:37 BST 2016, operations=124.3052095874288, operationsPerMinute=62.1526047937144, mode=normal, start=Wed Jun 29 16:15:40 BST 2016, end=Wed Jun 29 16:19:40 BST 2016, operations=249.13736407055535, operationsPerMinute=62.28434101763884
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 16:19:43 BST 2016, end=Wed Jun 29 16:21:43 BST 2016, operations=45.37978997024273, operationsPerMinute=22.689894985121366, mode=normal, start=Wed Jun 29 16:21:49 BST 2016, end=Wed Jun 29 16:25:49 BST 2016, operations=90.98069034095079, operationsPerMinute=22.745172585237697
benchmark-name=serial, mod=warmup, start=Wed Jun 29 16:25:56 BST 2016, end=Wed Jun 29 16:27:56 BST 2016, operations=67.84512205111061, operationsPerMinute=33.922561025555304, mode=normal, start=Wed Jun 29 16:28:00 BST 2016, end=Wed Jun 29 16:32:00 BST 2016, operations=131.80659314539372, operationsPerMinute=32.95164828634843
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 16:32:05 BST 2016, end=Wed Jun 29 16:34:05 BST 2016, operations=55.91449814126394, operationsPerMinute=27.95724907063197, mode=normal, start=Wed Jun 29 16:34:06 BST 2016, end=Wed Jun 29 16:38:06 BST 2016, operations=108.78338999514327, operationsPerMinute=27.195847498785817
benchmark-name=xml.transform, mod=warmup, start=Wed Jun 29 16:38:46 BST 2016, end=Wed Jun 29 16:40:46 BST 2016, operations=171.51030927835052, operationsPerMinute=85.75515463917526, mode=normal, start=Wed Jun 29 16:40:48 BST 2016, end=Wed Jun 29 16:44:48 BST 2016, operations=344.5982905982906, operationsPerMinute=86.14957264957265
benchmark-name=xml.validation, mod=warmup, start=Wed Jun 29 16:44:51 BST 2016, end=Wed Jun 29 16:46:51 BST 2016, operations=277.7540792540793, operationsPerMinute=138.87703962703964, mode=normal, start=Wed Jun 29 16:46:52 BST 2016, end=Wed Jun 29 16:50:52 BST 2016, operations=553.5119611075095, operationsPerMinute=138.37799027687737
##-nursultan-##,TOLL03,Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz,2,3991,check,Wed Jun 29 14:33:24 BST 2016,Wed Jun 29 14:33:24 BST 2016,1.0,769.2307692307693,startup.helloworld,Wed Jun 29 14:33:24 BST 2016,Wed Jun 29 14:33:25 BST 2016,1.0,116.50485436893204,startup.compiler.compiler,Wed Jun 29 14:33:25 BST 2016,Wed Jun 29 14:33:52 BST 2016,1.0,2.204099625303064,startup.compiler.sunflow,Wed Jun 29 14:33:52 BST 2016,Wed Jun 29 14:33:58 BST 2016,1.0,9.223674096848578,startup.compress,Wed Jun 29 14:33:58 BST 2016,Wed Jun 29 14:34:00 BST 2016,1.0,29.806259314456035,startup.crypto.aes,Wed Jun 29 14:34:00 BST 2016,Wed Jun 29 14:34:13 BST 2016,1.0,4.937052579609973,startup.crypto.rsa,Wed Jun 29 14:34:13 BST 2016,Wed Jun 29 14:34:21 BST 2016,1.0,6.831378799954457,startup.crypto.signverify,Wed Jun 29 14:34:21 BST 2016,Wed Jun 29 14:34:29 BST 2016,1.0,7.802340702210663,startup.mpegaudio,Wed Jun 29 14:34:29 BST 2016,Wed Jun 29 14:34:33 BST 2016,1.0,15.321756894790603,startup.scimark.fft,Wed Jun 29 14:34:33 BST 2016,Wed Jun 29 14:34:34 BST 2016,1.0,48.899755501222494,startup.scimark.lu,Wed Jun 29 14:34:34 BST 2016,Wed Jun 29 14:34:36 BST 2016,1.0,31.79650238473768,startup.scimark.monte_carlo,Wed Jun 29 14:34:36 BST 2016,Wed Jun 29 14:34:44 BST 2016,1.0,7.497188554292141,startup.scimark.sor,Wed Jun 29 14:34:44 BST 2016,Wed Jun 29 14:34:46 BST 2016,1.0,32.87671232876713,startup.scimark.sparse,Wed Jun 29 14:34:46 BST 2016,Wed Jun 29 14:34:48 BST 2016,1.0,28.708133971291865,startup.serial,Wed Jun 29 14:34:48 BST 2016,Wed Jun 29 14:34:53 BST 2016,1.0,13.12623058411726,startup.sunflow,Wed Jun 29 14:34:53 BST 2016,Wed Jun 29 14:35:03 BST 2016,1.0,5.819028222286878,startup.xml.transform,Wed Jun 29 14:35:03 BST 2016,Wed Jun 29 14:35:44 BST 2016,1.0,1.463628823730302,startup.xml.validation,Wed Jun 29 14:35:44 BST 2016,Wed Jun 29 14:35:46 BST 2016,1.0,38.86010362694301,compiler.compiler,Wed Jun 29 14:36:04 BST 2016,Wed Jun 29 14:38:04 BST 2016,231.35387089982154,115.67693544991077,Wed Jun 29 14:38:05 BST 2016,Wed Jun 29 14:42:05 BST 2016,450.17276488765515,112.54319122191379,compiler.sunflow,Wed Jun 29 14:42:12 BST 2016,Wed Jun 29 14:44:12 BST 2016,90.91767947652907,45.45883973826454,Wed Jun 29 14:44:15 BST 2016,Wed Jun 29 14:48:15 BST 2016,179.2250464217223,44.80626160543058,compress,Wed Jun 29 14:48:18 BST 2016,Wed Jun 29 14:50:18 BST 2016,138.86735146559027,69.43367573279514,Wed Jun 29 14:50:21 BST 2016,Wed Jun 29 14:54:21 BST 2016,288.40115342779825,72.10028835694956,crypto.aes,Wed Jun 29 14:54:22 BST 2016,Wed Jun 29 14:56:22 BST 2016,40.99096885287945,20.495484426439724,Wed Jun 29 14:56:30 BST 2016,Wed Jun 29 15:00:30 BST 2016,86.47273383893102,21.618183459732755,crypto.rsa,Wed Jun 29 15:00:35 BST 2016,Wed Jun 29 15:02:35 BST 2016,87.32749831371544,43.66374915685772,Wed Jun 29 15:02:38 BST 2016,Wed Jun 29 15:06:38 BST 2016,174.53870595091254,43.634676487728136,crypto.signverify,Wed Jun 29 15:06:42 BST 2016,Wed Jun 29 15:08:42 BST 2016,139.81208757963913,69.90604378981956,Wed Jun 29 15:08:45 BST 2016,Wed Jun 29 15:12:45 BST 2016,279.06242936094566,69.76560734023641,derby,Wed Jun 29 15:14:43 BST 2016,Wed Jun 29 15:16:43 BST 2016,101.83253715320876,50.91626857660438,Wed Jun 29 15:16:46 BST 2016,Wed Jun 29 15:20:46 BST 2016,210.9526011630408,52.7381502907602,mpegaudio,Wed Jun 29 15:20:49 BST 2016,Wed Jun 29 15:22:49 BST 2016,65.68536070787297,32.84268035393649,Wed Jun 29 15:22:54 BST 2016,Wed Jun 29 15:26:54 BST 2016,132.71055027126647,33.17763756781662,scimark.fft.large,Wed Jun 29 15:26:58 BST 2016,Wed Jun 29 15:28:58 BST 2016,34.79158952220261,17.395794761101303,Wed Jun 29 15:29:07 BST 2016,Wed Jun 29 15:33:07 BST 2016,55.935291549279924,13.983822887319981,scimark.lu.large,Wed Jun 29 15:33:43 BST 2016,Wed Jun 29 15:35:43 BST 2016,1.9810941678372205,0.9905470839186102,Wed Jun 29 15:37:54 BST 2016,Wed Jun 29 15:41:54 BST 2016,13.378640949847277,3.3446602374618193,scimark.sor.large,Wed Jun 29 15:42:41 BST 2016,Wed Jun 29 15:44:41 BST 2016,29.58755600515032,14.79377800257516,Wed Jun 29 15:44:53 BST 2016,Wed Jun 29 15:48:53 BST 2016,58.10085151292762,14.525212878231905,scimark.sparse.large,Wed Jun 29 15:49:02 BST 2016,Wed Jun 29 15:51:02 BST 2016,23.352160253581868,11.676080126790934,Wed Jun 29 15:51:12 BST 2016,Wed Jun 29 15:55:12 BST 2016,46.46947149892886,11.617367874732215,scimark.fft.small,Wed Jun 29 15:55:26 BST 2016,Wed Jun 29 15:57:26 BST 2016,241.7453862815002,120.8726931407501,Wed Jun 29 15:57:27 BST 2016,Wed Jun 29 16:01:27 BST 2016,494.6894505873306,123.67236264683265,scimark.lu.small,Wed Jun 29 16:01:29 BST 2016,Wed Jun 29 16:03:29 BST 2016,151.77381182331112,75.88690591165556,Wed Jun 29 16:03:31 BST 2016,Wed Jun 29 16:07:31 BST 2016,306.2635709614127,76.56589274035318,scimark.sor.small,Wed Jun 29 16:07:33 BST 2016,Wed Jun 29 16:09:33 BST 2016,141.80841951622352,70.90420975811176,Wed Jun 29 16:09:34 BST 2016,Wed Jun 29 16:13:34 BST 2016,282.7876470588235,70.69691176470587,scimark.sparse.small,Wed Jun 29 16:13:37 BST 2016,Wed Jun 29 16:15:37 BST 2016,124.3052095874288,62.1526047937144,Wed Jun 29 16:15:40 BST 2016,Wed Jun 29 16:19:40 BST 2016,249.13736407055535,62.28434101763884,scimark.monte_carlo,Wed Jun 29 16:19:43 BST 2016,Wed Jun 29 16:21:43 BST 2016,45.37978997024273,22.689894985121366,Wed Jun 29 16:21:49 BST 2016,Wed Jun 29 16:25:49 BST 2016,90.98069034095079,22.745172585237697,serial,Wed Jun 29 16:25:56 BST 2016,Wed Jun 29 16:27:56 BST 2016,67.84512205111061,33.922561025555304,Wed Jun 29 16:28:00 BST 2016,Wed Jun 29 16:32:00 BST 2016,131.80659314539372,32.95164828634843,sunflow,Wed Jun 29 16:32:05 BST 2016,Wed Jun 29 16:34:05 BST 2016,55.91449814126394,27.95724907063197,Wed Jun 29 16:34:06 BST 2016,Wed Jun 29 16:38:06 BST 2016,108.78338999514327,27.195847498785817,xml.transform,Wed Jun 29 16:38:46 BST 2016,Wed Jun 29 16:40:46 BST 2016,171.51030927835052,85.75515463917526,Wed Jun 29 16:40:48 BST 2016,Wed Jun 29 16:44:48 BST 2016,344.5982905982906,86.14957264957265,xml.validation,Wed Jun 29 16:44:51 BST 2016,Wed Jun 29 16:46:51 BST 2016,277.7540792540793,138.87703962703964,Wed Jun 29 16:46:52 BST 2016,Wed Jun 29 16:50:52 BST 2016,553.5119611075095,138.37799027687737
