spec.jvm2008.report.run.location=CASTLEAZES008
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 09:32:20 BST 2016, end=Thu Jun 23 09:32:20 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 09:32:20 BST 2016, end=Thu Jun 23 09:32:21 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 09:32:21 BST 2016, end=Thu Jun 23 09:32:33 BST 2016, operations=1.0, operationsPerMinute=4.730741938027281
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 09:32:33 BST 2016, end=Thu Jun 23 09:32:36 BST 2016, operations=1.0, operationsPerMinute=18.76172607879925
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 09:32:36 BST 2016, end=Thu Jun 23 09:32:38 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 09:32:38 BST 2016, end=Thu Jun 23 09:32:46 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 09:32:46 BST 2016, end=Thu Jun 23 09:32:54 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 09:32:54 BST 2016, end=Thu Jun 23 09:33:00 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 09:33:00 BST 2016, end=Thu Jun 23 09:33:03 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 09:33:03 BST 2016, end=Thu Jun 23 09:33:03 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 09:33:03 BST 2016, end=Thu Jun 23 09:33:04 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 09:33:04 BST 2016, end=Thu Jun 23 09:33:10 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 09:33:10 BST 2016, end=Thu Jun 23 09:33:11 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 09:33:11 BST 2016, end=Thu Jun 23 09:33:12 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 09:33:12 BST 2016, end=Thu Jun 23 09:33:14 BST 2016, operations=1.0, operationsPerMinute=28.92960462873674
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 09:33:14 BST 2016, end=Thu Jun 23 09:33:21 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 09:33:21 BST 2016, end=Thu Jun 23 09:33:40 BST 2016, operations=1.0, operationsPerMinute=3.018867924528302
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 09:33:40 BST 2016, end=Thu Jun 23 09:33:41 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 09:33:51 BST 2016, end=Thu Jun 23 09:35:51 BST 2016, operations=493.48992495590306, operationsPerMinute=246.74496247795153, mode=normal, start=Thu Jun 23 09:35:53 BST 2016, end=Thu Jun 23 09:39:53 BST 2016, operations=1010.6287272200638, operationsPerMinute=252.65718180501594
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 09:39:56 BST 2016, end=Thu Jun 23 09:41:56 BST 2016, operations=197.44568932830572, operationsPerMinute=98.72284466415286, mode=normal, start=Thu Jun 23 09:42:00 BST 2016, end=Thu Jun 23 09:46:00 BST 2016, operations=390.1701274325378, operationsPerMinute=97.54253185813445
benchmark-name=compress, mod=warmup, start=Thu Jun 23 09:46:03 BST 2016, end=Thu Jun 23 09:48:03 BST 2016, operations=400.38459347927085, operationsPerMinute=200.19229673963542, mode=normal, start=Thu Jun 23 09:48:05 BST 2016, end=Thu Jun 23 09:52:05 BST 2016, operations=800.5734854829118, operationsPerMinute=200.14337137072795
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 09:52:07 BST 2016, end=Thu Jun 23 09:54:07 BST 2016, operations=139.34792968044312, operationsPerMinute=69.67396484022156, mode=normal, start=Thu Jun 23 09:54:11 BST 2016, end=Thu Jun 23 09:58:11 BST 2016, operations=295.0851163992281, operationsPerMinute=73.77127909980703
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 09:58:17 BST 2016, end=Thu Jun 23 10:00:17 BST 2016, operations=236.05750084627226, operationsPerMinute=118.02875042313613, mode=normal, start=Thu Jun 23 10:00:20 BST 2016, end=Thu Jun 23 10:04:20 BST 2016, operations=472.71977098892546, operationsPerMinute=118.17994274723137
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 10:04:24 BST 2016, end=Thu Jun 23 10:06:24 BST 2016, operations=407.3136724528244, operationsPerMinute=203.6568362264122, mode=normal, start=Thu Jun 23 10:06:26 BST 2016, end=Thu Jun 23 10:10:26 BST 2016, operations=814.9815829886267, operationsPerMinute=203.74539574715666
benchmark-name=derby, mod=warmup, start=Thu Jun 23 10:10:49 BST 2016, end=Thu Jun 23 10:12:49 BST 2016, operations=363.30089939610684, operationsPerMinute=181.65044969805342, mode=normal, start=Thu Jun 23 10:12:51 BST 2016, end=Thu Jun 23 10:16:51 BST 2016, operations=726.726327140742, operationsPerMinute=181.6815817851855
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 10:16:53 BST 2016, end=Thu Jun 23 10:18:53 BST 2016, operations=207.97866514685626, operationsPerMinute=103.98933257342813, mode=normal, start=Thu Jun 23 10:18:58 BST 2016, end=Thu Jun 23 10:22:58 BST 2016, operations=415.8806345833008, operationsPerMinute=103.9701586458252
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 10:23:02 BST 2016, end=Thu Jun 23 10:25:02 BST 2016, operations=69.81539546851856, operationsPerMinute=34.90769773425928, mode=normal, start=Thu Jun 23 10:25:11 BST 2016, end=Thu Jun 23 10:29:11 BST 2016, operations=144.3166848979946, operationsPerMinute=36.07917122449865
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 10:29:19 BST 2016, end=Thu Jun 23 10:31:19 BST 2016, operations=13.909138849800197, operationsPerMinute=6.954569424900098, mode=normal, start=Thu Jun 23 10:32:03 BST 2016, end=Thu Jun 23 10:36:03 BST 2016, operations=27.82436460224863, operationsPerMinute=6.956091150562157
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 10:36:47 BST 2016, end=Thu Jun 23 10:38:47 BST 2016, operations=74.6710994911681, operationsPerMinute=37.33554974558405, mode=normal, start=Thu Jun 23 10:38:55 BST 2016, end=Thu Jun 23 10:42:55 BST 2016, operations=149.19716135956264, operationsPerMinute=37.29929033989066
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 10:43:05 BST 2016, end=Thu Jun 23 10:45:05 BST 2016, operations=43.24216578401496, operationsPerMinute=21.62108289200748, mode=normal, start=Thu Jun 23 10:45:19 BST 2016, end=Thu Jun 23 10:49:19 BST 2016, operations=86.6136687394183, operationsPerMinute=21.653417184854575
