spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 07:45:32 BST 2016, end=Mon Jul 04 07:45:32 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 07:45:32 BST 2016, end=Mon Jul 04 07:45:32 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 07:45:32 BST 2016, end=Mon Jul 04 07:45:47 BST 2016, operations=1.0, operationsPerMinute=4.061463480674203
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 07:45:47 BST 2016, end=Mon Jul 04 07:45:50 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 07:45:50 BST 2016, end=Mon Jul 04 07:45:52 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 07:45:52 BST 2016, end=Mon Jul 04 07:46:00 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 07:46:00 BST 2016, end=Mon Jul 04 07:46:07 BST 2016, operations=1.0, operationsPerMinute=8.096073404398867
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 07:46:07 BST 2016, end=Mon Jul 04 07:46:14 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 07:46:14 BST 2016, end=Mon Jul 04 07:46:16 BST 2016, operations=1.0, operationsPerMinute=26.905829596412556
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 07:46:16 BST 2016, end=Mon Jul 04 07:46:17 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 07:46:17 BST 2016, end=Mon Jul 04 07:46:18 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 07:46:18 BST 2016, end=Mon Jul 04 07:46:23 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 07:46:23 BST 2016, end=Mon Jul 04 07:46:25 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 07:46:25 BST 2016, end=Mon Jul 04 07:46:26 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 07:46:26 BST 2016, end=Mon Jul 04 07:46:28 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 07:46:28 BST 2016, end=Mon Jul 04 07:46:34 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 07:46:34 BST 2016, end=Mon Jul 04 07:46:55 BST 2016, operations=1.0, operationsPerMinute=2.918146004571762
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 07:46:55 BST 2016, end=Mon Jul 04 07:46:56 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 07:47:07 BST 2016, end=Mon Jul 04 07:49:07 BST 2016, operations=496.7790627689633, operationsPerMinute=248.38953138448164, mode=normal, start=Mon Jul 04 07:49:09 BST 2016, end=Mon Jul 04 07:53:09 BST 2016, operations=1021.432929578033, operationsPerMinute=255.35823239450826
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 07:53:13 BST 2016, end=Mon Jul 04 07:55:13 BST 2016, operations=190.765191512164, operationsPerMinute=95.382595756082, mode=normal, start=Mon Jul 04 07:55:16 BST 2016, end=Mon Jul 04 07:59:16 BST 2016, operations=379.44309404189914, operationsPerMinute=94.86077351047479
benchmark-name=compress, mod=warmup, start=Mon Jul 04 07:59:20 BST 2016, end=Mon Jul 04 08:01:20 BST 2016, operations=393.4709533434809, operationsPerMinute=196.73547667174046, mode=normal, start=Mon Jul 04 08:01:22 BST 2016, end=Mon Jul 04 08:05:22 BST 2016, operations=801.2635692175354, operationsPerMinute=200.31589230438385
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 08:05:24 BST 2016, end=Mon Jul 04 08:07:24 BST 2016, operations=138.99089936992098, operationsPerMinute=69.49544968496049, mode=normal, start=Mon Jul 04 08:07:28 BST 2016, end=Mon Jul 04 08:11:28 BST 2016, operations=292.8719424172722, operationsPerMinute=73.21798560431805
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 08:11:34 BST 2016, end=Mon Jul 04 08:13:34 BST 2016, operations=236.3260101295167, operationsPerMinute=118.16300506475835, mode=normal, start=Mon Jul 04 08:13:37 BST 2016, end=Mon Jul 04 08:17:37 BST 2016, operations=473.6873577239254, operationsPerMinute=118.42183943098135
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 08:17:41 BST 2016, end=Mon Jul 04 08:19:41 BST 2016, operations=407.9364481873757, operationsPerMinute=203.96822409368784, mode=normal, start=Mon Jul 04 08:19:43 BST 2016, end=Mon Jul 04 08:23:43 BST 2016, operations=815.3230264769893, operationsPerMinute=203.83075661924732
benchmark-name=derby, mod=warmup, start=Mon Jul 04 08:24:24 BST 2016, end=Mon Jul 04 08:26:24 BST 2016, operations=360.90173547924593, operationsPerMinute=180.45086773962296, mode=normal, start=Mon Jul 04 08:26:26 BST 2016, end=Mon Jul 04 08:30:26 BST 2016, operations=725.4456654030965, operationsPerMinute=181.36141635077414
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 08:30:28 BST 2016, end=Mon Jul 04 08:32:28 BST 2016, operations=208.10118844243362, operationsPerMinute=104.05059422121681, mode=normal, start=Mon Jul 04 08:32:32 BST 2016, end=Mon Jul 04 08:36:32 BST 2016, operations=416.6341355277204, operationsPerMinute=104.1585338819301
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 08:36:36 BST 2016, end=Mon Jul 04 08:38:36 BST 2016, operations=69.64739997847492, operationsPerMinute=34.82369998923746, mode=normal, start=Mon Jul 04 08:38:46 BST 2016, end=Mon Jul 04 08:42:46 BST 2016, operations=145.10721007568785, operationsPerMinute=36.27680251892196
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 08:42:54 BST 2016, end=Mon Jul 04 08:44:54 BST 2016, operations=13.83709845591214, operationsPerMinute=6.91854922795607, mode=normal, start=Mon Jul 04 08:45:37 BST 2016, end=Mon Jul 04 08:49:37 BST 2016, operations=28.04296732701479, operationsPerMinute=7.010741831753697
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 08:50:19 BST 2016, end=Mon Jul 04 08:52:19 BST 2016, operations=74.4434754445428, operationsPerMinute=37.2217377222714, mode=normal, start=Mon Jul 04 08:52:28 BST 2016, end=Mon Jul 04 08:56:28 BST 2016, operations=149.10253438293012, operationsPerMinute=37.27563359573253
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 08:56:39 BST 2016, end=Mon Jul 04 08:58:39 BST 2016, operations=43.151291338269175, operationsPerMinute=21.575645669134587, mode=normal, start=Mon Jul 04 08:58:50 BST 2016, end=Mon Jul 04 09:02:50 BST 2016, operations=86.6155125929753, operationsPerMinute=21.653878148243827
