spec.jvm2008.report.run.location=RIDLEY2B016
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:38:29 BST 2016, end=Sun Jun 19 00:38:29 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:38:29 BST 2016, end=Sun Jun 19 00:38:30 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:38:30 BST 2016, end=Sun Jun 19 00:38:42 BST 2016, operations=1.0, operationsPerMinute=4.862236628849271
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:38:42 BST 2016, end=Sun Jun 19 00:38:45 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:38:45 BST 2016, end=Sun Jun 19 00:38:46 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:38:46 BST 2016, end=Sun Jun 19 00:38:55 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:38:55 BST 2016, end=Sun Jun 19 00:39:03 BST 2016, operations=1.0, operationsPerMinute=7.881255746748982
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:03 BST 2016, end=Sun Jun 19 00:39:09 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:39:09 BST 2016, end=Sun Jun 19 00:39:11 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:39:11 BST 2016, end=Sun Jun 19 00:39:12 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:39:12 BST 2016, end=Sun Jun 19 00:39:13 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:39:13 BST 2016, end=Sun Jun 19 00:39:19 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:39:19 BST 2016, end=Sun Jun 19 00:39:20 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:21 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:39:21 BST 2016, end=Sun Jun 19 00:39:23 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:39:23 BST 2016, end=Sun Jun 19 00:39:29 BST 2016, operations=1.0, operationsPerMinute=9.450307134981887
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:39:29 BST 2016, end=Sun Jun 19 00:39:50 BST 2016, operations=1.0, operationsPerMinute=2.8853089685020437
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:39:50 BST 2016, end=Sun Jun 19 00:39:51 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:01 BST 2016, end=Sun Jun 19 00:42:01 BST 2016, operations=491.64589464217704, operationsPerMinute=245.82294732108852, mode=normal, start=Sun Jun 19 00:42:03 BST 2016, end=Sun Jun 19 00:46:03 BST 2016, operations=996.5712319198834, operationsPerMinute=249.14280797997085
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:46:06 BST 2016, end=Sun Jun 19 00:48:06 BST 2016, operations=190.02374822055356, operationsPerMinute=95.01187411027678, mode=normal, start=Sun Jun 19 00:48:09 BST 2016, end=Sun Jun 19 00:52:09 BST 2016, operations=375.7973730626962, operationsPerMinute=93.94934326567405
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:52:13 BST 2016, end=Sun Jun 19 00:54:13 BST 2016, operations=399.7472657300454, operationsPerMinute=199.8736328650227, mode=normal, start=Sun Jun 19 00:54:16 BST 2016, end=Sun Jun 19 00:58:16 BST 2016, operations=796.0375922552253, operationsPerMinute=199.00939806380632
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:58:18 BST 2016, end=Sun Jun 19 01:00:18 BST 2016, operations=139.36467488237415, operationsPerMinute=69.68233744118707, mode=normal, start=Sun Jun 19 01:00:22 BST 2016, end=Sun Jun 19 01:04:22 BST 2016, operations=291.7155371471535, operationsPerMinute=72.92888428678837
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:04:28 BST 2016, end=Sun Jun 19 01:06:28 BST 2016, operations=235.78320778363647, operationsPerMinute=117.89160389181824, mode=normal, start=Sun Jun 19 01:06:31 BST 2016, end=Sun Jun 19 01:10:31 BST 2016, operations=472.2235059696897, operationsPerMinute=118.05587649242243
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:10:35 BST 2016, end=Sun Jun 19 01:12:35 BST 2016, operations=404.8353772141449, operationsPerMinute=202.41768860707245, mode=normal, start=Sun Jun 19 01:12:36 BST 2016, end=Sun Jun 19 01:16:36 BST 2016, operations=813.1926591826792, operationsPerMinute=203.2981647956698
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:16:59 BST 2016, end=Sun Jun 19 01:18:59 BST 2016, operations=355.93425342029343, operationsPerMinute=177.96712671014672, mode=normal, start=Sun Jun 19 01:19:02 BST 2016, end=Sun Jun 19 01:23:02 BST 2016, operations=712.7419719659306, operationsPerMinute=178.18549299148265
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:04 BST 2016, end=Sun Jun 19 01:25:04 BST 2016, operations=207.1813015754596, operationsPerMinute=103.5906507877298, mode=normal, start=Sun Jun 19 01:25:09 BST 2016, end=Sun Jun 19 01:29:09 BST 2016, operations=413.9446299326078, operationsPerMinute=103.48615748315196
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:29:11 BST 2016, end=Sun Jun 19 01:31:11 BST 2016, operations=70.30728142361541, operationsPerMinute=35.153640711807704, mode=normal, start=Sun Jun 19 01:31:20 BST 2016, end=Sun Jun 19 01:35:20 BST 2016, operations=154.09220703830198, operationsPerMinute=38.523051759575495
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:35:29 BST 2016, end=Sun Jun 19 01:37:29 BST 2016, operations=13.762896754472626, operationsPerMinute=6.881448377236313, mode=normal, start=Sun Jun 19 01:38:14 BST 2016, end=Sun Jun 19 01:42:14 BST 2016, operations=27.74802939951777, operationsPerMinute=6.937007349879442
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:42:42 BST 2016, end=Sun Jun 19 01:44:42 BST 2016, operations=74.1632247834061, operationsPerMinute=37.08161239170305, mode=normal, start=Sun Jun 19 01:44:51 BST 2016, end=Sun Jun 19 01:48:51 BST 2016, operations=148.5151892386684, operationsPerMinute=37.1287973096671
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:02 BST 2016, end=Sun Jun 19 01:51:02 BST 2016, operations=43.28614916187583, operationsPerMinute=21.643074580937913, mode=normal, start=Sun Jun 19 01:51:12 BST 2016, end=Sun Jun 19 01:55:12 BST 2016, operations=86.52825326214285, operationsPerMinute=21.632063315535714
