spec.jvm2008.report.run.location=NIDD111
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:41 BST 2016, end=Sun Jun 19 00:41:41 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:41 BST 2016, end=Sun Jun 19 00:41:41 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:41 BST 2016, end=Sun Jun 19 00:42:02 BST 2016, operations=1.0, operationsPerMinute=2.817695125387433
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:42:02 BST 2016, end=Sun Jun 19 00:42:07 BST 2016, operations=1.0, operationsPerMinute=12.906001290600129
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:42:07 BST 2016, end=Sun Jun 19 00:42:09 BST 2016, operations=1.0, operationsPerMinute=37.359900373599004
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:42:09 BST 2016, end=Sun Jun 19 00:42:18 BST 2016, operations=1.0, operationsPerMinute=6.009013520280421
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:18 BST 2016, end=Sun Jun 19 00:42:27 BST 2016, operations=1.0, operationsPerMinute=7.03152466893238
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:27 BST 2016, end=Sun Jun 19 00:42:34 BST 2016, operations=1.0, operationsPerMinute=8.361204013377927
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:34 BST 2016, end=Sun Jun 19 00:42:37 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:37 BST 2016, end=Sun Jun 19 00:42:38 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:38 BST 2016, end=Sun Jun 19 00:42:39 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:39 BST 2016, end=Sun Jun 19 00:42:46 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:46 BST 2016, end=Sun Jun 19 00:42:48 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:48 BST 2016, end=Sun Jun 19 00:42:49 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:49 BST 2016, end=Sun Jun 19 00:42:52 BST 2016, operations=1.0, operationsPerMinute=20.03338898163606
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:52 BST 2016, end=Sun Jun 19 00:42:59 BST 2016, operations=1.0, operationsPerMinute=8.4530853761623
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:59 BST 2016, end=Sun Jun 19 00:43:28 BST 2016, operations=1.0, operationsPerMinute=2.116775445404833
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:28 BST 2016, end=Sun Jun 19 00:43:29 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:45 BST 2016, end=Sun Jun 19 00:45:45 BST 2016, operations=352.40997794967785, operationsPerMinute=176.20498897483893, mode=normal, start=Sun Jun 19 00:45:47 BST 2016, end=Sun Jun 19 00:49:47 BST 2016, operations=729.2423292096762, operationsPerMinute=182.31058230241905
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:54 BST 2016, end=Sun Jun 19 00:51:54 BST 2016, operations=141.50951394740665, operationsPerMinute=70.75475697370332, mode=normal, start=Sun Jun 19 00:51:58 BST 2016, end=Sun Jun 19 00:55:58 BST 2016, operations=279.1067601199004, operationsPerMinute=69.7766900299751
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:56:04 BST 2016, end=Sun Jun 19 00:58:04 BST 2016, operations=271.2670000216894, operationsPerMinute=135.6335000108447, mode=normal, start=Sun Jun 19 00:58:06 BST 2016, end=Sun Jun 19 01:02:06 BST 2016, operations=543.4185908596313, operationsPerMinute=135.85464771490783
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:02:09 BST 2016, end=Sun Jun 19 01:04:09 BST 2016, operations=85.72261913550868, operationsPerMinute=42.86130956775434, mode=normal, start=Sun Jun 19 01:04:17 BST 2016, end=Sun Jun 19 01:08:17 BST 2016, operations=180.58755534697877, operationsPerMinute=45.146888836744694
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:26 BST 2016, end=Sun Jun 19 01:10:26 BST 2016, operations=143.81072328426106, operationsPerMinute=71.90536164213053, mode=normal, start=Sun Jun 19 01:10:31 BST 2016, end=Sun Jun 19 01:14:31 BST 2016, operations=287.5020749706015, operationsPerMinute=71.87551874265037
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:38 BST 2016, end=Sun Jun 19 01:16:38 BST 2016, operations=252.5817817251641, operationsPerMinute=126.29089086258205, mode=normal, start=Sun Jun 19 01:16:40 BST 2016, end=Sun Jun 19 01:20:40 BST 2016, operations=504.0733134380642, operationsPerMinute=126.01832835951605
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:22:11 BST 2016, end=Sun Jun 19 01:24:11 BST 2016, operations=204.24561169640435, operationsPerMinute=102.12280584820218, mode=normal, start=Sun Jun 19 01:24:15 BST 2016, end=Sun Jun 19 01:28:15 BST 2016, operations=411.5674152543671, operationsPerMinute=102.89185381359178
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:20 BST 2016, end=Sun Jun 19 01:30:20 BST 2016, operations=134.19977827637507, operationsPerMinute=67.09988913818754, mode=normal, start=Sun Jun 19 01:30:24 BST 2016, end=Sun Jun 19 01:34:24 BST 2016, operations=267.62336518373615, operationsPerMinute=66.90584129593404
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:30 BST 2016, end=Sun Jun 19 01:36:30 BST 2016, operations=55.899378148121315, operationsPerMinute=27.949689074060657, mode=normal, start=Sun Jun 19 01:36:39 BST 2016, end=Sun Jun 19 01:40:39 BST 2016, operations=119.55638068457138, operationsPerMinute=29.889095171142845
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:47 BST 2016, end=Sun Jun 19 01:42:47 BST 2016, operations=11.585782659057545, operationsPerMinute=5.792891329528772, mode=normal, start=Sun Jun 19 01:43:22 BST 2016, end=Sun Jun 19 01:47:22 BST 2016, operations=22.930066823530208, operationsPerMinute=5.732516705882552
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:48:04 BST 2016, end=Sun Jun 19 01:50:04 BST 2016, operations=55.24135993907849, operationsPerMinute=27.620679969539246, mode=normal, start=Sun Jun 19 01:50:14 BST 2016, end=Sun Jun 19 01:54:14 BST 2016, operations=110.35110574053637, operationsPerMinute=27.587776435134092
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:25 BST 2016, end=Sun Jun 19 01:56:25 BST 2016, operations=37.336434736733466, operationsPerMinute=18.668217368366733, mode=normal, start=Sun Jun 19 01:56:40 BST 2016, end=Sun Jun 19 02:00:40 BST 2016, operations=74.47010705613779, operationsPerMinute=18.617526764034448
