spec.jvm2008.report.run.location=KRC019
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:04:11 BST 2016, end=Fri Jun 03 15:04:11 BST 2016, operations=1.0, operationsPerMinute=1224.4897959183672
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:04:11 BST 2016, end=Fri Jun 03 15:04:11 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:04:11 BST 2016, end=Fri Jun 03 15:04:27 BST 2016, operations=1.0, operationsPerMinute=3.8068650466340967
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:27 BST 2016, end=Fri Jun 03 15:04:31 BST 2016, operations=1.0, operationsPerMinute=16.497113005224087
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:31 BST 2016, end=Fri Jun 03 15:04:32 BST 2016, operations=1.0, operationsPerMinute=42.796005706134096
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:32 BST 2016, end=Fri Jun 03 15:04:41 BST 2016, operations=1.0, operationsPerMinute=6.87757909215956
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:04:41 BST 2016, end=Fri Jun 03 15:04:48 BST 2016, operations=1.0, operationsPerMinute=7.912435711459844
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:04:48 BST 2016, end=Fri Jun 03 15:04:55 BST 2016, operations=1.0, operationsPerMinute=8.978003890468353
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:04:55 BST 2016, end=Fri Jun 03 15:04:58 BST 2016, operations=1.0, operationsPerMinute=23.529411764705884
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:04:58 BST 2016, end=Fri Jun 03 15:04:58 BST 2016, operations=1.0, operationsPerMinute=73.0816077953715
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:04:58 BST 2016, end=Fri Jun 03 15:04:59 BST 2016, operations=1.0, operationsPerMinute=57.85920925747348
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:04:59 BST 2016, end=Fri Jun 03 15:05:06 BST 2016, operations=1.0, operationsPerMinute=9.905894006934126
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:05:06 BST 2016, end=Fri Jun 03 15:05:07 BST 2016, operations=1.0, operationsPerMinute=36.76470588235294
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:05:07 BST 2016, end=Fri Jun 03 15:05:08 BST 2016, operations=1.0, operationsPerMinute=55.19779208831647
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:05:08 BST 2016, end=Fri Jun 03 15:05:11 BST 2016, operations=1.0, operationsPerMinute=24.875621890547265
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:05:11 BST 2016, end=Fri Jun 03 15:05:17 BST 2016, operations=1.0, operationsPerMinute=9.295120061967467
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:05:17 BST 2016, end=Fri Jun 03 15:05:40 BST 2016, operations=1.0, operationsPerMinute=2.677256704296997
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:05:40 BST 2016, end=Fri Jun 03 15:05:40 BST 2016, operations=1.0, operationsPerMinute=65.86169045005488
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:05:54 BST 2016, end=Fri Jun 03 15:07:54 BST 2016, operations=441.0257545924741, operationsPerMinute=220.51287729623704, mode=normal, start=Fri Jun 03 15:07:56 BST 2016, end=Fri Jun 03 15:11:56 BST 2016, operations=821.1061501756881, operationsPerMinute=205.27653754392202
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:12:01 BST 2016, end=Fri Jun 03 15:14:01 BST 2016, operations=168.116307763412, operationsPerMinute=84.058153881706, mode=normal, start=Fri Jun 03 15:14:04 BST 2016, end=Fri Jun 03 15:18:04 BST 2016, operations=346.3769583611719, operationsPerMinute=86.59423959029297
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:18:08 BST 2016, end=Fri Jun 03 15:20:08 BST 2016, operations=335.06365664754367, operationsPerMinute=167.53182832377183, mode=normal, start=Fri Jun 03 15:20:10 BST 2016, end=Fri Jun 03 15:24:10 BST 2016, operations=651.0901415628977, operationsPerMinute=162.7725353907244
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:24:13 BST 2016, end=Fri Jun 03 15:26:13 BST 2016, operations=119.93726999758779, operationsPerMinute=59.968634998793895, mode=normal, start=Fri Jun 03 15:26:18 BST 2016, end=Fri Jun 03 15:30:18 BST 2016, operations=237.65544357787832, operationsPerMinute=59.41386089446958
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:30:24 BST 2016, end=Fri Jun 03 15:32:24 BST 2016, operations=195.54625614569005, operationsPerMinute=97.77312807284503, mode=normal, start=Fri Jun 03 15:32:28 BST 2016, end=Fri Jun 03 15:36:28 BST 2016, operations=398.7809724165669, operationsPerMinute=99.69524310414172
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:36:32 BST 2016, end=Fri Jun 03 15:38:32 BST 2016, operations=346.51101820354, operationsPerMinute=173.25550910177, mode=normal, start=Fri Jun 03 15:38:33 BST 2016, end=Fri Jun 03 15:42:33 BST 2016, operations=695.554532060286, operationsPerMinute=173.8886330150715
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:43:42 BST 2016, end=Fri Jun 03 15:45:42 BST 2016, operations=279.9277707538029, operationsPerMinute=139.96388537690146, mode=normal, start=Fri Jun 03 15:45:44 BST 2016, end=Fri Jun 03 15:49:44 BST 2016, operations=567.3147606672806, operationsPerMinute=141.82869016682014
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:49:47 BST 2016, end=Fri Jun 03 15:51:47 BST 2016, operations=168.78084859044674, operationsPerMinute=84.39042429522337, mode=normal, start=Fri Jun 03 15:51:52 BST 2016, end=Fri Jun 03 15:55:52 BST 2016, operations=341.8202989276292, operationsPerMinute=85.4550747319073
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:55:55 BST 2016, end=Fri Jun 03 15:57:55 BST 2016, operations=71.42568818273466, operationsPerMinute=35.71284409136733, mode=normal, start=Fri Jun 03 15:58:05 BST 2016, end=Fri Jun 03 16:02:05 BST 2016, operations=126.58425306877669, operationsPerMinute=31.646063267194172
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:02:17 BST 2016, end=Fri Jun 03 16:04:17 BST 2016, operations=12.610379214941261, operationsPerMinute=6.305189607470631, mode=normal, start=Fri Jun 03 16:05:33 BST 2016, end=Fri Jun 03 16:09:33 BST 2016, operations=25.635415513336927, operationsPerMinute=6.408853878334232
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:10:23 BST 2016, end=Fri Jun 03 16:12:23 BST 2016, operations=57.591446361459305, operationsPerMinute=28.795723180729652, mode=normal, start=Fri Jun 03 16:12:39 BST 2016, end=Fri Jun 03 16:16:39 BST 2016, operations=113.02766970031831, operationsPerMinute=28.25691742507958
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:16:54 BST 2016, end=Fri Jun 03 16:18:54 BST 2016, operations=34.99689368045482, operationsPerMinute=17.49844684022741, mode=normal, start=Fri Jun 03 16:19:09 BST 2016, end=Fri Jun 03 16:23:09 BST 2016, operations=58.91030036236745, operationsPerMinute=14.727575090591863
