spec.jvm2008.report.run.location=ROBLIB063
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:22:09 BST 2016, end=Thu May 26 14:22:09 BST 2016, operations=1.0, operationsPerMinute=750.0
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:22:09 BST 2016, end=Thu May 26 14:22:09 BST 2016, operations=1.0, operationsPerMinute=85.71428571428571
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:22:09 BST 2016, end=Thu May 26 14:22:34 BST 2016, operations=1.0, operationsPerMinute=2.4525833878351864
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:34 BST 2016, end=Thu May 26 14:22:39 BST 2016, operations=1.0, operationsPerMinute=11.074197120708748
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:22:41 BST 2016, operations=1.0, operationsPerMinute=38.70967741935484
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:41 BST 2016, end=Thu May 26 14:22:50 BST 2016, operations=1.0, operationsPerMinute=6.25
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:50 BST 2016, end=Thu May 26 14:22:58 BST 2016, operations=1.0, operationsPerMinute=7.548119260284312
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:58 BST 2016, end=Thu May 26 14:23:05 BST 2016, operations=1.0, operationsPerMinute=8.710801393728223
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:23:05 BST 2016, end=Thu May 26 14:23:08 BST 2016, operations=1.0, operationsPerMinute=19.575856443719413
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:23:08 BST 2016, end=Thu May 26 14:23:09 BST 2016, operations=1.0, operationsPerMinute=59.40594059405941
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:23:09 BST 2016, end=Thu May 26 14:23:11 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:23:11 BST 2016, end=Thu May 26 14:23:17 BST 2016, operations=1.0, operationsPerMinute=8.9126559714795
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:23:17 BST 2016, end=Thu May 26 14:23:19 BST 2016, operations=1.0, operationsPerMinute=35.08771929824562
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:23:19 BST 2016, end=Thu May 26 14:23:20 BST 2016, operations=1.0, operationsPerMinute=47.24409448818898
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:23:20 BST 2016, end=Thu May 26 14:23:23 BST 2016, operations=1.0, operationsPerMinute=20.188425302826378
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:23:23 BST 2016, end=Thu May 26 14:23:32 BST 2016, operations=1.0, operationsPerMinute=7.1132187314759925
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:32 BST 2016, end=Thu May 26 14:24:02 BST 2016, operations=1.0, operationsPerMinute=2.0167389331451044
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:24:02 BST 2016, end=Thu May 26 14:24:03 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:24:18 BST 2016, end=Thu May 26 14:26:18 BST 2016, operations=393.7494458528997, operationsPerMinute=196.87472292644986, mode=normal, start=Thu May 26 14:26:19 BST 2016, end=Thu May 26 14:30:19 BST 2016, operations=847.7156941237041, operationsPerMinute=211.92892353092603
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:30:24 BST 2016, end=Thu May 26 14:32:24 BST 2016, operations=166.99446111916552, operationsPerMinute=83.49723055958276, mode=normal, start=Thu May 26 14:32:28 BST 2016, end=Thu May 26 14:36:28 BST 2016, operations=335.0586044541388, operationsPerMinute=83.7646511135347
benchmark-name=compress, mod=warmup, start=Thu May 26 14:36:32 BST 2016, end=Thu May 26 14:38:32 BST 2016, operations=346.13939384930956, operationsPerMinute=173.06969692465478, mode=normal, start=Thu May 26 14:38:35 BST 2016, end=Thu May 26 14:42:35 BST 2016, operations=692.3415156343924, operationsPerMinute=173.0853789085981
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:38 BST 2016, end=Thu May 26 14:44:38 BST 2016, operations=115.31776059232567, operationsPerMinute=57.658880296162835, mode=normal, start=Thu May 26 14:44:43 BST 2016, end=Thu May 26 14:48:43 BST 2016, operations=243.6740920876876, operationsPerMinute=60.9185230219219
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:50 BST 2016, end=Thu May 26 14:50:50 BST 2016, operations=202.8695218483842, operationsPerMinute=101.4347609241921, mode=normal, start=Thu May 26 14:50:55 BST 2016, end=Thu May 26 14:54:55 BST 2016, operations=379.76113757393756, operationsPerMinute=94.94028439348439
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:58 BST 2016, end=Thu May 26 14:56:58 BST 2016, operations=349.2260562428006, operationsPerMinute=174.6130281214003, mode=normal, start=Thu May 26 14:57:01 BST 2016, end=Thu May 26 15:01:01 BST 2016, operations=700.4276130213386, operationsPerMinute=175.10690325533466
benchmark-name=derby, mod=warmup, start=Thu May 26 15:02:19 BST 2016, end=Thu May 26 15:04:19 BST 2016, operations=185.7974688609754, operationsPerMinute=92.8987344304877, mode=normal, start=Thu May 26 15:04:22 BST 2016, end=Thu May 26 15:08:22 BST 2016, operations=511.0872604366167, operationsPerMinute=127.77181510915418
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:08:24 BST 2016, end=Thu May 26 15:10:24 BST 2016, operations=170.32043762397342, operationsPerMinute=85.16021881198671, mode=normal, start=Thu May 26 15:10:28 BST 2016, end=Thu May 26 15:14:28 BST 2016, operations=339.4080060456935, operationsPerMinute=84.85200151142338
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:32 BST 2016, end=Thu May 26 15:16:32 BST 2016, operations=128.88184402943736, operationsPerMinute=64.44092201471868, mode=normal, start=Thu May 26 15:16:38 BST 2016, end=Thu May 26 15:20:38 BST 2016, operations=241.29589979559037, operationsPerMinute=60.32397494889759
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:43 BST 2016, end=Thu May 26 15:22:43 BST 2016, operations=26.02944154751519, operationsPerMinute=13.014720773757595, mode=normal, start=Thu May 26 15:23:05 BST 2016, end=Thu May 26 15:27:05 BST 2016, operations=52.105639474514966, operationsPerMinute=13.026409868628742
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:27:29 BST 2016, end=Thu May 26 15:29:29 BST 2016, operations=69.5523510119651, operationsPerMinute=34.77617550598255, mode=normal, start=Thu May 26 15:29:40 BST 2016, end=Thu May 26 15:33:40 BST 2016, operations=138.27687867258558, operationsPerMinute=34.569219668146395
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:33:52 BST 2016, end=Thu May 26 15:35:52 BST 2016, operations=83.97649217643584, operationsPerMinute=41.98824608821792, mode=normal, start=Thu May 26 15:36:00 BST 2016, end=Thu May 26 15:40:00 BST 2016, operations=168.04352142771157, operationsPerMinute=42.01088035692789
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:40:08 BST 2016, end=Thu May 26 15:42:08 BST 2016, operations=585.9595180585192, operationsPerMinute=292.9797590292596, mode=normal, start=Thu May 26 15:42:10 BST 2016, end=Thu May 26 15:46:10 BST 2016, operations=1184.4650031393833, operationsPerMinute=296.1162507848458
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:46:11 BST 2016, end=Thu May 26 15:48:11 BST 2016, operations=460.2336857094925, operationsPerMinute=230.11684285474624, mode=normal, start=Thu May 26 15:48:13 BST 2016, end=Thu May 26 15:52:13 BST 2016, operations=909.3297979282879, operationsPerMinute=227.33244948207198
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:52:15 BST 2016, end=Thu May 26 15:54:15 BST 2016, operations=296.20071799034525, operationsPerMinute=148.10035899517263, mode=normal, start=Thu May 26 15:54:18 BST 2016, end=Thu May 26 15:58:18 BST 2016, operations=588.7390307903199, operationsPerMinute=147.18475769757998
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:58:21 BST 2016, end=Thu May 26 16:00:21 BST 2016, operations=419.57401966864404, operationsPerMinute=209.78700983432202, mode=normal, start=Thu May 26 16:00:23 BST 2016, end=Thu May 26 16:04:23 BST 2016, operations=840.4986510145607, operationsPerMinute=210.12466275364017
