spec.jvm2008.report.run.location=TOLL04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 05:24:25 BST 2016, end=Wed Jun 29 05:24:25 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 06:44:02 BST 2016, end=Wed Jun 29 06:46:02 BST 2016, operations=246.62238196397584, operationsPerMinute=123.31119098198792, mode=normal, start=Wed Jun 29 06:46:04 BST 2016, end=Wed Jun 29 06:50:04 BST 2016, operations=494.57192833454667, operationsPerMinute=123.64298208363667
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 06:50:05 BST 2016, end=Wed Jun 29 06:52:05 BST 2016, operations=153.2465293863989, operationsPerMinute=76.62326469319945, mode=normal, start=Wed Jun 29 06:52:07 BST 2016, end=Wed Jun 29 06:56:07 BST 2016, operations=306.4726225305111, operationsPerMinute=76.61815563262778
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 06:56:08 BST 2016, end=Wed Jun 29 06:58:08 BST 2016, operations=141.41613605649212, operationsPerMinute=70.70806802824606, mode=normal, start=Wed Jun 29 06:58:11 BST 2016, end=Wed Jun 29 07:02:11 BST 2016, operations=277.8075726949304, operationsPerMinute=69.4518931737326
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jun 29 07:02:13 BST 2016, end=Wed Jun 29 07:04:13 BST 2016, operations=123.18659219131527, operationsPerMinute=61.593296095657635, mode=normal, start=Wed Jun 29 07:04:16 BST 2016, end=Wed Jun 29 07:08:16 BST 2016, operations=246.19719822093083, operationsPerMinute=61.54929955523271
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 07:08:18 BST 2016, end=Wed Jun 29 07:10:18 BST 2016, operations=42.52717917029229, operationsPerMinute=21.263589585146146, mode=normal, start=Wed Jun 29 07:10:27 BST 2016, end=Wed Jun 29 07:14:27 BST 2016, operations=86.01729395604396, operationsPerMinute=21.50432348901099
benchmark-name=serial, mod=warmup, start=Wed Jun 29 07:14:34 BST 2016, end=Wed Jun 29 07:16:34 BST 2016, operations=67.69749112710713, operationsPerMinute=33.848745563553564, mode=normal, start=Wed Jun 29 07:16:39 BST 2016, end=Wed Jun 29 07:20:39 BST 2016, operations=132.21195221517087, operationsPerMinute=33.05298805379272
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 07:20:43 BST 2016, end=Wed Jun 29 07:22:43 BST 2016, operations=52.442583732057415, operationsPerMinute=26.221291866028707, mode=normal, start=Wed Jun 29 07:22:45 BST 2016, end=Wed Jun 29 07:26:45 BST 2016, operations=112.98203011170472, operationsPerMinute=28.24550752792618
benchmark-name=xml.transform, mod=warmup, start=Wed Jun 29 07:27:25 BST 2016, end=Wed Jun 29 07:29:25 BST 2016, operations=169.12297076730067, operationsPerMinute=84.56148538365034, mode=normal, start=Wed Jun 29 07:29:26 BST 2016, end=Wed Jun 29 07:33:26 BST 2016, operations=340.3311385312037, operationsPerMinute=85.08278463280092
benchmark-name=xml.validation, mod=warmup, start=Wed Jun 29 07:33:29 BST 2016, end=Wed Jun 29 07:35:29 BST 2016, operations=263.7682255187715, operationsPerMinute=131.88411275938574, mode=normal, start=Wed Jun 29 07:35:30 BST 2016, end=Wed Jun 29 07:39:30 BST 2016, operations=527.0254233955022, operationsPerMinute=131.75635584887556
##-nursultan-##,TOLL04,Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz,2,3991,check,Wed Jun 29 05:24:25 BST 2016,Wed Jun 29 05:24:25 BST 2016,1.0,769.2307692307693,startup.helloworld,Wed Jun 29 05:24:25 BST 2016,Wed Jun 29 05:24:25 BST 2016,1.0,137.29977116704805,startup.compiler.compiler,Wed Jun 29 05:24:25 BST 2016,Wed Jun 29 05:24:48 BST 2016,1.0,2.6218046755516715,startup.compiler.sunflow,Wed Jun 29 05:24:48 BST 2016,Wed Jun 29 05:24:54 BST 2016,1.0,10.714285714285714,startup.compress,Wed Jun 29 05:24:54 BST 2016,Wed Jun 29 05:24:56 BST 2016,1.0,32.87671232876713,startup.crypto.aes,Wed Jun 29 05:24:56 BST 2016,Wed Jun 29 05:25:07 BST 2016,1.0,5.371530886302597,startup.crypto.rsa,Wed Jun 29 05:25:07 BST 2016,Wed Jun 29 05:25:16 BST 2016,1.0,6.8807339449541285,startup.crypto.signverify,Wed Jun 29 05:25:16 BST 2016,Wed Jun 29 05:25:23 BST 2016,1.0,8.379888268156424,startup.mpegaudio,Wed Jun 29 05:25:23 BST 2016,Wed Jun 29 05:25:27 BST 2016,1.0,15.760441292356186,startup.scimark.fft,Wed Jun 29 05:25:27 BST 2016,Wed Jun 29 05:25:28 BST 2016,1.0,49.958368026644465,startup.scimark.lu,Wed Jun 29 05:25:28 BST 2016,Wed Jun 29 05:25:30 BST 2016,1.0,33.74578177727784,startup.scimark.monte_carlo,Wed Jun 29 05:25:30 BST 2016,Wed Jun 29 05:25:37 BST 2016,1.0,7.6765609007164795,startup.scimark.sor,Wed Jun 29 05:25:37 BST 2016,Wed Jun 29 05:25:39 BST 2016,1.0,32.327586206896555,startup.scimark.sparse,Wed Jun 29 05:25:39 BST 2016,Wed Jun 29 05:25:41 BST 2016,1.0,28.91566265060241,startup.serial,Wed Jun 29 05:25:41 BST 2016,Wed Jun 29 05:25:46 BST 2016,1.0,14.350633819660368,startup.sunflow,Wed Jun 29 05:25:46 BST 2016,Wed Jun 29 05:25:54 BST 2016,1.0,7.1890726096333575,startup.xml.transform,Wed Jun 29 05:25:54 BST 2016,Wed Jun 29 05:26:33 BST 2016,1.0,1.5202189115232594,startup.xml.validation,Wed Jun 29 05:26:33 BST 2016,Wed Jun 29 05:26:35 BST 2016,1.0,39.24133420536298,compiler.compiler,Wed Jun 29 05:26:51 BST 2016,Wed Jun 29 05:28:51 BST 2016,242.96168174103593,121.48084087051797,Wed Jun 29 05:28:52 BST 2016,Wed Jun 29 05:32:52 BST 2016,488.4324740686585,122.10811851716463,compiler.sunflow,Wed Jun 29 05:32:59 BST 2016,Wed Jun 29 05:34:59 BST 2016,95.54435483870967,47.77217741935483,Wed Jun 29 05:35:02 BST 2016,Wed Jun 29 05:39:02 BST 2016,192.09641178788775,48.02410294697194,compress,Wed Jun 29 05:39:04 BST 2016,Wed Jun 29 05:41:04 BST 2016,149.51639804639802,74.75819902319901,Wed Jun 29 05:41:07 BST 2016,Wed Jun 29 05:45:07 BST 2016,299.6359000254438,74.90897500636095,crypto.aes,Wed Jun 29 05:45:09 BST 2016,Wed Jun 29 05:47:09 BST 2016,41.999729609352244,20.999864804676122,Wed Jun 29 05:47:15 BST 2016,Wed Jun 29 05:51:15 BST 2016,89.28588801870363,22.321472004675908,crypto.rsa,Wed Jun 29 05:51:21 BST 2016,Wed Jun 29 05:53:21 BST 2016,86.80814739151901,43.40407369575951,Wed Jun 29 05:53:25 BST 2016,Wed Jun 29 05:57:25 BST 2016,173.503886801108,43.375971700277,crypto.signverify,Wed Jun 29 05:57:28 BST 2016,Wed Jun 29 05:59:28 BST 2016,139.37056089311284,69.68528044655642,Wed Jun 29 05:59:30 BST 2016,Wed Jun 29 06:03:30 BST 2016,265.50348163211663,66.37587040802916,derby,Wed Jun 29 06:05:38 BST 2016,Wed Jun 29 06:07:38 BST 2016,100.58011157134139,50.290055785670695,Wed Jun 29 06:07:42 BST 2016,Wed Jun 29 06:11:42 BST 2016,211.00424157264402,52.751060393161005,mpegaudio,Wed Jun 29 06:11:45 BST 2016,Wed Jun 29 06:13:45 BST 2016,65.9125099824188,32.9562549912094,Wed Jun 29 06:13:50 BST 2016,Wed Jun 29 06:17:50 BST 2016,132.97133410324898,33.242833525812244,scimark.fft.large,Wed Jun 29 06:17:55 BST 2016,Wed Jun 29 06:19:55 BST 2016,33.52190532196413,16.760952660982063,Wed Jun 29 06:20:01 BST 2016,Wed Jun 29 06:24:01 BST 2016,69.70267414820637,17.425668537051592,scimark.lu.large,Wed Jun 29 06:24:07 BST 2016,Wed Jun 29 06:26:07 BST 2016,7.0700088951909486,3.5350044475954743,Wed Jun 29 06:26:39 BST 2016,Wed Jun 29 06:30:39 BST 2016,14.150917357244177,3.5377293393110443,scimark.sor.large,Wed Jun 29 06:31:27 BST 2016,Wed Jun 29 06:33:27 BST 2016,32.188688620861,16.0943443104305,Wed Jun 29 06:33:35 BST 2016,Wed Jun 29 06:37:35 BST 2016,64.0891013105377,16.022275327634425,scimark.sparse.large,Wed Jun 29 06:37:43 BST 2016,Wed Jun 29 06:39:43 BST 2016,23.615267711865158,11.807633855932579,Wed Jun 29 06:39:52 BST 2016,Wed Jun 29 06:43:52 BST 2016,47.36552659369214,11.841381648423035,scimark.fft.small,Wed Jun 29 06:44:02 BST 2016,Wed Jun 29 06:46:02 BST 2016,246.62238196397584,123.31119098198792,Wed Jun 29 06:46:04 BST 2016,Wed Jun 29 06:50:04 BST 2016,494.57192833454667,123.64298208363667,scimark.lu.small,Wed Jun 29 06:50:05 BST 2016,Wed Jun 29 06:52:05 BST 2016,153.2465293863989,76.62326469319945,Wed Jun 29 06:52:07 BST 2016,Wed Jun 29 06:56:07 BST 2016,306.4726225305111,76.61815563262778,scimark.sor.small,Wed Jun 29 06:56:08 BST 2016,Wed Jun 29 06:58:08 BST 2016,141.41613605649212,70.70806802824606,Wed Jun 29 06:58:11 BST 2016,Wed Jun 29 07:02:11 BST 2016,277.8075726949304,69.4518931737326,scimark.sparse.small,Wed Jun 29 07:02:13 BST 2016,Wed Jun 29 07:04:13 BST 2016,123.18659219131527,61.593296095657635,Wed Jun 29 07:04:16 BST 2016,Wed Jun 29 07:08:16 BST 2016,246.19719822093083,61.54929955523271,scimark.monte_carlo,Wed Jun 29 07:08:18 BST 2016,Wed Jun 29 07:10:18 BST 2016,42.52717917029229,21.263589585146146,Wed Jun 29 07:10:27 BST 2016,Wed Jun 29 07:14:27 BST 2016,86.01729395604396,21.50432348901099,serial,Wed Jun 29 07:14:34 BST 2016,Wed Jun 29 07:16:34 BST 2016,67.69749112710713,33.848745563553564,Wed Jun 29 07:16:39 BST 2016,Wed Jun 29 07:20:39 BST 2016,132.21195221517087,33.05298805379272,sunflow,Wed Jun 29 07:20:43 BST 2016,Wed Jun 29 07:22:43 BST 2016,52.442583732057415,26.221291866028707,Wed Jun 29 07:22:45 BST 2016,Wed Jun 29 07:26:45 BST 2016,112.98203011170472,28.24550752792618,xml.transform,Wed Jun 29 07:27:25 BST 2016,Wed Jun 29 07:29:25 BST 2016,169.12297076730067,84.56148538365034,Wed Jun 29 07:29:26 BST 2016,Wed Jun 29 07:33:26 BST 2016,340.3311385312037,85.08278463280092,xml.validation,Wed Jun 29 07:33:29 BST 2016,Wed Jun 29 07:35:29 BST 2016,263.7682255187715,131.88411275938574,Wed Jun 29 07:35:30 BST 2016,Wed Jun 29 07:39:30 BST 2016,527.0254233955022,131.75635584887556
