spec.jvm2008.report.run.location=CASTLEAZES005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 08:50:09 BST 2016, end=Thu Jun 23 08:50:09 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Thu Jun 23 10:07:20 BST 2016, end=Thu Jun 23 10:09:20 BST 2016, operations=666.8686116672054, operationsPerMinute=333.4343058336027, mode=normal, start=Thu Jun 23 10:09:22 BST 2016, end=Thu Jun 23 10:13:22 BST 2016, operations=1462.2969208672594, operationsPerMinute=365.57423021681484
benchmark-name=scimark.lu.small, mod=warmup, start=Thu Jun 23 10:13:22 BST 2016, end=Thu Jun 23 10:15:22 BST 2016, operations=575.7231342916399, operationsPerMinute=287.86156714581995, mode=normal, start=Thu Jun 23 10:15:24 BST 2016, end=Thu Jun 23 10:19:24 BST 2016, operations=1151.2119238861442, operationsPerMinute=287.80298097153604
benchmark-name=scimark.sor.small, mod=warmup, start=Thu Jun 23 10:19:25 BST 2016, end=Thu Jun 23 10:21:25 BST 2016, operations=330.7081635706804, operationsPerMinute=165.3540817853402, mode=normal, start=Thu Jun 23 10:21:28 BST 2016, end=Thu Jun 23 10:25:28 BST 2016, operations=660.123575011287, operationsPerMinute=165.03089375282175
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu Jun 23 10:25:31 BST 2016, end=Thu Jun 23 10:27:31 BST 2016, operations=497.6633221850613, operationsPerMinute=248.83166109253065, mode=normal, start=Thu Jun 23 10:27:32 BST 2016, end=Thu Jun 23 10:31:32 BST 2016, operations=1020.1508364729166, operationsPerMinute=255.03770911822915
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu Jun 23 10:31:34 BST 2016, end=Thu Jun 23 10:33:34 BST 2016, operations=119.30456485424072, operationsPerMinute=59.65228242712036, mode=normal, start=Thu Jun 23 10:33:40 BST 2016, end=Thu Jun 23 10:37:40 BST 2016, operations=239.95624753368122, operationsPerMinute=59.989061883420305
benchmark-name=serial, mod=warmup, start=Thu Jun 23 10:37:47 BST 2016, end=Thu Jun 23 10:39:47 BST 2016, operations=237.8455483838743, operationsPerMinute=118.92277419193715, mode=normal, start=Thu Jun 23 10:39:50 BST 2016, end=Thu Jun 23 10:43:50 BST 2016, operations=460.93811949494176, operationsPerMinute=115.23452987373544
benchmark-name=sunflow, mod=warmup, start=Thu Jun 23 10:43:53 BST 2016, end=Thu Jun 23 10:45:53 BST 2016, operations=175.5658881354716, operationsPerMinute=87.7829440677358, mode=normal, start=Thu Jun 23 10:45:55 BST 2016, end=Thu Jun 23 10:49:55 BST 2016, operations=359.32569366647357, operationsPerMinute=89.83142341661839
benchmark-name=xml.transform, mod=warmup, start=Thu Jun 23 10:50:16 BST 2016, end=Thu Jun 23 10:52:16 BST 2016, operations=497.3240624285697, operationsPerMinute=248.66203121428484, mode=normal, start=Thu Jun 23 10:52:18 BST 2016, end=Thu Jun 23 10:56:18 BST 2016, operations=1040.2952518033367, operationsPerMinute=260.07381295083417
benchmark-name=xml.validation, mod=warmup, start=Thu Jun 23 10:56:20 BST 2016, end=Thu Jun 23 10:58:20 BST 2016, operations=1002.4668740576027, operationsPerMinute=501.23343702880135, mode=normal, start=Thu Jun 23 10:58:21 BST 2016, end=Thu Jun 23 11:02:21 BST 2016, operations=2064.467141985036, operationsPerMinute=516.116785496259
##-nursultan-##,CASTLEAZES005,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Thu Jun 23 08:50:09 BST 2016,Thu Jun 23 08:50:09 BST 2016,1.0,1276.595744680851,startup.helloworld,Thu Jun 23 08:50:09 BST 2016,Thu Jun 23 08:50:09 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Thu Jun 23 08:50:09 BST 2016,Thu Jun 23 08:50:21 BST 2016,1.0,4.684937924572499,startup.compiler.sunflow,Thu Jun 23 08:50:21 BST 2016,Thu Jun 23 08:50:25 BST 2016,1.0,17.40139211136891,startup.compress,Thu Jun 23 08:50:25 BST 2016,Thu Jun 23 08:50:26 BST 2016,1.0,48.661800486618006,startup.crypto.aes,Thu Jun 23 08:50:26 BST 2016,Thu Jun 23 08:50:35 BST 2016,1.0,7.09639266706091,startup.crypto.rsa,Thu Jun 23 08:50:35 BST 2016,Thu Jun 23 08:50:42 BST 2016,1.0,7.947019867549669,startup.crypto.signverify,Thu Jun 23 08:50:42 BST 2016,Thu Jun 23 08:50:49 BST 2016,1.0,9.157509157509157,startup.mpegaudio,Thu Jun 23 08:50:49 BST 2016,Thu Jun 23 08:50:51 BST 2016,1.0,26.7022696929239,startup.scimark.fft,Thu Jun 23 08:50:51 BST 2016,Thu Jun 23 08:50:52 BST 2016,1.0,83.68200836820084,startup.scimark.lu,Thu Jun 23 08:50:52 BST 2016,Thu Jun 23 08:50:53 BST 2016,1.0,67.41573033707866,startup.scimark.monte_carlo,Thu Jun 23 08:50:53 BST 2016,Thu Jun 23 08:50:58 BST 2016,1.0,10.926971407758149,startup.scimark.sor,Thu Jun 23 08:50:58 BST 2016,Thu Jun 23 08:50:59 BST 2016,1.0,42.28329809725159,startup.scimark.sparse,Thu Jun 23 08:50:59 BST 2016,Thu Jun 23 08:51:01 BST 2016,1.0,58.25242718446602,startup.serial,Thu Jun 23 08:51:01 BST 2016,Thu Jun 23 08:51:03 BST 2016,1.0,28.708133971291865,startup.sunflow,Thu Jun 23 08:51:03 BST 2016,Thu Jun 23 08:51:09 BST 2016,1.0,9.380863039399625,startup.xml.transform,Thu Jun 23 08:51:09 BST 2016,Thu Jun 23 08:51:29 BST 2016,1.0,2.9653059207274883,startup.xml.validation,Thu Jun 23 08:51:29 BST 2016,Thu Jun 23 08:51:30 BST 2016,1.0,73.98273736128236,compiler.compiler,Thu Jun 23 08:51:40 BST 2016,Thu Jun 23 08:53:40 BST 2016,487.0024806208176,243.5012403104088,Thu Jun 23 08:53:42 BST 2016,Thu Jun 23 08:57:42 BST 2016,1012.5849487150604,253.1462371787651,compiler.sunflow,Thu Jun 23 08:57:45 BST 2016,Thu Jun 23 08:59:45 BST 2016,197.6083840558317,98.80419202791585,Thu Jun 23 08:59:49 BST 2016,Thu Jun 23 09:03:49 BST 2016,393.0711905945783,98.26779764864457,compress,Thu Jun 23 09:03:52 BST 2016,Thu Jun 23 09:05:52 BST 2016,401.13426358473,200.567131792365,Thu Jun 23 09:05:54 BST 2016,Thu Jun 23 09:09:54 BST 2016,802.1010240663704,200.5252560165926,crypto.aes,Thu Jun 23 09:09:56 BST 2016,Thu Jun 23 09:11:56 BST 2016,139.61616723716233,69.80808361858116,Thu Jun 23 09:12:00 BST 2016,Thu Jun 23 09:16:00 BST 2016,292.17110286912236,73.04277571728059,crypto.rsa,Thu Jun 23 09:16:05 BST 2016,Thu Jun 23 09:18:05 BST 2016,235.62040147516228,117.81020073758114,Thu Jun 23 09:18:09 BST 2016,Thu Jun 23 09:22:09 BST 2016,470.38520993086746,117.59630248271687,crypto.signverify,Thu Jun 23 09:22:13 BST 2016,Thu Jun 23 09:24:13 BST 2016,407.1915545387721,203.59577726938605,Thu Jun 23 09:24:15 BST 2016,Thu Jun 23 09:28:15 BST 2016,816.3711164437334,204.09277911093335,derby,Thu Jun 23 09:28:37 BST 2016,Thu Jun 23 09:30:37 BST 2016,363.72779038580563,181.86389519290282,Thu Jun 23 09:30:40 BST 2016,Thu Jun 23 09:34:40 BST 2016,730.7274196852812,182.6818549213203,mpegaudio,Thu Jun 23 09:34:42 BST 2016,Thu Jun 23 09:36:42 BST 2016,208.39378729764687,104.19689364882343,Thu Jun 23 09:36:46 BST 2016,Thu Jun 23 09:40:46 BST 2016,416.9458727387243,104.23646818468107,scimark.fft.large,Thu Jun 23 09:40:49 BST 2016,Thu Jun 23 09:42:49 BST 2016,78.38634257323598,39.19317128661799,Thu Jun 23 09:42:57 BST 2016,Thu Jun 23 09:46:57 BST 2016,153.36056268623892,38.34014067155973,scimark.lu.large,Thu Jun 23 09:47:04 BST 2016,Thu Jun 23 09:49:04 BST 2016,13.913142424545844,6.956571212272922,Thu Jun 23 09:49:48 BST 2016,Thu Jun 23 09:53:48 BST 2016,27.822974189840416,6.955743547460104,scimark.sor.large,Thu Jun 23 09:54:32 BST 2016,Thu Jun 23 09:56:32 BST 2016,74.69722117486562,37.34861058743281,Thu Jun 23 09:56:41 BST 2016,Thu Jun 23 10:00:41 BST 2016,149.19642398430696,37.29910599607674,scimark.sparse.large,Thu Jun 23 10:00:52 BST 2016,Thu Jun 23 10:02:52 BST 2016,43.151916871547236,21.575958435773618,Thu Jun 23 10:03:02 BST 2016,Thu Jun 23 10:07:02 BST 2016,85.63034788575945,21.407586971439862,scimark.fft.small,Thu Jun 23 10:07:20 BST 2016,Thu Jun 23 10:09:20 BST 2016,666.8686116672054,333.4343058336027,Thu Jun 23 10:09:22 BST 2016,Thu Jun 23 10:13:22 BST 2016,1462.2969208672594,365.57423021681484,scimark.lu.small,Thu Jun 23 10:13:22 BST 2016,Thu Jun 23 10:15:22 BST 2016,575.7231342916399,287.86156714581995,Thu Jun 23 10:15:24 BST 2016,Thu Jun 23 10:19:24 BST 2016,1151.2119238861442,287.80298097153604,scimark.sor.small,Thu Jun 23 10:19:25 BST 2016,Thu Jun 23 10:21:25 BST 2016,330.7081635706804,165.3540817853402,Thu Jun 23 10:21:28 BST 2016,Thu Jun 23 10:25:28 BST 2016,660.123575011287,165.03089375282175,scimark.sparse.small,Thu Jun 23 10:25:31 BST 2016,Thu Jun 23 10:27:31 BST 2016,497.6633221850613,248.83166109253065,Thu Jun 23 10:27:32 BST 2016,Thu Jun 23 10:31:32 BST 2016,1020.1508364729166,255.03770911822915,scimark.monte_carlo,Thu Jun 23 10:31:34 BST 2016,Thu Jun 23 10:33:34 BST 2016,119.30456485424072,59.65228242712036,Thu Jun 23 10:33:40 BST 2016,Thu Jun 23 10:37:40 BST 2016,239.95624753368122,59.989061883420305,serial,Thu Jun 23 10:37:47 BST 2016,Thu Jun 23 10:39:47 BST 2016,237.8455483838743,118.92277419193715,Thu Jun 23 10:39:50 BST 2016,Thu Jun 23 10:43:50 BST 2016,460.93811949494176,115.23452987373544,sunflow,Thu Jun 23 10:43:53 BST 2016,Thu Jun 23 10:45:53 BST 2016,175.5658881354716,87.7829440677358,Thu Jun 23 10:45:55 BST 2016,Thu Jun 23 10:49:55 BST 2016,359.32569366647357,89.83142341661839,xml.transform,Thu Jun 23 10:50:16 BST 2016,Thu Jun 23 10:52:16 BST 2016,497.3240624285697,248.66203121428484,Thu Jun 23 10:52:18 BST 2016,Thu Jun 23 10:56:18 BST 2016,1040.2952518033367,260.07381295083417,xml.validation,Thu Jun 23 10:56:20 BST 2016,Thu Jun 23 10:58:20 BST 2016,1002.4668740576027,501.23343702880135,Thu Jun 23 10:58:21 BST 2016,Thu Jun 23 11:02:21 BST 2016,2064.467141985036,516.116785496259
