spec.jvm2008.report.run.location=GREY-01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 23:02:58 BST 2016, end=Mon Jul 04 23:02:58 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 23:02:58 BST 2016, end=Mon Jul 04 23:02:58 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 23:02:58 BST 2016, end=Mon Jul 04 23:03:12 BST 2016, operations=1.0, operationsPerMinute=4.508905087547907
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 23:03:12 BST 2016, end=Mon Jul 04 23:03:15 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 23:03:15 BST 2016, end=Mon Jul 04 23:03:16 BST 2016, operations=1.0, operationsPerMinute=45.76659038901602
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 23:03:16 BST 2016, end=Mon Jul 04 23:03:25 BST 2016, operations=1.0, operationsPerMinute=6.9052825411439755
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 23:03:25 BST 2016, end=Mon Jul 04 23:03:33 BST 2016, operations=1.0, operationsPerMinute=7.817589576547231
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 23:03:33 BST 2016, end=Mon Jul 04 23:03:40 BST 2016, operations=1.0, operationsPerMinute=8.761682242990654
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 23:03:40 BST 2016, end=Mon Jul 04 23:03:42 BST 2016, operations=1.0, operationsPerMinute=25.806451612903224
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 23:03:42 BST 2016, end=Mon Jul 04 23:03:43 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 23:03:43 BST 2016, end=Mon Jul 04 23:03:44 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 23:03:44 BST 2016, end=Mon Jul 04 23:03:49 BST 2016, operations=1.0, operationsPerMinute=10.507880910683012
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 23:03:49 BST 2016, end=Mon Jul 04 23:03:51 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 23:03:51 BST 2016, end=Mon Jul 04 23:03:52 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 23:03:52 BST 2016, end=Mon Jul 04 23:03:54 BST 2016, operations=1.0, operationsPerMinute=27.675276752767527
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 23:03:54 BST 2016, end=Mon Jul 04 23:04:01 BST 2016, operations=1.0, operationsPerMinute=8.4530853761623
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 23:04:01 BST 2016, end=Mon Jul 04 23:04:22 BST 2016, operations=1.0, operationsPerMinute=2.857414991903991
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 23:04:22 BST 2016, end=Mon Jul 04 23:04:23 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 23:04:33 BST 2016, end=Mon Jul 04 23:06:33 BST 2016, operations=441.6231582450704, operationsPerMinute=220.8115791225352, mode=normal, start=Mon Jul 04 23:06:35 BST 2016, end=Mon Jul 04 23:10:35 BST 2016, operations=897.6968666143381, operationsPerMinute=224.42421665358452
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 23:10:39 BST 2016, end=Mon Jul 04 23:12:39 BST 2016, operations=176.07618073248855, operationsPerMinute=88.03809036624428, mode=normal, start=Mon Jul 04 23:12:42 BST 2016, end=Mon Jul 04 23:16:42 BST 2016, operations=353.51905375939964, operationsPerMinute=88.37976343984991
benchmark-name=compress, mod=warmup, start=Mon Jul 04 23:16:46 BST 2016, end=Mon Jul 04 23:18:46 BST 2016, operations=300.50592499844885, operationsPerMinute=150.25296249922442, mode=normal, start=Mon Jul 04 23:18:48 BST 2016, end=Mon Jul 04 23:22:48 BST 2016, operations=487.2183195886842, operationsPerMinute=121.80457989717105
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 23:22:56 BST 2016, end=Mon Jul 04 23:24:56 BST 2016, operations=73.25592338762434, operationsPerMinute=36.62796169381217, mode=normal, start=Mon Jul 04 23:25:01 BST 2016, end=Mon Jul 04 23:29:01 BST 2016, operations=223.59819177375914, operationsPerMinute=55.899547943439785
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 23:29:08 BST 2016, end=Mon Jul 04 23:31:08 BST 2016, operations=176.5000728398181, operationsPerMinute=88.25003641990905, mode=normal, start=Mon Jul 04 23:31:11 BST 2016, end=Mon Jul 04 23:35:11 BST 2016, operations=302.2560123414931, operationsPerMinute=75.56400308537327
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 23:35:20 BST 2016, end=Mon Jul 04 23:37:20 BST 2016, operations=305.3932725046307, operationsPerMinute=152.69663625231536, mode=normal, start=Mon Jul 04 23:37:22 BST 2016, end=Mon Jul 04 23:41:22 BST 2016, operations=609.9991806022331, operationsPerMinute=152.49979515055827
benchmark-name=derby, mod=warmup, start=Mon Jul 04 23:41:45 BST 2016, end=Mon Jul 04 23:43:45 BST 2016, operations=277.36018621969856, operationsPerMinute=138.68009310984928, mode=normal, start=Mon Jul 04 23:43:47 BST 2016, end=Mon Jul 04 23:47:47 BST 2016, operations=548.8633484481921, operationsPerMinute=137.21583711204804
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 23:47:49 BST 2016, end=Mon Jul 04 23:49:49 BST 2016, operations=152.9368183390093, operationsPerMinute=76.46840916950465, mode=normal, start=Mon Jul 04 23:49:55 BST 2016, end=Mon Jul 04 23:53:55 BST 2016, operations=200.4441361069403, operationsPerMinute=50.11103402673508
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 23:54:19 BST 2016, end=Mon Jul 04 23:56:19 BST 2016, operations=74.1331722177455, operationsPerMinute=37.06658610887275, mode=normal, start=Mon Jul 04 23:57:33 BST 2016, end=Tue Jul 05 00:01:33 BST 2016, operations=132.0074749914693, operationsPerMinute=33.00186874786733
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 00:01:44 BST 2016, end=Tue Jul 05 00:03:44 BST 2016, operations=9.837221289328136, operationsPerMinute=4.918610644664068, mode=normal, start=Tue Jul 05 00:04:24 BST 2016, end=Tue Jul 05 00:08:24 BST 2016, operations=23.399987777324796, operationsPerMinute=5.849996944331199
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 00:10:48 BST 2016, end=Tue Jul 05 00:12:48 BST 2016, operations=41.53550982924129, operationsPerMinute=20.767754914620646, mode=normal, start=Tue Jul 05 00:15:32 BST 2016, end=Tue Jul 05 00:19:32 BST 2016, operations=84.96647561753707, operationsPerMinute=21.241618904384268
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 00:19:46 BST 2016, end=Tue Jul 05 00:21:46 BST 2016, operations=33.29413507026731, operationsPerMinute=16.647067535133655, mode=normal, start=Tue Jul 05 00:22:21 BST 2016, end=Tue Jul 05 00:26:21 BST 2016, operations=75.65983437638337, operationsPerMinute=18.914958594095843
