spec.jvm2008.report.run.location=GREY-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 08:24:08 BST 2016, end=Tue Jul 05 08:24:08 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 08:24:08 BST 2016, end=Tue Jul 05 08:24:09 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 08:24:09 BST 2016, end=Tue Jul 05 08:24:24 BST 2016, operations=1.0, operationsPerMinute=3.8309283616396375
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 08:24:24 BST 2016, end=Tue Jul 05 08:24:28 BST 2016, operations=1.0, operationsPerMinute=17.482517482517483
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 08:24:28 BST 2016, end=Tue Jul 05 08:24:29 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 08:24:29 BST 2016, end=Tue Jul 05 08:24:37 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 08:24:37 BST 2016, end=Tue Jul 05 08:24:45 BST 2016, operations=1.0, operationsPerMinute=8.114687584527996
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 08:24:45 BST 2016, end=Tue Jul 05 08:24:51 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 08:24:51 BST 2016, end=Tue Jul 05 08:24:54 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 08:24:54 BST 2016, end=Tue Jul 05 08:24:54 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 08:24:54 BST 2016, end=Tue Jul 05 08:24:55 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 08:24:55 BST 2016, end=Tue Jul 05 08:25:01 BST 2016, operations=1.0, operationsPerMinute=10.744985673352435
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 08:25:01 BST 2016, end=Tue Jul 05 08:25:02 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 08:25:02 BST 2016, end=Tue Jul 05 08:25:03 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 08:25:03 BST 2016, end=Tue Jul 05 08:25:05 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 08:25:05 BST 2016, end=Tue Jul 05 08:25:12 BST 2016, operations=1.0, operationsPerMinute=9.428032683846638
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 08:25:12 BST 2016, end=Tue Jul 05 08:25:33 BST 2016, operations=1.0, operationsPerMinute=2.8830906732016723
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 08:25:33 BST 2016, end=Tue Jul 05 08:25:33 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 08:25:45 BST 2016, end=Tue Jul 05 08:27:45 BST 2016, operations=486.8051210836355, operationsPerMinute=243.40256054181776, mode=normal, start=Tue Jul 05 08:27:46 BST 2016, end=Tue Jul 05 08:31:46 BST 2016, operations=1008.1136710882699, operationsPerMinute=252.02841777206748
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 08:31:51 BST 2016, end=Tue Jul 05 08:33:51 BST 2016, operations=198.34804303891096, operationsPerMinute=99.17402151945548, mode=normal, start=Tue Jul 05 08:33:54 BST 2016, end=Tue Jul 05 08:37:54 BST 2016, operations=396.6134159964143, operationsPerMinute=99.15335399910357
benchmark-name=compress, mod=warmup, start=Tue Jul 05 08:37:57 BST 2016, end=Tue Jul 05 08:39:57 BST 2016, operations=400.07979817510926, operationsPerMinute=200.03989908755463, mode=normal, start=Tue Jul 05 08:39:59 BST 2016, end=Tue Jul 05 08:43:59 BST 2016, operations=799.8291360308165, operationsPerMinute=199.95728400770412
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 08:44:02 BST 2016, end=Tue Jul 05 08:46:02 BST 2016, operations=139.50179855386457, operationsPerMinute=69.75089927693229, mode=normal, start=Tue Jul 05 08:46:08 BST 2016, end=Tue Jul 05 08:50:08 BST 2016, operations=292.6639193128989, operationsPerMinute=73.16597982822472
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 08:50:13 BST 2016, end=Tue Jul 05 08:52:13 BST 2016, operations=235.12953989840966, operationsPerMinute=117.56476994920483, mode=normal, start=Tue Jul 05 08:52:16 BST 2016, end=Tue Jul 05 08:56:16 BST 2016, operations=378.0510968644638, operationsPerMinute=94.51277421611594
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 08:56:19 BST 2016, end=Tue Jul 05 08:58:19 BST 2016, operations=390.526937649678, operationsPerMinute=195.263468824839, mode=normal, start=Tue Jul 05 08:58:21 BST 2016, end=Tue Jul 05 09:02:21 BST 2016, operations=810.1872933512057, operationsPerMinute=202.5468233378014
benchmark-name=derby, mod=warmup, start=Tue Jul 05 09:03:03 BST 2016, end=Tue Jul 05 09:05:03 BST 2016, operations=359.627895409485, operationsPerMinute=179.8139477047425, mode=normal, start=Tue Jul 05 09:05:05 BST 2016, end=Tue Jul 05 09:09:05 BST 2016, operations=722.2514419601334, operationsPerMinute=180.56286049003336
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 09:09:07 BST 2016, end=Tue Jul 05 09:11:07 BST 2016, operations=208.1261857482679, operationsPerMinute=104.06309287413394, mode=normal, start=Tue Jul 05 09:11:11 BST 2016, end=Tue Jul 05 09:15:11 BST 2016, operations=412.4876752993076, operationsPerMinute=103.1219188248269
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 09:15:15 BST 2016, end=Tue Jul 05 09:17:15 BST 2016, operations=70.57021210880892, operationsPerMinute=35.28510605440446, mode=normal, start=Tue Jul 05 09:17:23 BST 2016, end=Tue Jul 05 09:21:23 BST 2016, operations=141.55098734471585, operationsPerMinute=35.38774683617896
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 09:21:30 BST 2016, end=Tue Jul 05 09:23:30 BST 2016, operations=13.89099314629648, operationsPerMinute=6.94549657314824, mode=normal, start=Tue Jul 05 09:24:14 BST 2016, end=Tue Jul 05 09:28:14 BST 2016, operations=27.81785992329663, operationsPerMinute=6.954464980824158
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 09:28:50 BST 2016, end=Tue Jul 05 09:30:50 BST 2016, operations=74.47682455795629, operationsPerMinute=37.238412278978146, mode=normal, start=Tue Jul 05 09:30:59 BST 2016, end=Tue Jul 05 09:34:59 BST 2016, operations=148.42233501071217, operationsPerMinute=37.105583752678044
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 09:35:10 BST 2016, end=Tue Jul 05 09:37:10 BST 2016, operations=42.82368120256446, operationsPerMinute=21.41184060128223, mode=normal, start=Tue Jul 05 09:37:22 BST 2016, end=Tue Jul 05 09:41:22 BST 2016, operations=85.70247214921253, operationsPerMinute=21.42561803730313
