spec.jvm2008.report.run.location=HULL105
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:25 BST 2016, end=Fri Jun 03 15:01:25 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:25 BST 2016, end=Fri Jun 03 15:01:25 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:25 BST 2016, end=Fri Jun 03 15:01:38 BST 2016, operations=1.0, operationsPerMinute=4.730741938027281
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:38 BST 2016, end=Fri Jun 03 15:01:41 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:41 BST 2016, end=Fri Jun 03 15:01:42 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:42 BST 2016, end=Fri Jun 03 15:01:51 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:51 BST 2016, end=Fri Jun 03 15:01:58 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:58 BST 2016, end=Fri Jun 03 15:02:05 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:05 BST 2016, end=Fri Jun 03 15:02:07 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:07 BST 2016, end=Fri Jun 03 15:02:08 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:08 BST 2016, end=Fri Jun 03 15:02:09 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:09 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:16 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:16 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:19 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:19 BST 2016, end=Fri Jun 03 15:02:25 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:25 BST 2016, end=Fri Jun 03 15:02:45 BST 2016, operations=1.0, operationsPerMinute=2.9449298125061354
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:45 BST 2016, end=Fri Jun 03 15:02:46 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:56 BST 2016, end=Fri Jun 03 15:04:56 BST 2016, operations=490.73056016187036, operationsPerMinute=245.36528008093518, mode=normal, start=Fri Jun 03 15:04:58 BST 2016, end=Fri Jun 03 15:08:58 BST 2016, operations=998.1346153846154, operationsPerMinute=249.53365384615384
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:02 BST 2016, end=Fri Jun 03 15:11:02 BST 2016, operations=199.56727219454422, operationsPerMinute=99.78363609727211, mode=normal, start=Fri Jun 03 15:11:05 BST 2016, end=Fri Jun 03 15:15:05 BST 2016, operations=387.9198509386057, operationsPerMinute=96.97996273465142
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:09 BST 2016, end=Fri Jun 03 15:17:09 BST 2016, operations=400.92002333838525, operationsPerMinute=200.46001166919262, mode=normal, start=Fri Jun 03 15:17:10 BST 2016, end=Fri Jun 03 15:21:10 BST 2016, operations=555.3448033218039, operationsPerMinute=138.83620083045096
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:13 BST 2016, end=Fri Jun 03 15:23:13 BST 2016, operations=132.61824186485202, operationsPerMinute=66.30912093242601, mode=normal, start=Fri Jun 03 15:23:18 BST 2016, end=Fri Jun 03 15:27:18 BST 2016, operations=283.0694649266738, operationsPerMinute=70.76736623166845
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:23 BST 2016, end=Fri Jun 03 15:29:23 BST 2016, operations=233.67555114509207, operationsPerMinute=116.83777557254604, mode=normal, start=Fri Jun 03 15:29:27 BST 2016, end=Fri Jun 03 15:33:27 BST 2016, operations=461.18817629358296, operationsPerMinute=115.29704407339574
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:30 BST 2016, end=Fri Jun 03 15:35:30 BST 2016, operations=376.85149141495583, operationsPerMinute=188.42574570747792, mode=normal, start=Fri Jun 03 15:35:33 BST 2016, end=Fri Jun 03 15:39:33 BST 2016, operations=769.132315113867, operationsPerMinute=192.28307877846675
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:39:56 BST 2016, end=Fri Jun 03 15:41:56 BST 2016, operations=327.30639692892413, operationsPerMinute=163.65319846446206, mode=normal, start=Fri Jun 03 15:41:58 BST 2016, end=Fri Jun 03 15:45:58 BST 2016, operations=642.6959281450744, operationsPerMinute=160.6739820362686
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:00 BST 2016, end=Fri Jun 03 15:48:00 BST 2016, operations=200.3238685623925, operationsPerMinute=100.16193428119625, mode=normal, start=Fri Jun 03 15:48:03 BST 2016, end=Fri Jun 03 15:52:03 BST 2016, operations=401.54767965846804, operationsPerMinute=100.38691991461701
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:07 BST 2016, end=Fri Jun 03 15:54:07 BST 2016, operations=75.72236584219834, operationsPerMinute=37.86118292109917, mode=normal, start=Fri Jun 03 15:54:13 BST 2016, end=Fri Jun 03 15:58:13 BST 2016, operations=147.77423264830415, operationsPerMinute=36.94355816207604
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:23 BST 2016, end=Fri Jun 03 16:00:23 BST 2016, operations=12.87890430321909, operationsPerMinute=6.439452151609545, mode=normal, start=Fri Jun 03 16:01:22 BST 2016, end=Fri Jun 03 16:05:22 BST 2016, operations=25.57430084996989, operationsPerMinute=6.393575212492473
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:13 BST 2016, end=Fri Jun 03 16:08:13 BST 2016, operations=68.87962353015212, operationsPerMinute=34.43981176507606, mode=normal, start=Fri Jun 03 16:08:24 BST 2016, end=Fri Jun 03 16:12:24 BST 2016, operations=144.5629499814817, operationsPerMinute=36.14073749537042
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:34 BST 2016, end=Fri Jun 03 16:14:34 BST 2016, operations=40.246219349139935, operationsPerMinute=20.123109674569967, mode=normal, start=Fri Jun 03 16:14:48 BST 2016, end=Fri Jun 03 16:18:48 BST 2016, operations=80.45722390228737, operationsPerMinute=20.114305975571842
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 03 16:18:59 BST 2016, end=Fri Jun 03 16:20:59 BST 2016, operations=711.1983467663213, operationsPerMinute=355.59917338316063, mode=normal, start=Fri Jun 03 16:21:01 BST 2016, end=Fri Jun 03 16:25:01 BST 2016, operations=1396.866531665563, operationsPerMinute=349.2166329163907
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 03 16:25:02 BST 2016, end=Fri Jun 03 16:27:02 BST 2016, operations=527.2702581578035, operationsPerMinute=263.63512907890174, mode=normal, start=Fri Jun 03 16:27:03 BST 2016, end=Fri Jun 03 16:31:03 BST 2016, operations=1112.437913407248, operationsPerMinute=278.109478351812
