spec.jvm2008.report.run.location=BEDSONTC096
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:28 BST 2016, end=Thu May 26 14:19:28 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:36:48 BST 2016, end=Thu May 26 15:38:48 BST 2016, operations=746.3933816924556, operationsPerMinute=373.1966908462278, mode=normal, start=Thu May 26 15:38:49 BST 2016, end=Thu May 26 15:42:49 BST 2016, operations=1479.5452065923864, operationsPerMinute=369.8863016480966
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:42:50 BST 2016, end=Thu May 26 15:44:50 BST 2016, operations=580.0580469680956, operationsPerMinute=290.0290234840478, mode=normal, start=Thu May 26 15:44:52 BST 2016, end=Thu May 26 15:48:52 BST 2016, operations=1160.2340719248368, operationsPerMinute=290.0585179812092
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:48:53 BST 2016, end=Thu May 26 15:50:53 BST 2016, operations=332.7693379790941, operationsPerMinute=166.38466898954704, mode=normal, start=Thu May 26 15:50:55 BST 2016, end=Thu May 26 15:54:55 BST 2016, operations=665.2676855958771, operationsPerMinute=166.31692139896927
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:54:57 BST 2016, end=Thu May 26 15:56:57 BST 2016, operations=515.6927638716056, operationsPerMinute=257.8463819358028, mode=normal, start=Thu May 26 15:56:59 BST 2016, end=Thu May 26 16:00:59 BST 2016, operations=1031.9772880919809, operationsPerMinute=257.9943220229952
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:01:01 BST 2016, end=Thu May 26 16:03:01 BST 2016, operations=115.76130880013329, operationsPerMinute=57.880654400066646, mode=normal, start=Thu May 26 16:03:06 BST 2016, end=Thu May 26 16:07:06 BST 2016, operations=231.08455618343862, operationsPerMinute=57.771139045859655
benchmark-name=serial, mod=warmup, start=Thu May 26 16:07:11 BST 2016, end=Thu May 26 16:09:11 BST 2016, operations=242.79986331742182, operationsPerMinute=121.39993165871091, mode=normal, start=Thu May 26 16:09:14 BST 2016, end=Thu May 26 16:13:14 BST 2016, operations=481.59576858736204, operationsPerMinute=120.39894214684051
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:13:18 BST 2016, end=Thu May 26 16:15:18 BST 2016, operations=177.83585913995347, operationsPerMinute=88.91792956997674, mode=normal, start=Thu May 26 16:15:19 BST 2016, end=Thu May 26 16:19:19 BST 2016, operations=355.7296445360903, operationsPerMinute=88.93241113402257
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:19:40 BST 2016, end=Thu May 26 16:21:40 BST 2016, operations=504.6636883334638, operationsPerMinute=252.3318441667319, mode=normal, start=Thu May 26 16:21:41 BST 2016, end=Thu May 26 16:25:41 BST 2016, operations=1017.3382233011156, operationsPerMinute=254.3345558252789
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:25:43 BST 2016, end=Thu May 26 16:27:43 BST 2016, operations=1028.5675886965118, operationsPerMinute=514.2837943482559, mode=normal, start=Thu May 26 16:27:44 BST 2016, end=Thu May 26 16:31:44 BST 2016, operations=2015.9228452652717, operationsPerMinute=503.9807113163179
##-nursultan-##,BEDSONTC096,n/a,n/a,n/a,check,Thu May 26 14:19:28 BST 2016,Thu May 26 14:19:28 BST 2016,1.0,1935.483870967742,startup.helloworld,Thu May 26 14:19:28 BST 2016,Thu May 26 14:19:29 BST 2016,1.0,273.972602739726,startup.compiler.compiler,Thu May 26 14:19:29 BST 2016,Thu May 26 14:19:43 BST 2016,1.0,4.212595661026469,startup.compiler.sunflow,Thu May 26 14:19:43 BST 2016,Thu May 26 14:19:46 BST 2016,1.0,17.40644038294169,startup.compress,Thu May 26 14:19:46 BST 2016,Thu May 26 14:19:48 BST 2016,1.0,48.661800486618006,startup.crypto.aes,Thu May 26 14:19:48 BST 2016,Thu May 26 14:19:56 BST 2016,1.0,7.069635913750441,startup.crypto.rsa,Thu May 26 14:19:56 BST 2016,Thu May 26 14:20:04 BST 2016,1.0,8.063432334363661,startup.crypto.signverify,Thu May 26 14:20:04 BST 2016,Thu May 26 14:20:10 BST 2016,1.0,9.157509157509157,startup.mpegaudio,Thu May 26 14:20:10 BST 2016,Thu May 26 14:20:12 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Thu May 26 14:20:12 BST 2016,Thu May 26 14:20:13 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Thu May 26 14:20:13 BST 2016,Thu May 26 14:20:14 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Thu May 26 14:20:14 BST 2016,Thu May 26 14:20:20 BST 2016,1.0,10.895224260032686,startup.scimark.sor,Thu May 26 14:20:20 BST 2016,Thu May 26 14:20:21 BST 2016,1.0,42.73504273504273,startup.scimark.sparse,Thu May 26 14:20:21 BST 2016,Thu May 26 14:20:22 BST 2016,1.0,61.03763987792472,startup.serial,Thu May 26 14:20:22 BST 2016,Thu May 26 14:20:24 BST 2016,1.0,28.708133971291865,startup.sunflow,Thu May 26 14:20:24 BST 2016,Thu May 26 14:20:30 BST 2016,1.0,9.312432096849294,startup.xml.transform,Thu May 26 14:20:30 BST 2016,Thu May 26 14:20:51 BST 2016,1.0,2.9815146094215863,startup.xml.validation,Thu May 26 14:20:51 BST 2016,Thu May 26 14:20:51 BST 2016,1.0,73.98273736128236,compiler.compiler,Thu May 26 14:21:02 BST 2016,Thu May 26 14:23:02 BST 2016,505.00425184353566,252.50212592176783,Thu May 26 14:23:04 BST 2016,Thu May 26 14:27:04 BST 2016,1027.1801290295693,256.79503225739234,compiler.sunflow,Thu May 26 14:27:09 BST 2016,Thu May 26 14:29:09 BST 2016,200.8565289960129,100.42826449800646,Thu May 26 14:29:12 BST 2016,Thu May 26 14:33:12 BST 2016,394.5154235231379,98.62885588078447,compress,Thu May 26 14:33:16 BST 2016,Thu May 26 14:35:16 BST 2016,402.35079859974115,201.17539929987058,Thu May 26 14:35:18 BST 2016,Thu May 26 14:39:18 BST 2016,805.1492873965603,201.28732184914008,crypto.aes,Thu May 26 14:39:20 BST 2016,Thu May 26 14:41:20 BST 2016,139.86106161669034,69.93053080834517,Thu May 26 14:41:24 BST 2016,Thu May 26 14:45:24 BST 2016,293.68488922701664,73.42122230675416,crypto.rsa,Thu May 26 14:45:28 BST 2016,Thu May 26 14:47:28 BST 2016,238.3065224095731,119.15326120478655,Thu May 26 14:47:31 BST 2016,Thu May 26 14:51:31 BST 2016,476.4301465754571,119.10753664386428,crypto.signverify,Thu May 26 14:51:35 BST 2016,Thu May 26 14:53:35 BST 2016,409.41880341880346,204.70940170940173,Thu May 26 14:53:36 BST 2016,Thu May 26 14:57:36 BST 2016,820.9616921495603,205.2404230373901,derby,Thu May 26 14:58:17 BST 2016,Thu May 26 15:00:17 BST 2016,361.30939516230745,180.65469758115373,Thu May 26 15:00:19 BST 2016,Thu May 26 15:04:19 BST 2016,722.0434777286571,180.51086943216427,mpegaudio,Thu May 26 15:04:21 BST 2016,Thu May 26 15:06:21 BST 2016,209.3335255751808,104.6667627875904,Thu May 26 15:06:25 BST 2016,Thu May 26 15:10:25 BST 2016,414.2399620548084,103.5599905137021,scimark.fft.large,Thu May 26 15:10:29 BST 2016,Thu May 26 15:12:29 BST 2016,73.02743911027616,36.51371955513808,Thu May 26 15:12:35 BST 2016,Thu May 26 15:16:35 BST 2016,144.37948107421337,36.09487026855334,scimark.lu.large,Thu May 26 15:16:45 BST 2016,Thu May 26 15:18:45 BST 2016,13.926683734986131,6.963341867493066,Thu May 26 15:19:29 BST 2016,Thu May 26 15:23:29 BST 2016,27.904391084300396,6.976097771075099,scimark.sor.large,Thu May 26 15:24:05 BST 2016,Thu May 26 15:26:05 BST 2016,74.36712576809838,37.18356288404919,Thu May 26 15:26:14 BST 2016,Thu May 26 15:30:14 BST 2016,150.2980373563271,37.57450933908177,scimark.sparse.large,Thu May 26 15:30:23 BST 2016,Thu May 26 15:32:23 BST 2016,43.30165352200643,21.650826761003216,Thu May 26 15:32:36 BST 2016,Thu May 26 15:36:36 BST 2016,86.45410316119398,21.613525790298496,scimark.fft.small,Thu May 26 15:36:48 BST 2016,Thu May 26 15:38:48 BST 2016,746.3933816924556,373.1966908462278,Thu May 26 15:38:49 BST 2016,Thu May 26 15:42:49 BST 2016,1479.5452065923864,369.8863016480966,scimark.lu.small,Thu May 26 15:42:50 BST 2016,Thu May 26 15:44:50 BST 2016,580.0580469680956,290.0290234840478,Thu May 26 15:44:52 BST 2016,Thu May 26 15:48:52 BST 2016,1160.2340719248368,290.0585179812092,scimark.sor.small,Thu May 26 15:48:53 BST 2016,Thu May 26 15:50:53 BST 2016,332.7693379790941,166.38466898954704,Thu May 26 15:50:55 BST 2016,Thu May 26 15:54:55 BST 2016,665.2676855958771,166.31692139896927,scimark.sparse.small,Thu May 26 15:54:57 BST 2016,Thu May 26 15:56:57 BST 2016,515.6927638716056,257.8463819358028,Thu May 26 15:56:59 BST 2016,Thu May 26 16:00:59 BST 2016,1031.9772880919809,257.9943220229952,scimark.monte_carlo,Thu May 26 16:01:01 BST 2016,Thu May 26 16:03:01 BST 2016,115.76130880013329,57.880654400066646,Thu May 26 16:03:06 BST 2016,Thu May 26 16:07:06 BST 2016,231.08455618343862,57.771139045859655,serial,Thu May 26 16:07:11 BST 2016,Thu May 26 16:09:11 BST 2016,242.79986331742182,121.39993165871091,Thu May 26 16:09:14 BST 2016,Thu May 26 16:13:14 BST 2016,481.59576858736204,120.39894214684051,sunflow,Thu May 26 16:13:18 BST 2016,Thu May 26 16:15:18 BST 2016,177.83585913995347,88.91792956997674,Thu May 26 16:15:19 BST 2016,Thu May 26 16:19:19 BST 2016,355.7296445360903,88.93241113402257,xml.transform,Thu May 26 16:19:40 BST 2016,Thu May 26 16:21:40 BST 2016,504.6636883334638,252.3318441667319,Thu May 26 16:21:41 BST 2016,Thu May 26 16:25:41 BST 2016,1017.3382233011156,254.3345558252789,xml.validation,Thu May 26 16:25:43 BST 2016,Thu May 26 16:27:43 BST 2016,1028.5675886965118,514.2837943482559,Thu May 26 16:27:44 BST 2016,Thu May 26 16:31:44 BST 2016,2015.9228452652717,503.9807113163179
