spec.jvm2008.report.run.location=OLDLIB060
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 01:11:26 BST 2016, end=Sun Jun 19 01:11:26 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 01:11:26 BST 2016, end=Sun Jun 19 01:11:27 BST 2016, operations=1.0, operationsPerMinute=57.41626794258373
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 01:11:27 BST 2016, end=Sun Jun 19 01:12:02 BST 2016, operations=1.0, operationsPerMinute=1.7022725338326665
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 01:12:02 BST 2016, end=Sun Jun 19 01:12:10 BST 2016, operations=1.0, operationsPerMinute=8.37871805613741
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 01:12:10 BST 2016, end=Sun Jun 19 01:12:12 BST 2016, operations=1.0, operationsPerMinute=21.246458923512748
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 01:12:12 BST 2016, end=Sun Jun 19 01:12:23 BST 2016, operations=1.0, operationsPerMinute=5.723006486074017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 01:12:23 BST 2016, end=Sun Jun 19 01:12:31 BST 2016, operations=1.0, operationsPerMinute=6.979178783296499
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 01:12:31 BST 2016, end=Sun Jun 19 01:12:39 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 01:12:39 BST 2016, end=Sun Jun 19 01:12:42 BST 2016, operations=1.0, operationsPerMinute=17.08914839077186
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 01:12:42 BST 2016, end=Sun Jun 19 01:12:43 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 01:12:43 BST 2016, end=Sun Jun 19 01:12:45 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 01:12:45 BST 2016, end=Sun Jun 19 01:12:51 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 01:12:51 BST 2016, end=Sun Jun 19 01:12:53 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 01:12:53 BST 2016, end=Sun Jun 19 01:12:54 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 01:12:54 BST 2016, end=Sun Jun 19 01:12:58 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 01:12:58 BST 2016, end=Sun Jun 19 01:13:05 BST 2016, operations=1.0, operationsPerMinute=7.896814951302974
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 01:13:05 BST 2016, end=Sun Jun 19 01:13:36 BST 2016, operations=1.0, operationsPerMinute=1.9324916258696212
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 01:13:36 BST 2016, end=Sun Jun 19 01:13:38 BST 2016, operations=1.0, operationsPerMinute=32.05128205128205
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 01:13:54 BST 2016, end=Sun Jun 19 01:15:54 BST 2016, operations=337.5180473892028, operationsPerMinute=168.7590236946014, mode=normal, start=Sun Jun 19 01:15:56 BST 2016, end=Sun Jun 19 01:19:56 BST 2016, operations=697.9701236882045, operationsPerMinute=174.49253092205112
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 01:20:03 BST 2016, end=Sun Jun 19 01:22:03 BST 2016, operations=135.3012048228263, operationsPerMinute=67.65060241141315, mode=normal, start=Sun Jun 19 01:22:08 BST 2016, end=Sun Jun 19 01:26:08 BST 2016, operations=285.0369870373286, operationsPerMinute=71.25924675933214
benchmark-name=compress, mod=warmup, start=Sun Jun 19 01:26:14 BST 2016, end=Sun Jun 19 01:28:14 BST 2016, operations=268.87225492799826, operationsPerMinute=134.43612746399913, mode=normal, start=Sun Jun 19 01:28:16 BST 2016, end=Sun Jun 19 01:32:16 BST 2016, operations=539.0322578792795, operationsPerMinute=134.75806446981989
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:32:20 BST 2016, end=Sun Jun 19 01:34:20 BST 2016, operations=85.81485499151496, operationsPerMinute=42.90742749575748, mode=normal, start=Sun Jun 19 01:34:27 BST 2016, end=Sun Jun 19 01:38:27 BST 2016, operations=181.98242729516608, operationsPerMinute=45.49560682379152
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:38:35 BST 2016, end=Sun Jun 19 01:40:35 BST 2016, operations=145.79436267078944, operationsPerMinute=72.89718133539472, mode=normal, start=Sun Jun 19 01:40:40 BST 2016, end=Sun Jun 19 01:44:40 BST 2016, operations=292.11703727387004, operationsPerMinute=73.02925931846751
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:44:45 BST 2016, end=Sun Jun 19 01:46:45 BST 2016, operations=251.8551004987564, operationsPerMinute=125.9275502493782, mode=normal, start=Sun Jun 19 01:46:48 BST 2016, end=Sun Jun 19 01:50:48 BST 2016, operations=503.66808918647155, operationsPerMinute=125.91702229661789
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:52:23 BST 2016, end=Sun Jun 19 01:54:23 BST 2016, operations=205.0302183840456, operationsPerMinute=102.5151091920228, mode=normal, start=Sun Jun 19 01:54:27 BST 2016, end=Sun Jun 19 01:58:27 BST 2016, operations=412.94614668772476, operationsPerMinute=103.23653667193119
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:58:31 BST 2016, end=Sun Jun 19 02:00:31 BST 2016, operations=133.59247357642093, operationsPerMinute=66.79623678821046, mode=normal, start=Sun Jun 19 02:00:37 BST 2016, end=Sun Jun 19 02:04:37 BST 2016, operations=268.0293286319387, operationsPerMinute=67.00733215798468
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 02:04:43 BST 2016, end=Sun Jun 19 02:06:43 BST 2016, operations=83.4821632922105, operationsPerMinute=41.74108164610525, mode=normal, start=Sun Jun 19 02:06:50 BST 2016, end=Sun Jun 19 02:10:50 BST 2016, operations=167.68006884788912, operationsPerMinute=41.92001721197228
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 02:10:57 BST 2016, end=Sun Jun 19 02:12:57 BST 2016, operations=20.12035093817635, operationsPerMinute=10.060175469088176, mode=normal, start=Sun Jun 19 02:13:39 BST 2016, end=Sun Jun 19 02:17:39 BST 2016, operations=40.28042630167171, operationsPerMinute=10.070106575417928
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 02:18:14 BST 2016, end=Sun Jun 19 02:20:14 BST 2016, operations=55.42509526290104, operationsPerMinute=27.71254763145052, mode=normal, start=Sun Jun 19 02:20:25 BST 2016, end=Sun Jun 19 02:24:25 BST 2016, operations=110.89011350521899, operationsPerMinute=27.722528376304748
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 02:24:38 BST 2016, end=Sun Jun 19 02:26:38 BST 2016, operations=60.83382388670403, operationsPerMinute=30.416911943352016, mode=normal, start=Sun Jun 19 02:26:51 BST 2016, end=Sun Jun 19 02:30:51 BST 2016, operations=121.62596973463928, operationsPerMinute=30.40649243365982
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 02:31:02 BST 2016, end=Sun Jun 19 02:33:02 BST 2016, operations=518.6951716584069, operationsPerMinute=259.34758582920347, mode=normal, start=Sun Jun 19 02:33:04 BST 2016, end=Sun Jun 19 02:37:04 BST 2016, operations=1021.0841112642488, operationsPerMinute=255.2710278160622
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:37:05 BST 2016, end=Sun Jun 19 02:39:05 BST 2016, operations=373.2534267111515, operationsPerMinute=186.62671335557576, mode=normal, start=Sun Jun 19 02:39:08 BST 2016, end=Sun Jun 19 02:43:08 BST 2016, operations=747.4939982207098, operationsPerMinute=186.87349955517746
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 02:43:10 BST 2016, end=Sun Jun 19 02:45:10 BST 2016, operations=243.50775932491436, operationsPerMinute=121.75387966245718, mode=normal, start=Sun Jun 19 02:45:13 BST 2016, end=Sun Jun 19 02:49:13 BST 2016, operations=486.8907597221358, operationsPerMinute=121.72268993053395
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 19 02:49:16 BST 2016, end=Sun Jun 19 02:51:16 BST 2016, operations=305.4663570319393, operationsPerMinute=152.73317851596966, mode=normal, start=Sun Jun 19 02:51:19 BST 2016, end=Sun Jun 19 02:55:19 BST 2016, operations=612.0629744829924, operationsPerMinute=153.0157436207481
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 19 02:55:20 BST 2016, end=Sun Jun 19 02:57:20 BST 2016, operations=79.06389099892962, operationsPerMinute=39.53194549946481, mode=normal, start=Sun Jun 19 02:57:28 BST 2016, end=Sun Jun 19 03:01:28 BST 2016, operations=157.78828943514904, operationsPerMinute=39.44707235878726
benchmark-name=serial, mod=warmup, start=Sun Jun 19 03:01:35 BST 2016, end=Sun Jun 19 03:03:35 BST 2016, operations=145.9762526502626, operationsPerMinute=72.9881263251313, mode=normal, start=Sun Jun 19 03:03:40 BST 2016, end=Sun Jun 19 03:07:40 BST 2016, operations=292.1310558682926, operationsPerMinute=73.03276396707315
