spec.jvm2008.report.run.location=LAW007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 10:19:11 BST 2016, end=Mon Jun 27 10:19:11 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 10:19:11 BST 2016, end=Mon Jun 27 10:19:11 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 10:19:11 BST 2016, end=Mon Jun 27 10:19:29 BST 2016, operations=1.0, operationsPerMinute=3.4005894355021535
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 10:19:29 BST 2016, end=Mon Jun 27 10:19:33 BST 2016, operations=1.0, operationsPerMinute=14.570179698882953
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 10:19:33 BST 2016, end=Mon Jun 27 10:19:34 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 10:19:34 BST 2016, end=Mon Jun 27 10:19:43 BST 2016, operations=1.0, operationsPerMinute=6.597031335898846
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 10:19:43 BST 2016, end=Mon Jun 27 10:19:51 BST 2016, operations=1.0, operationsPerMinute=7.661856723279275
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 10:19:51 BST 2016, end=Mon Jun 27 10:19:58 BST 2016, operations=1.0, operationsPerMinute=8.943210612609928
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 10:19:58 BST 2016, end=Mon Jun 27 10:20:01 BST 2016, operations=1.0, operationsPerMinute=21.731256791017746
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 10:20:01 BST 2016, end=Mon Jun 27 10:20:02 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 10:20:02 BST 2016, end=Mon Jun 27 10:20:03 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 10:20:03 BST 2016, end=Mon Jun 27 10:20:09 BST 2016, operations=1.0, operationsPerMinute=9.886307464162135
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 10:20:09 BST 2016, end=Mon Jun 27 10:20:10 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 10:20:10 BST 2016, end=Mon Jun 27 10:20:11 BST 2016, operations=1.0, operationsPerMinute=52.72407732864675
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 10:20:11 BST 2016, end=Mon Jun 27 10:20:14 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 10:20:14 BST 2016, end=Mon Jun 27 10:20:21 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 10:20:21 BST 2016, end=Mon Jun 27 10:20:45 BST 2016, operations=1.0, operationsPerMinute=2.4544896706893025
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 10:20:45 BST 2016, end=Mon Jun 27 10:20:46 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 10:21:00 BST 2016, end=Mon Jun 27 10:23:00 BST 2016, operations=412.9714272080788, operationsPerMinute=206.4857136040394, mode=normal, start=Mon Jun 27 10:23:01 BST 2016, end=Mon Jun 27 10:27:01 BST 2016, operations=860.2103148234104, operationsPerMinute=215.0525787058526
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 10:27:07 BST 2016, end=Mon Jun 27 10:29:07 BST 2016, operations=169.13383284689016, operationsPerMinute=84.56691642344508, mode=normal, start=Mon Jun 27 10:29:11 BST 2016, end=Mon Jun 27 10:33:11 BST 2016, operations=338.06294878806085, operationsPerMinute=84.51573719701521
benchmark-name=compress, mod=warmup, start=Mon Jun 27 10:33:15 BST 2016, end=Mon Jun 27 10:35:15 BST 2016, operations=350.8171595771294, operationsPerMinute=175.4085797885647, mode=normal, start=Mon Jun 27 10:35:17 BST 2016, end=Mon Jun 27 10:39:17 BST 2016, operations=703.8774146742182, operationsPerMinute=175.96935366855456
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 10:39:19 BST 2016, end=Mon Jun 27 10:41:19 BST 2016, operations=115.54188769942016, operationsPerMinute=57.77094384971008, mode=normal, start=Mon Jun 27 10:41:24 BST 2016, end=Mon Jun 27 10:45:24 BST 2016, operations=245.71855821362985, operationsPerMinute=61.42963955340746
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 10:45:29 BST 2016, end=Mon Jun 27 10:47:29 BST 2016, operations=205.52250379218714, operationsPerMinute=102.76125189609357, mode=normal, start=Mon Jun 27 10:47:32 BST 2016, end=Mon Jun 27 10:51:32 BST 2016, operations=412.18983187856827, operationsPerMinute=103.04745796964207
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 10:51:36 BST 2016, end=Mon Jun 27 10:53:36 BST 2016, operations=351.3776615403597, operationsPerMinute=175.68883077017986, mode=normal, start=Mon Jun 27 10:53:39 BST 2016, end=Mon Jun 27 10:57:39 BST 2016, operations=694.5931168656855, operationsPerMinute=173.64827921642137
benchmark-name=derby, mod=warmup, start=Mon Jun 27 10:58:41 BST 2016, end=Mon Jun 27 11:00:41 BST 2016, operations=259.4926179810909, operationsPerMinute=129.74630899054546, mode=normal, start=Mon Jun 27 11:00:43 BST 2016, end=Mon Jun 27 11:04:43 BST 2016, operations=522.2382837661959, operationsPerMinute=130.55957094154897
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 11:04:46 BST 2016, end=Mon Jun 27 11:06:46 BST 2016, operations=169.20051215202494, operationsPerMinute=84.60025607601247, mode=normal, start=Mon Jun 27 11:06:50 BST 2016, end=Mon Jun 27 11:10:50 BST 2016, operations=339.5422669305124, operationsPerMinute=84.8855667326281
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 11:10:53 BST 2016, end=Mon Jun 27 11:12:53 BST 2016, operations=99.74527412679703, operationsPerMinute=49.872637063398514, mode=normal, start=Mon Jun 27 11:13:00 BST 2016, end=Mon Jun 27 11:17:00 BST 2016, operations=204.88273290912252, operationsPerMinute=51.22068322728063
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 11:17:07 BST 2016, end=Mon Jun 27 11:19:07 BST 2016, operations=22.428779354022378, operationsPerMinute=11.214389677011189, mode=normal, start=Mon Jun 27 11:19:31 BST 2016, end=Mon Jun 27 11:23:31 BST 2016, operations=45.03470712086208, operationsPerMinute=11.25867678021552
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 11:23:57 BST 2016, end=Mon Jun 27 11:25:57 BST 2016, operations=69.16646255900476, operationsPerMinute=34.58323127950238, mode=normal, start=Mon Jun 27 11:26:09 BST 2016, end=Mon Jun 27 11:30:09 BST 2016, operations=138.3911580567503, operationsPerMinute=34.597789514187575
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 11:30:17 BST 2016, end=Mon Jun 27 11:32:17 BST 2016, operations=75.17718280732994, operationsPerMinute=37.58859140366497, mode=normal, start=Mon Jun 27 11:32:25 BST 2016, end=Mon Jun 27 11:36:25 BST 2016, operations=150.51398542096084, operationsPerMinute=37.62849635524021
