spec.jvm2008.report.run.location=BEDSONTC079
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:18:23 BST 2016, end=Thu May 26 14:18:23 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:18:23 BST 2016, end=Thu May 26 14:18:23 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:18:23 BST 2016, end=Thu May 26 14:18:36 BST 2016, operations=1.0, operationsPerMinute=4.535833081342607
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:18:36 BST 2016, end=Thu May 26 14:18:39 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:18:39 BST 2016, end=Thu May 26 14:18:41 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:18:41 BST 2016, end=Thu May 26 14:18:49 BST 2016, operations=1.0, operationsPerMinute=7.04390702042733
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:18:49 BST 2016, end=Thu May 26 14:18:57 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:18:57 BST 2016, end=Thu May 26 14:19:03 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:03 BST 2016, end=Thu May 26 14:19:06 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:06 BST 2016, end=Thu May 26 14:19:06 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:06 BST 2016, end=Thu May 26 14:19:07 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:07 BST 2016, end=Thu May 26 14:19:13 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:13 BST 2016, end=Thu May 26 14:19:14 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:14 BST 2016, end=Thu May 26 14:19:15 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:15 BST 2016, end=Thu May 26 14:19:17 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:17 BST 2016, end=Thu May 26 14:19:24 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:19:24 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=2.9792939073439593
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:19:45 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:19:55 BST 2016, end=Thu May 26 14:21:55 BST 2016, operations=487.4325187105263, operationsPerMinute=243.71625935526316, mode=normal, start=Thu May 26 14:21:56 BST 2016, end=Thu May 26 14:25:56 BST 2016, operations=993.9472522886037, operationsPerMinute=248.48681307215094
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:00 BST 2016, end=Thu May 26 14:28:00 BST 2016, operations=198.87270065423593, operationsPerMinute=99.43635032711796, mode=normal, start=Thu May 26 14:28:03 BST 2016, end=Thu May 26 14:32:03 BST 2016, operations=393.68815031231543, operationsPerMinute=98.42203757807886
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:07 BST 2016, end=Thu May 26 14:34:07 BST 2016, operations=398.0304992921963, operationsPerMinute=199.01524964609814, mode=normal, start=Thu May 26 14:34:09 BST 2016, end=Thu May 26 14:38:09 BST 2016, operations=788.882544792496, operationsPerMinute=197.220636198124
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:11 BST 2016, end=Thu May 26 14:40:11 BST 2016, operations=127.95720773391935, operationsPerMinute=63.97860386695967, mode=normal, start=Thu May 26 14:40:16 BST 2016, end=Thu May 26 14:44:16 BST 2016, operations=283.17196103605283, operationsPerMinute=70.79299025901321
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:44:21 BST 2016, end=Thu May 26 14:46:21 BST 2016, operations=229.91051405566685, operationsPerMinute=114.95525702783343, mode=normal, start=Thu May 26 14:46:24 BST 2016, end=Thu May 26 14:50:24 BST 2016, operations=463.71535547017055, operationsPerMinute=115.92883886754264
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:50:27 BST 2016, end=Thu May 26 14:52:27 BST 2016, operations=401.4587271640231, operationsPerMinute=200.72936358201156, mode=normal, start=Thu May 26 14:52:28 BST 2016, end=Thu May 26 14:56:28 BST 2016, operations=807.705612824192, operationsPerMinute=201.926403206048
benchmark-name=derby, mod=warmup, start=Thu May 26 14:56:51 BST 2016, end=Thu May 26 14:58:51 BST 2016, operations=358.606614570756, operationsPerMinute=179.303307285378, mode=normal, start=Thu May 26 14:58:53 BST 2016, end=Thu May 26 15:02:53 BST 2016, operations=718.9383787357323, operationsPerMinute=179.73459468393307
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:02:56 BST 2016, end=Thu May 26 15:04:56 BST 2016, operations=207.2797782257945, operationsPerMinute=103.63988911289725, mode=normal, start=Thu May 26 15:04:59 BST 2016, end=Thu May 26 15:08:59 BST 2016, operations=413.761292295029, operationsPerMinute=103.44032307375726
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:02 BST 2016, end=Thu May 26 15:11:02 BST 2016, operations=71.03686396964343, operationsPerMinute=35.51843198482172, mode=normal, start=Thu May 26 15:11:11 BST 2016, end=Thu May 26 15:15:11 BST 2016, operations=151.5069325881646, operationsPerMinute=37.87673314704115
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:15:19 BST 2016, end=Thu May 26 15:17:19 BST 2016, operations=13.99752894283482, operationsPerMinute=6.99876447141741, mode=normal, start=Thu May 26 15:18:02 BST 2016, end=Thu May 26 15:22:02 BST 2016, operations=27.925512550054133, operationsPerMinute=6.981378137513533
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:22:44 BST 2016, end=Thu May 26 15:24:44 BST 2016, operations=67.09968275632481, operationsPerMinute=33.549841378162405, mode=normal, start=Thu May 26 15:24:55 BST 2016, end=Thu May 26 15:28:55 BST 2016, operations=147.8098262718807, operationsPerMinute=36.952456567970174
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:05 BST 2016, end=Thu May 26 15:31:05 BST 2016, operations=41.54275068841937, operationsPerMinute=20.771375344209684, mode=normal, start=Thu May 26 15:31:19 BST 2016, end=Thu May 26 15:35:19 BST 2016, operations=83.56909942203161, operationsPerMinute=20.892274855507903
