spec.jvm2008.report.run.location=UNION30
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Wed Jun 29 01:14:20 BST 2016, end=Wed Jun 29 01:14:20 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 01:14:20 BST 2016, end=Wed Jun 29 01:14:20 BST 2016, operations=1.0, operationsPerMinute=167.13091922005572
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 01:14:20 BST 2016, end=Wed Jun 29 01:14:56 BST 2016, operations=1.0, operationsPerMinute=1.6995722743109651
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 01:14:56 BST 2016, end=Wed Jun 29 01:15:01 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 01:15:01 BST 2016, end=Wed Jun 29 01:15:03 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 01:15:03 BST 2016, end=Wed Jun 29 01:15:13 BST 2016, operations=1.0, operationsPerMinute=6.105006105006105
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 01:15:13 BST 2016, end=Wed Jun 29 01:15:21 BST 2016, operations=1.0, operationsPerMinute=7.468259895444361
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 01:15:21 BST 2016, end=Wed Jun 29 01:15:28 BST 2016, operations=1.0, operationsPerMinute=7.947019867549669
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 01:15:28 BST 2016, end=Wed Jun 29 01:15:31 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 01:15:31 BST 2016, end=Wed Jun 29 01:15:32 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 01:15:32 BST 2016, end=Wed Jun 29 01:15:33 BST 2016, operations=1.0, operationsPerMinute=57.361376673040155
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 01:15:33 BST 2016, end=Wed Jun 29 01:15:39 BST 2016, operations=1.0, operationsPerMinute=9.787928221859707
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 01:15:39 BST 2016, end=Wed Jun 29 01:15:40 BST 2016, operations=1.0, operationsPerMinute=40.45853000674309
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 01:15:40 BST 2016, end=Wed Jun 29 01:15:41 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 01:15:41 BST 2016, end=Wed Jun 29 01:15:44 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 01:15:44 BST 2016, end=Wed Jun 29 01:15:51 BST 2016, operations=1.0, operationsPerMinute=8.183306055646481
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 01:15:51 BST 2016, end=Wed Jun 29 01:16:17 BST 2016, operations=1.0, operationsPerMinute=2.346683354192741
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 01:16:17 BST 2016, end=Wed Jun 29 01:16:18 BST 2016, operations=1.0, operationsPerMinute=46.36785162287481
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 01:16:31 BST 2016, end=Wed Jun 29 01:18:31 BST 2016, operations=456.23939875224687, operationsPerMinute=228.11969937612344, mode=normal, start=Wed Jun 29 01:18:34 BST 2016, end=Wed Jun 29 01:22:34 BST 2016, operations=920.4714006821262, operationsPerMinute=230.11785017053154
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 01:22:40 BST 2016, end=Wed Jun 29 01:24:40 BST 2016, operations=180.07031621477466, operationsPerMinute=90.03515810738733, mode=normal, start=Wed Jun 29 01:24:49 BST 2016, end=Wed Jun 29 01:28:49 BST 2016, operations=365.0817389132847, operationsPerMinute=91.27043472832118
benchmark-name=compress, mod=warmup, start=Wed Jun 29 01:28:57 BST 2016, end=Wed Jun 29 01:30:57 BST 2016, operations=482.43307105168515, operationsPerMinute=241.21653552584257, mode=normal, start=Wed Jun 29 01:31:00 BST 2016, end=Wed Jun 29 01:35:00 BST 2016, operations=967.866629159411, operationsPerMinute=241.96665728985275
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 01:35:03 BST 2016, end=Wed Jun 29 01:37:03 BST 2016, operations=126.19445207193735, operationsPerMinute=63.097226035968674, mode=normal, start=Wed Jun 29 01:37:15 BST 2016, end=Wed Jun 29 01:41:15 BST 2016, operations=263.9786929019859, operationsPerMinute=65.99467322549647
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 01:41:27 BST 2016, end=Wed Jun 29 01:43:27 BST 2016, operations=224.65295694634517, operationsPerMinute=112.32647847317259, mode=normal, start=Wed Jun 29 01:43:34 BST 2016, end=Wed Jun 29 01:47:34 BST 2016, operations=446.2678511458128, operationsPerMinute=111.5669627864532
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 01:47:41 BST 2016, end=Wed Jun 29 01:49:41 BST 2016, operations=382.6397209135285, operationsPerMinute=191.31986045676425, mode=normal, start=Wed Jun 29 01:49:45 BST 2016, end=Wed Jun 29 01:53:45 BST 2016, operations=765.2286213954374, operationsPerMinute=191.30715534885934
benchmark-name=derby, mod=warmup, start=Wed Jun 29 01:57:12 BST 2016, end=Wed Jun 29 01:59:12 BST 2016, operations=320.51066077931324, operationsPerMinute=160.25533038965662, mode=normal, start=Wed Jun 29 01:59:16 BST 2016, end=Wed Jun 29 02:03:16 BST 2016, operations=611.6799091473938, operationsPerMinute=152.91997728684845
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 02:04:23 BST 2016, end=Wed Jun 29 02:06:23 BST 2016, operations=55.71789312492048, operationsPerMinute=27.85894656246024, mode=normal, start=Wed Jun 29 02:07:08 BST 2016, end=Wed Jun 29 02:11:08 BST 2016, operations=351.91670715409805, operationsPerMinute=87.97917678852451
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 02:11:16 BST 2016, end=Wed Jun 29 02:13:16 BST 2016, operations=87.62268874151957, operationsPerMinute=43.811344370759784, mode=normal, start=Wed Jun 29 02:13:33 BST 2016, end=Wed Jun 29 02:17:33 BST 2016, operations=180.85448924244812, operationsPerMinute=45.21362231061203
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 02:17:51 BST 2016, end=Wed Jun 29 02:19:51 BST 2016, operations=19.129923066234433, operationsPerMinute=9.564961533117216, mode=normal, start=Wed Jun 29 02:20:58 BST 2016, end=Wed Jun 29 02:24:58 BST 2016, operations=38.688410975401254, operationsPerMinute=9.672102743850314
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 02:26:07 BST 2016, end=Wed Jun 29 02:28:07 BST 2016, operations=106.02641191469951, operationsPerMinute=53.013205957349754, mode=normal, start=Wed Jun 29 02:28:24 BST 2016, end=Wed Jun 29 02:32:24 BST 2016, operations=215.02040657532774, operationsPerMinute=53.755101643831935
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 02:32:43 BST 2016, end=Wed Jun 29 02:34:43 BST 2016, operations=56.81079063698387, operationsPerMinute=28.405395318491934, mode=normal, start=Wed Jun 29 02:35:10 BST 2016, end=Wed Jun 29 02:39:10 BST 2016, operations=111.6397524704827, operationsPerMinute=27.909938117620676
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 02:39:32 BST 2016, end=Wed Jun 29 02:41:32 BST 2016, operations=734.4320188635734, operationsPerMinute=367.2160094317867, mode=normal, start=Wed Jun 29 02:41:34 BST 2016, end=Wed Jun 29 02:45:34 BST 2016, operations=1503.3946503958302, operationsPerMinute=375.84866259895756
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 02:45:36 BST 2016, end=Wed Jun 29 02:47:36 BST 2016, operations=526.7849715455021, operationsPerMinute=263.39248577275106, mode=normal, start=Wed Jun 29 02:47:39 BST 2016, end=Wed Jun 29 02:51:39 BST 2016, operations=1058.0936710383714, operationsPerMinute=264.52341775959286
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 02:51:41 BST 2016, end=Wed Jun 29 02:53:41 BST 2016, operations=617.006278487875, operationsPerMinute=308.5031392439375, mode=normal, start=Wed Jun 29 02:53:44 BST 2016, end=Wed Jun 29 02:57:44 BST 2016, operations=1236.7804769723014, operationsPerMinute=309.19511924307534
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jun 29 02:57:47 BST 2016, end=Wed Jun 29 02:59:47 BST 2016, operations=450.78830129510027, operationsPerMinute=225.39415064755013, mode=normal, start=Wed Jun 29 02:59:50 BST 2016, end=Wed Jun 29 03:03:50 BST 2016, operations=897.1101298576342, operationsPerMinute=224.27753246440855
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 03:03:53 BST 2016, end=Wed Jun 29 03:05:53 BST 2016, operations=152.42142995740653, operationsPerMinute=76.21071497870327, mode=normal, start=Wed Jun 29 03:06:05 BST 2016, end=Wed Jun 29 03:10:05 BST 2016, operations=304.0245734657802, operationsPerMinute=76.00614336644504
benchmark-name=serial, mod=warmup, start=Wed Jun 29 03:10:15 BST 2016, end=Wed Jun 29 03:12:15 BST 2016, operations=226.81826688756493, operationsPerMinute=113.40913344378247, mode=normal, start=Wed Jun 29 03:12:21 BST 2016, end=Wed Jun 29 03:16:21 BST 2016, operations=455.4777676986081, operationsPerMinute=113.86944192465202
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 03:16:27 BST 2016, end=Wed Jun 29 03:18:27 BST 2016, operations=179.6013704621834, operationsPerMinute=89.8006852310917, mode=normal, start=Wed Jun 29 03:18:31 BST 2016, end=Wed Jun 29 03:22:31 BST 2016, operations=360.7034987224448, operationsPerMinute=90.1758746806112
benchmark-name=xml.transform, mod=warmup, start=Wed Jun 29 03:22:58 BST 2016, end=Wed Jun 29 03:24:58 BST 2016, operations=506.8295055920377, operationsPerMinute=253.41475279601886, mode=normal, start=Wed Jun 29 03:25:01 BST 2016, end=Wed Jun 29 03:29:01 BST 2016, operations=999.6733346941088, operationsPerMinute=249.9183336735272
benchmark-name=xml.validation, mod=warmup, start=Wed Jun 29 03:29:04 BST 2016, end=Wed Jun 29 03:31:04 BST 2016, operations=638.8390589524537, operationsPerMinute=319.41952947622684, mode=normal, start=Wed Jun 29 03:31:06 BST 2016, end=Wed Jun 29 03:35:06 BST 2016, operations=1277.937179544852, operationsPerMinute=319.484294886213
##-nursultan-##,UNION30,Intel(R) Xeon(R) CPU E31270 @ 3.40GHz,4,16341,check,Wed Jun 29 01:14:20 BST 2016,Wed Jun 29 01:14:20 BST 2016,1.0,428.57142857142856,startup.helloworld,Wed Jun 29 01:14:20 BST 2016,Wed Jun 29 01:14:20 BST 2016,1.0,167.13091922005572,startup.compiler.compiler,Wed Jun 29 01:14:20 BST 2016,Wed Jun 29 01:14:56 BST 2016,1.0,1.6995722743109651,startup.compiler.sunflow,Wed Jun 29 01:14:56 BST 2016,Wed Jun 29 01:15:01 BST 2016,1.0,10.834236186348862,startup.compress,Wed Jun 29 01:15:01 BST 2016,Wed Jun 29 01:15:03 BST 2016,1.0,42.73504273504273,startup.crypto.aes,Wed Jun 29 01:15:03 BST 2016,Wed Jun 29 01:15:13 BST 2016,1.0,6.105006105006105,startup.crypto.rsa,Wed Jun 29 01:15:13 BST 2016,Wed Jun 29 01:15:21 BST 2016,1.0,7.468259895444361,startup.crypto.signverify,Wed Jun 29 01:15:21 BST 2016,Wed Jun 29 01:15:28 BST 2016,1.0,7.947019867549669,startup.mpegaudio,Wed Jun 29 01:15:28 BST 2016,Wed Jun 29 01:15:31 BST 2016,1.0,22.23045572434235,startup.scimark.fft,Wed Jun 29 01:15:31 BST 2016,Wed Jun 29 01:15:32 BST 2016,1.0,75.47169811320755,startup.scimark.lu,Wed Jun 29 01:15:32 BST 2016,Wed Jun 29 01:15:33 BST 2016,1.0,57.361376673040155,startup.scimark.monte_carlo,Wed Jun 29 01:15:33 BST 2016,Wed Jun 29 01:15:39 BST 2016,1.0,9.787928221859707,startup.scimark.sor,Wed Jun 29 01:15:39 BST 2016,Wed Jun 29 01:15:40 BST 2016,1.0,40.45853000674309,startup.scimark.sparse,Wed Jun 29 01:15:40 BST 2016,Wed Jun 29 01:15:41 BST 2016,1.0,49.958368026644465,startup.serial,Wed Jun 29 01:15:41 BST 2016,Wed Jun 29 01:15:44 BST 2016,1.0,22.363026462914647,startup.sunflow,Wed Jun 29 01:15:44 BST 2016,Wed Jun 29 01:15:51 BST 2016,1.0,8.183306055646481,startup.xml.transform,Wed Jun 29 01:15:51 BST 2016,Wed Jun 29 01:16:17 BST 2016,1.0,2.346683354192741,startup.xml.validation,Wed Jun 29 01:16:17 BST 2016,Wed Jun 29 01:16:18 BST 2016,1.0,46.36785162287481,compiler.compiler,Wed Jun 29 01:16:31 BST 2016,Wed Jun 29 01:18:31 BST 2016,456.23939875224687,228.11969937612344,Wed Jun 29 01:18:34 BST 2016,Wed Jun 29 01:22:34 BST 2016,920.4714006821262,230.11785017053154,compiler.sunflow,Wed Jun 29 01:22:40 BST 2016,Wed Jun 29 01:24:40 BST 2016,180.07031621477466,90.03515810738733,Wed Jun 29 01:24:49 BST 2016,Wed Jun 29 01:28:49 BST 2016,365.0817389132847,91.27043472832118,compress,Wed Jun 29 01:28:57 BST 2016,Wed Jun 29 01:30:57 BST 2016,482.43307105168515,241.21653552584257,Wed Jun 29 01:31:00 BST 2016,Wed Jun 29 01:35:00 BST 2016,967.866629159411,241.96665728985275,crypto.aes,Wed Jun 29 01:35:03 BST 2016,Wed Jun 29 01:37:03 BST 2016,126.19445207193735,63.097226035968674,Wed Jun 29 01:37:15 BST 2016,Wed Jun 29 01:41:15 BST 2016,263.9786929019859,65.99467322549647,crypto.rsa,Wed Jun 29 01:41:27 BST 2016,Wed Jun 29 01:43:27 BST 2016,224.65295694634517,112.32647847317259,Wed Jun 29 01:43:34 BST 2016,Wed Jun 29 01:47:34 BST 2016,446.2678511458128,111.5669627864532,crypto.signverify,Wed Jun 29 01:47:41 BST 2016,Wed Jun 29 01:49:41 BST 2016,382.6397209135285,191.31986045676425,Wed Jun 29 01:49:45 BST 2016,Wed Jun 29 01:53:45 BST 2016,765.2286213954374,191.30715534885934,derby,Wed Jun 29 01:57:12 BST 2016,Wed Jun 29 01:59:12 BST 2016,320.51066077931324,160.25533038965662,Wed Jun 29 01:59:16 BST 2016,Wed Jun 29 02:03:16 BST 2016,611.6799091473938,152.91997728684845,mpegaudio,Wed Jun 29 02:04:23 BST 2016,Wed Jun 29 02:06:23 BST 2016,55.71789312492048,27.85894656246024,Wed Jun 29 02:07:08 BST 2016,Wed Jun 29 02:11:08 BST 2016,351.91670715409805,87.97917678852451,scimark.fft.large,Wed Jun 29 02:11:16 BST 2016,Wed Jun 29 02:13:16 BST 2016,87.62268874151957,43.811344370759784,Wed Jun 29 02:13:33 BST 2016,Wed Jun 29 02:17:33 BST 2016,180.85448924244812,45.21362231061203,scimark.lu.large,Wed Jun 29 02:17:51 BST 2016,Wed Jun 29 02:19:51 BST 2016,19.129923066234433,9.564961533117216,Wed Jun 29 02:20:58 BST 2016,Wed Jun 29 02:24:58 BST 2016,38.688410975401254,9.672102743850314,scimark.sor.large,Wed Jun 29 02:26:07 BST 2016,Wed Jun 29 02:28:07 BST 2016,106.02641191469951,53.013205957349754,Wed Jun 29 02:28:24 BST 2016,Wed Jun 29 02:32:24 BST 2016,215.02040657532774,53.755101643831935,scimark.sparse.large,Wed Jun 29 02:32:43 BST 2016,Wed Jun 29 02:34:43 BST 2016,56.81079063698387,28.405395318491934,Wed Jun 29 02:35:10 BST 2016,Wed Jun 29 02:39:10 BST 2016,111.6397524704827,27.909938117620676,scimark.fft.small,Wed Jun 29 02:39:32 BST 2016,Wed Jun 29 02:41:32 BST 2016,734.4320188635734,367.2160094317867,Wed Jun 29 02:41:34 BST 2016,Wed Jun 29 02:45:34 BST 2016,1503.3946503958302,375.84866259895756,scimark.lu.small,Wed Jun 29 02:45:36 BST 2016,Wed Jun 29 02:47:36 BST 2016,526.7849715455021,263.39248577275106,Wed Jun 29 02:47:39 BST 2016,Wed Jun 29 02:51:39 BST 2016,1058.0936710383714,264.52341775959286,scimark.sor.small,Wed Jun 29 02:51:41 BST 2016,Wed Jun 29 02:53:41 BST 2016,617.006278487875,308.5031392439375,Wed Jun 29 02:53:44 BST 2016,Wed Jun 29 02:57:44 BST 2016,1236.7804769723014,309.19511924307534,scimark.sparse.small,Wed Jun 29 02:57:47 BST 2016,Wed Jun 29 02:59:47 BST 2016,450.78830129510027,225.39415064755013,Wed Jun 29 02:59:50 BST 2016,Wed Jun 29 03:03:50 BST 2016,897.1101298576342,224.27753246440855,scimark.monte_carlo,Wed Jun 29 03:03:53 BST 2016,Wed Jun 29 03:05:53 BST 2016,152.42142995740653,76.21071497870327,Wed Jun 29 03:06:05 BST 2016,Wed Jun 29 03:10:05 BST 2016,304.0245734657802,76.00614336644504,serial,Wed Jun 29 03:10:15 BST 2016,Wed Jun 29 03:12:15 BST 2016,226.81826688756493,113.40913344378247,Wed Jun 29 03:12:21 BST 2016,Wed Jun 29 03:16:21 BST 2016,455.4777676986081,113.86944192465202,sunflow,Wed Jun 29 03:16:27 BST 2016,Wed Jun 29 03:18:27 BST 2016,179.6013704621834,89.8006852310917,Wed Jun 29 03:18:31 BST 2016,Wed Jun 29 03:22:31 BST 2016,360.7034987224448,90.1758746806112,xml.transform,Wed Jun 29 03:22:58 BST 2016,Wed Jun 29 03:24:58 BST 2016,506.8295055920377,253.41475279601886,Wed Jun 29 03:25:01 BST 2016,Wed Jun 29 03:29:01 BST 2016,999.6733346941088,249.9183336735272,xml.validation,Wed Jun 29 03:29:04 BST 2016,Wed Jun 29 03:31:04 BST 2016,638.8390589524537,319.41952947622684,Wed Jun 29 03:31:06 BST 2016,Wed Jun 29 03:35:06 BST 2016,1277.937179544852,319.484294886213
