spec.jvm2008.report.run.location=CASTLEAZES020
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:02 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:02 BST 2016, operations=1.0, operationsPerMinute=295.5665024630542
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:15 BST 2016, operations=1.0, operationsPerMinute=4.562737642585551
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:15 BST 2016, end=Thu May 26 14:19:18 BST 2016, operations=1.0, operationsPerMinute=17.24633515377982
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:19 BST 2016, end=Thu May 26 14:19:20 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:20 BST 2016, end=Thu May 26 14:19:28 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:28 BST 2016, end=Thu May 26 14:19:36 BST 2016, operations=1.0, operationsPerMinute=7.833920877399138
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:36 BST 2016, end=Thu May 26 14:19:43 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:43 BST 2016, end=Thu May 26 14:19:45 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:45 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:47 BST 2016, end=Thu May 26 14:19:52 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:52 BST 2016, end=Thu May 26 14:19:53 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:53 BST 2016, end=Thu May 26 14:19:54 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:54 BST 2016, end=Thu May 26 14:19:57 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:57 BST 2016, end=Thu May 26 14:20:03 BST 2016, operations=1.0, operationsPerMinute=9.313877677739832
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:03 BST 2016, end=Thu May 26 14:20:23 BST 2016, operations=1.0, operationsPerMinute=2.974714923153198
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:23 BST 2016, end=Thu May 26 14:20:24 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:34 BST 2016, end=Thu May 26 14:22:34 BST 2016, operations=496.5579193501472, operationsPerMinute=248.2789596750736, mode=normal, start=Thu May 26 14:22:35 BST 2016, end=Thu May 26 14:26:35 BST 2016, operations=1007.4986962221794, operationsPerMinute=251.87467405554486
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:39 BST 2016, end=Thu May 26 14:28:39 BST 2016, operations=192.81903496015872, operationsPerMinute=96.40951748007936, mode=normal, start=Thu May 26 14:28:43 BST 2016, end=Thu May 26 14:32:43 BST 2016, operations=385.07615030715135, operationsPerMinute=96.26903757678784
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:47 BST 2016, end=Thu May 26 14:34:47 BST 2016, operations=400.4439831136055, operationsPerMinute=200.22199155680275, mode=normal, start=Thu May 26 14:34:49 BST 2016, end=Thu May 26 14:38:49 BST 2016, operations=801.1733299026416, operationsPerMinute=200.2933324756604
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:50 BST 2016, end=Thu May 26 14:40:50 BST 2016, operations=136.32698425084357, operationsPerMinute=68.16349212542178, mode=normal, start=Thu May 26 14:40:57 BST 2016, end=Thu May 26 14:44:57 BST 2016, operations=291.6278053600166, operationsPerMinute=72.90695134000416
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:03 BST 2016, end=Thu May 26 14:47:03 BST 2016, operations=235.64599077912752, operationsPerMinute=117.82299538956376, mode=normal, start=Thu May 26 14:47:06 BST 2016, end=Thu May 26 14:51:06 BST 2016, operations=474.2849510432475, operationsPerMinute=118.57123776081187
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:09 BST 2016, end=Thu May 26 14:53:09 BST 2016, operations=407.34655735540935, operationsPerMinute=203.67327867770467, mode=normal, start=Thu May 26 14:53:10 BST 2016, end=Thu May 26 14:57:10 BST 2016, operations=814.2025641025641, operationsPerMinute=203.55064102564103
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:33 BST 2016, end=Thu May 26 14:59:33 BST 2016, operations=362.86375627712755, operationsPerMinute=181.43187813856377, mode=normal, start=Thu May 26 14:59:35 BST 2016, end=Thu May 26 15:03:35 BST 2016, operations=725.9302934168312, operationsPerMinute=181.4825733542078
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:37 BST 2016, end=Thu May 26 15:05:37 BST 2016, operations=207.53510238334962, operationsPerMinute=103.76755119167481, mode=normal, start=Thu May 26 15:05:42 BST 2016, end=Thu May 26 15:09:42 BST 2016, operations=416.15795353267276, operationsPerMinute=104.03948838316819
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:46 BST 2016, end=Thu May 26 15:11:46 BST 2016, operations=70.20785328691795, operationsPerMinute=35.103926643458976, mode=normal, start=Thu May 26 15:11:55 BST 2016, end=Thu May 26 15:15:55 BST 2016, operations=133.18528990720685, operationsPerMinute=33.29632247680171
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:02 BST 2016, end=Thu May 26 15:18:02 BST 2016, operations=13.927331339470179, operationsPerMinute=6.963665669735089, mode=normal, start=Thu May 26 15:18:46 BST 2016, end=Thu May 26 15:22:46 BST 2016, operations=27.856214200013987, operationsPerMinute=6.964053550003497
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:22 BST 2016, end=Thu May 26 15:25:22 BST 2016, operations=66.12392097854358, operationsPerMinute=33.06196048927179, mode=normal, start=Thu May 26 15:25:33 BST 2016, end=Thu May 26 15:29:33 BST 2016, operations=148.9609860910007, operationsPerMinute=37.240246522750176
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:43 BST 2016, end=Thu May 26 15:31:43 BST 2016, operations=42.42360051453459, operationsPerMinute=21.211800257267296, mode=normal, start=Thu May 26 15:31:58 BST 2016, end=Thu May 26 15:35:58 BST 2016, operations=85.53528391210087, operationsPerMinute=21.383820978025216
