spec.jvm2008.report.run.location=BARN-09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jul 02 01:47:20 BST 2016, end=Sat Jul 02 01:47:20 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jul 02 03:04:59 BST 2016, end=Sat Jul 02 03:06:59 BST 2016, operations=694.8413586331354, operationsPerMinute=347.4206793165677, mode=normal, start=Sat Jul 02 03:07:00 BST 2016, end=Sat Jul 02 03:11:00 BST 2016, operations=1340.2116593040244, operationsPerMinute=335.0529148260061
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jul 02 03:11:01 BST 2016, end=Sat Jul 02 03:13:01 BST 2016, operations=533.4937170760645, operationsPerMinute=266.74685853803226, mode=normal, start=Sat Jul 02 03:13:03 BST 2016, end=Sat Jul 02 03:17:03 BST 2016, operations=1066.7054247149329, operationsPerMinute=266.6763561787332
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jul 02 03:17:04 BST 2016, end=Sat Jul 02 03:19:04 BST 2016, operations=306.7657636921003, operationsPerMinute=153.38288184605014, mode=normal, start=Sat Jul 02 03:19:07 BST 2016, end=Sat Jul 02 03:23:07 BST 2016, operations=613.7381380899504, operationsPerMinute=153.4345345224876
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jul 02 03:23:10 BST 2016, end=Sat Jul 02 03:25:10 BST 2016, operations=468.14158216133546, operationsPerMinute=234.07079108066773, mode=normal, start=Sat Jul 02 03:25:11 BST 2016, end=Sat Jul 02 03:29:11 BST 2016, operations=949.6435075822823, operationsPerMinute=237.41087689557057
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jul 02 03:29:13 BST 2016, end=Sat Jul 02 03:31:13 BST 2016, operations=108.09185265752667, operationsPerMinute=54.045926328763336, mode=normal, start=Sat Jul 02 03:31:19 BST 2016, end=Sat Jul 02 03:35:19 BST 2016, operations=220.63164215206726, operationsPerMinute=55.157910538016814
benchmark-name=serial, mod=warmup, start=Sat Jul 02 03:35:24 BST 2016, end=Sat Jul 02 03:37:24 BST 2016, operations=220.8831109816467, operationsPerMinute=110.44155549082335, mode=normal, start=Sat Jul 02 03:37:27 BST 2016, end=Sat Jul 02 03:41:27 BST 2016, operations=441.56523334265506, operationsPerMinute=110.39130833566377
benchmark-name=sunflow, mod=warmup, start=Sat Jul 02 03:41:30 BST 2016, end=Sat Jul 02 03:43:30 BST 2016, operations=164.57769193556834, operationsPerMinute=82.28884596778417, mode=normal, start=Sat Jul 02 03:43:32 BST 2016, end=Sat Jul 02 03:47:32 BST 2016, operations=213.5818858639878, operationsPerMinute=53.39547146599695
benchmark-name=xml.transform, mod=warmup, start=Sat Jul 02 03:47:52 BST 2016, end=Sat Jul 02 03:49:52 BST 2016, operations=472.4693614822686, operationsPerMinute=236.2346807411343, mode=normal, start=Sat Jul 02 03:49:54 BST 2016, end=Sat Jul 02 03:53:54 BST 2016, operations=966.219163601326, operationsPerMinute=241.5547909003315
benchmark-name=xml.validation, mod=warmup, start=Sat Jul 02 03:53:56 BST 2016, end=Sat Jul 02 03:55:56 BST 2016, operations=951.7427962620699, operationsPerMinute=475.87139813103494, mode=normal, start=Sat Jul 02 03:55:57 BST 2016, end=Sat Jul 02 03:59:57 BST 2016, operations=1799.8598252288125, operationsPerMinute=449.9649563072031
##-nursultan-##,BARN-09,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Sat Jul 02 01:47:20 BST 2016,Sat Jul 02 01:47:20 BST 2016,1.0,1276.595744680851,startup.helloworld,Sat Jul 02 01:47:20 BST 2016,Sat Jul 02 01:47:20 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Sat Jul 02 01:47:20 BST 2016,Sat Jul 02 01:47:34 BST 2016,1.0,4.487994614406463,startup.compiler.sunflow,Sat Jul 02 01:47:34 BST 2016,Sat Jul 02 01:47:37 BST 2016,1.0,18.404907975460123,startup.compress,Sat Jul 02 01:47:37 BST 2016,Sat Jul 02 01:47:38 BST 2016,1.0,47.46835443037975,startup.crypto.aes,Sat Jul 02 01:47:38 BST 2016,Sat Jul 02 01:47:47 BST 2016,1.0,7.082989021367017,startup.crypto.rsa,Sat Jul 02 01:47:47 BST 2016,Sat Jul 02 01:47:54 BST 2016,1.0,8.063432334363661,startup.crypto.signverify,Sat Jul 02 01:47:54 BST 2016,Sat Jul 02 01:48:01 BST 2016,1.0,8.965929468021518,startup.mpegaudio,Sat Jul 02 01:48:01 BST 2016,Sat Jul 02 01:48:03 BST 2016,1.0,26.7022696929239,startup.scimark.fft,Sat Jul 02 01:48:03 BST 2016,Sat Jul 02 01:48:04 BST 2016,1.0,83.68200836820084,startup.scimark.lu,Sat Jul 02 01:48:04 BST 2016,Sat Jul 02 01:48:05 BST 2016,1.0,67.49156355455568,startup.scimark.monte_carlo,Sat Jul 02 01:48:05 BST 2016,Sat Jul 02 01:48:10 BST 2016,1.0,10.95690284879474,startup.scimark.sor,Sat Jul 02 01:48:10 BST 2016,Sat Jul 02 01:48:12 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Sat Jul 02 01:48:12 BST 2016,Sat Jul 02 01:48:13 BST 2016,1.0,61.09979633401222,startup.serial,Sat Jul 02 01:48:13 BST 2016,Sat Jul 02 01:48:15 BST 2016,1.0,28.708133971291865,startup.sunflow,Sat Jul 02 01:48:15 BST 2016,Sat Jul 02 01:48:21 BST 2016,1.0,9.380863039399625,startup.xml.transform,Sat Jul 02 01:48:21 BST 2016,Sat Jul 02 01:48:41 BST 2016,1.0,2.9907287409032,startup.xml.validation,Sat Jul 02 01:48:41 BST 2016,Sat Jul 02 01:48:42 BST 2016,1.0,75.37688442211055,compiler.compiler,Sat Jul 02 01:48:53 BST 2016,Sat Jul 02 01:50:53 BST 2016,491.57958278456107,245.78979139228053,Sat Jul 02 01:50:54 BST 2016,Sat Jul 02 01:54:54 BST 2016,1008.2757733418833,252.06894333547083,compiler.sunflow,Sat Jul 02 01:54:57 BST 2016,Sat Jul 02 01:56:57 BST 2016,191.36336761153805,95.68168380576903,Sat Jul 02 01:57:01 BST 2016,Sat Jul 02 02:01:01 BST 2016,382.81040141684855,95.70260035421214,compress,Sat Jul 02 02:01:04 BST 2016,Sat Jul 02 02:03:04 BST 2016,366.17298645517593,183.08649322758797,Sat Jul 02 02:03:06 BST 2016,Sat Jul 02 02:07:06 BST 2016,740.7130713052356,185.1782678263089,crypto.aes,Sat Jul 02 02:07:08 BST 2016,Sat Jul 02 02:09:08 BST 2016,130.13118567779804,65.06559283889902,Sat Jul 02 02:09:13 BST 2016,Sat Jul 02 02:13:13 BST 2016,274.170366337889,68.54259158447225,crypto.rsa,Sat Jul 02 02:13:18 BST 2016,Sat Jul 02 02:15:18 BST 2016,217.91964018629272,108.95982009314636,Sat Jul 02 02:15:22 BST 2016,Sat Jul 02 02:19:22 BST 2016,435.6631576286013,108.91578940715033,crypto.signverify,Sat Jul 02 02:19:26 BST 2016,Sat Jul 02 02:21:26 BST 2016,376.6878913719764,188.3439456859882,Sat Jul 02 02:21:28 BST 2016,Sat Jul 02 02:25:28 BST 2016,747.4392680829216,186.8598170207304,derby,Sat Jul 02 02:25:51 BST 2016,Sat Jul 02 02:27:51 BST 2016,335.1443914457901,167.57219572289506,Sat Jul 02 02:27:53 BST 2016,Sat Jul 02 02:31:53 BST 2016,668.65398130323,167.1634953258075,mpegaudio,Sat Jul 02 02:31:55 BST 2016,Sat Jul 02 02:33:55 BST 2016,192.40526391240354,96.20263195620177,Sat Jul 02 02:33:59 BST 2016,Sat Jul 02 02:37:59 BST 2016,383.3435286594866,95.83588216487165,scimark.fft.large,Sat Jul 02 02:38:03 BST 2016,Sat Jul 02 02:40:03 BST 2016,71.94769210657213,35.97384605328607,Sat Jul 02 02:40:13 BST 2016,Sat Jul 02 02:44:13 BST 2016,146.75886727466477,36.68971681866619,scimark.lu.large,Sat Jul 02 02:44:22 BST 2016,Sat Jul 02 02:46:22 BST 2016,13.751981752048533,6.875990876024266,Sat Jul 02 02:47:17 BST 2016,Sat Jul 02 02:51:17 BST 2016,27.29015424199791,6.822538560499478,scimark.sor.large,Sat Jul 02 02:52:07 BST 2016,Sat Jul 02 02:54:07 BST 2016,69.16892392918393,34.584461964591966,Sat Jul 02 02:54:17 BST 2016,Sat Jul 02 02:58:17 BST 2016,138.51485140132218,34.628712850330544,scimark.sparse.large,Sat Jul 02 02:58:29 BST 2016,Sat Jul 02 03:00:29 BST 2016,42.512668408939945,21.256334204469972,Sat Jul 02 03:00:41 BST 2016,Sat Jul 02 03:04:41 BST 2016,84.87465852580807,21.218664631452018,scimark.fft.small,Sat Jul 02 03:04:59 BST 2016,Sat Jul 02 03:06:59 BST 2016,694.8413586331354,347.4206793165677,Sat Jul 02 03:07:00 BST 2016,Sat Jul 02 03:11:00 BST 2016,1340.2116593040244,335.0529148260061,scimark.lu.small,Sat Jul 02 03:11:01 BST 2016,Sat Jul 02 03:13:01 BST 2016,533.4937170760645,266.74685853803226,Sat Jul 02 03:13:03 BST 2016,Sat Jul 02 03:17:03 BST 2016,1066.7054247149329,266.6763561787332,scimark.sor.small,Sat Jul 02 03:17:04 BST 2016,Sat Jul 02 03:19:04 BST 2016,306.7657636921003,153.38288184605014,Sat Jul 02 03:19:07 BST 2016,Sat Jul 02 03:23:07 BST 2016,613.7381380899504,153.4345345224876,scimark.sparse.small,Sat Jul 02 03:23:10 BST 2016,Sat Jul 02 03:25:10 BST 2016,468.14158216133546,234.07079108066773,Sat Jul 02 03:25:11 BST 2016,Sat Jul 02 03:29:11 BST 2016,949.6435075822823,237.41087689557057,scimark.monte_carlo,Sat Jul 02 03:29:13 BST 2016,Sat Jul 02 03:31:13 BST 2016,108.09185265752667,54.045926328763336,Sat Jul 02 03:31:19 BST 2016,Sat Jul 02 03:35:19 BST 2016,220.63164215206726,55.157910538016814,serial,Sat Jul 02 03:35:24 BST 2016,Sat Jul 02 03:37:24 BST 2016,220.8831109816467,110.44155549082335,Sat Jul 02 03:37:27 BST 2016,Sat Jul 02 03:41:27 BST 2016,441.56523334265506,110.39130833566377,sunflow,Sat Jul 02 03:41:30 BST 2016,Sat Jul 02 03:43:30 BST 2016,164.57769193556834,82.28884596778417,Sat Jul 02 03:43:32 BST 2016,Sat Jul 02 03:47:32 BST 2016,213.5818858639878,53.39547146599695,xml.transform,Sat Jul 02 03:47:52 BST 2016,Sat Jul 02 03:49:52 BST 2016,472.4693614822686,236.2346807411343,Sat Jul 02 03:49:54 BST 2016,Sat Jul 02 03:53:54 BST 2016,966.219163601326,241.5547909003315,xml.validation,Sat Jul 02 03:53:56 BST 2016,Sat Jul 02 03:55:56 BST 2016,951.7427962620699,475.87139813103494,Sat Jul 02 03:55:57 BST 2016,Sat Jul 02 03:59:57 BST 2016,1799.8598252288125,449.9649563072031
