spec.jvm2008.report.run.location=BARN-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 19:06:50 BST 2016, end=Fri Jul 01 19:06:50 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 19:06:50 BST 2016, end=Fri Jul 01 19:06:50 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 19:06:50 BST 2016, end=Fri Jul 01 19:07:03 BST 2016, operations=1.0, operationsPerMinute=4.425757911042266
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 19:07:03 BST 2016, end=Fri Jul 01 19:07:07 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 19:07:07 BST 2016, end=Fri Jul 01 19:07:08 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 19:07:08 BST 2016, end=Fri Jul 01 19:07:16 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 19:07:16 BST 2016, end=Fri Jul 01 19:07:24 BST 2016, operations=1.0, operationsPerMinute=7.833920877399138
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 19:07:24 BST 2016, end=Fri Jul 01 19:07:31 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 19:07:31 BST 2016, end=Fri Jul 01 19:07:33 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 19:07:33 BST 2016, end=Fri Jul 01 19:07:34 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 19:07:34 BST 2016, end=Fri Jul 01 19:07:35 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 19:07:35 BST 2016, end=Fri Jul 01 19:07:40 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 19:07:40 BST 2016, end=Fri Jul 01 19:07:42 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 19:07:42 BST 2016, end=Fri Jul 01 19:07:42 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 19:07:42 BST 2016, end=Fri Jul 01 19:07:45 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 19:07:45 BST 2016, end=Fri Jul 01 19:07:51 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 19:07:51 BST 2016, end=Fri Jul 01 19:08:11 BST 2016, operations=1.0, operationsPerMinute=2.9653059207274883
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 19:08:11 BST 2016, end=Fri Jul 01 19:08:12 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 19:08:23 BST 2016, end=Fri Jul 01 19:10:23 BST 2016, operations=486.68308641698457, operationsPerMinute=243.34154320849228, mode=normal, start=Fri Jul 01 19:10:24 BST 2016, end=Fri Jul 01 19:14:24 BST 2016, operations=994.4794579049469, operationsPerMinute=248.61986447623673
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 19:14:28 BST 2016, end=Fri Jul 01 19:16:28 BST 2016, operations=192.56628289075192, operationsPerMinute=96.28314144537596, mode=normal, start=Fri Jul 01 19:16:33 BST 2016, end=Fri Jul 01 19:20:33 BST 2016, operations=382.3701140091067, operationsPerMinute=95.59252850227668
benchmark-name=compress, mod=warmup, start=Fri Jul 01 19:20:35 BST 2016, end=Fri Jul 01 19:22:35 BST 2016, operations=399.8588174087814, operationsPerMinute=199.9294087043907, mode=normal, start=Fri Jul 01 19:22:37 BST 2016, end=Fri Jul 01 19:26:37 BST 2016, operations=798.2013237150487, operationsPerMinute=199.55033092876218
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 19:26:39 BST 2016, end=Fri Jul 01 19:28:39 BST 2016, operations=136.62824980346463, operationsPerMinute=68.31412490173231, mode=normal, start=Fri Jul 01 19:28:44 BST 2016, end=Fri Jul 01 19:32:44 BST 2016, operations=292.0279585292791, operationsPerMinute=73.00698963231977
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 19:32:49 BST 2016, end=Fri Jul 01 19:34:49 BST 2016, operations=233.95822187998164, operationsPerMinute=116.97911093999082, mode=normal, start=Fri Jul 01 19:34:52 BST 2016, end=Fri Jul 01 19:38:52 BST 2016, operations=468.6248601187289, operationsPerMinute=117.15621502968223
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 19:38:56 BST 2016, end=Fri Jul 01 19:40:56 BST 2016, operations=406.21488863260015, operationsPerMinute=203.10744431630008, mode=normal, start=Fri Jul 01 19:40:58 BST 2016, end=Fri Jul 01 19:44:58 BST 2016, operations=814.4234449290325, operationsPerMinute=203.60586123225812
benchmark-name=derby, mod=warmup, start=Fri Jul 01 19:45:20 BST 2016, end=Fri Jul 01 19:47:20 BST 2016, operations=359.5098812777128, operationsPerMinute=179.7549406388564, mode=normal, start=Fri Jul 01 19:47:23 BST 2016, end=Fri Jul 01 19:51:23 BST 2016, operations=721.770464291174, operationsPerMinute=180.4426160727935
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 19:51:25 BST 2016, end=Fri Jul 01 19:53:25 BST 2016, operations=207.73487876623273, operationsPerMinute=103.86743938311636, mode=normal, start=Fri Jul 01 19:53:29 BST 2016, end=Fri Jul 01 19:57:29 BST 2016, operations=415.7409176691912, operationsPerMinute=103.9352294172978
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 19:57:33 BST 2016, end=Fri Jul 01 19:59:33 BST 2016, operations=72.493131484148, operationsPerMinute=36.246565742074, mode=normal, start=Fri Jul 01 19:59:42 BST 2016, end=Fri Jul 01 20:03:42 BST 2016, operations=146.37013866558505, operationsPerMinute=36.59253466639626
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 20:03:53 BST 2016, end=Fri Jul 01 20:05:53 BST 2016, operations=13.752748613322545, operationsPerMinute=6.876374306661273, mode=normal, start=Fri Jul 01 20:06:38 BST 2016, end=Fri Jul 01 20:10:38 BST 2016, operations=27.87833257377227, operationsPerMinute=6.969583143443067
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 20:11:13 BST 2016, end=Fri Jul 01 20:13:13 BST 2016, operations=74.51952615297802, operationsPerMinute=37.25976307648901, mode=normal, start=Fri Jul 01 20:13:22 BST 2016, end=Fri Jul 01 20:17:22 BST 2016, operations=148.89690631940323, operationsPerMinute=37.22422657985081
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 20:17:31 BST 2016, end=Fri Jul 01 20:19:31 BST 2016, operations=42.47918344771165, operationsPerMinute=21.239591723855824, mode=normal, start=Fri Jul 01 20:19:43 BST 2016, end=Fri Jul 01 20:23:43 BST 2016, operations=84.72578620427421, operationsPerMinute=21.181446551068554
