spec.jvm2008.report.run.location=GREY-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 12:15:11 BST 2016, end=Mon Jul 04 12:15:11 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 12:15:11 BST 2016, end=Mon Jul 04 12:15:11 BST 2016, operations=1.0, operationsPerMinute=350.87719298245617
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 12:15:11 BST 2016, end=Mon Jul 04 12:15:27 BST 2016, operations=1.0, operationsPerMinute=3.9447731755424065
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 12:15:27 BST 2016, end=Mon Jul 04 12:15:30 BST 2016, operations=1.0, operationsPerMinute=17.24633515377982
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 12:15:30 BST 2016, end=Mon Jul 04 12:15:31 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 12:15:31 BST 2016, end=Mon Jul 04 12:15:40 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 12:15:40 BST 2016, end=Mon Jul 04 12:15:47 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 12:15:47 BST 2016, end=Mon Jul 04 12:15:54 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 12:15:54 BST 2016, end=Mon Jul 04 12:15:56 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 12:15:56 BST 2016, end=Mon Jul 04 12:15:57 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 12:15:57 BST 2016, end=Mon Jul 04 12:15:58 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 12:15:58 BST 2016, end=Mon Jul 04 12:16:03 BST 2016, operations=1.0, operationsPerMinute=10.773927096426647
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 12:16:03 BST 2016, end=Mon Jul 04 12:16:05 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 12:16:05 BST 2016, end=Mon Jul 04 12:16:06 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 12:16:06 BST 2016, end=Mon Jul 04 12:16:08 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 12:16:08 BST 2016, end=Mon Jul 04 12:16:14 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 12:16:14 BST 2016, end=Mon Jul 04 12:16:34 BST 2016, operations=1.0, operationsPerMinute=2.9609159099881563
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 12:16:34 BST 2016, end=Mon Jul 04 12:16:35 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 12:16:47 BST 2016, end=Mon Jul 04 12:18:47 BST 2016, operations=485.4888228082532, operationsPerMinute=242.7444114041266, mode=normal, start=Mon Jul 04 12:18:48 BST 2016, end=Mon Jul 04 12:22:48 BST 2016, operations=1004.6019020229559, operationsPerMinute=251.15047550573897
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 12:22:52 BST 2016, end=Mon Jul 04 12:24:52 BST 2016, operations=195.0660922797676, operationsPerMinute=97.5330461398838, mode=normal, start=Mon Jul 04 12:24:55 BST 2016, end=Mon Jul 04 12:28:55 BST 2016, operations=388.3701982659329, operationsPerMinute=97.09254956648323
benchmark-name=compress, mod=warmup, start=Mon Jul 04 12:28:58 BST 2016, end=Mon Jul 04 12:30:58 BST 2016, operations=401.24836130491354, operationsPerMinute=200.62418065245677, mode=normal, start=Mon Jul 04 12:31:00 BST 2016, end=Mon Jul 04 12:35:00 BST 2016, operations=799.8896461157898, operationsPerMinute=199.97241152894745
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 12:35:02 BST 2016, end=Mon Jul 04 12:37:02 BST 2016, operations=138.2349430147545, operationsPerMinute=69.11747150737725, mode=normal, start=Mon Jul 04 12:37:07 BST 2016, end=Mon Jul 04 12:41:07 BST 2016, operations=292.5990291631705, operationsPerMinute=73.14975729079262
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 12:41:12 BST 2016, end=Mon Jul 04 12:43:12 BST 2016, operations=236.01801489354352, operationsPerMinute=118.00900744677176, mode=normal, start=Mon Jul 04 12:43:15 BST 2016, end=Mon Jul 04 12:47:15 BST 2016, operations=472.43079214449773, operationsPerMinute=118.10769803612443
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 12:47:18 BST 2016, end=Mon Jul 04 12:49:18 BST 2016, operations=407.60557220557223, operationsPerMinute=203.80278610278611, mode=normal, start=Mon Jul 04 12:49:21 BST 2016, end=Mon Jul 04 12:53:21 BST 2016, operations=814.4833608605506, operationsPerMinute=203.62084021513766
benchmark-name=derby, mod=warmup, start=Mon Jul 04 12:54:01 BST 2016, end=Mon Jul 04 12:56:01 BST 2016, operations=362.37875421197407, operationsPerMinute=181.18937710598703, mode=normal, start=Mon Jul 04 12:56:03 BST 2016, end=Mon Jul 04 13:00:03 BST 2016, operations=731.3159872955863, operationsPerMinute=182.82899682389657
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 13:00:06 BST 2016, end=Mon Jul 04 13:02:06 BST 2016, operations=208.38399152644442, operationsPerMinute=104.19199576322221, mode=normal, start=Mon Jul 04 13:02:10 BST 2016, end=Mon Jul 04 13:06:10 BST 2016, operations=417.0184475851567, operationsPerMinute=104.25461189628918
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 13:06:13 BST 2016, end=Mon Jul 04 13:08:13 BST 2016, operations=78.26436493990371, operationsPerMinute=39.13218246995186, mode=normal, start=Mon Jul 04 13:08:20 BST 2016, end=Mon Jul 04 13:12:20 BST 2016, operations=155.67040965816904, operationsPerMinute=38.91760241454226
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 13:12:32 BST 2016, end=Mon Jul 04 13:14:32 BST 2016, operations=14.011472386999106, operationsPerMinute=7.005736193499553, mode=normal, start=Mon Jul 04 13:15:14 BST 2016, end=Mon Jul 04 13:19:14 BST 2016, operations=27.805646901491382, operationsPerMinute=6.951411725372846
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 13:19:57 BST 2016, end=Mon Jul 04 13:21:57 BST 2016, operations=74.28465039927153, operationsPerMinute=37.14232519963576, mode=normal, start=Mon Jul 04 13:22:07 BST 2016, end=Mon Jul 04 13:26:07 BST 2016, operations=148.82374460120747, operationsPerMinute=37.205936150301866
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 13:26:16 BST 2016, end=Mon Jul 04 13:28:16 BST 2016, operations=43.28916549650898, operationsPerMinute=21.64458274825449, mode=normal, start=Mon Jul 04 13:28:26 BST 2016, end=Mon Jul 04 13:32:26 BST 2016, operations=85.77615205885296, operationsPerMinute=21.44403801471324
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 13:32:41 BST 2016, end=Mon Jul 04 13:34:41 BST 2016, operations=732.5923119095817, operationsPerMinute=366.29615595479083, mode=normal, start=Mon Jul 04 13:34:42 BST 2016, end=Mon Jul 04 13:38:42 BST 2016, operations=1471.0619966220722, operationsPerMinute=367.76549915551806
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 13:38:43 BST 2016, end=Mon Jul 04 13:40:43 BST 2016, operations=576.8923821039904, operationsPerMinute=288.4461910519952, mode=normal, start=Mon Jul 04 13:40:44 BST 2016, end=Mon Jul 04 13:44:44 BST 2016, operations=1153.095576691114, operationsPerMinute=288.2738941727785
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 13:44:45 BST 2016, end=Mon Jul 04 13:46:45 BST 2016, operations=330.3563197986232, operationsPerMinute=165.1781598993116, mode=normal, start=Mon Jul 04 13:46:48 BST 2016, end=Mon Jul 04 13:50:48 BST 2016, operations=662.0729930337602, operationsPerMinute=165.51824825844005
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 13:50:50 BST 2016, end=Mon Jul 04 13:52:50 BST 2016, operations=508.1803154319441, operationsPerMinute=254.09015771597205, mode=normal, start=Mon Jul 04 13:52:51 BST 2016, end=Mon Jul 04 13:56:51 BST 2016, operations=1019.5337793028552, operationsPerMinute=254.8834448257138
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 13:56:53 BST 2016, end=Mon Jul 04 13:58:53 BST 2016, operations=120.05304720302766, operationsPerMinute=60.02652360151383, mode=normal, start=Mon Jul 04 13:59:00 BST 2016, end=Mon Jul 04 14:03:00 BST 2016, operations=239.04078217507922, operationsPerMinute=59.760195543769804
benchmark-name=serial, mod=warmup, start=Mon Jul 04 14:03:06 BST 2016, end=Mon Jul 04 14:05:06 BST 2016, operations=234.90195469854564, operationsPerMinute=117.45097734927282, mode=normal, start=Mon Jul 04 14:05:10 BST 2016, end=Mon Jul 04 14:09:10 BST 2016, operations=473.2676325684688, operationsPerMinute=118.3169081421172
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 14:09:14 BST 2016, end=Mon Jul 04 14:11:14 BST 2016, operations=178.13650075414782, operationsPerMinute=89.06825037707391, mode=normal, start=Mon Jul 04 14:11:15 BST 2016, end=Mon Jul 04 14:15:15 BST 2016, operations=358.6019940052835, operationsPerMinute=89.65049850132087
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 14:15:36 BST 2016, end=Mon Jul 04 14:17:36 BST 2016, operations=501.77570203553984, operationsPerMinute=250.88785101776992, mode=normal, start=Mon Jul 04 14:17:38 BST 2016, end=Mon Jul 04 14:21:38 BST 2016, operations=1060.3513891333685, operationsPerMinute=265.0878472833421
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 14:21:39 BST 2016, end=Mon Jul 04 14:23:39 BST 2016, operations=980.6956930568056, operationsPerMinute=490.3478465284028, mode=normal, start=Mon Jul 04 14:23:40 BST 2016, end=Mon Jul 04 14:27:40 BST 2016, operations=1945.4985049822171, operationsPerMinute=486.3746262455543
