spec.jvm2008.report.run.location=BARN-06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 19:06:33 BST 2016, end=Fri Jul 01 19:06:33 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 20:23:29 BST 2016, end=Fri Jul 01 20:25:29 BST 2016, operations=378.05336222198486, operationsPerMinute=189.02668111099243, mode=normal, start=Fri Jul 01 20:25:32 BST 2016, end=Fri Jul 01 20:29:32 BST 2016, operations=1501.4051952999343, operationsPerMinute=375.3512988249836
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 20:29:33 BST 2016, end=Fri Jul 01 20:31:33 BST 2016, operations=519.2654885656111, operationsPerMinute=259.63274428280556, mode=normal, start=Fri Jul 01 20:31:34 BST 2016, end=Fri Jul 01 20:35:34 BST 2016, operations=1045.7317563560168, operationsPerMinute=261.4329390890042
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 20:35:36 BST 2016, end=Fri Jul 01 20:37:36 BST 2016, operations=329.81182704552987, operationsPerMinute=164.90591352276493, mode=normal, start=Fri Jul 01 20:37:38 BST 2016, end=Fri Jul 01 20:41:38 BST 2016, operations=659.4093899122108, operationsPerMinute=164.8523474780527
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 20:41:39 BST 2016, end=Fri Jul 01 20:43:39 BST 2016, operations=472.6424652418706, operationsPerMinute=236.3212326209353, mode=normal, start=Fri Jul 01 20:43:41 BST 2016, end=Fri Jul 01 20:47:41 BST 2016, operations=940.1336584912673, operationsPerMinute=235.03341462281682
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 20:47:42 BST 2016, end=Fri Jul 01 20:49:42 BST 2016, operations=119.81875333516572, operationsPerMinute=59.90937666758286, mode=normal, start=Fri Jul 01 20:49:50 BST 2016, end=Fri Jul 01 20:53:50 BST 2016, operations=239.90821999776807, operationsPerMinute=59.97705499944202
benchmark-name=serial, mod=warmup, start=Fri Jul 01 20:53:56 BST 2016, end=Fri Jul 01 20:55:56 BST 2016, operations=241.5488185310532, operationsPerMinute=120.7744092655266, mode=normal, start=Fri Jul 01 20:55:59 BST 2016, end=Fri Jul 01 20:59:59 BST 2016, operations=473.29660963989807, operationsPerMinute=118.32415240997452
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 21:00:03 BST 2016, end=Fri Jul 01 21:02:03 BST 2016, operations=176.36963470667985, operationsPerMinute=88.18481735333992, mode=normal, start=Fri Jul 01 21:02:05 BST 2016, end=Fri Jul 01 21:06:05 BST 2016, operations=349.70253767502976, operationsPerMinute=87.42563441875744
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 21:06:26 BST 2016, end=Fri Jul 01 21:08:26 BST 2016, operations=499.2289307798011, operationsPerMinute=249.61446538990054, mode=normal, start=Fri Jul 01 21:08:28 BST 2016, end=Fri Jul 01 21:12:28 BST 2016, operations=1017.9046833512939, operationsPerMinute=254.47617083782347
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 21:12:29 BST 2016, end=Fri Jul 01 21:14:29 BST 2016, operations=1030.44099378882, operationsPerMinute=515.22049689441, mode=normal, start=Fri Jul 01 21:14:30 BST 2016, end=Fri Jul 01 21:18:30 BST 2016, operations=2020.0897200820148, operationsPerMinute=505.0224300205037
##-nursultan-##,BARN-06,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 19:06:33 BST 2016,Fri Jul 01 19:06:33 BST 2016,1.0,1276.595744680851,startup.helloworld,Fri Jul 01 19:06:33 BST 2016,Fri Jul 01 19:06:33 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Fri Jul 01 19:06:33 BST 2016,Fri Jul 01 19:06:47 BST 2016,1.0,4.47227191413238,startup.compiler.sunflow,Fri Jul 01 19:06:47 BST 2016,Fri Jul 01 19:06:50 BST 2016,1.0,18.315018315018314,startup.compress,Fri Jul 01 19:06:50 BST 2016,Fri Jul 01 19:06:51 BST 2016,1.0,47.46835443037975,startup.crypto.aes,Fri Jul 01 19:06:51 BST 2016,Fri Jul 01 19:07:00 BST 2016,1.0,7.082989021367017,startup.crypto.rsa,Fri Jul 01 19:07:00 BST 2016,Fri Jul 01 19:07:07 BST 2016,1.0,7.930214115781126,startup.crypto.signverify,Fri Jul 01 19:07:07 BST 2016,Fri Jul 01 19:07:14 BST 2016,1.0,9.136592051164916,startup.mpegaudio,Fri Jul 01 19:07:14 BST 2016,Fri Jul 01 19:07:16 BST 2016,1.0,26.7022696929239,startup.scimark.fft,Fri Jul 01 19:07:16 BST 2016,Fri Jul 01 19:07:17 BST 2016,1.0,83.68200836820084,startup.scimark.lu,Fri Jul 01 19:07:17 BST 2016,Fri Jul 01 19:07:18 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Fri Jul 01 19:07:18 BST 2016,Fri Jul 01 19:07:23 BST 2016,1.0,10.803024846957149,startup.scimark.sor,Fri Jul 01 19:07:23 BST 2016,Fri Jul 01 19:07:25 BST 2016,1.0,42.28329809725159,startup.scimark.sparse,Fri Jul 01 19:07:25 BST 2016,Fri Jul 01 19:07:26 BST 2016,1.0,61.03763987792472,startup.serial,Fri Jul 01 19:07:26 BST 2016,Fri Jul 01 19:07:28 BST 2016,1.0,28.275212064090482,startup.sunflow,Fri Jul 01 19:07:28 BST 2016,Fri Jul 01 19:07:34 BST 2016,1.0,9.358914365933552,startup.xml.transform,Fri Jul 01 19:07:34 BST 2016,Fri Jul 01 19:07:54 BST 2016,1.0,2.9585798816568047,startup.xml.validation,Fri Jul 01 19:07:54 BST 2016,Fri Jul 01 19:07:55 BST 2016,1.0,75.37688442211055,compiler.compiler,Fri Jul 01 19:08:06 BST 2016,Fri Jul 01 19:10:06 BST 2016,486.96988481367634,243.48494240683817,Fri Jul 01 19:10:07 BST 2016,Fri Jul 01 19:14:07 BST 2016,1027.751955616338,256.9379889040845,compiler.sunflow,Fri Jul 01 19:14:12 BST 2016,Fri Jul 01 19:16:12 BST 2016,200.36493989698673,100.18246994849336,Fri Jul 01 19:16:15 BST 2016,Fri Jul 01 19:20:15 BST 2016,400.78570257458586,100.19642564364646,compress,Fri Jul 01 19:20:19 BST 2016,Fri Jul 01 19:22:19 BST 2016,399.8438264923933,199.92191324619665,Fri Jul 01 19:22:21 BST 2016,Fri Jul 01 19:26:21 BST 2016,794.3755648346182,198.59389120865455,crypto.aes,Fri Jul 01 19:26:23 BST 2016,Fri Jul 01 19:28:23 BST 2016,140.3491615980637,70.17458079903184,Fri Jul 01 19:28:28 BST 2016,Fri Jul 01 19:32:28 BST 2016,294.8764560515726,73.71911401289314,crypto.rsa,Fri Jul 01 19:32:34 BST 2016,Fri Jul 01 19:34:34 BST 2016,236.39813207878802,118.19906603939401,Fri Jul 01 19:34:38 BST 2016,Fri Jul 01 19:38:38 BST 2016,473.99959041364923,118.49989760341231,crypto.signverify,Fri Jul 01 19:38:40 BST 2016,Fri Jul 01 19:40:40 BST 2016,408.22347325794505,204.11173662897252,Fri Jul 01 19:40:42 BST 2016,Fri Jul 01 19:44:42 BST 2016,815.828342887615,203.95708572190375,derby,Fri Jul 01 19:45:04 BST 2016,Fri Jul 01 19:47:04 BST 2016,360.90232341207366,180.45116170603683,Fri Jul 01 19:47:07 BST 2016,Fri Jul 01 19:51:07 BST 2016,709.70393955311,177.4259848882775,mpegaudio,Fri Jul 01 19:51:09 BST 2016,Fri Jul 01 19:53:09 BST 2016,198.95432428030418,99.47716214015209,Fri Jul 01 19:53:12 BST 2016,Fri Jul 01 19:57:12 BST 2016,400.1044523787121,100.02611309467802,scimark.fft.large,Fri Jul 01 19:57:16 BST 2016,Fri Jul 01 19:59:16 BST 2016,68.55838863864776,34.27919431932388,Fri Jul 01 19:59:26 BST 2016,Fri Jul 01 20:03:26 BST 2016,154.39637286842267,38.59909321710567,scimark.lu.large,Fri Jul 01 20:03:35 BST 2016,Fri Jul 01 20:05:35 BST 2016,13.884577783587009,6.942288891793504,Fri Jul 01 20:06:19 BST 2016,Fri Jul 01 20:10:19 BST 2016,27.699608303984007,6.924902075996002,scimark.sor.large,Fri Jul 01 20:10:47 BST 2016,Fri Jul 01 20:12:47 BST 2016,74.51505558549428,37.25752779274714,Fri Jul 01 20:12:56 BST 2016,Fri Jul 01 20:16:56 BST 2016,148.65018082317647,37.16254520579412,scimark.sparse.large,Fri Jul 01 20:17:06 BST 2016,Fri Jul 01 20:19:06 BST 2016,42.71303227613973,21.356516138069864,Fri Jul 01 20:19:18 BST 2016,Fri Jul 01 20:23:18 BST 2016,85.0550624219686,21.26376560549215,scimark.fft.small,Fri Jul 01 20:23:29 BST 2016,Fri Jul 01 20:25:29 BST 2016,378.05336222198486,189.02668111099243,Fri Jul 01 20:25:32 BST 2016,Fri Jul 01 20:29:32 BST 2016,1501.4051952999343,375.3512988249836,scimark.lu.small,Fri Jul 01 20:29:33 BST 2016,Fri Jul 01 20:31:33 BST 2016,519.2654885656111,259.63274428280556,Fri Jul 01 20:31:34 BST 2016,Fri Jul 01 20:35:34 BST 2016,1045.7317563560168,261.4329390890042,scimark.sor.small,Fri Jul 01 20:35:36 BST 2016,Fri Jul 01 20:37:36 BST 2016,329.81182704552987,164.90591352276493,Fri Jul 01 20:37:38 BST 2016,Fri Jul 01 20:41:38 BST 2016,659.4093899122108,164.8523474780527,scimark.sparse.small,Fri Jul 01 20:41:39 BST 2016,Fri Jul 01 20:43:39 BST 2016,472.6424652418706,236.3212326209353,Fri Jul 01 20:43:41 BST 2016,Fri Jul 01 20:47:41 BST 2016,940.1336584912673,235.03341462281682,scimark.monte_carlo,Fri Jul 01 20:47:42 BST 2016,Fri Jul 01 20:49:42 BST 2016,119.81875333516572,59.90937666758286,Fri Jul 01 20:49:50 BST 2016,Fri Jul 01 20:53:50 BST 2016,239.90821999776807,59.97705499944202,serial,Fri Jul 01 20:53:56 BST 2016,Fri Jul 01 20:55:56 BST 2016,241.5488185310532,120.7744092655266,Fri Jul 01 20:55:59 BST 2016,Fri Jul 01 20:59:59 BST 2016,473.29660963989807,118.32415240997452,sunflow,Fri Jul 01 21:00:03 BST 2016,Fri Jul 01 21:02:03 BST 2016,176.36963470667985,88.18481735333992,Fri Jul 01 21:02:05 BST 2016,Fri Jul 01 21:06:05 BST 2016,349.70253767502976,87.42563441875744,xml.transform,Fri Jul 01 21:06:26 BST 2016,Fri Jul 01 21:08:26 BST 2016,499.2289307798011,249.61446538990054,Fri Jul 01 21:08:28 BST 2016,Fri Jul 01 21:12:28 BST 2016,1017.9046833512939,254.47617083782347,xml.validation,Fri Jul 01 21:12:29 BST 2016,Fri Jul 01 21:14:29 BST 2016,1030.44099378882,515.22049689441,Fri Jul 01 21:14:30 BST 2016,Fri Jul 01 21:18:30 BST 2016,2020.0897200820148,505.0224300205037
