spec.jvm2008.report.run.location=PERCY008
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 20:27:11 BST 2016, end=Sun Jun 26 20:27:12 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 20:27:12 BST 2016, end=Sun Jun 26 20:27:12 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 20:27:12 BST 2016, end=Sun Jun 26 20:27:24 BST 2016, operations=1.0, operationsPerMinute=4.719207173194904
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 20:27:24 BST 2016, end=Sun Jun 26 20:27:28 BST 2016, operations=1.0, operationsPerMinute=17.56440281030445
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 20:27:28 BST 2016, end=Sun Jun 26 20:27:29 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 20:27:29 BST 2016, end=Sun Jun 26 20:27:38 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 20:27:38 BST 2016, end=Sun Jun 26 20:27:45 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 20:27:45 BST 2016, end=Sun Jun 26 20:27:52 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 20:27:52 BST 2016, end=Sun Jun 26 20:27:54 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 20:27:54 BST 2016, end=Sun Jun 26 20:27:55 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 20:27:55 BST 2016, end=Sun Jun 26 20:27:56 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 20:27:56 BST 2016, end=Sun Jun 26 20:28:01 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 20:28:01 BST 2016, end=Sun Jun 26 20:28:02 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 20:28:02 BST 2016, end=Sun Jun 26 20:28:03 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 20:28:03 BST 2016, end=Sun Jun 26 20:28:06 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 20:28:06 BST 2016, end=Sun Jun 26 20:28:12 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 20:28:12 BST 2016, end=Sun Jun 26 20:28:32 BST 2016, operations=1.0, operationsPerMinute=2.9953571963456644
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 20:28:32 BST 2016, end=Sun Jun 26 20:28:33 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 20:28:43 BST 2016, end=Sun Jun 26 20:30:43 BST 2016, operations=490.819919246263, operationsPerMinute=245.4099596231315, mode=normal, start=Sun Jun 26 20:30:44 BST 2016, end=Sun Jun 26 20:34:44 BST 2016, operations=998.5914022391152, operationsPerMinute=249.6478505597788
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 20:34:48 BST 2016, end=Sun Jun 26 20:36:48 BST 2016, operations=199.01077602016233, operationsPerMinute=99.50538801008116, mode=normal, start=Sun Jun 26 20:36:51 BST 2016, end=Sun Jun 26 20:40:51 BST 2016, operations=393.1786917655066, operationsPerMinute=98.29467294137665
benchmark-name=compress, mod=warmup, start=Sun Jun 26 20:40:54 BST 2016, end=Sun Jun 26 20:42:54 BST 2016, operations=401.0196165722916, operationsPerMinute=200.5098082861458, mode=normal, start=Sun Jun 26 20:42:56 BST 2016, end=Sun Jun 26 20:46:56 BST 2016, operations=802.0612933464621, operationsPerMinute=200.51532333661552
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 20:46:58 BST 2016, end=Sun Jun 26 20:48:58 BST 2016, operations=139.49056425990224, operationsPerMinute=69.74528212995112, mode=normal, start=Sun Jun 26 20:49:02 BST 2016, end=Sun Jun 26 20:53:02 BST 2016, operations=293.83261038198975, operationsPerMinute=73.45815259549744
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 20:53:07 BST 2016, end=Sun Jun 26 20:55:07 BST 2016, operations=235.19352016566495, operationsPerMinute=117.59676008283247, mode=normal, start=Sun Jun 26 20:55:10 BST 2016, end=Sun Jun 26 20:59:10 BST 2016, operations=471.84873162655657, operationsPerMinute=117.96218290663914
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 20:59:14 BST 2016, end=Sun Jun 26 21:01:14 BST 2016, operations=405.7825691161572, operationsPerMinute=202.8912845580786, mode=normal, start=Sun Jun 26 21:01:16 BST 2016, end=Sun Jun 26 21:05:16 BST 2016, operations=814.2464119214119, operationsPerMinute=203.56160298035297
benchmark-name=derby, mod=warmup, start=Sun Jun 26 21:05:38 BST 2016, end=Sun Jun 26 21:07:38 BST 2016, operations=360.44536263052737, operationsPerMinute=180.22268131526369, mode=normal, start=Sun Jun 26 21:07:40 BST 2016, end=Sun Jun 26 21:11:40 BST 2016, operations=731.6506223056683, operationsPerMinute=182.91265557641708
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 21:11:43 BST 2016, end=Sun Jun 26 21:13:43 BST 2016, operations=207.8046434131589, operationsPerMinute=103.90232170657946, mode=normal, start=Sun Jun 26 21:13:47 BST 2016, end=Sun Jun 26 21:17:47 BST 2016, operations=416.25115513161165, operationsPerMinute=104.06278878290291
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 21:17:50 BST 2016, end=Sun Jun 26 21:19:50 BST 2016, operations=77.33211113302241, operationsPerMinute=38.666055566511204, mode=normal, start=Sun Jun 26 21:19:59 BST 2016, end=Sun Jun 26 21:23:59 BST 2016, operations=144.97312172557346, operationsPerMinute=36.243280431393366
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 21:24:08 BST 2016, end=Sun Jun 26 21:26:08 BST 2016, operations=13.874139620781026, operationsPerMinute=6.937069810390513, mode=normal, start=Sun Jun 26 21:26:51 BST 2016, end=Sun Jun 26 21:30:51 BST 2016, operations=27.842047462463704, operationsPerMinute=6.960511865615926
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 21:31:34 BST 2016, end=Sun Jun 26 21:33:34 BST 2016, operations=74.7240068884055, operationsPerMinute=37.36200344420275, mode=normal, start=Sun Jun 26 21:33:43 BST 2016, end=Sun Jun 26 21:37:43 BST 2016, operations=149.25103158635514, operationsPerMinute=37.312757896588785
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 21:37:54 BST 2016, end=Sun Jun 26 21:39:54 BST 2016, operations=43.138563044292454, operationsPerMinute=21.569281522146227, mode=normal, start=Sun Jun 26 21:40:04 BST 2016, end=Sun Jun 26 21:44:04 BST 2016, operations=86.63058601985645, operationsPerMinute=21.657646504964113
