spec.jvm2008.report.run.location=GREY-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 10:00:50 BST 2016, end=Mon Jul 04 10:00:50 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 10:00:50 BST 2016, end=Mon Jul 04 10:00:50 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 10:00:50 BST 2016, end=Mon Jul 04 10:01:05 BST 2016, operations=1.0, operationsPerMinute=4.006410256410256
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 10:01:05 BST 2016, end=Mon Jul 04 10:01:09 BST 2016, operations=1.0, operationsPerMinute=17.326017903551833
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 10:01:09 BST 2016, end=Mon Jul 04 10:01:10 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 10:01:10 BST 2016, end=Mon Jul 04 10:01:18 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 10:01:18 BST 2016, end=Mon Jul 04 10:01:26 BST 2016, operations=1.0, operationsPerMinute=8.13228517213337
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 10:01:26 BST 2016, end=Mon Jul 04 10:01:32 BST 2016, operations=1.0, operationsPerMinute=9.266409266409266
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 10:01:32 BST 2016, end=Mon Jul 04 10:01:34 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 10:01:34 BST 2016, end=Mon Jul 04 10:01:35 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 10:01:35 BST 2016, end=Mon Jul 04 10:01:36 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 10:01:36 BST 2016, end=Mon Jul 04 10:01:42 BST 2016, operations=1.0, operationsPerMinute=10.924981791697014
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 10:01:42 BST 2016, end=Mon Jul 04 10:01:43 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 10:01:43 BST 2016, end=Mon Jul 04 10:01:44 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 10:01:44 BST 2016, end=Mon Jul 04 10:01:46 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 10:01:46 BST 2016, end=Mon Jul 04 10:01:52 BST 2016, operations=1.0, operationsPerMinute=9.448818897637794
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 10:01:52 BST 2016, end=Mon Jul 04 10:02:12 BST 2016, operations=1.0, operationsPerMinute=2.990877822640945
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 10:02:12 BST 2016, end=Mon Jul 04 10:02:13 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 10:02:25 BST 2016, end=Mon Jul 04 10:04:25 BST 2016, operations=489.1114488517904, operationsPerMinute=244.5557244258952, mode=normal, start=Mon Jul 04 10:04:26 BST 2016, end=Mon Jul 04 10:08:26 BST 2016, operations=997.3213655746448, operationsPerMinute=249.3303413936612
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 10:08:31 BST 2016, end=Mon Jul 04 10:10:31 BST 2016, operations=199.47828661061175, operationsPerMinute=99.73914330530587, mode=normal, start=Mon Jul 04 10:10:35 BST 2016, end=Mon Jul 04 10:14:35 BST 2016, operations=397.250106100993, operationsPerMinute=99.31252652524824
benchmark-name=compress, mod=warmup, start=Mon Jul 04 10:14:38 BST 2016, end=Mon Jul 04 10:16:38 BST 2016, operations=399.84462209761904, operationsPerMinute=199.92231104880952, mode=normal, start=Mon Jul 04 10:16:40 BST 2016, end=Mon Jul 04 10:20:40 BST 2016, operations=800.8497409887015, operationsPerMinute=200.21243524717536
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 10:20:42 BST 2016, end=Mon Jul 04 10:22:42 BST 2016, operations=139.40430276971233, operationsPerMinute=69.70215138485617, mode=normal, start=Mon Jul 04 10:22:47 BST 2016, end=Mon Jul 04 10:26:47 BST 2016, operations=281.30636461042377, operationsPerMinute=70.32659115260594
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 10:26:51 BST 2016, end=Mon Jul 04 10:28:51 BST 2016, operations=233.09563051496357, operationsPerMinute=116.54781525748179, mode=normal, start=Mon Jul 04 10:28:54 BST 2016, end=Mon Jul 04 10:32:54 BST 2016, operations=465.3141657961978, operationsPerMinute=116.32854144904945
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 10:32:57 BST 2016, end=Mon Jul 04 10:34:57 BST 2016, operations=405.93948959012386, operationsPerMinute=202.96974479506193, mode=normal, start=Mon Jul 04 10:34:59 BST 2016, end=Mon Jul 04 10:38:59 BST 2016, operations=813.5766862236125, operationsPerMinute=203.3941715559031
benchmark-name=derby, mod=warmup, start=Mon Jul 04 10:39:42 BST 2016, end=Mon Jul 04 10:41:42 BST 2016, operations=357.58259718162014, operationsPerMinute=178.79129859081007, mode=normal, start=Mon Jul 04 10:41:44 BST 2016, end=Mon Jul 04 10:45:44 BST 2016, operations=718.0363092388166, operationsPerMinute=179.50907730970414
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 10:45:46 BST 2016, end=Mon Jul 04 10:47:46 BST 2016, operations=207.25933463611733, operationsPerMinute=103.62966731805867, mode=normal, start=Mon Jul 04 10:47:50 BST 2016, end=Mon Jul 04 10:51:50 BST 2016, operations=416.0667735989013, operationsPerMinute=104.01669339972533
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 10:51:53 BST 2016, end=Mon Jul 04 10:53:53 BST 2016, operations=70.29580141786363, operationsPerMinute=35.147900708931815, mode=normal, start=Mon Jul 04 10:54:02 BST 2016, end=Mon Jul 04 10:58:02 BST 2016, operations=141.93047128981186, operationsPerMinute=35.482617822452966
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 10:58:09 BST 2016, end=Mon Jul 04 11:00:09 BST 2016, operations=13.921180174532108, operationsPerMinute=6.960590087266054, mode=normal, start=Mon Jul 04 11:00:53 BST 2016, end=Mon Jul 04 11:04:53 BST 2016, operations=27.751912985852353, operationsPerMinute=6.937978246463088
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 11:05:37 BST 2016, end=Mon Jul 04 11:07:37 BST 2016, operations=74.21609921233001, operationsPerMinute=37.108049606165004, mode=normal, start=Mon Jul 04 11:07:46 BST 2016, end=Mon Jul 04 11:11:46 BST 2016, operations=72.62118503580199, operationsPerMinute=18.155296258950496
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 11:11:55 BST 2016, end=Mon Jul 04 11:13:55 BST 2016, operations=42.501041169887856, operationsPerMinute=21.250520584943928, mode=normal, start=Mon Jul 04 11:14:08 BST 2016, end=Mon Jul 04 11:18:08 BST 2016, operations=85.8596535034589, operationsPerMinute=21.464913375864725
