spec.jvm2008.report.run.location=GREY-01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 20:36:45 BST 2016, end=Mon Jul 04 20:36:45 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 20:36:45 BST 2016, end=Mon Jul 04 20:36:45 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 20:36:45 BST 2016, end=Mon Jul 04 20:36:59 BST 2016, operations=1.0, operationsPerMinute=4.493035794518496
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 20:36:59 BST 2016, end=Mon Jul 04 20:37:02 BST 2016, operations=1.0, operationsPerMinute=17.559262510974538
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 20:37:02 BST 2016, end=Mon Jul 04 20:37:03 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 20:37:03 BST 2016, end=Mon Jul 04 20:37:12 BST 2016, operations=1.0, operationsPerMinute=6.795016987542469
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 20:37:12 BST 2016, end=Mon Jul 04 20:37:20 BST 2016, operations=1.0, operationsPerMinute=7.996801279488205
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 20:37:20 BST 2016, end=Mon Jul 04 20:37:26 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 20:37:26 BST 2016, end=Mon Jul 04 20:37:29 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 20:37:29 BST 2016, end=Mon Jul 04 20:37:30 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 20:37:30 BST 2016, end=Mon Jul 04 20:37:30 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 20:37:30 BST 2016, end=Mon Jul 04 20:37:36 BST 2016, operations=1.0, operationsPerMinute=10.507880910683012
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 20:37:36 BST 2016, end=Mon Jul 04 20:37:38 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 20:37:38 BST 2016, end=Mon Jul 04 20:37:39 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 20:37:39 BST 2016, end=Mon Jul 04 20:37:41 BST 2016, operations=1.0, operationsPerMinute=27.272727272727273
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 20:37:41 BST 2016, end=Mon Jul 04 20:37:47 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 20:37:47 BST 2016, end=Mon Jul 04 20:38:08 BST 2016, operations=1.0, operationsPerMinute=2.8532027200532597
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 20:38:08 BST 2016, end=Mon Jul 04 20:38:09 BST 2016, operations=1.0, operationsPerMinute=72.63922518159806
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 20:38:20 BST 2016, end=Mon Jul 04 20:40:20 BST 2016, operations=441.15658799744307, operationsPerMinute=220.57829399872153, mode=normal, start=Mon Jul 04 20:40:22 BST 2016, end=Mon Jul 04 20:44:22 BST 2016, operations=894.6449885422595, operationsPerMinute=223.66124713556488
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 20:44:25 BST 2016, end=Mon Jul 04 20:46:25 BST 2016, operations=178.04246998275713, operationsPerMinute=89.02123499137856, mode=normal, start=Mon Jul 04 20:46:29 BST 2016, end=Mon Jul 04 20:50:29 BST 2016, operations=356.51015517650495, operationsPerMinute=89.12753879412624
benchmark-name=compress, mod=warmup, start=Mon Jul 04 20:50:33 BST 2016, end=Mon Jul 04 20:52:33 BST 2016, operations=301.09025066993183, operationsPerMinute=150.54512533496592, mode=normal, start=Mon Jul 04 20:52:39 BST 2016, end=Mon Jul 04 20:56:39 BST 2016, operations=456.20280136355456, operationsPerMinute=114.05070034088864
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 20:56:49 BST 2016, end=Mon Jul 04 20:58:49 BST 2016, operations=105.49048208668145, operationsPerMinute=52.74524104334073, mode=normal, start=Mon Jul 04 20:58:54 BST 2016, end=Mon Jul 04 21:02:54 BST 2016, operations=224.23300902915747, operationsPerMinute=56.05825225728937
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 21:02:59 BST 2016, end=Mon Jul 04 21:04:59 BST 2016, operations=178.20153092490327, operationsPerMinute=89.10076546245163, mode=normal, start=Mon Jul 04 21:05:04 BST 2016, end=Mon Jul 04 21:09:04 BST 2016, operations=231.59347846755827, operationsPerMinute=57.89836961688957
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 21:09:29 BST 2016, end=Mon Jul 04 21:11:29 BST 2016, operations=305.95187044724315, operationsPerMinute=152.97593522362158, mode=normal, start=Mon Jul 04 21:11:32 BST 2016, end=Mon Jul 04 21:15:32 BST 2016, operations=611.5596068409465, operationsPerMinute=152.88990171023661
benchmark-name=derby, mod=warmup, start=Mon Jul 04 21:15:55 BST 2016, end=Mon Jul 04 21:17:55 BST 2016, operations=277.0442082226597, operationsPerMinute=138.52210411132984, mode=normal, start=Mon Jul 04 21:17:58 BST 2016, end=Mon Jul 04 21:21:58 BST 2016, operations=554.7284902221492, operationsPerMinute=138.6821225555373
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 21:22:01 BST 2016, end=Mon Jul 04 21:24:01 BST 2016, operations=156.00673379525998, operationsPerMinute=78.00336689762999, mode=normal, start=Mon Jul 04 21:24:09 BST 2016, end=Mon Jul 04 21:28:09 BST 2016, operations=201.69835387712413, operationsPerMinute=50.424588469281034
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 21:28:13 BST 2016, end=Mon Jul 04 21:30:13 BST 2016, operations=68.92302239274582, operationsPerMinute=34.46151119637291, mode=normal, start=Mon Jul 04 21:30:32 BST 2016, end=Mon Jul 04 21:34:32 BST 2016, operations=126.33811453988199, operationsPerMinute=31.584528634970496
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 21:34:41 BST 2016, end=Mon Jul 04 21:36:41 BST 2016, operations=9.014618797661477, operationsPerMinute=4.5073093988307384, mode=normal, start=Mon Jul 04 21:38:17 BST 2016, end=Mon Jul 04 21:42:17 BST 2016, operations=21.048597988119464, operationsPerMinute=5.262149497029866
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 21:43:01 BST 2016, end=Mon Jul 04 21:45:01 BST 2016, operations=35.59662161893579, operationsPerMinute=17.798310809467896, mode=normal, start=Mon Jul 04 21:45:15 BST 2016, end=Mon Jul 04 21:49:15 BST 2016, operations=87.56833533057028, operationsPerMinute=21.89208383264257
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 21:49:30 BST 2016, end=Mon Jul 04 21:51:30 BST 2016, operations=43.66042965990666, operationsPerMinute=21.83021482995333, mode=normal, start=Mon Jul 04 21:51:47 BST 2016, end=Mon Jul 04 21:55:47 BST 2016, operations=69.19515661840767, operationsPerMinute=17.298789154601916
