spec.jvm2008.report.run.location=LEAZESTCE001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 06:38:18 BST 2016, end=Mon Jun 27 06:38:18 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 07:55:10 BST 2016, end=Mon Jun 27 07:57:10 BST 2016, operations=700.1268539804769, operationsPerMinute=350.06342699023844, mode=normal, start=Mon Jun 27 07:57:11 BST 2016, end=Mon Jun 27 08:01:11 BST 2016, operations=1403.128182385059, operationsPerMinute=350.78204559626477
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 08:01:12 BST 2016, end=Mon Jun 27 08:03:12 BST 2016, operations=575.8571662449342, operationsPerMinute=287.9285831224671, mode=normal, start=Mon Jun 27 08:03:13 BST 2016, end=Mon Jun 27 08:07:13 BST 2016, operations=1153.6976005767347, operationsPerMinute=288.42440014418366
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 08:07:15 BST 2016, end=Mon Jun 27 08:09:15 BST 2016, operations=330.3656437242523, operationsPerMinute=165.18282186212616, mode=normal, start=Mon Jun 27 08:09:17 BST 2016, end=Mon Jun 27 08:13:17 BST 2016, operations=659.9966715345176, operationsPerMinute=164.9991678836294
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jun 27 08:13:19 BST 2016, end=Mon Jun 27 08:15:19 BST 2016, operations=509.38258082497214, operationsPerMinute=254.69129041248607, mode=normal, start=Mon Jun 27 08:15:20 BST 2016, end=Mon Jun 27 08:19:20 BST 2016, operations=1024.5655390361273, operationsPerMinute=256.14138475903184
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jun 27 08:19:22 BST 2016, end=Mon Jun 27 08:21:22 BST 2016, operations=119.4038678341596, operationsPerMinute=59.7019339170798, mode=normal, start=Mon Jun 27 08:21:30 BST 2016, end=Mon Jun 27 08:25:30 BST 2016, operations=238.5817350743082, operationsPerMinute=59.64543376857705
benchmark-name=serial, mod=warmup, start=Mon Jun 27 08:25:37 BST 2016, end=Mon Jun 27 08:27:37 BST 2016, operations=238.5735828061486, operationsPerMinute=119.2867914030743, mode=normal, start=Mon Jun 27 08:27:41 BST 2016, end=Mon Jun 27 08:31:41 BST 2016, operations=478.67307333880746, operationsPerMinute=119.66826833470186
benchmark-name=sunflow, mod=warmup, start=Mon Jun 27 08:31:43 BST 2016, end=Mon Jun 27 08:33:43 BST 2016, operations=179.12804442072735, operationsPerMinute=89.56402221036367, mode=normal, start=Mon Jun 27 08:33:45 BST 2016, end=Mon Jun 27 08:37:45 BST 2016, operations=353.3510371782968, operationsPerMinute=88.3377592945742
benchmark-name=xml.transform, mod=warmup, start=Mon Jun 27 08:38:05 BST 2016, end=Mon Jun 27 08:40:05 BST 2016, operations=511.3888821848434, operationsPerMinute=255.6944410924217, mode=normal, start=Mon Jun 27 08:40:06 BST 2016, end=Mon Jun 27 08:44:06 BST 2016, operations=1070.6130406468071, operationsPerMinute=267.6532601617018
benchmark-name=xml.validation, mod=warmup, start=Mon Jun 27 08:44:08 BST 2016, end=Mon Jun 27 08:46:08 BST 2016, operations=1015.7655196356463, operationsPerMinute=507.88275981782317, mode=normal, start=Mon Jun 27 08:46:09 BST 2016, end=Mon Jun 27 08:50:09 BST 2016, operations=2018.6610500291556, operationsPerMinute=504.6652625072889
##-nursultan-##,LEAZESTCE001,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jun 27 06:38:18 BST 2016,Mon Jun 27 06:38:18 BST 2016,1.0,1935.483870967742,startup.helloworld,Mon Jun 27 06:38:18 BST 2016,Mon Jun 27 06:38:18 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Mon Jun 27 06:38:18 BST 2016,Mon Jun 27 06:38:31 BST 2016,1.0,4.5735193231191404,startup.compiler.sunflow,Mon Jun 27 06:38:31 BST 2016,Mon Jun 27 06:38:34 BST 2016,1.0,18.48998459167951,startup.compress,Mon Jun 27 06:38:34 BST 2016,Mon Jun 27 06:38:35 BST 2016,1.0,48.07692307692308,startup.crypto.aes,Mon Jun 27 06:38:35 BST 2016,Mon Jun 27 06:38:44 BST 2016,1.0,7.069635913750441,startup.crypto.rsa,Mon Jun 27 06:38:44 BST 2016,Mon Jun 27 06:38:51 BST 2016,1.0,8.13118308713918,startup.crypto.signverify,Mon Jun 27 06:38:51 BST 2016,Mon Jun 27 06:38:58 BST 2016,1.0,9.007656508031827,startup.mpegaudio,Mon Jun 27 06:38:58 BST 2016,Mon Jun 27 06:39:00 BST 2016,1.0,25.9852750108272,startup.scimark.fft,Mon Jun 27 06:39:00 BST 2016,Mon Jun 27 06:39:01 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Mon Jun 27 06:39:01 BST 2016,Mon Jun 27 06:39:02 BST 2016,1.0,67.49156355455568,startup.scimark.monte_carlo,Mon Jun 27 06:39:02 BST 2016,Mon Jun 27 06:39:07 BST 2016,1.0,10.924981791697014,startup.scimark.sor,Mon Jun 27 06:39:07 BST 2016,Mon Jun 27 06:39:09 BST 2016,1.0,42.28329809725159,startup.scimark.sparse,Mon Jun 27 06:39:09 BST 2016,Mon Jun 27 06:39:10 BST 2016,1.0,62.047569803516026,startup.serial,Mon Jun 27 06:39:10 BST 2016,Mon Jun 27 06:39:12 BST 2016,1.0,28.91566265060241,startup.sunflow,Mon Jun 27 06:39:12 BST 2016,Mon Jun 27 06:39:18 BST 2016,1.0,9.380863039399625,startup.xml.transform,Mon Jun 27 06:39:18 BST 2016,Mon Jun 27 06:39:38 BST 2016,1.0,2.9585798816568047,startup.xml.validation,Mon Jun 27 06:39:38 BST 2016,Mon Jun 27 06:39:39 BST 2016,1.0,76.92307692307692,compiler.compiler,Mon Jun 27 06:39:50 BST 2016,Mon Jun 27 06:41:50 BST 2016,491.23108305801503,245.61554152900752,Mon Jun 27 06:41:51 BST 2016,Mon Jun 27 06:45:51 BST 2016,1004.2819662707088,251.0704915676772,compiler.sunflow,Mon Jun 27 06:45:55 BST 2016,Mon Jun 27 06:47:55 BST 2016,197.4595685823508,98.7297842911754,Mon Jun 27 06:47:59 BST 2016,Mon Jun 27 06:51:59 BST 2016,382.1656593606364,95.5414148401591,compress,Mon Jun 27 06:52:02 BST 2016,Mon Jun 27 06:54:02 BST 2016,401.14321114273474,200.57160557136737,Mon Jun 27 06:54:04 BST 2016,Mon Jun 27 06:58:04 BST 2016,802.0870449322769,200.5217612330692,crypto.aes,Mon Jun 27 06:58:06 BST 2016,Mon Jun 27 07:00:06 BST 2016,139.17321141951473,69.58660570975736,Mon Jun 27 07:00:10 BST 2016,Mon Jun 27 07:04:10 BST 2016,292.8848028368101,73.22120070920252,crypto.rsa,Mon Jun 27 07:04:15 BST 2016,Mon Jun 27 07:06:15 BST 2016,235.19297967948322,117.59648983974161,Mon Jun 27 07:06:18 BST 2016,Mon Jun 27 07:10:18 BST 2016,470.130331282627,117.53258282065676,crypto.signverify,Mon Jun 27 07:10:22 BST 2016,Mon Jun 27 07:12:22 BST 2016,407.370208899214,203.685104449607,Mon Jun 27 07:12:23 BST 2016,Mon Jun 27 07:16:23 BST 2016,816.5715210216053,204.14288025540134,derby,Mon Jun 27 07:16:46 BST 2016,Mon Jun 27 07:18:46 BST 2016,359.87525097071466,179.93762548535733,Mon Jun 27 07:18:48 BST 2016,Mon Jun 27 07:22:48 BST 2016,721.5375557612082,180.38438894030205,mpegaudio,Mon Jun 27 07:22:50 BST 2016,Mon Jun 27 07:24:50 BST 2016,208.45883596540702,104.22941798270351,Mon Jun 27 07:24:54 BST 2016,Mon Jun 27 07:28:54 BST 2016,417.3971196986845,104.34927992467112,scimark.fft.large,Mon Jun 27 07:28:57 BST 2016,Mon Jun 27 07:30:57 BST 2016,79.53243246197343,39.766216230986714,Mon Jun 27 07:31:04 BST 2016,Mon Jun 27 07:35:04 BST 2016,158.83080228710105,39.70770057177526,scimark.lu.large,Mon Jun 27 07:35:11 BST 2016,Mon Jun 27 07:37:11 BST 2016,13.89607695930096,6.94803847965048,Mon Jun 27 07:37:54 BST 2016,Mon Jun 27 07:41:54 BST 2016,27.994954090068923,6.998738522517231,scimark.sor.large,Mon Jun 27 07:42:27 BST 2016,Mon Jun 27 07:44:27 BST 2016,74.68784870090329,37.343924350451644,Mon Jun 27 07:44:36 BST 2016,Mon Jun 27 07:48:36 BST 2016,149.5360055250519,37.384001381262976,scimark.sparse.large,Mon Jun 27 07:48:47 BST 2016,Mon Jun 27 07:50:47 BST 2016,43.3404169036151,21.67020845180755,Mon Jun 27 07:50:57 BST 2016,Mon Jun 27 07:54:57 BST 2016,86.41977300519858,21.604943251299645,scimark.fft.small,Mon Jun 27 07:55:10 BST 2016,Mon Jun 27 07:57:10 BST 2016,700.1268539804769,350.06342699023844,Mon Jun 27 07:57:11 BST 2016,Mon Jun 27 08:01:11 BST 2016,1403.128182385059,350.78204559626477,scimark.lu.small,Mon Jun 27 08:01:12 BST 2016,Mon Jun 27 08:03:12 BST 2016,575.8571662449342,287.9285831224671,Mon Jun 27 08:03:13 BST 2016,Mon Jun 27 08:07:13 BST 2016,1153.6976005767347,288.42440014418366,scimark.sor.small,Mon Jun 27 08:07:15 BST 2016,Mon Jun 27 08:09:15 BST 2016,330.3656437242523,165.18282186212616,Mon Jun 27 08:09:17 BST 2016,Mon Jun 27 08:13:17 BST 2016,659.9966715345176,164.9991678836294,scimark.sparse.small,Mon Jun 27 08:13:19 BST 2016,Mon Jun 27 08:15:19 BST 2016,509.38258082497214,254.69129041248607,Mon Jun 27 08:15:20 BST 2016,Mon Jun 27 08:19:20 BST 2016,1024.5655390361273,256.14138475903184,scimark.monte_carlo,Mon Jun 27 08:19:22 BST 2016,Mon Jun 27 08:21:22 BST 2016,119.4038678341596,59.7019339170798,Mon Jun 27 08:21:30 BST 2016,Mon Jun 27 08:25:30 BST 2016,238.5817350743082,59.64543376857705,serial,Mon Jun 27 08:25:37 BST 2016,Mon Jun 27 08:27:37 BST 2016,238.5735828061486,119.2867914030743,Mon Jun 27 08:27:41 BST 2016,Mon Jun 27 08:31:41 BST 2016,478.67307333880746,119.66826833470186,sunflow,Mon Jun 27 08:31:43 BST 2016,Mon Jun 27 08:33:43 BST 2016,179.12804442072735,89.56402221036367,Mon Jun 27 08:33:45 BST 2016,Mon Jun 27 08:37:45 BST 2016,353.3510371782968,88.3377592945742,xml.transform,Mon Jun 27 08:38:05 BST 2016,Mon Jun 27 08:40:05 BST 2016,511.3888821848434,255.6944410924217,Mon Jun 27 08:40:06 BST 2016,Mon Jun 27 08:44:06 BST 2016,1070.6130406468071,267.6532601617018,xml.validation,Mon Jun 27 08:44:08 BST 2016,Mon Jun 27 08:46:08 BST 2016,1015.7655196356463,507.88275981782317,Mon Jun 27 08:46:09 BST 2016,Mon Jun 27 08:50:09 BST 2016,2018.6610500291556,504.6652625072889
