spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 12:13:48 BST 2016, end=Mon Jul 04 12:13:48 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 12:13:48 BST 2016, end=Mon Jul 04 12:13:48 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 12:13:48 BST 2016, end=Mon Jul 04 12:14:05 BST 2016, operations=1.0, operationsPerMinute=3.649191095973726
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 12:14:05 BST 2016, end=Mon Jul 04 12:14:08 BST 2016, operations=1.0, operationsPerMinute=17.326017903551833
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 12:14:08 BST 2016, end=Mon Jul 04 12:14:10 BST 2016, operations=1.0, operationsPerMinute=46.875
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 12:14:10 BST 2016, end=Mon Jul 04 12:14:18 BST 2016, operations=1.0, operationsPerMinute=7.006071929005138
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 12:14:18 BST 2016, end=Mon Jul 04 12:14:26 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 12:14:26 BST 2016, end=Mon Jul 04 12:14:32 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 12:14:32 BST 2016, end=Mon Jul 04 12:14:35 BST 2016, operations=1.0, operationsPerMinute=25.466893039049236
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 12:14:35 BST 2016, end=Mon Jul 04 12:14:36 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 12:14:36 BST 2016, end=Mon Jul 04 12:14:36 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 12:14:36 BST 2016, end=Mon Jul 04 12:14:42 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 12:14:42 BST 2016, end=Mon Jul 04 12:14:43 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 12:14:43 BST 2016, end=Mon Jul 04 12:14:44 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 12:14:44 BST 2016, end=Mon Jul 04 12:14:46 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 12:14:46 BST 2016, end=Mon Jul 04 12:14:53 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 12:14:53 BST 2016, end=Mon Jul 04 12:15:14 BST 2016, operations=1.0, operationsPerMinute=2.8343332231092635
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 12:15:14 BST 2016, end=Mon Jul 04 12:15:15 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 12:15:27 BST 2016, end=Mon Jul 04 12:17:27 BST 2016, operations=483.6310799932068, operationsPerMinute=241.8155399966034, mode=normal, start=Mon Jul 04 12:17:28 BST 2016, end=Mon Jul 04 12:21:28 BST 2016, operations=1000.4161232238155, operationsPerMinute=250.10403080595387
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 12:21:33 BST 2016, end=Mon Jul 04 12:23:33 BST 2016, operations=199.01803188226398, operationsPerMinute=99.50901594113199, mode=normal, start=Mon Jul 04 12:23:36 BST 2016, end=Mon Jul 04 12:27:36 BST 2016, operations=393.16828458951176, operationsPerMinute=98.29207114737794
benchmark-name=compress, mod=warmup, start=Mon Jul 04 12:27:39 BST 2016, end=Mon Jul 04 12:29:39 BST 2016, operations=399.86046677828506, operationsPerMinute=199.93023338914253, mode=normal, start=Mon Jul 04 12:29:41 BST 2016, end=Mon Jul 04 12:33:41 BST 2016, operations=799.1053670517658, operationsPerMinute=199.77634176294146
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 12:33:43 BST 2016, end=Mon Jul 04 12:35:43 BST 2016, operations=138.91621647713959, operationsPerMinute=69.45810823856979, mode=normal, start=Mon Jul 04 12:35:47 BST 2016, end=Mon Jul 04 12:39:47 BST 2016, operations=293.1330099500236, operationsPerMinute=73.2832524875059
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 12:39:52 BST 2016, end=Mon Jul 04 12:41:52 BST 2016, operations=232.35356750711725, operationsPerMinute=116.17678375355862, mode=normal, start=Mon Jul 04 12:41:55 BST 2016, end=Mon Jul 04 12:45:55 BST 2016, operations=465.2010388573778, operationsPerMinute=116.30025971434445
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 12:45:59 BST 2016, end=Mon Jul 04 12:47:59 BST 2016, operations=407.4608177984653, operationsPerMinute=203.73040889923266, mode=normal, start=Mon Jul 04 12:48:00 BST 2016, end=Mon Jul 04 12:52:00 BST 2016, operations=814.5524491136467, operationsPerMinute=203.63811227841168
benchmark-name=derby, mod=warmup, start=Mon Jul 04 12:52:43 BST 2016, end=Mon Jul 04 12:54:43 BST 2016, operations=358.7278062301543, operationsPerMinute=179.36390311507714, mode=normal, start=Mon Jul 04 12:54:45 BST 2016, end=Mon Jul 04 12:58:45 BST 2016, operations=697.6369981099541, operationsPerMinute=174.40924952748853
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 12:58:47 BST 2016, end=Mon Jul 04 13:00:47 BST 2016, operations=207.7153830314976, operationsPerMinute=103.8576915157488, mode=normal, start=Mon Jul 04 13:00:51 BST 2016, end=Mon Jul 04 13:04:51 BST 2016, operations=412.1525267531835, operationsPerMinute=103.03813168829588
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 13:04:54 BST 2016, end=Mon Jul 04 13:06:54 BST 2016, operations=70.31777675206413, operationsPerMinute=35.15888837603207, mode=normal, start=Mon Jul 04 13:07:03 BST 2016, end=Mon Jul 04 13:11:03 BST 2016, operations=148.2786051494194, operationsPerMinute=37.06965128735485
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 13:11:13 BST 2016, end=Mon Jul 04 13:13:13 BST 2016, operations=13.811469483855552, operationsPerMinute=6.905734741927776, mode=normal, start=Mon Jul 04 13:13:58 BST 2016, end=Mon Jul 04 13:17:58 BST 2016, operations=27.854882919355816, operationsPerMinute=6.963720729838954
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 13:18:34 BST 2016, end=Mon Jul 04 13:20:34 BST 2016, operations=74.4779194622592, operationsPerMinute=37.2389597311296, mode=normal, start=Mon Jul 04 13:20:43 BST 2016, end=Mon Jul 04 13:24:43 BST 2016, operations=149.16840592492724, operationsPerMinute=37.29210148123181
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 13:24:55 BST 2016, end=Mon Jul 04 13:26:55 BST 2016, operations=42.77100131021897, operationsPerMinute=21.385500655109485, mode=normal, start=Mon Jul 04 13:27:07 BST 2016, end=Mon Jul 04 13:31:07 BST 2016, operations=85.66477011593787, operationsPerMinute=21.416192528984467
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 13:31:22 BST 2016, end=Mon Jul 04 13:33:22 BST 2016, operations=725.9118116386894, operationsPerMinute=362.9559058193447, mode=normal, start=Mon Jul 04 13:33:23 BST 2016, end=Mon Jul 04 13:37:23 BST 2016, operations=1437.7728586304406, operationsPerMinute=359.44321465761016
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 13:37:24 BST 2016, end=Mon Jul 04 13:39:24 BST 2016, operations=576.6075702313817, operationsPerMinute=288.30378511569086, mode=normal, start=Mon Jul 04 13:39:26 BST 2016, end=Mon Jul 04 13:43:26 BST 2016, operations=1151.2684196503596, operationsPerMinute=287.8171049125899
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 13:43:27 BST 2016, end=Mon Jul 04 13:45:27 BST 2016, operations=330.2599557066233, operationsPerMinute=165.12997785331166, mode=normal, start=Mon Jul 04 13:45:29 BST 2016, end=Mon Jul 04 13:49:29 BST 2016, operations=658.03896138881, operationsPerMinute=164.5097403472025
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 13:49:31 BST 2016, end=Mon Jul 04 13:51:31 BST 2016, operations=500.7495406330911, operationsPerMinute=250.37477031654555, mode=normal, start=Mon Jul 04 13:51:33 BST 2016, end=Mon Jul 04 13:55:33 BST 2016, operations=1025.3149725771877, operationsPerMinute=256.32874314429694
