spec.jvm2008.report.run.location=BEDSONTC080
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 02:56:00 BST 2016, end=Thu Jun 23 02:56:00 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 02:56:00 BST 2016, end=Thu Jun 23 02:56:00 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 02:56:00 BST 2016, end=Thu Jun 23 02:56:13 BST 2016, operations=1.0, operationsPerMinute=4.55684666210982
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 02:56:13 BST 2016, end=Thu Jun 23 02:56:16 BST 2016, operations=1.0, operationsPerMinute=17.97483523067705
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 02:56:16 BST 2016, end=Thu Jun 23 02:56:18 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 02:56:18 BST 2016, end=Thu Jun 23 02:56:26 BST 2016, operations=1.0, operationsPerMinute=7.03152466893238
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 02:56:26 BST 2016, end=Thu Jun 23 02:56:34 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 02:56:34 BST 2016, end=Thu Jun 23 02:56:40 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 02:56:40 BST 2016, end=Thu Jun 23 02:56:43 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 02:56:43 BST 2016, end=Thu Jun 23 02:56:43 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 02:56:43 BST 2016, end=Thu Jun 23 02:56:44 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 02:56:44 BST 2016, end=Thu Jun 23 02:56:50 BST 2016, operations=1.0, operationsPerMinute=10.655301012253597
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 02:56:50 BST 2016, end=Thu Jun 23 02:56:51 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 02:56:51 BST 2016, end=Thu Jun 23 02:56:52 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 02:56:52 BST 2016, end=Thu Jun 23 02:56:54 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 02:56:54 BST 2016, end=Thu Jun 23 02:57:01 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 02:57:01 BST 2016, end=Thu Jun 23 02:57:21 BST 2016, operations=1.0, operationsPerMinute=2.9472443265546713
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 02:57:21 BST 2016, end=Thu Jun 23 02:57:22 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 02:57:32 BST 2016, end=Thu Jun 23 02:59:32 BST 2016, operations=497.0108564448366, operationsPerMinute=248.5054282224183, mode=normal, start=Thu Jun 23 02:59:33 BST 2016, end=Thu Jun 23 03:03:33 BST 2016, operations=1014.5733368443803, operationsPerMinute=253.64333421109507
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 03:03:37 BST 2016, end=Thu Jun 23 03:05:37 BST 2016, operations=200.59255988861509, operationsPerMinute=100.29627994430754, mode=normal, start=Thu Jun 23 03:05:41 BST 2016, end=Thu Jun 23 03:09:41 BST 2016, operations=385.22526129099407, operationsPerMinute=96.30631532274852
benchmark-name=compress, mod=warmup, start=Thu Jun 23 03:09:45 BST 2016, end=Thu Jun 23 03:11:45 BST 2016, operations=396.1039365420663, operationsPerMinute=198.05196827103316, mode=normal, start=Thu Jun 23 03:11:47 BST 2016, end=Thu Jun 23 03:15:47 BST 2016, operations=784.2275529712082, operationsPerMinute=196.05688824280205
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 03:15:49 BST 2016, end=Thu Jun 23 03:17:49 BST 2016, operations=138.7980889163734, operationsPerMinute=69.3990444581867, mode=normal, start=Thu Jun 23 03:17:54 BST 2016, end=Thu Jun 23 03:21:54 BST 2016, operations=290.3710669391092, operationsPerMinute=72.5927667347773
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:21:59 BST 2016, end=Thu Jun 23 03:23:59 BST 2016, operations=232.832567647867, operationsPerMinute=116.4162838239335, mode=normal, start=Thu Jun 23 03:24:03 BST 2016, end=Thu Jun 23 03:28:03 BST 2016, operations=466.97310386827746, operationsPerMinute=116.74327596706937
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:28:06 BST 2016, end=Thu Jun 23 03:30:06 BST 2016, operations=405.33504273504275, operationsPerMinute=202.66752136752137, mode=normal, start=Thu Jun 23 03:30:08 BST 2016, end=Thu Jun 23 03:34:08 BST 2016, operations=808.3413297588677, operationsPerMinute=202.08533243971692
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:34:31 BST 2016, end=Thu Jun 23 03:36:31 BST 2016, operations=349.49173350030014, operationsPerMinute=174.74586675015007, mode=normal, start=Thu Jun 23 03:36:33 BST 2016, end=Thu Jun 23 03:40:33 BST 2016, operations=717.9296159017779, operationsPerMinute=179.48240397544447
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:40:35 BST 2016, end=Thu Jun 23 03:42:35 BST 2016, operations=204.50178384420525, operationsPerMinute=102.25089192210262, mode=normal, start=Thu Jun 23 03:42:39 BST 2016, end=Thu Jun 23 03:46:39 BST 2016, operations=414.44318931222676, operationsPerMinute=103.61079732805669
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:46:41 BST 2016, end=Thu Jun 23 03:48:41 BST 2016, operations=77.93242040209181, operationsPerMinute=38.966210201045904, mode=normal, start=Thu Jun 23 03:48:49 BST 2016, end=Thu Jun 23 03:52:49 BST 2016, operations=157.98644381523332, operationsPerMinute=39.49661095380833
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:52:57 BST 2016, end=Thu Jun 23 03:54:57 BST 2016, operations=13.868375756433784, operationsPerMinute=6.934187878216892, mode=normal, start=Thu Jun 23 03:55:41 BST 2016, end=Thu Jun 23 03:59:41 BST 2016, operations=27.818472652986284, operationsPerMinute=6.954618163246571
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 04:00:17 BST 2016, end=Thu Jun 23 04:02:17 BST 2016, operations=74.06099343381246, operationsPerMinute=37.03049671690623, mode=normal, start=Thu Jun 23 04:02:27 BST 2016, end=Thu Jun 23 04:06:27 BST 2016, operations=148.4402118241096, operationsPerMinute=37.1100529560274
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 04:06:37 BST 2016, end=Thu Jun 23 04:08:37 BST 2016, operations=43.193972705522086, operationsPerMinute=21.596986352761043, mode=normal, start=Thu Jun 23 04:08:48 BST 2016, end=Thu Jun 23 04:12:48 BST 2016, operations=86.38898237101445, operationsPerMinute=21.597245592753612
