spec.jvm2008.report.run.location=KRC046
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8082
benchmark-name=check, mode=normal, start=Sat Jun 04 08:57:40 BST 2016, end=Sat Jun 04 08:57:40 BST 2016, operations=1.0, operationsPerMinute=681.8181818181819
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:57:40 BST 2016, end=Sat Jun 04 08:57:40 BST 2016, operations=1.0, operationsPerMinute=116.50485436893204
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:57:40 BST 2016, end=Sat Jun 04 08:58:05 BST 2016, operations=1.0, operationsPerMinute=2.4400162667751117
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:58:05 BST 2016, end=Sat Jun 04 08:58:10 BST 2016, operations=1.0, operationsPerMinute=13.42882721575649
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:58:10 BST 2016, end=Sat Jun 04 08:58:11 BST 2016, operations=1.0, operationsPerMinute=39.8671096345515
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:58:11 BST 2016, end=Sat Jun 04 08:58:20 BST 2016, operations=1.0, operationsPerMinute=6.61740377192015
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:58:20 BST 2016, end=Sat Jun 04 08:58:28 BST 2016, operations=1.0, operationsPerMinute=7.933359777865927
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:58:28 BST 2016, end=Sat Jun 04 08:58:34 BST 2016, operations=1.0, operationsPerMinute=8.952551477170994
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:58:34 BST 2016, end=Sat Jun 04 08:58:37 BST 2016, operations=1.0, operationsPerMinute=22.857142857142858
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:58:37 BST 2016, end=Sat Jun 04 08:58:38 BST 2016, operations=1.0, operationsPerMinute=75.9493670886076
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:58:38 BST 2016, end=Sat Jun 04 08:58:39 BST 2016, operations=1.0, operationsPerMinute=60.72874493927125
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:58:39 BST 2016, end=Sat Jun 04 08:58:45 BST 2016, operations=1.0, operationsPerMinute=10.443864229765014
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:58:45 BST 2016, end=Sat Jun 04 08:58:46 BST 2016, operations=1.0, operationsPerMinute=38.31417624521073
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:58:46 BST 2016, end=Sat Jun 04 08:58:47 BST 2016, operations=1.0, operationsPerMinute=55.97014925373134
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:58:47 BST 2016, end=Sat Jun 04 08:58:50 BST 2016, operations=1.0, operationsPerMinute=25.402201524132092
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:58:50 BST 2016, end=Sat Jun 04 08:58:56 BST 2016, operations=1.0, operationsPerMinute=8.919280511372083
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:58:56 BST 2016, end=Sat Jun 04 08:59:20 BST 2016, operations=1.0, operationsPerMinute=2.4845749306389497
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:59:20 BST 2016, end=Sat Jun 04 08:59:22 BST 2016, operations=1.0, operationsPerMinute=54.29864253393665
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:59:36 BST 2016, end=Sat Jun 04 09:01:36 BST 2016, operations=387.56475816588966, operationsPerMinute=193.78237908294483, mode=normal, start=Sat Jun 04 09:01:38 BST 2016, end=Sat Jun 04 09:05:38 BST 2016, operations=783.3952992191323, operationsPerMinute=195.84882480478308
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 09:05:43 BST 2016, end=Sat Jun 04 09:07:43 BST 2016, operations=159.81955998598897, operationsPerMinute=79.90977999299449, mode=normal, start=Sat Jun 04 09:07:47 BST 2016, end=Sat Jun 04 09:11:47 BST 2016, operations=328.40167419647673, operationsPerMinute=82.10041854911918
benchmark-name=compress, mod=warmup, start=Sat Jun 04 09:11:51 BST 2016, end=Sat Jun 04 09:13:51 BST 2016, operations=330.82617479622894, operationsPerMinute=165.41308739811447, mode=normal, start=Sat Jun 04 09:13:52 BST 2016, end=Sat Jun 04 09:17:52 BST 2016, operations=650.1219889591607, operationsPerMinute=162.53049723979018
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 09:17:55 BST 2016, end=Sat Jun 04 09:19:55 BST 2016, operations=117.5828508426223, operationsPerMinute=58.79142542131115, mode=normal, start=Sat Jun 04 09:20:00 BST 2016, end=Sat Jun 04 09:24:00 BST 2016, operations=252.56226921643457, operationsPerMinute=63.14056730410864
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 09:24:07 BST 2016, end=Sat Jun 04 09:26:07 BST 2016, operations=176.92545259902175, operationsPerMinute=88.46272629951088, mode=normal, start=Sat Jun 04 09:26:12 BST 2016, end=Sat Jun 04 09:30:12 BST 2016, operations=360.8094603439702, operationsPerMinute=90.20236508599255
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:30:16 BST 2016, end=Sat Jun 04 09:32:16 BST 2016, operations=336.65843500960534, operationsPerMinute=168.32921750480267, mode=normal, start=Sat Jun 04 09:32:18 BST 2016, end=Sat Jun 04 09:36:18 BST 2016, operations=686.1792905722905, operationsPerMinute=171.54482264307262
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:37:36 BST 2016, end=Sat Jun 04 09:39:36 BST 2016, operations=264.9322946556355, operationsPerMinute=132.46614732781774, mode=normal, start=Sat Jun 04 09:39:38 BST 2016, end=Sat Jun 04 09:43:38 BST 2016, operations=594.5943403379351, operationsPerMinute=148.64858508448378
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:43:40 BST 2016, end=Sat Jun 04 09:45:40 BST 2016, operations=173.79076651387354, operationsPerMinute=86.89538325693677, mode=normal, start=Sat Jun 04 09:45:45 BST 2016, end=Sat Jun 04 09:49:45 BST 2016, operations=373.2729843818049, operationsPerMinute=93.31824609545123
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:49:50 BST 2016, end=Sat Jun 04 09:51:50 BST 2016, operations=64.68737271088739, operationsPerMinute=32.343686355443694, mode=normal, start=Sat Jun 04 09:51:57 BST 2016, end=Sat Jun 04 09:55:57 BST 2016, operations=146.26347117816664, operationsPerMinute=36.56586779454166
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:56:05 BST 2016, end=Sat Jun 04 09:58:05 BST 2016, operations=13.60416310634912, operationsPerMinute=6.80208155317456, mode=normal, start=Sat Jun 04 09:58:53 BST 2016, end=Sat Jun 04 10:02:53 BST 2016, operations=27.37162468430454, operationsPerMinute=6.842906171076135
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 10:03:24 BST 2016, end=Sat Jun 04 10:05:24 BST 2016, operations=64.75839280347955, operationsPerMinute=32.379196401739776, mode=normal, start=Sat Jun 04 10:05:35 BST 2016, end=Sat Jun 04 10:09:35 BST 2016, operations=122.0497662286725, operationsPerMinute=30.512441557168124
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 10:09:45 BST 2016, end=Sat Jun 04 10:11:45 BST 2016, operations=39.03712560864863, operationsPerMinute=19.518562804324315, mode=normal, start=Sat Jun 04 10:11:59 BST 2016, end=Sat Jun 04 10:15:59 BST 2016, operations=79.04811182293545, operationsPerMinute=19.762027955733863
