spec.jvm2008.report.run.location=KINGS05
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:06 BST 2016, end=Thu May 26 14:21:06 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:06 BST 2016, end=Thu May 26 14:21:07 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:07 BST 2016, end=Thu May 26 14:21:29 BST 2016, operations=1.0, operationsPerMinute=2.674750356633381
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:29 BST 2016, end=Thu May 26 14:21:34 BST 2016, operations=1.0, operationsPerMinute=12.9926375054136
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:34 BST 2016, end=Thu May 26 14:21:35 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:35 BST 2016, end=Thu May 26 14:21:44 BST 2016, operations=1.0, operationsPerMinute=6.431557508843391
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:44 BST 2016, end=Thu May 26 14:21:52 BST 2016, operations=1.0, operationsPerMinute=7.83289817232376
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:52 BST 2016, end=Thu May 26 14:21:59 BST 2016, operations=1.0, operationsPerMinute=8.841732979664014
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:59 BST 2016, end=Thu May 26 14:22:02 BST 2016, operations=1.0, operationsPerMinute=22.10759027266028
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:02 BST 2016, end=Thu May 26 14:22:02 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:02 BST 2016, end=Thu May 26 14:22:04 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:04 BST 2016, end=Thu May 26 14:22:10 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:10 BST 2016, end=Thu May 26 14:22:11 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:11 BST 2016, end=Thu May 26 14:22:12 BST 2016, operations=1.0, operationsPerMinute=51.94805194805195
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:12 BST 2016, end=Thu May 26 14:22:15 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:15 BST 2016, end=Thu May 26 14:22:22 BST 2016, operations=1.0, operationsPerMinute=8.584919158677922
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:22 BST 2016, end=Thu May 26 14:22:46 BST 2016, operations=1.0, operationsPerMinute=2.4829298572315333
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:46 BST 2016, end=Thu May 26 14:22:47 BST 2016, operations=1.0, operationsPerMinute=50.63291139240506
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:00 BST 2016, end=Thu May 26 14:25:00 BST 2016, operations=428.1659587302131, operationsPerMinute=214.08297936510655, mode=normal, start=Thu May 26 14:25:02 BST 2016, end=Thu May 26 14:29:02 BST 2016, operations=891.8532717998489, operationsPerMinute=222.96331794996223
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:07 BST 2016, end=Thu May 26 14:31:07 BST 2016, operations=175.25000698444174, operationsPerMinute=87.62500349222087, mode=normal, start=Thu May 26 14:31:11 BST 2016, end=Thu May 26 14:35:11 BST 2016, operations=353.0686339786953, operationsPerMinute=88.26715849467382
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:15 BST 2016, end=Thu May 26 14:37:15 BST 2016, operations=375.11565985733307, operationsPerMinute=187.55782992866654, mode=normal, start=Thu May 26 14:37:17 BST 2016, end=Thu May 26 14:41:17 BST 2016, operations=733.6872920646074, operationsPerMinute=183.42182301615185
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:19 BST 2016, end=Thu May 26 14:43:19 BST 2016, operations=120.32557625837146, operationsPerMinute=60.16278812918573, mode=normal, start=Thu May 26 14:43:26 BST 2016, end=Thu May 26 14:47:26 BST 2016, operations=253.5889109908493, operationsPerMinute=63.39722774771233
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:33 BST 2016, end=Thu May 26 14:49:33 BST 2016, operations=212.74855495585228, operationsPerMinute=106.37427747792614, mode=normal, start=Thu May 26 14:49:37 BST 2016, end=Thu May 26 14:53:37 BST 2016, operations=426.1858515415554, operationsPerMinute=106.54646288538885
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:40 BST 2016, end=Thu May 26 14:55:40 BST 2016, operations=362.40694277261207, operationsPerMinute=181.20347138630603, mode=normal, start=Thu May 26 14:55:43 BST 2016, end=Thu May 26 14:59:43 BST 2016, operations=709.6098566264862, operationsPerMinute=177.40246415662156
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:04 BST 2016, end=Thu May 26 15:03:04 BST 2016, operations=235.8007709431361, operationsPerMinute=117.90038547156804, mode=normal, start=Thu May 26 15:03:07 BST 2016, end=Thu May 26 15:07:07 BST 2016, operations=451.9500998233744, operationsPerMinute=112.9875249558436
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:07:10 BST 2016, end=Thu May 26 15:09:10 BST 2016, operations=183.50488343384183, operationsPerMinute=91.75244171692091, mode=normal, start=Thu May 26 15:09:13 BST 2016, end=Thu May 26 15:13:13 BST 2016, operations=367.5429824884068, operationsPerMinute=91.8857456221017
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:13:17 BST 2016, end=Thu May 26 15:15:17 BST 2016, operations=98.89970452123373, operationsPerMinute=49.449852260616865, mode=normal, start=Thu May 26 15:15:22 BST 2016, end=Thu May 26 15:19:22 BST 2016, operations=205.59711958012508, operationsPerMinute=51.39927989503127
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:19:29 BST 2016, end=Thu May 26 15:21:29 BST 2016, operations=22.03489834516421, operationsPerMinute=11.017449172582104, mode=normal, start=Thu May 26 15:21:56 BST 2016, end=Thu May 26 15:25:56 BST 2016, operations=43.326219569535425, operationsPerMinute=10.831554892383856
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:26:16 BST 2016, end=Thu May 26 15:28:16 BST 2016, operations=72.80302499330655, operationsPerMinute=36.401512496653275, mode=normal, start=Thu May 26 15:28:29 BST 2016, end=Thu May 26 15:32:29 BST 2016, operations=145.83175296507918, operationsPerMinute=36.457938241269794
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:32:39 BST 2016, end=Thu May 26 15:34:39 BST 2016, operations=70.99207950106828, operationsPerMinute=35.49603975053414, mode=normal, start=Thu May 26 15:34:48 BST 2016, end=Thu May 26 15:38:48 BST 2016, operations=141.53182767539766, operationsPerMinute=35.382956918849416
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:38:57 BST 2016, end=Thu May 26 15:40:57 BST 2016, operations=536.8425673595173, operationsPerMinute=268.42128367975863, mode=normal, start=Thu May 26 15:40:59 BST 2016, end=Thu May 26 15:44:59 BST 2016, operations=1142.268850888215, operationsPerMinute=285.56721272205374
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:45:00 BST 2016, end=Thu May 26 15:47:00 BST 2016, operations=484.80799631558887, operationsPerMinute=242.40399815779443, mode=normal, start=Thu May 26 15:47:02 BST 2016, end=Thu May 26 15:51:02 BST 2016, operations=967.720581554345, operationsPerMinute=241.93014538858625
