spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 03:35:38 BST 2016, end=Mon Jul 04 03:35:38 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 04:55:27 BST 2016, end=Mon Jul 04 04:57:27 BST 2016, operations=554.9693313953488, operationsPerMinute=277.4846656976744, mode=normal, start=Mon Jul 04 04:57:30 BST 2016, end=Mon Jul 04 05:01:30 BST 2016, operations=643.1069073507763, operationsPerMinute=160.77672683769407
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 05:01:49 BST 2016, end=Mon Jul 04 05:03:49 BST 2016, operations=432.154424052852, operationsPerMinute=216.077212026426, mode=normal, start=Mon Jul 04 05:03:57 BST 2016, end=Mon Jul 04 05:07:57 BST 2016, operations=861.799599055222, operationsPerMinute=215.4498997638055
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 05:08:00 BST 2016, end=Mon Jul 04 05:10:00 BST 2016, operations=248.3016769880502, operationsPerMinute=124.1508384940251, mode=normal, start=Mon Jul 04 05:10:02 BST 2016, end=Mon Jul 04 05:14:02 BST 2016, operations=484.06382499831824, operationsPerMinute=121.01595624957956
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 05:14:14 BST 2016, end=Mon Jul 04 05:16:14 BST 2016, operations=384.39137277780185, operationsPerMinute=192.19568638890092, mode=normal, start=Mon Jul 04 05:16:20 BST 2016, end=Mon Jul 04 05:20:20 BST 2016, operations=661.3350838774752, operationsPerMinute=165.3337709693688
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 05:20:22 BST 2016, end=Mon Jul 04 05:22:22 BST 2016, operations=90.06285885468114, operationsPerMinute=45.03142942734057, mode=normal, start=Mon Jul 04 05:22:28 BST 2016, end=Mon Jul 04 05:26:28 BST 2016, operations=180.00480023211293, operationsPerMinute=45.00120005802823
benchmark-name=serial, mod=warmup, start=Mon Jul 04 05:26:39 BST 2016, end=Mon Jul 04 05:28:39 BST 2016, operations=180.2552438754139, operationsPerMinute=90.12762193770695, mode=normal, start=Mon Jul 04 05:28:46 BST 2016, end=Mon Jul 04 05:32:46 BST 2016, operations=359.68413832902127, operationsPerMinute=89.92103458225532
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 05:32:50 BST 2016, end=Mon Jul 04 05:34:50 BST 2016, operations=138.7297150140451, operationsPerMinute=69.36485750702255, mode=normal, start=Mon Jul 04 05:34:52 BST 2016, end=Mon Jul 04 05:38:52 BST 2016, operations=188.39843048862633, operationsPerMinute=47.09960762215658
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 05:39:26 BST 2016, end=Mon Jul 04 05:41:26 BST 2016, operations=395.04847998365926, operationsPerMinute=197.52423999182963, mode=normal, start=Mon Jul 04 05:41:28 BST 2016, end=Mon Jul 04 05:45:28 BST 2016, operations=790.689877643836, operationsPerMinute=197.672469410959
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 05:45:30 BST 2016, end=Mon Jul 04 05:47:30 BST 2016, operations=821.2807319738636, operationsPerMinute=410.6403659869318, mode=normal, start=Mon Jul 04 05:47:31 BST 2016, end=Mon Jul 04 05:51:31 BST 2016, operations=1600.1420846340382, operationsPerMinute=400.03552115850954
##-nursultan-##,GREY-02,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 03:35:38 BST 2016,Mon Jul 04 03:35:38 BST 2016,1.0,1276.595744680851,startup.helloworld,Mon Jul 04 03:35:38 BST 2016,Mon Jul 04 03:35:38 BST 2016,1.0,645.1612903225806,startup.compiler.compiler,Mon Jul 04 03:35:38 BST 2016,Mon Jul 04 03:35:51 BST 2016,1.0,4.482629809488233,startup.compiler.sunflow,Mon Jul 04 03:35:51 BST 2016,Mon Jul 04 03:35:55 BST 2016,1.0,17.56440281030445,startup.compress,Mon Jul 04 03:35:55 BST 2016,Mon Jul 04 03:35:56 BST 2016,1.0,46.33204633204633,startup.crypto.aes,Mon Jul 04 03:35:56 BST 2016,Mon Jul 04 03:36:05 BST 2016,1.0,6.993006993006993,startup.crypto.rsa,Mon Jul 04 03:36:05 BST 2016,Mon Jul 04 03:36:12 BST 2016,1.0,7.881255746748982,startup.crypto.signverify,Mon Jul 04 03:36:12 BST 2016,Mon Jul 04 03:36:19 BST 2016,1.0,9.071666162685213,startup.mpegaudio,Mon Jul 04 03:36:19 BST 2016,Mon Jul 04 03:36:21 BST 2016,1.0,25.641025641025642,startup.scimark.fft,Mon Jul 04 03:36:21 BST 2016,Mon Jul 04 03:36:22 BST 2016,1.0,78.43137254901961,startup.scimark.lu,Mon Jul 04 03:36:22 BST 2016,Mon Jul 04 03:36:23 BST 2016,1.0,62.047569803516026,startup.scimark.monte_carlo,Mon Jul 04 03:36:23 BST 2016,Mon Jul 04 03:36:29 BST 2016,1.0,10.451140916216687,startup.scimark.sor,Mon Jul 04 03:36:29 BST 2016,Mon Jul 04 03:36:30 BST 2016,1.0,40.48582995951417,startup.scimark.sparse,Mon Jul 04 03:36:30 BST 2016,Mon Jul 04 03:36:31 BST 2016,1.0,58.309037900874635,startup.serial,Mon Jul 04 03:36:31 BST 2016,Mon Jul 04 03:36:33 BST 2016,1.0,27.47252747252747,startup.sunflow,Mon Jul 04 03:36:33 BST 2016,Mon Jul 04 03:36:40 BST 2016,1.0,8.94454382826476,startup.xml.transform,Mon Jul 04 03:36:40 BST 2016,Mon Jul 04 03:37:01 BST 2016,1.0,2.8552393642333684,startup.xml.validation,Mon Jul 04 03:37:01 BST 2016,Mon Jul 04 03:37:02 BST 2016,1.0,72.63922518159806,compiler.compiler,Mon Jul 04 03:37:12 BST 2016,Mon Jul 04 03:39:12 BST 2016,438.7615813463703,219.38079067318515,Mon Jul 04 03:39:14 BST 2016,Mon Jul 04 03:43:14 BST 2016,897.9907586792932,224.4976896698233,compiler.sunflow,Mon Jul 04 03:43:18 BST 2016,Mon Jul 04 03:45:18 BST 2016,175.95794773622922,87.97897386811461,Mon Jul 04 03:45:21 BST 2016,Mon Jul 04 03:49:21 BST 2016,354.3185594446312,88.5796398611578,compress,Mon Jul 04 03:49:25 BST 2016,Mon Jul 04 03:51:25 BST 2016,299.9321603884701,149.96608019423505,Mon Jul 04 03:51:27 BST 2016,Mon Jul 04 03:55:27 BST 2016,522.3044633206932,130.5761158301733,crypto.aes,Mon Jul 04 03:55:30 BST 2016,Mon Jul 04 03:57:30 BST 2016,104.171012087131,52.0855060435655,Mon Jul 04 03:57:37 BST 2016,Mon Jul 04 04:01:37 BST 2016,219.78324778430712,54.94581194607678,crypto.rsa,Mon Jul 04 04:01:44 BST 2016,Mon Jul 04 04:03:44 BST 2016,174.7457875422846,87.3728937711423,Mon Jul 04 04:03:56 BST 2016,Mon Jul 04 04:07:56 BST 2016,186.52222575791416,46.63055643947854,crypto.signverify,Mon Jul 04 04:08:27 BST 2016,Mon Jul 04 04:10:27 BST 2016,305.21040826628416,152.60520413314208,Mon Jul 04 04:10:30 BST 2016,Mon Jul 04 04:14:30 BST 2016,611.0305231811244,152.7576307952811,derby,Mon Jul 04 04:14:54 BST 2016,Mon Jul 04 04:16:54 BST 2016,273.46277339647474,136.73138669823737,Mon Jul 04 04:16:57 BST 2016,Mon Jul 04 04:20:57 BST 2016,522.8905067855794,130.72262669639485,mpegaudio,Mon Jul 04 04:20:59 BST 2016,Mon Jul 04 04:22:59 BST 2016,155.58839437533982,77.79419718766991,Mon Jul 04 04:23:05 BST 2016,Mon Jul 04 04:27:05 BST 2016,278.6209406307607,69.65523515769017,scimark.fft.large,Mon Jul 04 04:27:10 BST 2016,Mon Jul 04 04:29:10 BST 2016,67.11040640503757,33.55520320251878,Mon Jul 04 04:29:35 BST 2016,Mon Jul 04 04:33:35 BST 2016,140.76593712619245,35.191484281548114,scimark.lu.large,Mon Jul 04 04:33:51 BST 2016,Mon Jul 04 04:35:51 BST 2016,13.95047102247544,6.97523551123772,Mon Jul 04 04:36:42 BST 2016,Mon Jul 04 04:40:42 BST 2016,28.08785379370505,7.021963448426263,scimark.sor.large,Mon Jul 04 04:41:15 BST 2016,Mon Jul 04 04:43:15 BST 2016,56.95234499869892,28.47617249934946,Mon Jul 04 04:43:25 BST 2016,Mon Jul 04 04:47:25 BST 2016,99.29393761887712,24.82348440471928,scimark.sparse.large,Mon Jul 04 04:47:41 BST 2016,Mon Jul 04 04:49:41 BST 2016,43.85579322509722,21.92789661254861,Mon Jul 04 04:49:53 BST 2016,Mon Jul 04 04:53:53 BST 2016,86.89931479266097,21.724828698165243,scimark.fft.small,Mon Jul 04 04:55:27 BST 2016,Mon Jul 04 04:57:27 BST 2016,554.9693313953488,277.4846656976744,Mon Jul 04 04:57:30 BST 2016,Mon Jul 04 05:01:30 BST 2016,643.1069073507763,160.77672683769407,scimark.lu.small,Mon Jul 04 05:01:49 BST 2016,Mon Jul 04 05:03:49 BST 2016,432.154424052852,216.077212026426,Mon Jul 04 05:03:57 BST 2016,Mon Jul 04 05:07:57 BST 2016,861.799599055222,215.4498997638055,scimark.sor.small,Mon Jul 04 05:08:00 BST 2016,Mon Jul 04 05:10:00 BST 2016,248.3016769880502,124.1508384940251,Mon Jul 04 05:10:02 BST 2016,Mon Jul 04 05:14:02 BST 2016,484.06382499831824,121.01595624957956,scimark.sparse.small,Mon Jul 04 05:14:14 BST 2016,Mon Jul 04 05:16:14 BST 2016,384.39137277780185,192.19568638890092,Mon Jul 04 05:16:20 BST 2016,Mon Jul 04 05:20:20 BST 2016,661.3350838774752,165.3337709693688,scimark.monte_carlo,Mon Jul 04 05:20:22 BST 2016,Mon Jul 04 05:22:22 BST 2016,90.06285885468114,45.03142942734057,Mon Jul 04 05:22:28 BST 2016,Mon Jul 04 05:26:28 BST 2016,180.00480023211293,45.00120005802823,serial,Mon Jul 04 05:26:39 BST 2016,Mon Jul 04 05:28:39 BST 2016,180.2552438754139,90.12762193770695,Mon Jul 04 05:28:46 BST 2016,Mon Jul 04 05:32:46 BST 2016,359.68413832902127,89.92103458225532,sunflow,Mon Jul 04 05:32:50 BST 2016,Mon Jul 04 05:34:50 BST 2016,138.7297150140451,69.36485750702255,Mon Jul 04 05:34:52 BST 2016,Mon Jul 04 05:38:52 BST 2016,188.39843048862633,47.09960762215658,xml.transform,Mon Jul 04 05:39:26 BST 2016,Mon Jul 04 05:41:26 BST 2016,395.04847998365926,197.52423999182963,Mon Jul 04 05:41:28 BST 2016,Mon Jul 04 05:45:28 BST 2016,790.689877643836,197.672469410959,xml.validation,Mon Jul 04 05:45:30 BST 2016,Mon Jul 04 05:47:30 BST 2016,821.2807319738636,410.6403659869318,Mon Jul 04 05:47:31 BST 2016,Mon Jul 04 05:51:31 BST 2016,1600.1420846340382,400.03552115850954
