spec.jvm2008.report.run.location=LAW085
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Mon Jun 27 07:28:28 BST 2016, end=Mon Jun 27 07:28:28 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 07:28:28 BST 2016, end=Mon Jun 27 07:28:29 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 07:28:29 BST 2016, end=Mon Jun 27 07:28:53 BST 2016, operations=1.0, operationsPerMinute=2.4607308370586063
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 07:28:53 BST 2016, end=Mon Jun 27 07:28:58 BST 2016, operations=1.0, operationsPerMinute=12.057877813504824
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 07:28:58 BST 2016, end=Mon Jun 27 07:29:00 BST 2016, operations=1.0, operationsPerMinute=36.96857670979667
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 07:29:00 BST 2016, end=Mon Jun 27 07:29:10 BST 2016, operations=1.0, operationsPerMinute=6.0006000600060005
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 07:29:10 BST 2016, end=Mon Jun 27 07:29:18 BST 2016, operations=1.0, operationsPerMinute=6.917223887479825
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 07:29:18 BST 2016, end=Mon Jun 27 07:29:25 BST 2016, operations=1.0, operationsPerMinute=8.472182999152782
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 07:29:25 BST 2016, end=Mon Jun 27 07:29:28 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 07:29:28 BST 2016, end=Mon Jun 27 07:29:29 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 07:29:29 BST 2016, end=Mon Jun 27 07:29:31 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 07:29:31 BST 2016, end=Mon Jun 27 07:29:37 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 07:29:37 BST 2016, end=Mon Jun 27 07:29:39 BST 2016, operations=1.0, operationsPerMinute=35.62945368171022
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 07:29:39 BST 2016, end=Mon Jun 27 07:29:40 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 07:29:40 BST 2016, end=Mon Jun 27 07:29:43 BST 2016, operations=1.0, operationsPerMinute=19.821605550049554
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 07:29:43 BST 2016, end=Mon Jun 27 07:29:51 BST 2016, operations=1.0, operationsPerMinute=8.379888268156424
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 07:29:51 BST 2016, end=Mon Jun 27 07:30:19 BST 2016, operations=1.0, operationsPerMinute=2.09944364743343
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 07:30:19 BST 2016, end=Mon Jun 27 07:30:20 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 07:30:41 BST 2016, end=Mon Jun 27 07:32:41 BST 2016, operations=353.31355540009054, operationsPerMinute=176.65677770004527, mode=normal, start=Mon Jun 27 07:32:42 BST 2016, end=Mon Jun 27 07:36:42 BST 2016, operations=733.3252388569535, operationsPerMinute=183.3313097142384
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 07:36:49 BST 2016, end=Mon Jun 27 07:38:49 BST 2016, operations=141.83513180022763, operationsPerMinute=70.91756590011381, mode=normal, start=Mon Jun 27 07:38:54 BST 2016, end=Mon Jun 27 07:42:54 BST 2016, operations=278.1819940469895, operationsPerMinute=69.54549851174737
benchmark-name=compress, mod=warmup, start=Mon Jun 27 07:42:58 BST 2016, end=Mon Jun 27 07:44:58 BST 2016, operations=270.40889647210736, operationsPerMinute=135.20444823605368, mode=normal, start=Mon Jun 27 07:45:01 BST 2016, end=Mon Jun 27 07:49:01 BST 2016, operations=543.6755446713057, operationsPerMinute=135.91888616782643
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 07:49:03 BST 2016, end=Mon Jun 27 07:51:03 BST 2016, operations=84.03897612842431, operationsPerMinute=42.019488064212155, mode=normal, start=Mon Jun 27 07:51:12 BST 2016, end=Mon Jun 27 07:55:12 BST 2016, operations=179.3537115814269, operationsPerMinute=44.83842789535672
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 07:55:19 BST 2016, end=Mon Jun 27 07:57:19 BST 2016, operations=145.38668590058347, operationsPerMinute=72.69334295029174, mode=normal, start=Mon Jun 27 07:57:24 BST 2016, end=Mon Jun 27 08:01:24 BST 2016, operations=291.07232052767034, operationsPerMinute=72.76808013191759
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 08:01:30 BST 2016, end=Mon Jun 27 08:03:30 BST 2016, operations=252.24709862606585, operationsPerMinute=126.12354931303292, mode=normal, start=Mon Jun 27 08:03:33 BST 2016, end=Mon Jun 27 08:07:33 BST 2016, operations=502.8891894417894, operationsPerMinute=125.72229736044736
benchmark-name=derby, mod=warmup, start=Mon Jun 27 08:09:13 BST 2016, end=Mon Jun 27 08:11:13 BST 2016, operations=204.08103425916505, operationsPerMinute=102.04051712958253, mode=normal, start=Mon Jun 27 08:11:17 BST 2016, end=Mon Jun 27 08:15:17 BST 2016, operations=411.5899576407433, operationsPerMinute=102.89748941018583
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 08:15:21 BST 2016, end=Mon Jun 27 08:17:21 BST 2016, operations=134.11876024843565, operationsPerMinute=67.05938012421782, mode=normal, start=Mon Jun 27 08:17:26 BST 2016, end=Mon Jun 27 08:21:26 BST 2016, operations=268.5808576896458, operationsPerMinute=67.14521442241146
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 08:21:32 BST 2016, end=Mon Jun 27 08:23:32 BST 2016, operations=53.99087506739698, operationsPerMinute=26.99543753369849, mode=normal, start=Mon Jun 27 08:23:46 BST 2016, end=Mon Jun 27 08:27:46 BST 2016, operations=54.26849223400706, operationsPerMinute=13.567123058501766
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 08:28:01 BST 2016, end=Mon Jun 27 08:30:01 BST 2016, operations=9.083513562976659, operationsPerMinute=4.5417567814883295, mode=normal, start=Mon Jun 27 08:31:05 BST 2016, end=Mon Jun 27 08:35:05 BST 2016, operations=18.183081571910805, operationsPerMinute=4.545770392977701
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 08:36:10 BST 2016, end=Mon Jun 27 08:38:10 BST 2016, operations=44.6632924780179, operationsPerMinute=22.33164623900895, mode=normal, start=Mon Jun 27 08:38:25 BST 2016, end=Mon Jun 27 08:42:25 BST 2016, operations=90.97886307129419, operationsPerMinute=22.744715767823546
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 08:42:38 BST 2016, end=Mon Jun 27 08:44:38 BST 2016, operations=28.959114777188688, operationsPerMinute=14.479557388594344, mode=normal, start=Mon Jun 27 08:45:03 BST 2016, end=Mon Jun 27 08:49:03 BST 2016, operations=61.78058163295039, operationsPerMinute=15.445145408237597
