spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 08:13:11 BST 2016, end=Mon Jul 04 08:13:11 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 09:35:56 BST 2016, end=Mon Jul 04 09:37:56 BST 2016, operations=558.180779551442, operationsPerMinute=279.090389775721, mode=normal, start=Mon Jul 04 09:37:57 BST 2016, end=Mon Jul 04 09:41:57 BST 2016, operations=838.6671040707926, operationsPerMinute=209.66677601769814
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 09:41:59 BST 2016, end=Mon Jul 04 09:43:59 BST 2016, operations=429.30167785380564, operationsPerMinute=214.65083892690282, mode=normal, start=Mon Jul 04 09:44:02 BST 2016, end=Mon Jul 04 09:48:02 BST 2016, operations=786.3738869564827, operationsPerMinute=196.59347173912067
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 09:48:15 BST 2016, end=Mon Jul 04 09:50:15 BST 2016, operations=248.77694297343226, operationsPerMinute=124.38847148671613, mode=normal, start=Mon Jul 04 09:50:19 BST 2016, end=Mon Jul 04 09:54:19 BST 2016, operations=411.09162595370185, operationsPerMinute=102.77290648842546
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 09:54:51 BST 2016, end=Mon Jul 04 09:56:51 BST 2016, operations=382.58401509277024, operationsPerMinute=191.29200754638512, mode=normal, start=Mon Jul 04 09:56:53 BST 2016, end=Mon Jul 04 10:00:53 BST 2016, operations=589.9628881598335, operationsPerMinute=147.49072203995837
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 10:00:55 BST 2016, end=Mon Jul 04 10:02:55 BST 2016, operations=90.21173694271562, operationsPerMinute=45.10586847135781, mode=normal, start=Mon Jul 04 10:03:02 BST 2016, end=Mon Jul 04 10:07:02 BST 2016, operations=167.62409059697495, operationsPerMinute=41.90602264924374
benchmark-name=serial, mod=warmup, start=Mon Jul 04 10:08:04 BST 2016, end=Mon Jul 04 10:10:04 BST 2016, operations=182.5721175128437, operationsPerMinute=91.28605875642185, mode=normal, start=Mon Jul 04 10:10:09 BST 2016, end=Mon Jul 04 10:14:09 BST 2016, operations=359.09083637458514, operationsPerMinute=89.77270909364628
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 10:14:12 BST 2016, end=Mon Jul 04 10:16:12 BST 2016, operations=135.56996062711744, operationsPerMinute=67.78498031355872, mode=normal, start=Mon Jul 04 10:16:14 BST 2016, end=Mon Jul 04 10:20:14 BST 2016, operations=182.69817893920612, operationsPerMinute=45.67454473480153
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 10:20:41 BST 2016, end=Mon Jul 04 10:22:41 BST 2016, operations=403.145360217152, operationsPerMinute=201.572680108576, mode=normal, start=Mon Jul 04 10:22:43 BST 2016, end=Mon Jul 04 10:26:43 BST 2016, operations=808.1784049813211, operationsPerMinute=202.04460124533028
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 10:26:45 BST 2016, end=Mon Jul 04 10:28:45 BST 2016, operations=808.415723080939, operationsPerMinute=404.2078615404695, mode=normal, start=Mon Jul 04 10:28:46 BST 2016, end=Mon Jul 04 10:32:46 BST 2016, operations=1576.2163184779706, operationsPerMinute=394.05407961949265
##-nursultan-##,GREY-02,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 08:13:11 BST 2016,Mon Jul 04 08:13:11 BST 2016,1.0,1935.483870967742,startup.helloworld,Mon Jul 04 08:13:11 BST 2016,Mon Jul 04 08:13:11 BST 2016,1.0,645.1612903225806,startup.compiler.compiler,Mon Jul 04 08:13:11 BST 2016,Mon Jul 04 08:13:24 BST 2016,1.0,4.493035794518496,startup.compiler.sunflow,Mon Jul 04 08:13:24 BST 2016,Mon Jul 04 08:13:28 BST 2016,1.0,17.80415430267062,startup.compress,Mon Jul 04 08:13:28 BST 2016,Mon Jul 04 08:13:29 BST 2016,1.0,46.33204633204633,startup.crypto.aes,Mon Jul 04 08:13:29 BST 2016,Mon Jul 04 08:13:38 BST 2016,1.0,6.9549090066071635,startup.crypto.rsa,Mon Jul 04 08:13:38 BST 2016,Mon Jul 04 08:13:45 BST 2016,1.0,7.817589576547231,startup.crypto.signverify,Mon Jul 04 08:13:45 BST 2016,Mon Jul 04 08:13:52 BST 2016,1.0,9.157509157509157,startup.mpegaudio,Mon Jul 04 08:13:52 BST 2016,Mon Jul 04 08:13:54 BST 2016,1.0,25.466893039049236,startup.scimark.fft,Mon Jul 04 08:13:54 BST 2016,Mon Jul 04 08:13:55 BST 2016,1.0,78.53403141361257,startup.scimark.lu,Mon Jul 04 08:13:55 BST 2016,Mon Jul 04 08:13:56 BST 2016,1.0,64.1025641025641,startup.scimark.monte_carlo,Mon Jul 04 08:13:56 BST 2016,Mon Jul 04 08:14:02 BST 2016,1.0,10.147133434804667,startup.scimark.sor,Mon Jul 04 08:14:02 BST 2016,Mon Jul 04 08:14:03 BST 2016,1.0,40.08016032064128,startup.scimark.sparse,Mon Jul 04 08:14:03 BST 2016,Mon Jul 04 08:14:04 BST 2016,1.0,60.06006006006006,startup.serial,Mon Jul 04 08:14:04 BST 2016,Mon Jul 04 08:14:06 BST 2016,1.0,27.47252747252747,startup.sunflow,Mon Jul 04 08:14:06 BST 2016,Mon Jul 04 08:14:13 BST 2016,1.0,8.90207715133531,startup.xml.transform,Mon Jul 04 08:14:13 BST 2016,Mon Jul 04 08:14:34 BST 2016,1.0,2.8702640642939152,startup.xml.validation,Mon Jul 04 08:14:34 BST 2016,Mon Jul 04 08:14:35 BST 2016,1.0,73.98273736128236,compiler.compiler,Mon Jul 04 08:14:46 BST 2016,Mon Jul 04 08:16:46 BST 2016,435.8093070463033,217.90465352315164,Mon Jul 04 08:16:47 BST 2016,Mon Jul 04 08:20:47 BST 2016,896.7916155927298,224.19790389818246,compiler.sunflow,Mon Jul 04 08:20:51 BST 2016,Mon Jul 04 08:22:51 BST 2016,176.82174358489158,88.41087179244579,Mon Jul 04 08:22:54 BST 2016,Mon Jul 04 08:26:54 BST 2016,352.55472575385835,88.13868143846459,compress,Mon Jul 04 08:26:57 BST 2016,Mon Jul 04 08:28:57 BST 2016,299.9381569722427,149.96907848612136,Mon Jul 04 08:29:03 BST 2016,Mon Jul 04 08:33:03 BST 2016,483.870156875814,120.9675392189535,crypto.aes,Mon Jul 04 08:33:24 BST 2016,Mon Jul 04 08:35:24 BST 2016,105.753978589257,52.8769892946285,Mon Jul 04 08:35:30 BST 2016,Mon Jul 04 08:39:30 BST 2016,223.98638683467965,55.99659670866991,crypto.rsa,Mon Jul 04 08:39:36 BST 2016,Mon Jul 04 08:41:36 BST 2016,169.34543624483547,84.67271812241773,Mon Jul 04 08:42:36 BST 2016,Mon Jul 04 08:46:36 BST 2016,264.9005856000084,66.2251464000021,crypto.signverify,Mon Jul 04 08:46:40 BST 2016,Mon Jul 04 08:48:40 BST 2016,305.38009042005575,152.69004521002788,Mon Jul 04 08:48:51 BST 2016,Mon Jul 04 08:52:51 BST 2016,610.3359030435574,152.58397576088936,derby,Mon Jul 04 08:53:13 BST 2016,Mon Jul 04 08:55:13 BST 2016,266.75768761152744,133.37884380576372,Mon Jul 04 08:55:15 BST 2016,Mon Jul 04 08:59:15 BST 2016,187.38421660745524,46.84605415186381,mpegaudio,Mon Jul 04 08:59:35 BST 2016,Mon Jul 04 09:01:35 BST 2016,137.2692664871314,68.6346332435657,Mon Jul 04 09:02:39 BST 2016,Mon Jul 04 09:06:39 BST 2016,246.94091949448398,61.735229873620995,scimark.fft.large,Mon Jul 04 09:06:45 BST 2016,Mon Jul 04 09:08:45 BST 2016,35.50288374007353,17.751441870036764,Mon Jul 04 09:08:53 BST 2016,Mon Jul 04 09:12:53 BST 2016,109.29794113961532,27.32448528490383,scimark.lu.large,Mon Jul 04 09:13:04 BST 2016,Mon Jul 04 09:15:04 BST 2016,13.751752928571491,6.875876464285746,Mon Jul 04 09:17:06 BST 2016,Mon Jul 04 09:21:06 BST 2016,27.87216501738351,6.968041254345877,scimark.sor.large,Mon Jul 04 09:21:50 BST 2016,Mon Jul 04 09:23:50 BST 2016,46.93202459715449,23.466012298577244,Mon Jul 04 09:24:33 BST 2016,Mon Jul 04 09:28:33 BST 2016,95.10677197129523,23.776692992823808,scimark.sparse.large,Mon Jul 04 09:28:47 BST 2016,Mon Jul 04 09:30:47 BST 2016,36.43199965898741,18.215999829493704,Mon Jul 04 09:31:44 BST 2016,Mon Jul 04 09:35:44 BST 2016,86.80876942375471,21.702192355938678,scimark.fft.small,Mon Jul 04 09:35:56 BST 2016,Mon Jul 04 09:37:56 BST 2016,558.180779551442,279.090389775721,Mon Jul 04 09:37:57 BST 2016,Mon Jul 04 09:41:57 BST 2016,838.6671040707926,209.66677601769814,scimark.lu.small,Mon Jul 04 09:41:59 BST 2016,Mon Jul 04 09:43:59 BST 2016,429.30167785380564,214.65083892690282,Mon Jul 04 09:44:02 BST 2016,Mon Jul 04 09:48:02 BST 2016,786.3738869564827,196.59347173912067,scimark.sor.small,Mon Jul 04 09:48:15 BST 2016,Mon Jul 04 09:50:15 BST 2016,248.77694297343226,124.38847148671613,Mon Jul 04 09:50:19 BST 2016,Mon Jul 04 09:54:19 BST 2016,411.09162595370185,102.77290648842546,scimark.sparse.small,Mon Jul 04 09:54:51 BST 2016,Mon Jul 04 09:56:51 BST 2016,382.58401509277024,191.29200754638512,Mon Jul 04 09:56:53 BST 2016,Mon Jul 04 10:00:53 BST 2016,589.9628881598335,147.49072203995837,scimark.monte_carlo,Mon Jul 04 10:00:55 BST 2016,Mon Jul 04 10:02:55 BST 2016,90.21173694271562,45.10586847135781,Mon Jul 04 10:03:02 BST 2016,Mon Jul 04 10:07:02 BST 2016,167.62409059697495,41.90602264924374,serial,Mon Jul 04 10:08:04 BST 2016,Mon Jul 04 10:10:04 BST 2016,182.5721175128437,91.28605875642185,Mon Jul 04 10:10:09 BST 2016,Mon Jul 04 10:14:09 BST 2016,359.09083637458514,89.77270909364628,sunflow,Mon Jul 04 10:14:12 BST 2016,Mon Jul 04 10:16:12 BST 2016,135.56996062711744,67.78498031355872,Mon Jul 04 10:16:14 BST 2016,Mon Jul 04 10:20:14 BST 2016,182.69817893920612,45.67454473480153,xml.transform,Mon Jul 04 10:20:41 BST 2016,Mon Jul 04 10:22:41 BST 2016,403.145360217152,201.572680108576,Mon Jul 04 10:22:43 BST 2016,Mon Jul 04 10:26:43 BST 2016,808.1784049813211,202.04460124533028,xml.validation,Mon Jul 04 10:26:45 BST 2016,Mon Jul 04 10:28:45 BST 2016,808.415723080939,404.2078615404695,Mon Jul 04 10:28:46 BST 2016,Mon Jul 04 10:32:46 BST 2016,1576.2163184779706,394.05407961949265
