spec.jvm2008.report.run.location=UNION80
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:30 BST 2016, end=Sun Jun 19 00:41:30 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:30 BST 2016, end=Sun Jun 19 00:41:30 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:30 BST 2016, end=Sun Jun 19 00:41:56 BST 2016, operations=1.0, operationsPerMinute=2.333813061573768
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:56 BST 2016, end=Sun Jun 19 00:42:01 BST 2016, operations=1.0, operationsPerMinute=12.486992715920916
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:42:01 BST 2016, end=Sun Jun 19 00:42:03 BST 2016, operations=1.0, operationsPerMinute=36.27569528415961
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:42:03 BST 2016, end=Sun Jun 19 00:42:13 BST 2016, operations=1.0, operationsPerMinute=5.99101347978033
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:13 BST 2016, end=Sun Jun 19 00:42:21 BST 2016, operations=1.0, operationsPerMinute=6.855575868372943
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:21 BST 2016, end=Sun Jun 19 00:42:28 BST 2016, operations=1.0, operationsPerMinute=8.490165558228385
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:28 BST 2016, end=Sun Jun 19 00:42:32 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:32 BST 2016, end=Sun Jun 19 00:42:32 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:32 BST 2016, end=Sun Jun 19 00:42:34 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:34 BST 2016, end=Sun Jun 19 00:42:40 BST 2016, operations=1.0, operationsPerMinute=8.92458723784025
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:40 BST 2016, end=Sun Jun 19 00:42:42 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:42 BST 2016, end=Sun Jun 19 00:42:44 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:44 BST 2016, end=Sun Jun 19 00:42:47 BST 2016, operations=1.0, operationsPerMinute=19.828155981493722
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:47 BST 2016, end=Sun Jun 19 00:42:54 BST 2016, operations=1.0, operationsPerMinute=8.490165558228385
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:54 BST 2016, end=Sun Jun 19 00:43:22 BST 2016, operations=1.0, operationsPerMinute=2.143852502947797
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:22 BST 2016, end=Sun Jun 19 00:43:23 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:41 BST 2016, end=Sun Jun 19 00:45:41 BST 2016, operations=351.68630314267034, operationsPerMinute=175.84315157133517, mode=normal, start=Sun Jun 19 00:45:43 BST 2016, end=Sun Jun 19 00:49:43 BST 2016, operations=722.565968962446, operationsPerMinute=180.6414922406115
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:49 BST 2016, end=Sun Jun 19 00:51:49 BST 2016, operations=142.27186136128876, operationsPerMinute=71.13593068064438, mode=normal, start=Sun Jun 19 00:51:53 BST 2016, end=Sun Jun 19 00:55:53 BST 2016, operations=281.5650476672149, operationsPerMinute=70.39126191680373
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:55:57 BST 2016, end=Sun Jun 19 00:57:57 BST 2016, operations=270.4315643965023, operationsPerMinute=135.21578219825116, mode=normal, start=Sun Jun 19 00:58:01 BST 2016, end=Sun Jun 19 01:02:01 BST 2016, operations=540.7850350366602, operationsPerMinute=135.19625875916506
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:02:03 BST 2016, end=Sun Jun 19 01:04:03 BST 2016, operations=86.19939017977246, operationsPerMinute=43.09969508988623, mode=normal, start=Sun Jun 19 01:04:11 BST 2016, end=Sun Jun 19 01:08:11 BST 2016, operations=181.14881863777197, operationsPerMinute=45.28720465944299
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:17 BST 2016, end=Sun Jun 19 01:10:17 BST 2016, operations=143.672904505771, operationsPerMinute=71.8364522528855, mode=normal, start=Sun Jun 19 01:10:22 BST 2016, end=Sun Jun 19 01:14:22 BST 2016, operations=288.62926578061945, operationsPerMinute=72.15731644515486
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:27 BST 2016, end=Sun Jun 19 01:16:27 BST 2016, operations=245.997584009651, operationsPerMinute=122.9987920048255, mode=normal, start=Sun Jun 19 01:16:30 BST 2016, end=Sun Jun 19 01:20:30 BST 2016, operations=493.07306400007127, operationsPerMinute=123.26826600001782
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:22:09 BST 2016, end=Sun Jun 19 01:24:09 BST 2016, operations=205.11532239865332, operationsPerMinute=102.55766119932666, mode=normal, start=Sun Jun 19 01:24:12 BST 2016, end=Sun Jun 19 01:28:12 BST 2016, operations=414.76168424196214, operationsPerMinute=103.69042106049054
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:16 BST 2016, end=Sun Jun 19 01:30:16 BST 2016, operations=133.91483645705236, operationsPerMinute=66.95741822852618, mode=normal, start=Sun Jun 19 01:30:22 BST 2016, end=Sun Jun 19 01:34:22 BST 2016, operations=268.09037648836346, operationsPerMinute=67.02259412209087
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:28 BST 2016, end=Sun Jun 19 01:36:28 BST 2016, operations=83.9438575398851, operationsPerMinute=41.97192876994255, mode=normal, start=Sun Jun 19 01:36:37 BST 2016, end=Sun Jun 19 01:40:37 BST 2016, operations=160.27807330316358, operationsPerMinute=40.069518325790895
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:45 BST 2016, end=Sun Jun 19 01:42:45 BST 2016, operations=20.023062017529934, operationsPerMinute=10.011531008764967, mode=normal, start=Sun Jun 19 01:43:16 BST 2016, end=Sun Jun 19 01:47:16 BST 2016, operations=40.162698972190434, operationsPerMinute=10.040674743047608
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:47:51 BST 2016, end=Sun Jun 19 01:49:51 BST 2016, operations=55.35725378126715, operationsPerMinute=27.678626890633574, mode=normal, start=Sun Jun 19 01:50:01 BST 2016, end=Sun Jun 19 01:54:01 BST 2016, operations=110.89471250581306, operationsPerMinute=27.723678126453265
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:10 BST 2016, end=Sun Jun 19 01:56:10 BST 2016, operations=60.66757200189923, operationsPerMinute=30.333786000949615, mode=normal, start=Sun Jun 19 01:56:22 BST 2016, end=Sun Jun 19 02:00:22 BST 2016, operations=121.33000063473847, operationsPerMinute=30.332500158684617
