spec.jvm2008.report.run.location=UNION30
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Tue Jun 28 22:11:15 BST 2016, end=Tue Jun 28 22:11:15 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 22:11:15 BST 2016, end=Tue Jun 28 22:11:15 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 22:11:15 BST 2016, end=Tue Jun 28 22:11:36 BST 2016, operations=1.0, operationsPerMinute=2.8553752438966353
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 22:11:36 BST 2016, end=Tue Jun 28 22:11:40 BST 2016, operations=1.0, operationsPerMinute=13.885674612358251
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 22:11:40 BST 2016, end=Tue Jun 28 22:11:42 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 22:11:42 BST 2016, end=Tue Jun 28 22:11:51 BST 2016, operations=1.0, operationsPerMinute=6.56311529205863
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 22:11:51 BST 2016, end=Tue Jun 28 22:11:59 BST 2016, operations=1.0, operationsPerMinute=7.586294095334429
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 22:11:59 BST 2016, end=Tue Jun 28 22:12:05 BST 2016, operations=1.0, operationsPerMinute=8.720930232558139
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 22:12:05 BST 2016, end=Tue Jun 28 22:12:08 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 22:12:08 BST 2016, end=Tue Jun 28 22:12:09 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 22:12:09 BST 2016, end=Tue Jun 28 22:12:10 BST 2016, operations=1.0, operationsPerMinute=58.25242718446602
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 22:12:10 BST 2016, end=Tue Jun 28 22:12:16 BST 2016, operations=1.0, operationsPerMinute=9.914077990746861
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 22:12:16 BST 2016, end=Tue Jun 28 22:12:17 BST 2016, operations=1.0, operationsPerMinute=40.899795501022496
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 22:12:17 BST 2016, end=Tue Jun 28 22:12:19 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 22:12:19 BST 2016, end=Tue Jun 28 22:12:21 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 22:12:21 BST 2016, end=Tue Jun 28 22:12:28 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 22:12:28 BST 2016, end=Tue Jun 28 22:12:53 BST 2016, operations=1.0, operationsPerMinute=2.38597049349823
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 22:12:53 BST 2016, end=Tue Jun 28 22:12:54 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 22:13:07 BST 2016, end=Tue Jun 28 22:15:07 BST 2016, operations=457.7643701282821, operationsPerMinute=228.88218506414105, mode=normal, start=Tue Jun 28 22:15:10 BST 2016, end=Tue Jun 28 22:19:10 BST 2016, operations=919.2235491210007, operationsPerMinute=229.80588728025018
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 22:19:17 BST 2016, end=Tue Jun 28 22:21:17 BST 2016, operations=182.26739680888824, operationsPerMinute=91.13369840444412, mode=normal, start=Tue Jun 28 22:21:24 BST 2016, end=Tue Jun 28 22:25:24 BST 2016, operations=366.12118036643494, operationsPerMinute=91.53029509160874
benchmark-name=compress, mod=warmup, start=Tue Jun 28 22:25:32 BST 2016, end=Tue Jun 28 22:27:32 BST 2016, operations=486.57915756547646, operationsPerMinute=243.28957878273823, mode=normal, start=Tue Jun 28 22:27:35 BST 2016, end=Tue Jun 28 22:31:35 BST 2016, operations=971.8718975082709, operationsPerMinute=242.96797437706772
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 22:31:39 BST 2016, end=Tue Jun 28 22:33:39 BST 2016, operations=128.1125278646427, operationsPerMinute=64.05626393232134, mode=normal, start=Tue Jun 28 22:33:50 BST 2016, end=Tue Jun 28 22:37:50 BST 2016, operations=269.45618965430305, operationsPerMinute=67.36404741357576
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 22:37:59 BST 2016, end=Tue Jun 28 22:39:59 BST 2016, operations=227.37909001746965, operationsPerMinute=113.68954500873483, mode=normal, start=Tue Jun 28 22:40:05 BST 2016, end=Tue Jun 28 22:44:05 BST 2016, operations=457.4026279060704, operationsPerMinute=114.3506569765176
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 22:44:12 BST 2016, end=Tue Jun 28 22:46:12 BST 2016, operations=395.43626275921105, operationsPerMinute=197.71813137960552, mode=normal, start=Tue Jun 28 22:46:16 BST 2016, end=Tue Jun 28 22:50:16 BST 2016, operations=787.2104394555859, operationsPerMinute=196.80260986389646
benchmark-name=derby, mod=warmup, start=Tue Jun 28 22:52:02 BST 2016, end=Tue Jun 28 22:54:02 BST 2016, operations=332.3507378010197, operationsPerMinute=166.17536890050985, mode=normal, start=Tue Jun 28 22:54:07 BST 2016, end=Tue Jun 28 22:58:07 BST 2016, operations=671.8350309939636, operationsPerMinute=167.9587577484909
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 22:58:12 BST 2016, end=Tue Jun 28 23:00:12 BST 2016, operations=218.9268180900454, operationsPerMinute=109.4634090450227, mode=normal, start=Tue Jun 28 23:00:19 BST 2016, end=Tue Jun 28 23:04:19 BST 2016, operations=439.12020722651033, operationsPerMinute=109.78005180662758
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 23:04:25 BST 2016, end=Tue Jun 28 23:06:25 BST 2016, operations=88.60578630170566, operationsPerMinute=44.30289315085283, mode=normal, start=Tue Jun 28 23:06:45 BST 2016, end=Tue Jun 28 23:10:45 BST 2016, operations=188.83428354321916, operationsPerMinute=47.20857088580479
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 23:10:59 BST 2016, end=Tue Jun 28 23:12:59 BST 2016, operations=20.637695032856634, operationsPerMinute=10.318847516428317, mode=normal, start=Tue Jun 28 23:13:58 BST 2016, end=Tue Jun 28 23:17:58 BST 2016, operations=41.45447917935775, operationsPerMinute=10.363619794839437
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 23:19:16 BST 2016, end=Tue Jun 28 23:21:16 BST 2016, operations=120.53180228955706, operationsPerMinute=60.26590114477853, mode=normal, start=Tue Jun 28 23:21:30 BST 2016, end=Tue Jun 28 23:25:30 BST 2016, operations=245.56522465928975, operationsPerMinute=61.39130616482244
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 23:25:43 BST 2016, end=Tue Jun 28 23:27:43 BST 2016, operations=63.139510757749775, operationsPerMinute=31.569755378874888, mode=normal, start=Tue Jun 28 23:27:58 BST 2016, end=Tue Jun 28 23:31:58 BST 2016, operations=126.12521019111016, operationsPerMinute=31.53130254777754
