spec.jvm2008.report.run.location=UNION80
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Wed Jun 29 08:06:33 BST 2016, end=Wed Jun 29 08:06:33 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 08:06:33 BST 2016, end=Wed Jun 29 08:06:33 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 08:06:33 BST 2016, end=Wed Jun 29 08:06:55 BST 2016, operations=1.0, operationsPerMinute=2.735603884557516
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 08:06:55 BST 2016, end=Wed Jun 29 08:07:00 BST 2016, operations=1.0, operationsPerMinute=12.36603462489695
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 08:07:00 BST 2016, end=Wed Jun 29 08:07:01 BST 2016, operations=1.0, operationsPerMinute=34.344590726960504
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 08:07:02 BST 2016, end=Wed Jun 29 08:07:12 BST 2016, operations=1.0, operationsPerMinute=5.925925925925926
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 08:07:12 BST 2016, end=Wed Jun 29 08:07:20 BST 2016, operations=1.0, operationsPerMinute=6.9428373061791255
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 08:07:20 BST 2016, end=Wed Jun 29 08:07:28 BST 2016, operations=1.0, operationsPerMinute=8.289582757667864
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 08:07:28 BST 2016, end=Wed Jun 29 08:07:31 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 08:07:31 BST 2016, end=Wed Jun 29 08:07:32 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 08:07:32 BST 2016, end=Wed Jun 29 08:07:33 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 08:07:33 BST 2016, end=Wed Jun 29 08:07:40 BST 2016, operations=1.0, operationsPerMinute=8.800234672924612
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 08:07:40 BST 2016, end=Wed Jun 29 08:07:41 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 08:07:41 BST 2016, end=Wed Jun 29 08:07:43 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 08:07:43 BST 2016, end=Wed Jun 29 08:07:46 BST 2016, operations=1.0, operationsPerMinute=19.926934573231485
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 08:07:46 BST 2016, end=Wed Jun 29 08:07:53 BST 2016, operations=1.0, operationsPerMinute=8.361204013377927
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 08:07:53 BST 2016, end=Wed Jun 29 08:08:22 BST 2016, operations=1.0, operationsPerMinute=2.0903010033444818
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 08:08:22 BST 2016, end=Wed Jun 29 08:08:23 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 08:08:38 BST 2016, end=Wed Jun 29 08:10:38 BST 2016, operations=351.17856461798016, operationsPerMinute=175.58928230899008, mode=normal, start=Wed Jun 29 08:10:39 BST 2016, end=Wed Jun 29 08:14:39 BST 2016, operations=720.0447302693142, operationsPerMinute=180.01118256732855
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 08:14:46 BST 2016, end=Wed Jun 29 08:16:46 BST 2016, operations=142.54668184570346, operationsPerMinute=71.27334092285173, mode=normal, start=Wed Jun 29 08:16:50 BST 2016, end=Wed Jun 29 08:20:50 BST 2016, operations=269.26427818173283, operationsPerMinute=67.31606954543321
benchmark-name=compress, mod=warmup, start=Wed Jun 29 08:20:56 BST 2016, end=Wed Jun 29 08:22:56 BST 2016, operations=270.69873014389094, operationsPerMinute=135.34936507194547, mode=normal, start=Wed Jun 29 08:22:59 BST 2016, end=Wed Jun 29 08:26:59 BST 2016, operations=538.0464119205586, operationsPerMinute=134.51160298013966
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 08:27:02 BST 2016, end=Wed Jun 29 08:29:02 BST 2016, operations=83.86820518750332, operationsPerMinute=41.93410259375166, mode=normal, start=Wed Jun 29 08:29:12 BST 2016, end=Wed Jun 29 08:33:12 BST 2016, operations=181.91972640087357, operationsPerMinute=45.47993160021839
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 08:33:20 BST 2016, end=Wed Jun 29 08:35:20 BST 2016, operations=145.02029785941187, operationsPerMinute=72.51014892970593, mode=normal, start=Wed Jun 29 08:35:26 BST 2016, end=Wed Jun 29 08:39:26 BST 2016, operations=289.97289917917317, operationsPerMinute=72.49322479479329
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 08:39:31 BST 2016, end=Wed Jun 29 08:41:31 BST 2016, operations=252.3247366370638, operationsPerMinute=126.1623683185319, mode=normal, start=Wed Jun 29 08:41:34 BST 2016, end=Wed Jun 29 08:45:34 BST 2016, operations=504.8756699985513, operationsPerMinute=126.21891749963783
benchmark-name=derby, mod=warmup, start=Wed Jun 29 08:47:14 BST 2016, end=Wed Jun 29 08:49:14 BST 2016, operations=201.69225148012367, operationsPerMinute=100.84612574006184, mode=normal, start=Wed Jun 29 08:49:17 BST 2016, end=Wed Jun 29 08:53:17 BST 2016, operations=408.19300549881194, operationsPerMinute=102.04825137470299
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 08:53:21 BST 2016, end=Wed Jun 29 08:55:21 BST 2016, operations=133.4479562608512, operationsPerMinute=66.7239781304256, mode=normal, start=Wed Jun 29 08:55:26 BST 2016, end=Wed Jun 29 08:59:26 BST 2016, operations=267.50749689851193, operationsPerMinute=66.87687422462798
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 08:59:32 BST 2016, end=Wed Jun 29 09:01:32 BST 2016, operations=84.1301786005969, operationsPerMinute=42.06508930029845, mode=normal, start=Wed Jun 29 09:01:41 BST 2016, end=Wed Jun 29 09:05:41 BST 2016, operations=165.89744741260307, operationsPerMinute=41.47436185315077
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 09:05:49 BST 2016, end=Wed Jun 29 09:07:49 BST 2016, operations=20.082498292822102, operationsPerMinute=10.041249146411051, mode=normal, start=Wed Jun 29 09:08:25 BST 2016, end=Wed Jun 29 09:12:25 BST 2016, operations=40.235137945457225, operationsPerMinute=10.058784486364306
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 09:13:00 BST 2016, end=Wed Jun 29 09:15:00 BST 2016, operations=55.26001455933444, operationsPerMinute=27.63000727966722, mode=normal, start=Wed Jun 29 09:15:10 BST 2016, end=Wed Jun 29 09:19:10 BST 2016, operations=110.8099503007918, operationsPerMinute=27.70248757519795
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 09:19:21 BST 2016, end=Wed Jun 29 09:21:21 BST 2016, operations=60.72230681101119, operationsPerMinute=30.361153405505593, mode=normal, start=Wed Jun 29 09:21:32 BST 2016, end=Wed Jun 29 09:25:32 BST 2016, operations=120.93660542302308, operationsPerMinute=30.23415135575577
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 09:25:43 BST 2016, end=Wed Jun 29 09:27:43 BST 2016, operations=518.603250807994, operationsPerMinute=259.301625403997, mode=normal, start=Wed Jun 29 09:27:44 BST 2016, end=Wed Jun 29 09:31:44 BST 2016, operations=1038.1773455575578, operationsPerMinute=259.54433638938946
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 09:31:46 BST 2016, end=Wed Jun 29 09:33:46 BST 2016, operations=373.5052817780038, operationsPerMinute=186.7526408890019, mode=normal, start=Wed Jun 29 09:33:48 BST 2016, end=Wed Jun 29 09:37:48 BST 2016, operations=746.3868726425783, operationsPerMinute=186.59671816064457
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 09:37:50 BST 2016, end=Wed Jun 29 09:39:50 BST 2016, operations=242.8794888556249, operationsPerMinute=121.43974442781246, mode=normal, start=Wed Jun 29 09:39:52 BST 2016, end=Wed Jun 29 09:43:52 BST 2016, operations=486.2704146818749, operationsPerMinute=121.56760367046873
