spec.jvm2008.report.run.location=BARN-13
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:24 BST 2016, end=Fri Jun 03 15:01:24 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:24 BST 2016, end=Fri Jun 03 15:01:25 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:25 BST 2016, end=Fri Jun 03 15:01:37 BST 2016, operations=1.0, operationsPerMinute=4.78965434661132
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:37 BST 2016, end=Fri Jun 03 15:01:40 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:40 BST 2016, end=Fri Jun 03 15:01:42 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:42 BST 2016, end=Fri Jun 03 15:01:50 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:50 BST 2016, end=Fri Jun 03 15:01:58 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:58 BST 2016, end=Fri Jun 03 15:02:04 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:04 BST 2016, end=Fri Jun 03 15:02:06 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:06 BST 2016, end=Fri Jun 03 15:02:07 BST 2016, operations=1.0, operationsPerMinute=81.74386920980926
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:07 BST 2016, end=Fri Jun 03 15:02:08 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:08 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:15 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:15 BST 2016, end=Fri Jun 03 15:02:16 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:16 BST 2016, end=Fri Jun 03 15:02:18 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:18 BST 2016, end=Fri Jun 03 15:02:24 BST 2016, operations=1.0, operationsPerMinute=9.450307134981887
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:24 BST 2016, end=Fri Jun 03 15:02:44 BST 2016, operations=1.0, operationsPerMinute=2.9931158335827597
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:44 BST 2016, end=Fri Jun 03 15:02:45 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:55 BST 2016, end=Fri Jun 03 15:04:55 BST 2016, operations=453.06757635167753, operationsPerMinute=226.53378817583877, mode=normal, start=Fri Jun 03 15:04:57 BST 2016, end=Fri Jun 03 15:08:57 BST 2016, operations=987.9799933557555, operationsPerMinute=246.99499833893887
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:01 BST 2016, end=Fri Jun 03 15:11:01 BST 2016, operations=199.16557959155222, operationsPerMinute=99.58278979577611, mode=normal, start=Fri Jun 03 15:11:04 BST 2016, end=Fri Jun 03 15:15:04 BST 2016, operations=395.2176299208833, operationsPerMinute=98.80440748022083
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:07 BST 2016, end=Fri Jun 03 15:17:07 BST 2016, operations=398.0428926574714, operationsPerMinute=199.0214463287357, mode=normal, start=Fri Jun 03 15:17:09 BST 2016, end=Fri Jun 03 15:21:09 BST 2016, operations=794.558249812081, operationsPerMinute=198.63956245302026
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:11 BST 2016, end=Fri Jun 03 15:23:11 BST 2016, operations=138.65698509968945, operationsPerMinute=69.32849254984473, mode=normal, start=Fri Jun 03 15:23:15 BST 2016, end=Fri Jun 03 15:27:15 BST 2016, operations=292.8969624405721, operationsPerMinute=73.22424061014303
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:20 BST 2016, end=Fri Jun 03 15:29:20 BST 2016, operations=235.60580972952528, operationsPerMinute=117.80290486476264, mode=normal, start=Fri Jun 03 15:29:24 BST 2016, end=Fri Jun 03 15:33:24 BST 2016, operations=469.2897637803869, operationsPerMinute=117.32244094509673
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:28 BST 2016, end=Fri Jun 03 15:35:28 BST 2016, operations=408.29572126435653, operationsPerMinute=204.14786063217826, mode=normal, start=Fri Jun 03 15:35:30 BST 2016, end=Fri Jun 03 15:39:30 BST 2016, operations=810.7790500054721, operationsPerMinute=202.69476250136802
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:39:53 BST 2016, end=Fri Jun 03 15:41:53 BST 2016, operations=363.93764172870675, operationsPerMinute=181.96882086435338, mode=normal, start=Fri Jun 03 15:41:55 BST 2016, end=Fri Jun 03 15:45:55 BST 2016, operations=726.3806185699198, operationsPerMinute=181.59515464247994
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:45:57 BST 2016, end=Fri Jun 03 15:47:57 BST 2016, operations=207.43079841795281, operationsPerMinute=103.71539920897641, mode=normal, start=Fri Jun 03 15:48:00 BST 2016, end=Fri Jun 03 15:52:00 BST 2016, operations=416.4979966890474, operationsPerMinute=104.12449917226185
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:04 BST 2016, end=Fri Jun 03 15:54:04 BST 2016, operations=78.77927176499462, operationsPerMinute=39.38963588249731, mode=normal, start=Fri Jun 03 15:54:11 BST 2016, end=Fri Jun 03 15:58:11 BST 2016, operations=145.35101213127706, operationsPerMinute=36.337753032819265
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:19 BST 2016, end=Fri Jun 03 16:00:19 BST 2016, operations=13.811720949818817, operationsPerMinute=6.905860474909408, mode=normal, start=Fri Jun 03 16:01:03 BST 2016, end=Fri Jun 03 16:05:03 BST 2016, operations=27.777329691422278, operationsPerMinute=6.944332422855569
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:05:48 BST 2016, end=Fri Jun 03 16:07:48 BST 2016, operations=74.54151018861435, operationsPerMinute=37.27075509430718, mode=normal, start=Fri Jun 03 16:07:56 BST 2016, end=Fri Jun 03 16:11:56 BST 2016, operations=149.00578784436007, operationsPerMinute=37.25144696109002
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:06 BST 2016, end=Fri Jun 03 16:14:06 BST 2016, operations=43.0417192478498, operationsPerMinute=21.5208596239249, mode=normal, start=Fri Jun 03 16:14:20 BST 2016, end=Fri Jun 03 16:18:20 BST 2016, operations=85.35569662830409, operationsPerMinute=21.338924157076022
