spec.jvm2008.report.run.location=PERCY006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 12:00:28 BST 2016, end=Sun Jun 26 12:00:29 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 12:00:29 BST 2016, end=Sun Jun 26 12:00:29 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 12:00:29 BST 2016, end=Sun Jun 26 12:00:42 BST 2016, operations=1.0, operationsPerMinute=4.622496147919877
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 12:00:42 BST 2016, end=Sun Jun 26 12:00:45 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 12:00:45 BST 2016, end=Sun Jun 26 12:00:46 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 12:00:46 BST 2016, end=Sun Jun 26 12:00:55 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 12:00:55 BST 2016, end=Sun Jun 26 12:01:02 BST 2016, operations=1.0, operationsPerMinute=7.929166116030131
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 12:01:02 BST 2016, end=Sun Jun 26 12:01:09 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 12:01:09 BST 2016, end=Sun Jun 26 12:01:11 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 12:01:11 BST 2016, end=Sun Jun 26 12:01:12 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 12:01:12 BST 2016, end=Sun Jun 26 12:01:13 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 12:01:13 BST 2016, end=Sun Jun 26 12:01:18 BST 2016, operations=1.0, operationsPerMinute=10.712372790573111
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 12:01:18 BST 2016, end=Sun Jun 26 12:01:20 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 12:01:20 BST 2016, end=Sun Jun 26 12:01:21 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 12:01:21 BST 2016, end=Sun Jun 26 12:01:23 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 12:01:23 BST 2016, end=Sun Jun 26 12:01:29 BST 2016, operations=1.0, operationsPerMinute=9.334163036714374
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 12:01:29 BST 2016, end=Sun Jun 26 12:01:49 BST 2016, operations=1.0, operationsPerMinute=2.9905796740268156
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 12:01:49 BST 2016, end=Sun Jun 26 12:01:50 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 12:02:00 BST 2016, end=Sun Jun 26 12:04:00 BST 2016, operations=483.37652665500445, operationsPerMinute=241.68826332750223, mode=normal, start=Sun Jun 26 12:04:02 BST 2016, end=Sun Jun 26 12:08:02 BST 2016, operations=996.8576310418787, operationsPerMinute=249.21440776046967
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 12:08:06 BST 2016, end=Sun Jun 26 12:10:06 BST 2016, operations=197.52856205862832, operationsPerMinute=98.76428102931416, mode=normal, start=Sun Jun 26 12:10:09 BST 2016, end=Sun Jun 26 12:14:09 BST 2016, operations=392.5248460037762, operationsPerMinute=98.13121150094405
benchmark-name=compress, mod=warmup, start=Sun Jun 26 12:14:13 BST 2016, end=Sun Jun 26 12:16:13 BST 2016, operations=399.9833037333612, operationsPerMinute=199.9916518666806, mode=normal, start=Sun Jun 26 12:16:15 BST 2016, end=Sun Jun 26 12:20:15 BST 2016, operations=800.6115499363411, operationsPerMinute=200.15288748408528
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 12:20:18 BST 2016, end=Sun Jun 26 12:22:18 BST 2016, operations=139.32328267831926, operationsPerMinute=69.66164133915963, mode=normal, start=Sun Jun 26 12:22:22 BST 2016, end=Sun Jun 26 12:26:22 BST 2016, operations=291.6805156890699, operationsPerMinute=72.92012892226748
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 12:26:27 BST 2016, end=Sun Jun 26 12:28:27 BST 2016, operations=233.54649560455584, operationsPerMinute=116.77324780227792, mode=normal, start=Sun Jun 26 12:28:29 BST 2016, end=Sun Jun 26 12:32:29 BST 2016, operations=467.2013465265769, operationsPerMinute=116.80033663164423
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 12:32:34 BST 2016, end=Sun Jun 26 12:34:34 BST 2016, operations=406.9320375695582, operationsPerMinute=203.4660187847791, mode=normal, start=Sun Jun 26 12:34:36 BST 2016, end=Sun Jun 26 12:38:36 BST 2016, operations=814.9167802661473, operationsPerMinute=203.72919506653682
benchmark-name=derby, mod=warmup, start=Sun Jun 26 12:38:58 BST 2016, end=Sun Jun 26 12:40:58 BST 2016, operations=364.0796379545257, operationsPerMinute=182.03981897726285, mode=normal, start=Sun Jun 26 12:41:00 BST 2016, end=Sun Jun 26 12:45:00 BST 2016, operations=725.4034816634867, operationsPerMinute=181.35087041587167
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 12:45:02 BST 2016, end=Sun Jun 26 12:47:02 BST 2016, operations=207.91582878262943, operationsPerMinute=103.95791439131472, mode=normal, start=Sun Jun 26 12:47:05 BST 2016, end=Sun Jun 26 12:51:05 BST 2016, operations=416.197779301075, operationsPerMinute=104.04944482526875
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 12:51:09 BST 2016, end=Sun Jun 26 12:53:09 BST 2016, operations=78.23245513562586, operationsPerMinute=39.11622756781293, mode=normal, start=Sun Jun 26 12:53:16 BST 2016, end=Sun Jun 26 12:57:16 BST 2016, operations=157.624587962033, operationsPerMinute=39.40614699050825
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 12:57:24 BST 2016, end=Sun Jun 26 12:59:24 BST 2016, operations=13.886314371680562, operationsPerMinute=6.943157185840281, mode=normal, start=Sun Jun 26 13:00:08 BST 2016, end=Sun Jun 26 13:04:08 BST 2016, operations=27.582676041353263, operationsPerMinute=6.895669010338316
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 13:04:47 BST 2016, end=Sun Jun 26 13:06:47 BST 2016, operations=73.93533138375965, operationsPerMinute=36.96766569187982, mode=normal, start=Sun Jun 26 13:06:55 BST 2016, end=Sun Jun 26 13:10:55 BST 2016, operations=149.02881890647876, operationsPerMinute=37.25720472661969
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 13:11:07 BST 2016, end=Sun Jun 26 13:13:07 BST 2016, operations=43.24098066087381, operationsPerMinute=21.620490330436905, mode=normal, start=Sun Jun 26 13:13:18 BST 2016, end=Sun Jun 26 13:17:18 BST 2016, operations=86.48460283588129, operationsPerMinute=21.621150708970323
