spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 05:53:23 BST 2016, end=Mon Jul 04 05:53:23 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 07:14:28 BST 2016, end=Mon Jul 04 07:16:28 BST 2016, operations=527.0762666124142, operationsPerMinute=263.5381333062071, mode=normal, start=Mon Jul 04 07:16:31 BST 2016, end=Mon Jul 04 07:20:31 BST 2016, operations=901.8857497588118, operationsPerMinute=225.47143743970295
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 07:20:32 BST 2016, end=Mon Jul 04 07:22:32 BST 2016, operations=430.6840068556207, operationsPerMinute=215.34200342781034, mode=normal, start=Mon Jul 04 07:22:36 BST 2016, end=Mon Jul 04 07:26:36 BST 2016, operations=860.907353802234, operationsPerMinute=215.2268384505585
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 07:26:37 BST 2016, end=Mon Jul 04 07:28:37 BST 2016, operations=249.77748245844197, operationsPerMinute=124.88874122922098, mode=normal, start=Mon Jul 04 07:28:48 BST 2016, end=Mon Jul 04 07:32:48 BST 2016, operations=381.9618217859724, operationsPerMinute=95.4904554464931
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 07:32:55 BST 2016, end=Mon Jul 04 07:34:55 BST 2016, operations=279.7925816374308, operationsPerMinute=139.8962908187154, mode=normal, start=Mon Jul 04 07:35:17 BST 2016, end=Mon Jul 04 07:39:17 BST 2016, operations=767.751145271243, operationsPerMinute=191.93778631781075
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 07:40:04 BST 2016, end=Mon Jul 04 07:42:04 BST 2016, operations=89.81287718011865, operationsPerMinute=44.906438590059324, mode=normal, start=Mon Jul 04 07:42:15 BST 2016, end=Mon Jul 04 07:46:15 BST 2016, operations=179.5755953962838, operationsPerMinute=44.89389884907095
benchmark-name=serial, mod=warmup, start=Mon Jul 04 07:46:22 BST 2016, end=Mon Jul 04 07:48:22 BST 2016, operations=181.92495447139254, operationsPerMinute=90.96247723569627, mode=normal, start=Mon Jul 04 07:48:26 BST 2016, end=Mon Jul 04 07:52:26 BST 2016, operations=362.9744750776738, operationsPerMinute=90.74361876941845
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 07:52:30 BST 2016, end=Mon Jul 04 07:54:30 BST 2016, operations=137.85835193245714, operationsPerMinute=68.92917596622857, mode=normal, start=Mon Jul 04 07:54:33 BST 2016, end=Mon Jul 04 07:58:33 BST 2016, operations=196.2512380803799, operationsPerMinute=49.06280952009497
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 07:59:15 BST 2016, end=Mon Jul 04 08:01:15 BST 2016, operations=402.29385120064444, operationsPerMinute=201.14692560032222, mode=normal, start=Mon Jul 04 08:01:16 BST 2016, end=Mon Jul 04 08:05:16 BST 2016, operations=810.5343041245362, operationsPerMinute=202.63357603113406
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 08:05:18 BST 2016, end=Mon Jul 04 08:07:18 BST 2016, operations=803.6152175114294, operationsPerMinute=401.8076087557147, mode=normal, start=Mon Jul 04 08:07:19 BST 2016, end=Mon Jul 04 08:11:19 BST 2016, operations=1581.7998026692167, operationsPerMinute=395.44995066730417
##-nursultan-##,GREY-02,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 05:53:23 BST 2016,Mon Jul 04 05:53:23 BST 2016,1.0,1276.595744680851,startup.helloworld,Mon Jul 04 05:53:23 BST 2016,Mon Jul 04 05:53:23 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Mon Jul 04 05:53:23 BST 2016,Mon Jul 04 05:53:37 BST 2016,1.0,4.451699065143196,startup.compiler.sunflow,Mon Jul 04 05:53:37 BST 2016,Mon Jul 04 05:53:40 BST 2016,1.0,17.80415430267062,startup.compress,Mon Jul 04 05:53:40 BST 2016,Mon Jul 04 05:53:41 BST 2016,1.0,45.80152671755725,startup.crypto.aes,Mon Jul 04 05:53:41 BST 2016,Mon Jul 04 05:53:50 BST 2016,1.0,7.005253940455342,startup.crypto.rsa,Mon Jul 04 05:53:50 BST 2016,Mon Jul 04 05:53:58 BST 2016,1.0,7.882291119285339,startup.crypto.signverify,Mon Jul 04 05:53:58 BST 2016,Mon Jul 04 05:54:04 BST 2016,1.0,8.882309400444116,startup.mpegaudio,Mon Jul 04 05:54:04 BST 2016,Mon Jul 04 05:54:07 BST 2016,1.0,25.29510961214165,startup.scimark.fft,Mon Jul 04 05:54:07 BST 2016,Mon Jul 04 05:54:08 BST 2016,1.0,80.21390374331551,startup.scimark.lu,Mon Jul 04 05:54:08 BST 2016,Mon Jul 04 05:54:08 BST 2016,1.0,63.02521008403362,startup.scimark.monte_carlo,Mon Jul 04 05:54:08 BST 2016,Mon Jul 04 05:54:14 BST 2016,1.0,10.395010395010395,startup.scimark.sor,Mon Jul 04 05:54:14 BST 2016,Mon Jul 04 05:54:16 BST 2016,1.0,40.48582995951417,startup.scimark.sparse,Mon Jul 04 05:54:16 BST 2016,Mon Jul 04 05:54:17 BST 2016,1.0,59.171597633136095,startup.serial,Mon Jul 04 05:54:17 BST 2016,Mon Jul 04 05:54:19 BST 2016,1.0,27.08803611738149,startup.sunflow,Mon Jul 04 05:54:19 BST 2016,Mon Jul 04 05:54:26 BST 2016,1.0,8.986071589036992,startup.xml.transform,Mon Jul 04 05:54:26 BST 2016,Mon Jul 04 05:54:47 BST 2016,1.0,2.849002849002849,startup.xml.validation,Mon Jul 04 05:54:47 BST 2016,Mon Jul 04 05:54:48 BST 2016,1.0,72.55139056831922,compiler.compiler,Mon Jul 04 05:54:58 BST 2016,Mon Jul 04 05:56:58 BST 2016,441.61470363487445,220.80735181743722,Mon Jul 04 05:56:59 BST 2016,Mon Jul 04 06:00:59 BST 2016,887.9876747466802,221.99691868667006,compiler.sunflow,Mon Jul 04 06:01:04 BST 2016,Mon Jul 04 06:03:04 BST 2016,176.34379468214604,88.17189734107302,Mon Jul 04 06:03:07 BST 2016,Mon Jul 04 06:07:07 BST 2016,354.0060295813445,88.50150739533612,compress,Mon Jul 04 06:07:10 BST 2016,Mon Jul 04 06:09:10 BST 2016,296.0438174862648,148.0219087431324,Mon Jul 04 06:09:13 BST 2016,Mon Jul 04 06:13:13 BST 2016,431.1794143905006,107.79485359762515,crypto.aes,Mon Jul 04 06:13:22 BST 2016,Mon Jul 04 06:15:22 BST 2016,105.3766211401215,52.68831057006075,Mon Jul 04 06:15:27 BST 2016,Mon Jul 04 06:19:27 BST 2016,222.44076994232873,55.61019248558218,crypto.rsa,Mon Jul 04 06:19:36 BST 2016,Mon Jul 04 06:21:36 BST 2016,176.10094475125447,88.05047237562724,Mon Jul 04 06:21:39 BST 2016,Mon Jul 04 06:25:39 BST 2016,291.6018602895752,72.9004650723938,crypto.signverify,Mon Jul 04 06:26:10 BST 2016,Mon Jul 04 06:28:10 BST 2016,306.3326831343178,153.1663415671589,Mon Jul 04 06:28:13 BST 2016,Mon Jul 04 06:32:13 BST 2016,611.9037650146101,152.97594125365254,derby,Mon Jul 04 06:32:35 BST 2016,Mon Jul 04 06:34:35 BST 2016,272.91580704241994,136.45790352120997,Mon Jul 04 06:34:38 BST 2016,Mon Jul 04 06:38:38 BST 2016,548.8224775860663,137.20561939651657,mpegaudio,Mon Jul 04 06:38:40 BST 2016,Mon Jul 04 06:40:40 BST 2016,154.13631232077825,77.06815616038912,Mon Jul 04 06:40:46 BST 2016,Mon Jul 04 06:44:46 BST 2016,236.95823604892541,59.239559012231354,scimark.fft.large,Mon Jul 04 06:44:51 BST 2016,Mon Jul 04 06:46:51 BST 2016,34.067151888765935,17.033575944382967,Mon Jul 04 06:47:00 BST 2016,Mon Jul 04 06:51:00 BST 2016,115.30146687791616,28.82536671947904,scimark.lu.large,Mon Jul 04 06:51:42 BST 2016,Mon Jul 04 06:53:42 BST 2016,12.429165486441137,6.214582743220569,Mon Jul 04 06:55:08 BST 2016,Mon Jul 04 06:59:08 BST 2016,28.266024794141686,7.066506198535421,scimark.sor.large,Mon Jul 04 07:00:24 BST 2016,Mon Jul 04 07:02:24 BST 2016,57.162751262032344,28.581375631016172,Mon Jul 04 07:02:37 BST 2016,Mon Jul 04 07:06:37 BST 2016,112.25812754511281,28.064531886278203,scimark.sparse.large,Mon Jul 04 07:07:55 BST 2016,Mon Jul 04 07:09:55 BST 2016,43.84499059731307,21.922495298656536,Mon Jul 04 07:10:07 BST 2016,Mon Jul 04 07:14:07 BST 2016,77.94536691566783,19.48634172891696,scimark.fft.small,Mon Jul 04 07:14:28 BST 2016,Mon Jul 04 07:16:28 BST 2016,527.0762666124142,263.5381333062071,Mon Jul 04 07:16:31 BST 2016,Mon Jul 04 07:20:31 BST 2016,901.8857497588118,225.47143743970295,scimark.lu.small,Mon Jul 04 07:20:32 BST 2016,Mon Jul 04 07:22:32 BST 2016,430.6840068556207,215.34200342781034,Mon Jul 04 07:22:36 BST 2016,Mon Jul 04 07:26:36 BST 2016,860.907353802234,215.2268384505585,scimark.sor.small,Mon Jul 04 07:26:37 BST 2016,Mon Jul 04 07:28:37 BST 2016,249.77748245844197,124.88874122922098,Mon Jul 04 07:28:48 BST 2016,Mon Jul 04 07:32:48 BST 2016,381.9618217859724,95.4904554464931,scimark.sparse.small,Mon Jul 04 07:32:55 BST 2016,Mon Jul 04 07:34:55 BST 2016,279.7925816374308,139.8962908187154,Mon Jul 04 07:35:17 BST 2016,Mon Jul 04 07:39:17 BST 2016,767.751145271243,191.93778631781075,scimark.monte_carlo,Mon Jul 04 07:40:04 BST 2016,Mon Jul 04 07:42:04 BST 2016,89.81287718011865,44.906438590059324,Mon Jul 04 07:42:15 BST 2016,Mon Jul 04 07:46:15 BST 2016,179.5755953962838,44.89389884907095,serial,Mon Jul 04 07:46:22 BST 2016,Mon Jul 04 07:48:22 BST 2016,181.92495447139254,90.96247723569627,Mon Jul 04 07:48:26 BST 2016,Mon Jul 04 07:52:26 BST 2016,362.9744750776738,90.74361876941845,sunflow,Mon Jul 04 07:52:30 BST 2016,Mon Jul 04 07:54:30 BST 2016,137.85835193245714,68.92917596622857,Mon Jul 04 07:54:33 BST 2016,Mon Jul 04 07:58:33 BST 2016,196.2512380803799,49.06280952009497,xml.transform,Mon Jul 04 07:59:15 BST 2016,Mon Jul 04 08:01:15 BST 2016,402.29385120064444,201.14692560032222,Mon Jul 04 08:01:16 BST 2016,Mon Jul 04 08:05:16 BST 2016,810.5343041245362,202.63357603113406,xml.validation,Mon Jul 04 08:05:18 BST 2016,Mon Jul 04 08:07:18 BST 2016,803.6152175114294,401.8076087557147,Mon Jul 04 08:07:19 BST 2016,Mon Jul 04 08:11:19 BST 2016,1581.7998026692167,395.44995066730417
