spec.jvm2008.report.run.location=BARN-14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 19:06:27 BST 2016, end=Fri Jul 01 19:06:27 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 20:23:21 BST 2016, end=Fri Jul 01 20:25:21 BST 2016, operations=737.4446962498989, operationsPerMinute=368.72234812494946, mode=normal, start=Fri Jul 01 20:25:22 BST 2016, end=Fri Jul 01 20:29:22 BST 2016, operations=1481.0220207184752, operationsPerMinute=370.2555051796188
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 20:29:24 BST 2016, end=Fri Jul 01 20:31:24 BST 2016, operations=575.2079630860399, operationsPerMinute=287.6039815430199, mode=normal, start=Fri Jul 01 20:31:25 BST 2016, end=Fri Jul 01 20:35:25 BST 2016, operations=1150.6938466310708, operationsPerMinute=287.6734616577677
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 20:35:26 BST 2016, end=Fri Jul 01 20:37:26 BST 2016, operations=330.7517415499555, operationsPerMinute=165.37587077497776, mode=normal, start=Fri Jul 01 20:37:28 BST 2016, end=Fri Jul 01 20:41:28 BST 2016, operations=661.4435736893046, operationsPerMinute=165.36089342232614
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 20:41:30 BST 2016, end=Fri Jul 01 20:43:30 BST 2016, operations=512.1001310780723, operationsPerMinute=256.05006553903615, mode=normal, start=Fri Jul 01 20:43:31 BST 2016, end=Fri Jul 01 20:47:31 BST 2016, operations=1019.7230770265337, operationsPerMinute=254.93076925663343
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 20:47:33 BST 2016, end=Fri Jul 01 20:49:33 BST 2016, operations=118.8007360867071, operationsPerMinute=59.40036804335355, mode=normal, start=Fri Jul 01 20:49:39 BST 2016, end=Fri Jul 01 20:53:39 BST 2016, operations=239.59398991063972, operationsPerMinute=59.89849747765993
benchmark-name=serial, mod=warmup, start=Fri Jul 01 20:53:46 BST 2016, end=Fri Jul 01 20:55:46 BST 2016, operations=235.9618181891035, operationsPerMinute=117.98090909455175, mode=normal, start=Fri Jul 01 20:55:49 BST 2016, end=Fri Jul 01 20:59:49 BST 2016, operations=471.20716069829956, operationsPerMinute=117.80179017457489
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 20:59:52 BST 2016, end=Fri Jul 01 21:01:52 BST 2016, operations=178.4682430018182, operationsPerMinute=89.2341215009091, mode=normal, start=Fri Jul 01 21:01:54 BST 2016, end=Fri Jul 01 21:05:54 BST 2016, operations=358.5979713222058, operationsPerMinute=89.64949283055145
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 21:06:15 BST 2016, end=Fri Jul 01 21:08:15 BST 2016, operations=499.228953477369, operationsPerMinute=249.6144767386845, mode=normal, start=Fri Jul 01 21:08:17 BST 2016, end=Fri Jul 01 21:12:17 BST 2016, operations=1037.880001923817, operationsPerMinute=259.47000048095424
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 21:12:19 BST 2016, end=Fri Jul 01 21:14:19 BST 2016, operations=1016.3137334956302, operationsPerMinute=508.1568667478151, mode=normal, start=Fri Jul 01 21:14:20 BST 2016, end=Fri Jul 01 21:18:20 BST 2016, operations=2009.5002296287973, operationsPerMinute=502.37505740719934
##-nursultan-##,BARN-14,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 19:06:27 BST 2016,Fri Jul 01 19:06:27 BST 2016,1.0,1276.595744680851,startup.helloworld,Fri Jul 01 19:06:27 BST 2016,Fri Jul 01 19:06:27 BST 2016,1.0,645.1612903225806,startup.compiler.compiler,Fri Jul 01 19:06:27 BST 2016,Fri Jul 01 19:06:41 BST 2016,1.0,4.40560980982451,startup.compiler.sunflow,Fri Jul 01 19:06:41 BST 2016,Fri Jul 01 19:06:44 BST 2016,1.0,17.97483523067705,startup.compress,Fri Jul 01 19:06:44 BST 2016,Fri Jul 01 19:06:46 BST 2016,1.0,48.701298701298704,startup.crypto.aes,Fri Jul 01 19:06:46 BST 2016,Fri Jul 01 19:06:54 BST 2016,1.0,7.069635913750441,startup.crypto.rsa,Fri Jul 01 19:06:54 BST 2016,Fri Jul 01 19:07:02 BST 2016,1.0,8.029978586723768,startup.crypto.signverify,Fri Jul 01 19:07:02 BST 2016,Fri Jul 01 19:07:08 BST 2016,1.0,9.20104278484895,startup.mpegaudio,Fri Jul 01 19:07:08 BST 2016,Fri Jul 01 19:07:10 BST 2016,1.0,26.52519893899204,startup.scimark.fft,Fri Jul 01 19:07:10 BST 2016,Fri Jul 01 19:07:11 BST 2016,1.0,83.56545961002786,startup.scimark.lu,Fri Jul 01 19:07:11 BST 2016,Fri Jul 01 19:07:12 BST 2016,1.0,66.3716814159292,startup.scimark.monte_carlo,Fri Jul 01 19:07:12 BST 2016,Fri Jul 01 19:07:18 BST 2016,1.0,10.803024846957149,startup.scimark.sor,Fri Jul 01 19:07:18 BST 2016,Fri Jul 01 19:07:19 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Fri Jul 01 19:07:19 BST 2016,Fri Jul 01 19:07:20 BST 2016,1.0,61.09979633401222,startup.serial,Fri Jul 01 19:07:20 BST 2016,Fri Jul 01 19:07:22 BST 2016,1.0,28.275212064090482,startup.sunflow,Fri Jul 01 19:07:22 BST 2016,Fri Jul 01 19:07:29 BST 2016,1.0,9.357454772301933,startup.xml.transform,Fri Jul 01 19:07:29 BST 2016,Fri Jul 01 19:07:49 BST 2016,1.0,2.9769288017861575,startup.xml.validation,Fri Jul 01 19:07:49 BST 2016,Fri Jul 01 19:07:49 BST 2016,1.0,75.47169811320755,compiler.compiler,Fri Jul 01 19:08:00 BST 2016,Fri Jul 01 19:10:00 BST 2016,494.83506041714054,247.41753020857027,Fri Jul 01 19:10:02 BST 2016,Fri Jul 01 19:14:02 BST 2016,980.3949223203116,245.0987305800779,compiler.sunflow,Fri Jul 01 19:14:06 BST 2016,Fri Jul 01 19:16:06 BST 2016,197.3092334162306,98.6546167081153,Fri Jul 01 19:16:09 BST 2016,Fri Jul 01 19:20:09 BST 2016,395.22002018758013,98.80500504689503,compress,Fri Jul 01 19:20:12 BST 2016,Fri Jul 01 19:22:12 BST 2016,399.6963635182161,199.84818175910806,Fri Jul 01 19:22:14 BST 2016,Fri Jul 01 19:26:14 BST 2016,798.5500254378611,199.63750635946528,crypto.aes,Fri Jul 01 19:26:15 BST 2016,Fri Jul 01 19:28:15 BST 2016,138.67387831591577,69.33693915795789,Fri Jul 01 19:28:20 BST 2016,Fri Jul 01 19:32:20 BST 2016,294.39915120731024,73.59978780182756,crypto.rsa,Fri Jul 01 19:32:24 BST 2016,Fri Jul 01 19:34:24 BST 2016,234.7457748577568,117.3728874288784,Fri Jul 01 19:34:27 BST 2016,Fri Jul 01 19:38:27 BST 2016,469.50084252300917,117.37521063075229,crypto.signverify,Fri Jul 01 19:38:31 BST 2016,Fri Jul 01 19:40:31 BST 2016,406.99370326132555,203.49685163066277,Fri Jul 01 19:40:33 BST 2016,Fri Jul 01 19:44:33 BST 2016,812.0117842060506,203.00294605151265,derby,Fri Jul 01 19:44:56 BST 2016,Fri Jul 01 19:46:56 BST 2016,364.43735366677663,182.21867683338832,Fri Jul 01 19:46:58 BST 2016,Fri Jul 01 19:50:58 BST 2016,724.6425295630237,181.16063239075592,mpegaudio,Fri Jul 01 19:51:00 BST 2016,Fri Jul 01 19:53:00 BST 2016,207.59437871694348,103.79718935847174,Fri Jul 01 19:53:03 BST 2016,Fri Jul 01 19:57:03 BST 2016,415.3934440198256,103.8483610049564,scimark.fft.large,Fri Jul 01 19:57:06 BST 2016,Fri Jul 01 19:59:06 BST 2016,74.37634154166925,37.188170770834624,Fri Jul 01 19:59:14 BST 2016,Fri Jul 01 20:03:14 BST 2016,144.90647841497895,36.22661960374474,scimark.lu.large,Fri Jul 01 20:03:21 BST 2016,Fri Jul 01 20:05:21 BST 2016,13.92116870847308,6.96058435423654,Fri Jul 01 20:06:05 BST 2016,Fri Jul 01 20:10:05 BST 2016,27.562164373062423,6.890541093265606,scimark.sor.large,Fri Jul 01 20:10:34 BST 2016,Fri Jul 01 20:12:34 BST 2016,74.3281395555338,37.1640697777669,Fri Jul 01 20:12:43 BST 2016,Fri Jul 01 20:16:43 BST 2016,148.97823844790625,37.24455961197656,scimark.sparse.large,Fri Jul 01 20:16:55 BST 2016,Fri Jul 01 20:18:55 BST 2016,42.79474774985808,21.39737387492904,Fri Jul 01 20:19:07 BST 2016,Fri Jul 01 20:23:07 BST 2016,85.52909658126707,21.382274145316767,scimark.fft.small,Fri Jul 01 20:23:21 BST 2016,Fri Jul 01 20:25:21 BST 2016,737.4446962498989,368.72234812494946,Fri Jul 01 20:25:22 BST 2016,Fri Jul 01 20:29:22 BST 2016,1481.0220207184752,370.2555051796188,scimark.lu.small,Fri Jul 01 20:29:24 BST 2016,Fri Jul 01 20:31:24 BST 2016,575.2079630860399,287.6039815430199,Fri Jul 01 20:31:25 BST 2016,Fri Jul 01 20:35:25 BST 2016,1150.6938466310708,287.6734616577677,scimark.sor.small,Fri Jul 01 20:35:26 BST 2016,Fri Jul 01 20:37:26 BST 2016,330.7517415499555,165.37587077497776,Fri Jul 01 20:37:28 BST 2016,Fri Jul 01 20:41:28 BST 2016,661.4435736893046,165.36089342232614,scimark.sparse.small,Fri Jul 01 20:41:30 BST 2016,Fri Jul 01 20:43:30 BST 2016,512.1001310780723,256.05006553903615,Fri Jul 01 20:43:31 BST 2016,Fri Jul 01 20:47:31 BST 2016,1019.7230770265337,254.93076925663343,scimark.monte_carlo,Fri Jul 01 20:47:33 BST 2016,Fri Jul 01 20:49:33 BST 2016,118.8007360867071,59.40036804335355,Fri Jul 01 20:49:39 BST 2016,Fri Jul 01 20:53:39 BST 2016,239.59398991063972,59.89849747765993,serial,Fri Jul 01 20:53:46 BST 2016,Fri Jul 01 20:55:46 BST 2016,235.9618181891035,117.98090909455175,Fri Jul 01 20:55:49 BST 2016,Fri Jul 01 20:59:49 BST 2016,471.20716069829956,117.80179017457489,sunflow,Fri Jul 01 20:59:52 BST 2016,Fri Jul 01 21:01:52 BST 2016,178.4682430018182,89.2341215009091,Fri Jul 01 21:01:54 BST 2016,Fri Jul 01 21:05:54 BST 2016,358.5979713222058,89.64949283055145,xml.transform,Fri Jul 01 21:06:15 BST 2016,Fri Jul 01 21:08:15 BST 2016,499.228953477369,249.6144767386845,Fri Jul 01 21:08:17 BST 2016,Fri Jul 01 21:12:17 BST 2016,1037.880001923817,259.47000048095424,xml.validation,Fri Jul 01 21:12:19 BST 2016,Fri Jul 01 21:14:19 BST 2016,1016.3137334956302,508.1568667478151,Fri Jul 01 21:14:20 BST 2016,Fri Jul 01 21:18:20 BST 2016,2009.5002296287973,502.37505740719934
