spec.jvm2008.report.run.location=BARN-07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 23:34:15 BST 2016, end=Fri Jul 01 23:34:15 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 23:34:15 BST 2016, end=Fri Jul 01 23:34:15 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 23:34:15 BST 2016, end=Fri Jul 01 23:34:28 BST 2016, operations=1.0, operationsPerMinute=4.503828254015914
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 23:34:28 BST 2016, end=Fri Jul 01 23:34:32 BST 2016, operations=1.0, operationsPerMinute=18.143332325370427
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 23:34:32 BST 2016, end=Fri Jul 01 23:34:33 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 23:34:33 BST 2016, end=Fri Jul 01 23:34:41 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 23:34:41 BST 2016, end=Fri Jul 01 23:34:49 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 23:34:49 BST 2016, end=Fri Jul 01 23:34:55 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 23:34:55 BST 2016, end=Fri Jul 01 23:34:58 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 23:34:58 BST 2016, end=Fri Jul 01 23:34:58 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 23:34:58 BST 2016, end=Fri Jul 01 23:34:59 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 23:34:59 BST 2016, end=Fri Jul 01 23:35:05 BST 2016, operations=1.0, operationsPerMinute=10.773927096426647
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 23:35:05 BST 2016, end=Fri Jul 01 23:35:06 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 23:35:06 BST 2016, end=Fri Jul 01 23:35:07 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 23:35:07 BST 2016, end=Fri Jul 01 23:35:09 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 23:35:09 BST 2016, end=Fri Jul 01 23:35:16 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 23:35:16 BST 2016, end=Fri Jul 01 23:35:36 BST 2016, operations=1.0, operationsPerMinute=2.96545247862403
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 23:35:36 BST 2016, end=Fri Jul 01 23:35:37 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 23:35:48 BST 2016, end=Fri Jul 01 23:37:48 BST 2016, operations=485.77895343057753, operationsPerMinute=242.88947671528877, mode=normal, start=Fri Jul 01 23:37:49 BST 2016, end=Fri Jul 01 23:41:49 BST 2016, operations=1010.4312882945262, operationsPerMinute=252.60782207363155
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 23:41:53 BST 2016, end=Fri Jul 01 23:43:53 BST 2016, operations=199.4194094830111, operationsPerMinute=99.70970474150555, mode=normal, start=Fri Jul 01 23:43:56 BST 2016, end=Fri Jul 01 23:47:56 BST 2016, operations=376.1008565236858, operationsPerMinute=94.02521413092146
benchmark-name=compress, mod=warmup, start=Fri Jul 01 23:48:00 BST 2016, end=Fri Jul 01 23:50:00 BST 2016, operations=400.649709894387, operationsPerMinute=200.3248549471935, mode=normal, start=Fri Jul 01 23:50:02 BST 2016, end=Fri Jul 01 23:54:02 BST 2016, operations=800.2095830575129, operationsPerMinute=200.05239576437822
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 23:54:04 BST 2016, end=Fri Jul 01 23:56:04 BST 2016, operations=138.9265879379428, operationsPerMinute=69.4632939689714, mode=normal, start=Fri Jul 01 23:56:09 BST 2016, end=Sat Jul 02 00:00:09 BST 2016, operations=290.79504599731916, operationsPerMinute=72.69876149932979
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jul 02 00:00:14 BST 2016, end=Sat Jul 02 00:02:14 BST 2016, operations=235.19945370478393, operationsPerMinute=117.59972685239197, mode=normal, start=Sat Jul 02 00:02:17 BST 2016, end=Sat Jul 02 00:06:17 BST 2016, operations=468.61024965776767, operationsPerMinute=117.15256241444192
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jul 02 00:06:19 BST 2016, end=Sat Jul 02 00:08:19 BST 2016, operations=404.6703103224554, operationsPerMinute=202.3351551612277, mode=normal, start=Sat Jul 02 00:08:21 BST 2016, end=Sat Jul 02 00:12:21 BST 2016, operations=812.9247863247863, operationsPerMinute=203.23119658119657
benchmark-name=derby, mod=warmup, start=Sat Jul 02 00:12:44 BST 2016, end=Sat Jul 02 00:14:44 BST 2016, operations=360.30871004299036, operationsPerMinute=180.15435502149518, mode=normal, start=Sat Jul 02 00:14:46 BST 2016, end=Sat Jul 02 00:18:46 BST 2016, operations=726.1379060136626, operationsPerMinute=181.53447650341565
benchmark-name=mpegaudio, mod=warmup, start=Sat Jul 02 00:18:48 BST 2016, end=Sat Jul 02 00:20:48 BST 2016, operations=208.15196655818494, operationsPerMinute=104.07598327909247, mode=normal, start=Sat Jul 02 00:20:53 BST 2016, end=Sat Jul 02 00:24:53 BST 2016, operations=415.3473545252143, operationsPerMinute=103.83683863130358
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jul 02 00:24:56 BST 2016, end=Sat Jul 02 00:26:56 BST 2016, operations=68.96457740972117, operationsPerMinute=34.482288704860586, mode=normal, start=Sat Jul 02 00:27:07 BST 2016, end=Sat Jul 02 00:31:07 BST 2016, operations=155.59622390996225, operationsPerMinute=38.89905597749056
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jul 02 00:31:14 BST 2016, end=Sat Jul 02 00:33:14 BST 2016, operations=13.98555180002356, operationsPerMinute=6.99277590001178, mode=normal, start=Sat Jul 02 00:33:56 BST 2016, end=Sat Jul 02 00:37:56 BST 2016, operations=28.00717057515675, operationsPerMinute=7.001792643789187
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jul 02 00:38:39 BST 2016, end=Sat Jul 02 00:40:39 BST 2016, operations=74.53421543421494, operationsPerMinute=37.26710771710747, mode=normal, start=Sat Jul 02 00:40:48 BST 2016, end=Sat Jul 02 00:44:48 BST 2016, operations=148.89206175057814, operationsPerMinute=37.223015437644534
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jul 02 00:44:58 BST 2016, end=Sat Jul 02 00:46:58 BST 2016, operations=42.26527057317302, operationsPerMinute=21.13263528658651, mode=normal, start=Sat Jul 02 00:47:11 BST 2016, end=Sat Jul 02 00:51:11 BST 2016, operations=85.3212985488257, operationsPerMinute=21.330324637206424
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jul 02 00:51:27 BST 2016, end=Sat Jul 02 00:53:27 BST 2016, operations=712.5814287393906, operationsPerMinute=356.2907143696953, mode=normal, start=Sat Jul 02 00:53:28 BST 2016, end=Sat Jul 02 00:57:28 BST 2016, operations=1409.4330514348978, operationsPerMinute=352.35826285872446
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jul 02 00:57:29 BST 2016, end=Sat Jul 02 00:59:29 BST 2016, operations=576.1523410765328, operationsPerMinute=288.0761705382664, mode=normal, start=Sat Jul 02 00:59:30 BST 2016, end=Sat Jul 02 01:03:30 BST 2016, operations=1152.5883358988153, operationsPerMinute=288.14708397470383
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jul 02 01:03:32 BST 2016, end=Sat Jul 02 01:05:32 BST 2016, operations=330.1338157293693, operationsPerMinute=165.06690786468465, mode=normal, start=Sat Jul 02 01:05:35 BST 2016, end=Sat Jul 02 01:09:35 BST 2016, operations=661.280815659958, operationsPerMinute=165.3202039149895
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jul 02 01:09:37 BST 2016, end=Sat Jul 02 01:11:37 BST 2016, operations=512.5366606265063, operationsPerMinute=256.26833031325316, mode=normal, start=Sat Jul 02 01:11:38 BST 2016, end=Sat Jul 02 01:15:38 BST 2016, operations=1023.856447417317, operationsPerMinute=255.96411185432925
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jul 02 01:15:40 BST 2016, end=Sat Jul 02 01:17:40 BST 2016, operations=119.73657427928737, operationsPerMinute=59.868287139643684, mode=normal, start=Sat Jul 02 01:17:46 BST 2016, end=Sat Jul 02 01:21:46 BST 2016, operations=240.00303567584302, operationsPerMinute=60.000758918960756
benchmark-name=serial, mod=warmup, start=Sat Jul 02 01:21:52 BST 2016, end=Sat Jul 02 01:23:52 BST 2016, operations=238.5329173508848, operationsPerMinute=119.2664586754424, mode=normal, start=Sat Jul 02 01:23:55 BST 2016, end=Sat Jul 02 01:27:55 BST 2016, operations=475.72208312468706, operationsPerMinute=118.93052078117177
benchmark-name=sunflow, mod=warmup, start=Sat Jul 02 01:27:58 BST 2016, end=Sat Jul 02 01:29:58 BST 2016, operations=176.39558355347828, operationsPerMinute=88.19779177673914, mode=normal, start=Sat Jul 02 01:30:00 BST 2016, end=Sat Jul 02 01:34:00 BST 2016, operations=359.22622478386165, operationsPerMinute=89.80655619596541
benchmark-name=xml.transform, mod=warmup, start=Sat Jul 02 01:34:22 BST 2016, end=Sat Jul 02 01:36:22 BST 2016, operations=497.16921885703584, operationsPerMinute=248.58460942851792, mode=normal, start=Sat Jul 02 01:36:24 BST 2016, end=Sat Jul 02 01:40:24 BST 2016, operations=1045.5709370107272, operationsPerMinute=261.3927342526818
benchmark-name=xml.validation, mod=warmup, start=Sat Jul 02 01:40:26 BST 2016, end=Sat Jul 02 01:42:26 BST 2016, operations=1016.7849380102998, operationsPerMinute=508.3924690051499, mode=normal, start=Sat Jul 02 01:42:27 BST 2016, end=Sat Jul 02 01:46:27 BST 2016, operations=2002.4728405518383, operationsPerMinute=500.6182101379596
