spec.jvm2008.report.run.location=HULL119
spec.jvm2008.report.hw.cpu.name=
spec.jvm2008.report.hw.number.of.cores=
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 13:57:51 BST 2016, end=Tue Jun 21 13:57:51 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 13:57:51 BST 2016, end=Tue Jun 21 13:57:53 BST 2016, operations=1.0, operationsPerMinute=33.09431880860452
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 13:57:53 BST 2016, end=Tue Jun 21 13:58:55 BST 2016, operations=1.0, operationsPerMinute=0.9676014772049218
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 13:58:55 BST 2016, end=Tue Jun 21 13:59:07 BST 2016, operations=1.0, operationsPerMinute=5.3295434357790015
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 13:59:07 BST 2016, end=Tue Jun 21 13:59:16 BST 2016, operations=1.0, operationsPerMinute=6.313795643481006
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 13:59:16 BST 2016, end=Tue Jun 21 13:59:28 BST 2016, operations=1.0, operationsPerMinute=5.0255465281849405
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 13:59:28 BST 2016, end=Tue Jun 21 13:59:37 BST 2016, operations=1.0, operationsPerMinute=6.502655250894115
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 13:59:37 BST 2016, end=Tue Jun 21 13:59:45 BST 2016, operations=1.0, operationsPerMinute=7.453416149068323
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 13:59:45 BST 2016, end=Tue Jun 21 13:59:49 BST 2016, operations=1.0, operationsPerMinute=14.785608674223756
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 13:59:49 BST 2016, end=Tue Jun 21 13:59:50 BST 2016, operations=1.0, operationsPerMinute=58.309037900874635
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 13:59:50 BST 2016, end=Tue Jun 21 13:59:52 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 13:59:52 BST 2016, end=Tue Jun 21 13:59:59 BST 2016, operations=1.0, operationsPerMinute=8.195601693757684
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 13:59:59 BST 2016, end=Tue Jun 21 14:00:01 BST 2016, operations=1.0, operationsPerMinute=25.041736227045075
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 14:00:01 BST 2016, end=Tue Jun 21 14:00:03 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 14:00:03 BST 2016, end=Tue Jun 21 14:00:07 BST 2016, operations=1.0, operationsPerMinute=16.36214889555495
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 14:00:07 BST 2016, end=Tue Jun 21 14:00:16 BST 2016, operations=1.0, operationsPerMinute=7.030700726505742
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 14:00:16 BST 2016, end=Tue Jun 21 14:00:52 BST 2016, operations=1.0, operationsPerMinute=1.6378227875743845
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 14:00:52 BST 2016, end=Tue Jun 21 14:00:54 BST 2016, operations=1.0, operationsPerMinute=29.354207436399218
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 14:01:15 BST 2016, end=Tue Jun 21 14:03:15 BST 2016, operations=269.9156026774323, operationsPerMinute=134.95780133871614, mode=normal, start=Tue Jun 21 14:03:18 BST 2016, end=Tue Jun 21 14:07:18 BST 2016, operations=641.848039431516, operationsPerMinute=160.462009857879
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 14:07:31 BST 2016, end=Tue Jun 21 14:09:31 BST 2016, operations=126.17790829877737, operationsPerMinute=63.088954149388684, mode=normal, start=Tue Jun 21 14:09:35 BST 2016, end=Tue Jun 21 14:13:35 BST 2016, operations=228.4170823125168, operationsPerMinute=57.1042705781292
benchmark-name=compress, mod=warmup, start=Tue Jun 21 14:13:42 BST 2016, end=Tue Jun 21 14:15:42 BST 2016, operations=239.99987788824802, operationsPerMinute=119.99993894412401, mode=normal, start=Tue Jun 21 14:15:45 BST 2016, end=Tue Jun 21 14:19:45 BST 2016, operations=519.532124131688, operationsPerMinute=129.883031032922
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 14:19:48 BST 2016, end=Tue Jun 21 14:21:48 BST 2016, operations=82.6359336388803, operationsPerMinute=41.31796681944015, mode=normal, start=Tue Jun 21 14:21:56 BST 2016, end=Tue Jun 21 14:25:56 BST 2016, operations=177.2683961259409, operationsPerMinute=44.31709903148523
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 14:26:04 BST 2016, end=Tue Jun 21 14:28:04 BST 2016, operations=143.46659042750264, operationsPerMinute=71.73329521375132, mode=normal, start=Tue Jun 21 14:28:08 BST 2016, end=Tue Jun 21 14:32:08 BST 2016, operations=285.1825562112351, operationsPerMinute=71.29563905280878
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 14:32:13 BST 2016, end=Tue Jun 21 14:34:13 BST 2016, operations=249.86369620447644, operationsPerMinute=124.93184810223822, mode=normal, start=Tue Jun 21 14:34:15 BST 2016, end=Tue Jun 21 14:38:15 BST 2016, operations=496.34820986839713, operationsPerMinute=124.08705246709928
benchmark-name=derby, mod=warmup, start=Tue Jun 21 14:39:52 BST 2016, end=Tue Jun 21 14:41:52 BST 2016, operations=199.22508048996957, operationsPerMinute=99.61254024498479, mode=normal, start=Tue Jun 21 14:41:55 BST 2016, end=Tue Jun 21 14:45:55 BST 2016, operations=390.00245823586727, operationsPerMinute=97.50061455896682
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 14:45:59 BST 2016, end=Tue Jun 21 14:47:59 BST 2016, operations=125.19169312283347, operationsPerMinute=62.595846561416735, mode=normal, start=Tue Jun 21 14:48:06 BST 2016, end=Tue Jun 21 14:52:06 BST 2016, operations=252.7875532219382, operationsPerMinute=63.19688830548455
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 14:52:12 BST 2016, end=Tue Jun 21 14:54:12 BST 2016, operations=60.55608588094176, operationsPerMinute=30.27804294047088, mode=normal, start=Tue Jun 21 14:54:23 BST 2016, end=Tue Jun 21 14:58:23 BST 2016, operations=113.24078059919951, operationsPerMinute=28.310195149799878
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 14:58:36 BST 2016, end=Tue Jun 21 15:00:36 BST 2016, operations=11.129459521967897, operationsPerMinute=5.564729760983949, mode=normal, start=Tue Jun 21 15:01:17 BST 2016, end=Tue Jun 21 15:05:17 BST 2016, operations=21.97524219322227, operationsPerMinute=5.493810548305568
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 15:06:13 BST 2016, end=Tue Jun 21 15:08:13 BST 2016, operations=53.510623877780525, operationsPerMinute=26.755311938890262, mode=normal, start=Tue Jun 21 15:08:27 BST 2016, end=Tue Jun 21 15:12:27 BST 2016, operations=107.1483651413534, operationsPerMinute=26.78709128533835
