spec.jvm2008.report.run.location=TOLL06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 14:53:57 BST 2016, end=Wed Jun 29 14:53:57 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 16:13:41 BST 2016, end=Wed Jun 29 16:15:41 BST 2016, operations=241.39575997752905, operationsPerMinute=120.69787998876453, mode=normal, start=Wed Jun 29 16:15:42 BST 2016, end=Wed Jun 29 16:19:42 BST 2016, operations=484.7187898048334, operationsPerMinute=121.17969745120836
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 16:19:44 BST 2016, end=Wed Jun 29 16:21:44 BST 2016, operations=153.29079773216478, operationsPerMinute=76.64539886608239, mode=normal, start=Wed Jun 29 16:21:45 BST 2016, end=Wed Jun 29 16:25:45 BST 2016, operations=305.6366012545616, operationsPerMinute=76.4091503136404
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 16:25:48 BST 2016, end=Wed Jun 29 16:27:48 BST 2016, operations=142.59088134088134, operationsPerMinute=71.29544067044067, mode=normal, start=Wed Jun 29 16:27:51 BST 2016, end=Wed Jun 29 16:31:51 BST 2016, operations=285.08613886172236, operationsPerMinute=71.27153471543059
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jun 29 16:31:53 BST 2016, end=Wed Jun 29 16:33:53 BST 2016, operations=119.68212036917238, operationsPerMinute=59.84106018458619, mode=normal, start=Wed Jun 29 16:33:55 BST 2016, end=Wed Jun 29 16:37:55 BST 2016, operations=249.30526967170402, operationsPerMinute=62.326317417926006
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 16:37:59 BST 2016, end=Wed Jun 29 16:39:59 BST 2016, operations=45.845441128615164, operationsPerMinute=22.922720564307582, mode=normal, start=Wed Jun 29 16:40:06 BST 2016, end=Wed Jun 29 16:44:06 BST 2016, operations=87.35534606620413, operationsPerMinute=21.838836516551034
benchmark-name=serial, mod=warmup, start=Wed Jun 29 16:44:15 BST 2016, end=Wed Jun 29 16:46:15 BST 2016, operations=66.93503177777038, operationsPerMinute=33.46751588888519, mode=normal, start=Wed Jun 29 16:46:20 BST 2016, end=Wed Jun 29 16:50:20 BST 2016, operations=133.6752811441603, operationsPerMinute=33.418820286040074
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 16:50:25 BST 2016, end=Wed Jun 29 16:52:25 BST 2016, operations=54.77335164835165, operationsPerMinute=27.386675824175825, mode=normal, start=Wed Jun 29 16:52:25 BST 2016, end=Wed Jun 29 16:56:25 BST 2016, operations=109.86843373493976, operationsPerMinute=27.46710843373494
benchmark-name=xml.transform, mod=warmup, start=Wed Jun 29 16:57:08 BST 2016, end=Wed Jun 29 16:59:08 BST 2016, operations=169.93282354406466, operationsPerMinute=84.96641177203233, mode=normal, start=Wed Jun 29 16:59:10 BST 2016, end=Wed Jun 29 17:03:10 BST 2016, operations=338.93220338983053, operationsPerMinute=84.73305084745763
benchmark-name=xml.validation, mod=warmup, start=Wed Jun 29 17:03:12 BST 2016, end=Wed Jun 29 17:05:12 BST 2016, operations=269.35883014623175, operationsPerMinute=134.67941507311588, mode=normal, start=Wed Jun 29 17:05:13 BST 2016, end=Wed Jun 29 17:09:13 BST 2016, operations=525.6335630698097, operationsPerMinute=131.40839076745243
##-nursultan-##,TOLL06,Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz,2,3991,check,Wed Jun 29 14:53:57 BST 2016,Wed Jun 29 14:53:57 BST 2016,1.0,967.741935483871,startup.helloworld,Wed Jun 29 14:53:57 BST 2016,Wed Jun 29 14:53:57 BST 2016,1.0,384.61538461538464,startup.compiler.compiler,Wed Jun 29 14:53:57 BST 2016,Wed Jun 29 14:54:20 BST 2016,1.0,2.6672593909757722,startup.compiler.sunflow,Wed Jun 29 14:54:20 BST 2016,Wed Jun 29 14:54:25 BST 2016,1.0,11.115227862171174,startup.compress,Wed Jun 29 14:54:25 BST 2016,Wed Jun 29 14:54:27 BST 2016,1.0,33.44481605351171,startup.crypto.aes,Wed Jun 29 14:54:27 BST 2016,Wed Jun 29 14:54:38 BST 2016,1.0,5.4945054945054945,startup.crypto.rsa,Wed Jun 29 14:54:38 BST 2016,Wed Jun 29 14:54:46 BST 2016,1.0,6.9052825411439755,startup.crypto.signverify,Wed Jun 29 14:54:46 BST 2016,Wed Jun 29 14:54:54 BST 2016,1.0,8.079719903043362,startup.mpegaudio,Wed Jun 29 14:54:54 BST 2016,Wed Jun 29 14:54:58 BST 2016,1.0,15.826958586125032,startup.scimark.fft,Wed Jun 29 14:54:58 BST 2016,Wed Jun 29 14:54:59 BST 2016,1.0,49.958368026644465,startup.scimark.lu,Wed Jun 29 14:54:59 BST 2016,Wed Jun 29 14:55:01 BST 2016,1.0,29.368575624082233,startup.scimark.monte_carlo,Wed Jun 29 14:55:01 BST 2016,Wed Jun 29 14:55:09 BST 2016,1.0,7.630675314765357,startup.scimark.sor,Wed Jun 29 14:55:09 BST 2016,Wed Jun 29 14:55:11 BST 2016,1.0,32.87671232876713,startup.scimark.sparse,Wed Jun 29 14:55:11 BST 2016,Wed Jun 29 14:55:13 BST 2016,1.0,29.140359397765906,startup.serial,Wed Jun 29 14:55:13 BST 2016,Wed Jun 29 14:55:17 BST 2016,1.0,14.623446258835,startup.sunflow,Wed Jun 29 14:55:17 BST 2016,Wed Jun 29 14:55:25 BST 2016,1.0,7.298382191947452,startup.xml.transform,Wed Jun 29 14:55:25 BST 2016,Wed Jun 29 14:56:06 BST 2016,1.0,1.4481210629208603,startup.xml.validation,Wed Jun 29 14:56:06 BST 2016,Wed Jun 29 14:56:08 BST 2016,1.0,40.053404539385845,compiler.compiler,Wed Jun 29 14:56:25 BST 2016,Wed Jun 29 14:58:25 BST 2016,242.56744929586375,121.28372464793188,Wed Jun 29 14:58:26 BST 2016,Wed Jun 29 15:02:26 BST 2016,490.9347826086956,122.7336956521739,compiler.sunflow,Wed Jun 29 15:02:32 BST 2016,Wed Jun 29 15:04:32 BST 2016,90.7783547453893,45.38917737269465,Wed Jun 29 15:04:38 BST 2016,Wed Jun 29 15:08:38 BST 2016,190.62778426843823,47.65694606710956,compress,Wed Jun 29 15:08:41 BST 2016,Wed Jun 29 15:10:41 BST 2016,150.4990833857113,75.24954169285564,Wed Jun 29 15:10:43 BST 2016,Wed Jun 29 15:14:43 BST 2016,301.1258632625494,75.28146581563735,crypto.aes,Wed Jun 29 15:14:45 BST 2016,Wed Jun 29 15:16:45 BST 2016,42.13718398328353,21.068591991641764,Wed Jun 29 15:16:51 BST 2016,Wed Jun 29 15:20:51 BST 2016,89.56354009077157,22.390885022692892,crypto.rsa,Wed Jun 29 15:20:57 BST 2016,Wed Jun 29 15:22:57 BST 2016,87.32336474774922,43.66168237387461,Wed Jun 29 15:23:02 BST 2016,Wed Jun 29 15:27:02 BST 2016,174.1335756914551,43.53339392286377,crypto.signverify,Wed Jun 29 15:27:05 BST 2016,Wed Jun 29 15:29:05 BST 2016,139.98354731688065,69.99177365844032,Wed Jun 29 15:29:08 BST 2016,Wed Jun 29 15:33:08 BST 2016,280.3424516239535,70.08561290598837,derby,Wed Jun 29 15:35:09 BST 2016,Wed Jun 29 15:37:09 BST 2016,105.97097578493741,52.985487892468704,Wed Jun 29 15:37:12 BST 2016,Wed Jun 29 15:41:12 BST 2016,212.7418198117436,53.1854549529359,mpegaudio,Wed Jun 29 15:41:15 BST 2016,Wed Jun 29 15:43:15 BST 2016,66.42082191780821,33.210410958904106,Wed Jun 29 15:43:20 BST 2016,Wed Jun 29 15:47:20 BST 2016,132.79036228804424,33.19759057201106,scimark.fft.large,Wed Jun 29 15:47:25 BST 2016,Wed Jun 29 15:49:25 BST 2016,31.345455564863904,15.672727782431952,Wed Jun 29 15:49:32 BST 2016,Wed Jun 29 15:53:32 BST 2016,69.74105785414669,17.435264463536672,scimark.lu.large,Wed Jun 29 15:53:40 BST 2016,Wed Jun 29 15:55:40 BST 2016,7.058668725086685,3.5293343625433424,Wed Jun 29 15:56:13 BST 2016,Wed Jun 29 16:00:13 BST 2016,14.186761157881204,3.546690289470301,scimark.sor.large,Wed Jun 29 16:01:00 BST 2016,Wed Jun 29 16:03:00 BST 2016,32.3452545016818,16.1726272508409,Wed Jun 29 16:03:08 BST 2016,Wed Jun 29 16:07:08 BST 2016,63.32280924425791,15.830702311064478,scimark.sparse.large,Wed Jun 29 16:07:21 BST 2016,Wed Jun 29 16:09:21 BST 2016,23.70742347100414,11.85371173550207,Wed Jun 29 16:09:33 BST 2016,Wed Jun 29 16:13:33 BST 2016,47.610067784390196,11.902516946097549,scimark.fft.small,Wed Jun 29 16:13:41 BST 2016,Wed Jun 29 16:15:41 BST 2016,241.39575997752905,120.69787998876453,Wed Jun 29 16:15:42 BST 2016,Wed Jun 29 16:19:42 BST 2016,484.7187898048334,121.17969745120836,scimark.lu.small,Wed Jun 29 16:19:44 BST 2016,Wed Jun 29 16:21:44 BST 2016,153.29079773216478,76.64539886608239,Wed Jun 29 16:21:45 BST 2016,Wed Jun 29 16:25:45 BST 2016,305.6366012545616,76.4091503136404,scimark.sor.small,Wed Jun 29 16:25:48 BST 2016,Wed Jun 29 16:27:48 BST 2016,142.59088134088134,71.29544067044067,Wed Jun 29 16:27:51 BST 2016,Wed Jun 29 16:31:51 BST 2016,285.08613886172236,71.27153471543059,scimark.sparse.small,Wed Jun 29 16:31:53 BST 2016,Wed Jun 29 16:33:53 BST 2016,119.68212036917238,59.84106018458619,Wed Jun 29 16:33:55 BST 2016,Wed Jun 29 16:37:55 BST 2016,249.30526967170402,62.326317417926006,scimark.monte_carlo,Wed Jun 29 16:37:59 BST 2016,Wed Jun 29 16:39:59 BST 2016,45.845441128615164,22.922720564307582,Wed Jun 29 16:40:06 BST 2016,Wed Jun 29 16:44:06 BST 2016,87.35534606620413,21.838836516551034,serial,Wed Jun 29 16:44:15 BST 2016,Wed Jun 29 16:46:15 BST 2016,66.93503177777038,33.46751588888519,Wed Jun 29 16:46:20 BST 2016,Wed Jun 29 16:50:20 BST 2016,133.6752811441603,33.418820286040074,sunflow,Wed Jun 29 16:50:25 BST 2016,Wed Jun 29 16:52:25 BST 2016,54.77335164835165,27.386675824175825,Wed Jun 29 16:52:25 BST 2016,Wed Jun 29 16:56:25 BST 2016,109.86843373493976,27.46710843373494,xml.transform,Wed Jun 29 16:57:08 BST 2016,Wed Jun 29 16:59:08 BST 2016,169.93282354406466,84.96641177203233,Wed Jun 29 16:59:10 BST 2016,Wed Jun 29 17:03:10 BST 2016,338.93220338983053,84.73305084745763,xml.validation,Wed Jun 29 17:03:12 BST 2016,Wed Jun 29 17:05:12 BST 2016,269.35883014623175,134.67941507311588,Wed Jun 29 17:05:13 BST 2016,Wed Jun 29 17:09:13 BST 2016,525.6335630698097,131.40839076745243
