spec.jvm2008.report.run.location=SR-RLIBHOPEPC-P
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:55 BST 2016, end=Thu May 26 14:20:55 BST 2016, operations=1.0, operationsPerMinute=1016.9491525423729
benchmark-name=scimark.fft.small, mod=warmup, start=Thu May 26 15:39:37 BST 2016, end=Thu May 26 15:41:37 BST 2016, operations=613.248843494707, operationsPerMinute=306.6244217473535, mode=normal, start=Thu May 26 15:41:38 BST 2016, end=Thu May 26 15:45:38 BST 2016, operations=1256.4506949199822, operationsPerMinute=314.11267372999555
benchmark-name=scimark.lu.small, mod=warmup, start=Thu May 26 15:45:40 BST 2016, end=Thu May 26 15:47:40 BST 2016, operations=488.90350166624614, operationsPerMinute=244.45175083312307, mode=normal, start=Thu May 26 15:47:41 BST 2016, end=Thu May 26 15:51:41 BST 2016, operations=977.6009489241362, operationsPerMinute=244.40023723103405
benchmark-name=scimark.sor.small, mod=warmup, start=Thu May 26 15:51:42 BST 2016, end=Thu May 26 15:53:42 BST 2016, operations=319.0312206250081, operationsPerMinute=159.51561031250404, mode=normal, start=Thu May 26 15:53:45 BST 2016, end=Thu May 26 15:57:45 BST 2016, operations=637.314163760011, operationsPerMinute=159.32854094000274
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu May 26 15:57:48 BST 2016, end=Thu May 26 15:59:48 BST 2016, operations=456.7708150745696, operationsPerMinute=228.3854075372848, mode=normal, start=Thu May 26 15:59:49 BST 2016, end=Thu May 26 16:03:49 BST 2016, operations=912.285877947357, operationsPerMinute=228.07146948683925
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu May 26 16:03:51 BST 2016, end=Thu May 26 16:05:51 BST 2016, operations=103.52238399257513, operationsPerMinute=51.761191996287565, mode=normal, start=Thu May 26 16:05:57 BST 2016, end=Thu May 26 16:09:57 BST 2016, operations=207.12328740518421, operationsPerMinute=51.780821851296054
benchmark-name=serial, mod=warmup, start=Thu May 26 16:10:03 BST 2016, end=Thu May 26 16:12:03 BST 2016, operations=202.242966311724, operationsPerMinute=101.121483155862, mode=normal, start=Thu May 26 16:12:07 BST 2016, end=Thu May 26 16:16:07 BST 2016, operations=402.7620559693928, operationsPerMinute=100.6905139923482
benchmark-name=sunflow, mod=warmup, start=Thu May 26 16:16:11 BST 2016, end=Thu May 26 16:18:11 BST 2016, operations=143.33558779861073, operationsPerMinute=71.66779389930537, mode=normal, start=Thu May 26 16:18:13 BST 2016, end=Thu May 26 16:22:13 BST 2016, operations=287.08507248920665, operationsPerMinute=71.77126812230166
benchmark-name=xml.transform, mod=warmup, start=Thu May 26 16:22:37 BST 2016, end=Thu May 26 16:24:37 BST 2016, operations=435.55314892483665, operationsPerMinute=217.77657446241832, mode=normal, start=Thu May 26 16:24:40 BST 2016, end=Thu May 26 16:28:40 BST 2016, operations=861.5066662291249, operationsPerMinute=215.37666655728123
benchmark-name=xml.validation, mod=warmup, start=Thu May 26 16:28:42 BST 2016, end=Thu May 26 16:30:42 BST 2016, operations=679.6499886670886, operationsPerMinute=339.8249943335443, mode=normal, start=Thu May 26 16:30:43 BST 2016, end=Thu May 26 16:34:43 BST 2016, operations=1343.3754507678004, operationsPerMinute=335.8438626919501
##-nursultan-##,SR-RLIBHOPEPC-P,n/a,n/a,n/a,check,Thu May 26 14:20:55 BST 2016,Thu May 26 14:20:55 BST 2016,1.0,1016.9491525423729,startup.helloworld,Thu May 26 14:20:55 BST 2016,Thu May 26 14:20:56 BST 2016,1.0,94.33962264150944,startup.compiler.compiler,Thu May 26 14:20:56 BST 2016,Thu May 26 14:21:18 BST 2016,1.0,2.7925160569673277,startup.compiler.sunflow,Thu May 26 14:21:18 BST 2016,Thu May 26 14:21:22 BST 2016,1.0,12.505210504376823,startup.compress,Thu May 26 14:21:22 BST 2016,Thu May 26 14:21:24 BST 2016,1.0,41.72461752433936,startup.crypto.aes,Thu May 26 14:21:24 BST 2016,Thu May 26 14:21:33 BST 2016,1.0,6.550933508024894,startup.crypto.rsa,Thu May 26 14:21:33 BST 2016,Thu May 26 14:21:41 BST 2016,1.0,7.8237058286608425,startup.crypto.signverify,Thu May 26 14:21:41 BST 2016,Thu May 26 14:21:47 BST 2016,1.0,9.12270031929451,startup.mpegaudio,Thu May 26 14:21:47 BST 2016,Thu May 26 14:21:50 BST 2016,1.0,21.62162162162162,startup.scimark.fft,Thu May 26 14:21:50 BST 2016,Thu May 26 14:21:51 BST 2016,1.0,65.359477124183,startup.scimark.lu,Thu May 26 14:21:51 BST 2016,Thu May 26 14:21:52 BST 2016,1.0,53.380782918149464,startup.scimark.monte_carlo,Thu May 26 14:21:52 BST 2016,Thu May 26 14:21:58 BST 2016,1.0,9.604610212902193,startup.scimark.sor,Thu May 26 14:21:58 BST 2016,Thu May 26 14:22:00 BST 2016,1.0,37.5234521575985,startup.scimark.sparse,Thu May 26 14:22:00 BST 2016,Thu May 26 14:22:01 BST 2016,1.0,49.87531172069826,startup.serial,Thu May 26 14:22:01 BST 2016,Thu May 26 14:22:04 BST 2016,1.0,21.50537634408602,startup.sunflow,Thu May 26 14:22:04 BST 2016,Thu May 26 14:22:10 BST 2016,1.0,9.070294784580499,startup.xml.transform,Thu May 26 14:22:10 BST 2016,Thu May 26 14:22:36 BST 2016,1.0,2.3891056781078284,startup.xml.validation,Thu May 26 14:22:36 BST 2016,Thu May 26 14:22:37 BST 2016,1.0,49.01960784313726,compiler.compiler,Thu May 26 14:22:49 BST 2016,Thu May 26 14:24:49 BST 2016,421.94427664429884,210.97213832214942,Thu May 26 14:24:50 BST 2016,Thu May 26 14:28:50 BST 2016,868.7330773773954,217.18326934434884,compiler.sunflow,Thu May 26 14:28:55 BST 2016,Thu May 26 14:30:55 BST 2016,169.40111021415237,84.70055510707618,Thu May 26 14:30:59 BST 2016,Thu May 26 14:34:59 BST 2016,344.36487649313267,86.09121912328317,compress,Thu May 26 14:35:03 BST 2016,Thu May 26 14:37:03 BST 2016,369.82206350961906,184.91103175480953,Thu May 26 14:37:05 BST 2016,Thu May 26 14:41:05 BST 2016,739.0202720032286,184.75506800080714,crypto.aes,Thu May 26 14:41:07 BST 2016,Thu May 26 14:43:07 BST 2016,121.10400250841334,60.55200125420667,Thu May 26 14:43:14 BST 2016,Thu May 26 14:47:14 BST 2016,256.5350663490333,64.13376658725832,crypto.rsa,Thu May 26 14:47:19 BST 2016,Thu May 26 14:49:19 BST 2016,217.37177809982924,108.68588904991462,Thu May 26 14:49:23 BST 2016,Thu May 26 14:53:23 BST 2016,435.50173330531396,108.87543332632849,crypto.signverify,Thu May 26 14:53:27 BST 2016,Thu May 26 14:55:27 BST 2016,369.292882526236,184.646441263118,Thu May 26 14:55:30 BST 2016,Thu May 26 14:59:30 BST 2016,740.2911220110807,185.07278050277017,derby,Thu May 26 15:00:47 BST 2016,Thu May 26 15:02:47 BST 2016,265.99154334567766,132.99577167283883,Thu May 26 15:02:49 BST 2016,Thu May 26 15:06:49 BST 2016,542.1889185870509,135.54722964676273,mpegaudio,Thu May 26 15:06:52 BST 2016,Thu May 26 15:08:52 BST 2016,182.2652191664635,91.13260958323175,Thu May 26 15:08:56 BST 2016,Thu May 26 15:12:56 BST 2016,364.7279795588284,91.1819948897071,scimark.fft.large,Thu May 26 15:13:00 BST 2016,Thu May 26 15:15:00 BST 2016,69.75616023643461,34.878080118217305,Thu May 26 15:15:10 BST 2016,Thu May 26 15:19:10 BST 2016,143.69255812556077,35.92313953139019,scimark.lu.large,Thu May 26 15:19:18 BST 2016,Thu May 26 15:21:18 BST 2016,12.912390748605773,6.456195374302887,Thu May 26 15:22:14 BST 2016,Thu May 26 15:26:14 BST 2016,25.881165289119117,6.470291322279779,scimark.sor.large,Thu May 26 15:26:52 BST 2016,Thu May 26 15:28:52 BST 2016,70.54856121402723,35.274280607013615,Thu May 26 15:29:01 BST 2016,Thu May 26 15:33:01 BST 2016,140.8972029422066,35.22430073555165,scimark.sparse.large,Thu May 26 15:33:11 BST 2016,Thu May 26 15:35:11 BST 2016,42.281480693820676,21.140740346910338,Thu May 26 15:35:24 BST 2016,Thu May 26 15:39:24 BST 2016,84.56986407152733,21.142466017881834,scimark.fft.small,Thu May 26 15:39:37 BST 2016,Thu May 26 15:41:37 BST 2016,613.248843494707,306.6244217473535,Thu May 26 15:41:38 BST 2016,Thu May 26 15:45:38 BST 2016,1256.4506949199822,314.11267372999555,scimark.lu.small,Thu May 26 15:45:40 BST 2016,Thu May 26 15:47:40 BST 2016,488.90350166624614,244.45175083312307,Thu May 26 15:47:41 BST 2016,Thu May 26 15:51:41 BST 2016,977.6009489241362,244.40023723103405,scimark.sor.small,Thu May 26 15:51:42 BST 2016,Thu May 26 15:53:42 BST 2016,319.0312206250081,159.51561031250404,Thu May 26 15:53:45 BST 2016,Thu May 26 15:57:45 BST 2016,637.314163760011,159.32854094000274,scimark.sparse.small,Thu May 26 15:57:48 BST 2016,Thu May 26 15:59:48 BST 2016,456.7708150745696,228.3854075372848,Thu May 26 15:59:49 BST 2016,Thu May 26 16:03:49 BST 2016,912.285877947357,228.07146948683925,scimark.monte_carlo,Thu May 26 16:03:51 BST 2016,Thu May 26 16:05:51 BST 2016,103.52238399257513,51.761191996287565,Thu May 26 16:05:57 BST 2016,Thu May 26 16:09:57 BST 2016,207.12328740518421,51.780821851296054,serial,Thu May 26 16:10:03 BST 2016,Thu May 26 16:12:03 BST 2016,202.242966311724,101.121483155862,Thu May 26 16:12:07 BST 2016,Thu May 26 16:16:07 BST 2016,402.7620559693928,100.6905139923482,sunflow,Thu May 26 16:16:11 BST 2016,Thu May 26 16:18:11 BST 2016,143.33558779861073,71.66779389930537,Thu May 26 16:18:13 BST 2016,Thu May 26 16:22:13 BST 2016,287.08507248920665,71.77126812230166,xml.transform,Thu May 26 16:22:37 BST 2016,Thu May 26 16:24:37 BST 2016,435.55314892483665,217.77657446241832,Thu May 26 16:24:40 BST 2016,Thu May 26 16:28:40 BST 2016,861.5066662291249,215.37666655728123,xml.validation,Thu May 26 16:28:42 BST 2016,Thu May 26 16:30:42 BST 2016,679.6499886670886,339.8249943335443,Thu May 26 16:30:43 BST 2016,Thu May 26 16:34:43 BST 2016,1343.3754507678004,335.8438626919501
