spec.jvm2008.report.run.location=UNION80
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 30 11:41:19 BST 2016, end=Thu Jun 30 11:41:19 BST 2016, operations=1.0, operationsPerMinute=1000.0
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 11:41:19 BST 2016, end=Thu Jun 30 11:41:20 BST 2016, operations=1.0, operationsPerMinute=163.48773841961852
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 11:41:20 BST 2016, end=Thu Jun 30 11:41:44 BST 2016, operations=1.0, operationsPerMinute=2.475860361475613
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 11:41:44 BST 2016, end=Thu Jun 30 11:41:50 BST 2016, operations=1.0, operationsPerMinute=9.48316737790422
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 11:41:50 BST 2016, end=Thu Jun 30 11:41:52 BST 2016, operations=1.0, operationsPerMinute=34.32494279176201
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 11:41:52 BST 2016, end=Thu Jun 30 11:42:02 BST 2016, operations=1.0, operationsPerMinute=5.792624058698591
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 11:42:02 BST 2016, end=Thu Jun 30 11:42:11 BST 2016, operations=1.0, operationsPerMinute=6.90846286701209
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 11:42:11 BST 2016, end=Thu Jun 30 11:42:18 BST 2016, operations=1.0, operationsPerMinute=8.498583569405099
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 11:42:18 BST 2016, end=Thu Jun 30 11:42:21 BST 2016, operations=1.0, operationsPerMinute=18.270401948842874
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 11:42:21 BST 2016, end=Thu Jun 30 11:42:22 BST 2016, operations=1.0, operationsPerMinute=56.92599620493359
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 11:42:22 BST 2016, end=Thu Jun 30 11:42:24 BST 2016, operations=1.0, operationsPerMinute=44.67609828741623
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 11:42:24 BST 2016, end=Thu Jun 30 11:42:31 BST 2016, operations=1.0, operationsPerMinute=8.183306055646481
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 11:42:31 BST 2016, end=Thu Jun 30 11:42:33 BST 2016, operations=1.0, operationsPerMinute=32.327586206896555
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 11:42:33 BST 2016, end=Thu Jun 30 11:42:34 BST 2016, operations=1.0, operationsPerMinute=40.54054054054054
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 11:42:34 BST 2016, end=Thu Jun 30 11:42:38 BST 2016, operations=1.0, operationsPerMinute=17.873100983020553
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 11:42:38 BST 2016, end=Thu Jun 30 11:42:45 BST 2016, operations=1.0, operationsPerMinute=8.526360665056131
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 11:42:45 BST 2016, end=Thu Jun 30 11:43:15 BST 2016, operations=1.0, operationsPerMinute=1.9570109918784044
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 11:43:15 BST 2016, end=Thu Jun 30 11:43:17 BST 2016, operations=1.0, operationsPerMinute=44.742729306487696
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 11:43:35 BST 2016, end=Thu Jun 30 11:45:35 BST 2016, operations=334.65109121393067, operationsPerMinute=167.32554560696533, mode=normal, start=Thu Jun 30 11:45:37 BST 2016, end=Thu Jun 30 11:49:37 BST 2016, operations=694.2397356358126, operationsPerMinute=173.55993390895316
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 11:49:44 BST 2016, end=Thu Jun 30 11:51:44 BST 2016, operations=136.76252928425973, operationsPerMinute=68.38126464212986, mode=normal, start=Thu Jun 30 11:51:49 BST 2016, end=Thu Jun 30 11:55:49 BST 2016, operations=273.31424299856525, operationsPerMinute=68.32856074964131
benchmark-name=compress, mod=warmup, start=Thu Jun 30 11:55:54 BST 2016, end=Thu Jun 30 11:57:54 BST 2016, operations=259.52929821900943, operationsPerMinute=129.76464910950472, mode=normal, start=Thu Jun 30 11:57:57 BST 2016, end=Thu Jun 30 12:01:57 BST 2016, operations=518.7192350223733, operationsPerMinute=129.6798087555933
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 12:02:00 BST 2016, end=Thu Jun 30 12:04:00 BST 2016, operations=83.3720750402203, operationsPerMinute=41.68603752011015, mode=normal, start=Thu Jun 30 12:04:07 BST 2016, end=Thu Jun 30 12:08:07 BST 2016, operations=174.60149124918607, operationsPerMinute=43.65037281229652
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 12:08:16 BST 2016, end=Thu Jun 30 12:10:16 BST 2016, operations=140.88205637382063, operationsPerMinute=70.44102818691032, mode=normal, start=Thu Jun 30 12:10:21 BST 2016, end=Thu Jun 30 12:14:21 BST 2016, operations=281.7410171944665, operationsPerMinute=70.43525429861663
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 12:14:27 BST 2016, end=Thu Jun 30 12:16:27 BST 2016, operations=241.5594256962306, operationsPerMinute=120.7797128481153, mode=normal, start=Thu Jun 30 12:16:30 BST 2016, end=Thu Jun 30 12:20:30 BST 2016, operations=483.7190295608741, operationsPerMinute=120.92975739021853
benchmark-name=derby, mod=warmup, start=Thu Jun 30 12:22:06 BST 2016, end=Thu Jun 30 12:24:06 BST 2016, operations=194.99289116402502, operationsPerMinute=97.49644558201251, mode=normal, start=Thu Jun 30 12:24:10 BST 2016, end=Thu Jun 30 12:28:10 BST 2016, operations=392.9722196683314, operationsPerMinute=98.24305491708284
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 12:28:15 BST 2016, end=Thu Jun 30 12:30:15 BST 2016, operations=128.58408645826376, operationsPerMinute=64.29204322913188, mode=normal, start=Thu Jun 30 12:30:21 BST 2016, end=Thu Jun 30 12:34:21 BST 2016, operations=257.9184487920069, operationsPerMinute=64.47961219800173
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 12:34:27 BST 2016, end=Thu Jun 30 12:36:27 BST 2016, operations=75.82031954483895, operationsPerMinute=37.910159772419476, mode=normal, start=Thu Jun 30 12:36:36 BST 2016, end=Thu Jun 30 12:40:36 BST 2016, operations=165.21059117200272, operationsPerMinute=41.30264779300068
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 12:40:45 BST 2016, end=Thu Jun 30 12:42:45 BST 2016, operations=19.331750231873986, operationsPerMinute=9.665875115936993, mode=normal, start=Thu Jun 30 12:43:15 BST 2016, end=Thu Jun 30 12:47:15 BST 2016, operations=38.58089647891899, operationsPerMinute=9.645224119729747
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 12:47:49 BST 2016, end=Thu Jun 30 12:49:49 BST 2016, operations=52.79993333010769, operationsPerMinute=26.399966665053846, mode=normal, start=Thu Jun 30 12:50:01 BST 2016, end=Thu Jun 30 12:54:01 BST 2016, operations=104.78999093626442, operationsPerMinute=26.197497734066104
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 12:54:16 BST 2016, end=Thu Jun 30 12:56:16 BST 2016, operations=57.69655646369861, operationsPerMinute=28.848278231849307, mode=normal, start=Thu Jun 30 12:56:28 BST 2016, end=Thu Jun 30 13:00:28 BST 2016, operations=115.21054883064731, operationsPerMinute=28.802637207661828
benchmark-name=scimark.fft.small, mod=warmup, start=Thu Jun 30 13:00:39 BST 2016, end=Thu Jun 30 13:02:39 BST 2016, operations=472.4790296472838, operationsPerMinute=236.2395148236419, mode=normal, start=Thu Jun 30 13:02:41 BST 2016, end=Thu Jun 30 13:06:41 BST 2016, operations=951.116478515954, operationsPerMinute=237.7791196289885
benchmark-name=scimark.lu.small, mod=warmup, start=Thu Jun 30 13:06:43 BST 2016, end=Thu Jun 30 13:08:43 BST 2016, operations=353.73807657906326, operationsPerMinute=176.86903828953163, mode=normal, start=Thu Jun 30 13:08:45 BST 2016, end=Thu Jun 30 13:12:45 BST 2016, operations=706.7278509646708, operationsPerMinute=176.6819627411677
