spec.jvm2008.report.run.location=UNION30
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Wed Jun 29 08:15:27 BST 2016, end=Wed Jun 29 08:15:27 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 09:36:10 BST 2016, end=Wed Jun 29 09:38:10 BST 2016, operations=835.3272938349926, operationsPerMinute=417.6636469174963, mode=normal, start=Wed Jun 29 09:38:11 BST 2016, end=Wed Jun 29 09:42:11 BST 2016, operations=1655.1463958446018, operationsPerMinute=413.78659896115045
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 09:42:13 BST 2016, end=Wed Jun 29 09:44:13 BST 2016, operations=525.9427595065805, operationsPerMinute=262.97137975329025, mode=normal, start=Wed Jun 29 09:44:16 BST 2016, end=Wed Jun 29 09:48:16 BST 2016, operations=1051.8001666137418, operationsPerMinute=262.95004165343545
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 09:48:19 BST 2016, end=Wed Jun 29 09:50:19 BST 2016, operations=614.4559900022672, operationsPerMinute=307.2279950011336, mode=normal, start=Wed Jun 29 09:50:22 BST 2016, end=Wed Jun 29 09:54:22 BST 2016, operations=1231.9758916828998, operationsPerMinute=307.99397292072496
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jun 29 09:54:25 BST 2016, end=Wed Jun 29 09:56:25 BST 2016, operations=444.89061131575966, operationsPerMinute=222.44530565787983, mode=normal, start=Wed Jun 29 09:56:29 BST 2016, end=Wed Jun 29 10:00:29 BST 2016, operations=885.5184387105005, operationsPerMinute=221.37960967762513
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 10:00:32 BST 2016, end=Wed Jun 29 10:02:32 BST 2016, operations=152.71260438799078, operationsPerMinute=76.35630219399539, mode=normal, start=Wed Jun 29 10:02:43 BST 2016, end=Wed Jun 29 10:06:43 BST 2016, operations=304.1852339829824, operationsPerMinute=76.0463084957456
benchmark-name=serial, mod=warmup, start=Wed Jun 29 10:06:54 BST 2016, end=Wed Jun 29 10:08:54 BST 2016, operations=226.04375273823277, operationsPerMinute=113.02187636911638, mode=normal, start=Wed Jun 29 10:09:01 BST 2016, end=Wed Jun 29 10:13:01 BST 2016, operations=453.23540961277195, operationsPerMinute=113.30885240319299
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 10:13:07 BST 2016, end=Wed Jun 29 10:15:07 BST 2016, operations=182.84041420384472, operationsPerMinute=91.42020710192236, mode=normal, start=Wed Jun 29 10:15:10 BST 2016, end=Wed Jun 29 10:19:10 BST 2016, operations=365.2436298784561, operationsPerMinute=91.31090746961402
benchmark-name=xml.transform, mod=warmup, start=Wed Jun 29 10:19:36 BST 2016, end=Wed Jun 29 10:21:36 BST 2016, operations=503.18881964645834, operationsPerMinute=251.59440982322917, mode=normal, start=Wed Jun 29 10:21:39 BST 2016, end=Wed Jun 29 10:25:39 BST 2016, operations=1012.5323326289097, operationsPerMinute=253.13308315722742
benchmark-name=xml.validation, mod=warmup, start=Wed Jun 29 10:25:42 BST 2016, end=Wed Jun 29 10:27:42 BST 2016, operations=634.0953172697093, operationsPerMinute=317.04765863485466, mode=normal, start=Wed Jun 29 10:27:45 BST 2016, end=Wed Jun 29 10:31:45 BST 2016, operations=1266.3826095520667, operationsPerMinute=316.5956523880167
##-nursultan-##,UNION30,Intel(R) Xeon(R) CPU E31270 @ 3.40GHz,4,16341,check,Wed Jun 29 08:15:27 BST 2016,Wed Jun 29 08:15:27 BST 2016,1.0,1304.3478260869565,startup.helloworld,Wed Jun 29 08:15:27 BST 2016,Wed Jun 29 08:15:27 BST 2016,1.0,480.0,startup.compiler.compiler,Wed Jun 29 08:15:27 BST 2016,Wed Jun 29 08:15:47 BST 2016,1.0,3.079291762894534,startup.compiler.sunflow,Wed Jun 29 08:15:47 BST 2016,Wed Jun 29 08:15:51 BST 2016,1.0,13.786764705882353,startup.compress,Wed Jun 29 08:15:51 BST 2016,Wed Jun 29 08:15:52 BST 2016,1.0,43.22766570605187,startup.crypto.aes,Wed Jun 29 08:15:52 BST 2016,Wed Jun 29 08:16:02 BST 2016,1.0,6.51890482398957,startup.crypto.rsa,Wed Jun 29 08:16:02 BST 2016,Wed Jun 29 08:16:09 BST 2016,1.0,7.616146230007616,startup.crypto.signverify,Wed Jun 29 08:16:09 BST 2016,Wed Jun 29 08:16:16 BST 2016,1.0,8.780916142250842,startup.mpegaudio,Wed Jun 29 08:16:16 BST 2016,Wed Jun 29 08:16:19 BST 2016,1.0,22.624434389140273,startup.scimark.fft,Wed Jun 29 08:16:19 BST 2016,Wed Jun 29 08:16:20 BST 2016,1.0,76.92307692307692,startup.scimark.lu,Wed Jun 29 08:16:20 BST 2016,Wed Jun 29 08:16:21 BST 2016,1.0,54.94505494505494,startup.scimark.monte_carlo,Wed Jun 29 08:16:21 BST 2016,Wed Jun 29 08:16:27 BST 2016,1.0,9.836065573770492,startup.scimark.sor,Wed Jun 29 08:16:27 BST 2016,Wed Jun 29 08:16:28 BST 2016,1.0,40.92769440654843,startup.scimark.sparse,Wed Jun 29 08:16:28 BST 2016,Wed Jun 29 08:16:30 BST 2016,1.0,49.958368026644465,startup.serial,Wed Jun 29 08:16:30 BST 2016,Wed Jun 29 08:16:32 BST 2016,1.0,23.31002331002331,startup.sunflow,Wed Jun 29 08:16:32 BST 2016,Wed Jun 29 08:16:39 BST 2016,1.0,9.070294784580499,startup.xml.transform,Wed Jun 29 08:16:39 BST 2016,Wed Jun 29 08:17:03 BST 2016,1.0,2.4607308370586063,startup.xml.validation,Wed Jun 29 08:17:03 BST 2016,Wed Jun 29 08:17:04 BST 2016,1.0,56.550424128180964,compiler.compiler,Wed Jun 29 08:17:18 BST 2016,Wed Jun 29 08:19:18 BST 2016,455.4218254882685,227.71091274413425,Wed Jun 29 08:19:21 BST 2016,Wed Jun 29 08:23:21 BST 2016,928.5534853590619,232.13837133976548,compiler.sunflow,Wed Jun 29 08:23:27 BST 2016,Wed Jun 29 08:25:27 BST 2016,185.80102281818364,92.90051140909182,Wed Jun 29 08:25:35 BST 2016,Wed Jun 29 08:29:35 BST 2016,369.7966956287863,92.44917390719658,compress,Wed Jun 29 08:29:42 BST 2016,Wed Jun 29 08:31:42 BST 2016,485.31417404073926,242.65708702036963,Wed Jun 29 08:31:46 BST 2016,Wed Jun 29 08:35:46 BST 2016,974.2648847067109,243.56622117667771,crypto.aes,Wed Jun 29 08:35:49 BST 2016,Wed Jun 29 08:37:49 BST 2016,128.26529205425953,64.13264602712977,Wed Jun 29 08:38:00 BST 2016,Wed Jun 29 08:42:00 BST 2016,269.7769837328519,67.44424593321297,crypto.rsa,Wed Jun 29 08:42:12 BST 2016,Wed Jun 29 08:44:12 BST 2016,229.87455699179844,114.93727849589922,Wed Jun 29 08:44:17 BST 2016,Wed Jun 29 08:48:17 BST 2016,458.4180384259154,114.60450960647886,crypto.signverify,Wed Jun 29 08:48:24 BST 2016,Wed Jun 29 08:50:24 BST 2016,395.47233711008386,197.73616855504193,Wed Jun 29 08:50:28 BST 2016,Wed Jun 29 08:54:28 BST 2016,792.1351159156104,198.0337789789026,derby,Wed Jun 29 08:56:16 BST 2016,Wed Jun 29 08:58:16 BST 2016,334.57180071316606,167.28590035658303,Wed Jun 29 08:58:21 BST 2016,Wed Jun 29 09:02:21 BST 2016,671.4606759122781,167.86516897806953,mpegaudio,Wed Jun 29 09:02:26 BST 2016,Wed Jun 29 09:04:26 BST 2016,219.47526161683373,109.73763080841687,Wed Jun 29 09:04:32 BST 2016,Wed Jun 29 09:08:32 BST 2016,439.67039884382086,109.91759971095522,scimark.fft.large,Wed Jun 29 09:08:39 BST 2016,Wed Jun 29 09:10:39 BST 2016,95.542426594133,47.7712132970665,Wed Jun 29 09:10:49 BST 2016,Wed Jun 29 09:14:49 BST 2016,185.70769429291119,46.426923573227796,scimark.lu.large,Wed Jun 29 09:15:04 BST 2016,Wed Jun 29 09:17:04 BST 2016,20.724541316621703,10.362270658310852,Wed Jun 29 09:18:03 BST 2016,Wed Jun 29 09:22:03 BST 2016,41.48050312595504,10.37012578148876,scimark.sor.large,Wed Jun 29 09:23:09 BST 2016,Wed Jun 29 09:25:09 BST 2016,121.10014870305383,60.550074351526916,Wed Jun 29 09:25:23 BST 2016,Wed Jun 29 09:29:23 BST 2016,244.72646895768722,61.181617239421804,scimark.sparse.large,Wed Jun 29 09:29:36 BST 2016,Wed Jun 29 09:31:36 BST 2016,63.10666363396477,31.553331816982386,Wed Jun 29 09:31:51 BST 2016,Wed Jun 29 09:35:51 BST 2016,126.13307969718407,31.533269924296018,scimark.fft.small,Wed Jun 29 09:36:10 BST 2016,Wed Jun 29 09:38:10 BST 2016,835.3272938349926,417.6636469174963,Wed Jun 29 09:38:11 BST 2016,Wed Jun 29 09:42:11 BST 2016,1655.1463958446018,413.78659896115045,scimark.lu.small,Wed Jun 29 09:42:13 BST 2016,Wed Jun 29 09:44:13 BST 2016,525.9427595065805,262.97137975329025,Wed Jun 29 09:44:16 BST 2016,Wed Jun 29 09:48:16 BST 2016,1051.8001666137418,262.95004165343545,scimark.sor.small,Wed Jun 29 09:48:19 BST 2016,Wed Jun 29 09:50:19 BST 2016,614.4559900022672,307.2279950011336,Wed Jun 29 09:50:22 BST 2016,Wed Jun 29 09:54:22 BST 2016,1231.9758916828998,307.99397292072496,scimark.sparse.small,Wed Jun 29 09:54:25 BST 2016,Wed Jun 29 09:56:25 BST 2016,444.89061131575966,222.44530565787983,Wed Jun 29 09:56:29 BST 2016,Wed Jun 29 10:00:29 BST 2016,885.5184387105005,221.37960967762513,scimark.monte_carlo,Wed Jun 29 10:00:32 BST 2016,Wed Jun 29 10:02:32 BST 2016,152.71260438799078,76.35630219399539,Wed Jun 29 10:02:43 BST 2016,Wed Jun 29 10:06:43 BST 2016,304.1852339829824,76.0463084957456,serial,Wed Jun 29 10:06:54 BST 2016,Wed Jun 29 10:08:54 BST 2016,226.04375273823277,113.02187636911638,Wed Jun 29 10:09:01 BST 2016,Wed Jun 29 10:13:01 BST 2016,453.23540961277195,113.30885240319299,sunflow,Wed Jun 29 10:13:07 BST 2016,Wed Jun 29 10:15:07 BST 2016,182.84041420384472,91.42020710192236,Wed Jun 29 10:15:10 BST 2016,Wed Jun 29 10:19:10 BST 2016,365.2436298784561,91.31090746961402,xml.transform,Wed Jun 29 10:19:36 BST 2016,Wed Jun 29 10:21:36 BST 2016,503.18881964645834,251.59440982322917,Wed Jun 29 10:21:39 BST 2016,Wed Jun 29 10:25:39 BST 2016,1012.5323326289097,253.13308315722742,xml.validation,Wed Jun 29 10:25:42 BST 2016,Wed Jun 29 10:27:42 BST 2016,634.0953172697093,317.04765863485466,Wed Jun 29 10:27:45 BST 2016,Wed Jun 29 10:31:45 BST 2016,1266.3826095520667,316.5956523880167
