spec.jvm2008.report.run.location=UNION33
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:45 BST 2016, end=Thu May 26 14:20:45 BST 2016, operations=1.0, operationsPerMinute=714.2857142857143
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:45 BST 2016, end=Thu May 26 14:20:47 BST 2016, operations=1.0, operationsPerMinute=40.62288422477996
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:47 BST 2016, end=Thu May 26 14:21:13 BST 2016, operations=1.0, operationsPerMinute=2.2720387761284457
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:13 BST 2016, end=Thu May 26 14:21:18 BST 2016, operations=1.0, operationsPerMinute=11.607661056297156
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:18 BST 2016, end=Thu May 26 14:21:20 BST 2016, operations=1.0, operationsPerMinute=41.551246537396125
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:20 BST 2016, end=Thu May 26 14:21:29 BST 2016, operations=1.0, operationsPerMinute=6.180469715698393
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:29 BST 2016, end=Thu May 26 14:21:37 BST 2016, operations=1.0, operationsPerMinute=7.705149608321562
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:37 BST 2016, end=Thu May 26 14:21:44 BST 2016, operations=1.0, operationsPerMinute=8.959235478572495
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:44 BST 2016, end=Thu May 26 14:21:47 BST 2016, operations=1.0, operationsPerMinute=21.51308712800287
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:47 BST 2016, end=Thu May 26 14:21:47 BST 2016, operations=1.0, operationsPerMinute=71.42857142857143
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:47 BST 2016, end=Thu May 26 14:21:48 BST 2016, operations=1.0, operationsPerMinute=55.248618784530386
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:48 BST 2016, end=Thu May 26 14:21:55 BST 2016, operations=1.0, operationsPerMinute=9.423590387937804
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:55 BST 2016, end=Thu May 26 14:21:56 BST 2016, operations=1.0, operationsPerMinute=39.52569169960474
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:21:56 BST 2016, end=Thu May 26 14:21:58 BST 2016, operations=1.0, operationsPerMinute=47.88507581803671
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:21:58 BST 2016, end=Thu May 26 14:22:00 BST 2016, operations=1.0, operationsPerMinute=21.208907741251327
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:00 BST 2016, end=Thu May 26 14:22:07 BST 2016, operations=1.0, operationsPerMinute=8.707009142359599
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:07 BST 2016, end=Thu May 26 14:22:34 BST 2016, operations=1.0, operationsPerMinute=2.276348736626451
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:34 BST 2016, end=Thu May 26 14:22:35 BST 2016, operations=1.0, operationsPerMinute=45.59270516717325
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:48 BST 2016, end=Thu May 26 14:24:48 BST 2016, operations=447.6297694743168, operationsPerMinute=223.8148847371584, mode=normal, start=Thu May 26 14:24:51 BST 2016, end=Thu May 26 14:28:51 BST 2016, operations=902.7020264352238, operationsPerMinute=225.67550660880596
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:58 BST 2016, end=Thu May 26 14:30:58 BST 2016, operations=179.65681498542705, operationsPerMinute=89.82840749271352, mode=normal, start=Thu May 26 14:31:06 BST 2016, end=Thu May 26 14:35:06 BST 2016, operations=359.62827483991526, operationsPerMinute=89.90706870997882
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:14 BST 2016, end=Thu May 26 14:37:14 BST 2016, operations=472.4497956326047, operationsPerMinute=236.22489781630236, mode=normal, start=Thu May 26 14:37:18 BST 2016, end=Thu May 26 14:41:18 BST 2016, operations=943.9973236461882, operationsPerMinute=235.99933091154705
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:21 BST 2016, end=Thu May 26 14:43:21 BST 2016, operations=119.46581474565423, operationsPerMinute=59.732907372827114, mode=normal, start=Thu May 26 14:43:33 BST 2016, end=Thu May 26 14:47:33 BST 2016, operations=255.8468977761518, operationsPerMinute=63.96172444403795
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:45 BST 2016, end=Thu May 26 14:49:45 BST 2016, operations=223.08580653826627, operationsPerMinute=111.54290326913313, mode=normal, start=Thu May 26 14:49:52 BST 2016, end=Thu May 26 14:53:52 BST 2016, operations=446.4471803110949, operationsPerMinute=111.61179507777372
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:58 BST 2016, end=Thu May 26 14:55:58 BST 2016, operations=376.70411271386433, operationsPerMinute=188.35205635693217, mode=normal, start=Thu May 26 14:56:03 BST 2016, end=Thu May 26 15:00:03 BST 2016, operations=780.0521673902637, operationsPerMinute=195.01304184756592
benchmark-name=derby, mod=warmup, start=Thu May 26 15:01:48 BST 2016, end=Thu May 26 15:03:48 BST 2016, operations=307.5028478564859, operationsPerMinute=153.75142392824296, mode=normal, start=Thu May 26 15:03:53 BST 2016, end=Thu May 26 15:07:53 BST 2016, operations=618.564594509627, operationsPerMinute=154.64114862740675
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:07:58 BST 2016, end=Thu May 26 15:09:58 BST 2016, operations=211.66955121651563, operationsPerMinute=105.83477560825781, mode=normal, start=Thu May 26 15:10:05 BST 2016, end=Thu May 26 15:14:05 BST 2016, operations=429.9319421855174, operationsPerMinute=107.48298554637935
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:12 BST 2016, end=Thu May 26 15:16:12 BST 2016, operations=91.85879437390156, operationsPerMinute=45.92939718695078, mode=normal, start=Thu May 26 15:16:26 BST 2016, end=Thu May 26 15:20:26 BST 2016, operations=186.93324997928207, operationsPerMinute=46.73331249482052
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:48 BST 2016, end=Thu May 26 15:22:48 BST 2016, operations=20.02707497103789, operationsPerMinute=10.013537485518945, mode=normal, start=Thu May 26 15:23:53 BST 2016, end=Thu May 26 15:27:53 BST 2016, operations=40.143195932411366, operationsPerMinute=10.035798983102842
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:28:57 BST 2016, end=Thu May 26 15:30:57 BST 2016, operations=116.49099594584166, operationsPerMinute=58.24549797292083, mode=normal, start=Thu May 26 15:31:11 BST 2016, end=Thu May 26 15:35:11 BST 2016, operations=235.63056800842296, operationsPerMinute=58.90764200210574
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:35:24 BST 2016, end=Thu May 26 15:37:24 BST 2016, operations=61.0322607431362, operationsPerMinute=30.5161303715681, mode=normal, start=Thu May 26 15:37:46 BST 2016, end=Thu May 26 15:41:46 BST 2016, operations=122.15043621129645, operationsPerMinute=30.537609052824113
