spec.jvm2008.report.run.location=BARN-11
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 12:24:40 BST 2016, end=Fri Jul 01 12:24:40 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 12:24:40 BST 2016, end=Fri Jul 01 12:24:40 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 12:24:40 BST 2016, end=Fri Jul 01 12:24:54 BST 2016, operations=1.0, operationsPerMinute=4.493035794518496
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 12:24:54 BST 2016, end=Fri Jul 01 12:24:57 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 12:24:57 BST 2016, end=Fri Jul 01 12:24:58 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 12:24:58 BST 2016, end=Fri Jul 01 12:25:07 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 12:25:07 BST 2016, end=Fri Jul 01 12:25:14 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 12:25:14 BST 2016, end=Fri Jul 01 12:25:21 BST 2016, operations=1.0, operationsPerMinute=9.246417013407305
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 12:25:21 BST 2016, end=Fri Jul 01 12:25:23 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 12:25:23 BST 2016, end=Fri Jul 01 12:25:24 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 12:25:24 BST 2016, end=Fri Jul 01 12:25:25 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 12:25:25 BST 2016, end=Fri Jul 01 12:25:30 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 12:25:30 BST 2016, end=Fri Jul 01 12:25:32 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 12:25:32 BST 2016, end=Fri Jul 01 12:25:33 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 12:25:33 BST 2016, end=Fri Jul 01 12:25:35 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 12:25:35 BST 2016, end=Fri Jul 01 12:25:41 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 12:25:41 BST 2016, end=Fri Jul 01 12:26:01 BST 2016, operations=1.0, operationsPerMinute=2.96545247862403
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 12:26:01 BST 2016, end=Fri Jul 01 12:26:02 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 12:26:13 BST 2016, end=Fri Jul 01 12:28:13 BST 2016, operations=495.8012674890401, operationsPerMinute=247.90063374452004, mode=normal, start=Fri Jul 01 12:28:14 BST 2016, end=Fri Jul 01 12:32:14 BST 2016, operations=1010.3198343565576, operationsPerMinute=252.5799585891394
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 12:32:18 BST 2016, end=Fri Jul 01 12:34:18 BST 2016, operations=199.99342557570552, operationsPerMinute=99.99671278785276, mode=normal, start=Fri Jul 01 12:34:22 BST 2016, end=Fri Jul 01 12:38:22 BST 2016, operations=399.1222297803326, operationsPerMinute=99.78055744508315
benchmark-name=compress, mod=warmup, start=Fri Jul 01 12:38:25 BST 2016, end=Fri Jul 01 12:40:25 BST 2016, operations=399.34022027736864, operationsPerMinute=199.67011013868432, mode=normal, start=Fri Jul 01 12:40:27 BST 2016, end=Fri Jul 01 12:44:27 BST 2016, operations=798.4604055393377, operationsPerMinute=199.61510138483442
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 12:44:29 BST 2016, end=Fri Jul 01 12:46:29 BST 2016, operations=140.05898216194956, operationsPerMinute=70.02949108097478, mode=normal, start=Fri Jul 01 12:46:35 BST 2016, end=Fri Jul 01 12:50:35 BST 2016, operations=293.3914238159196, operationsPerMinute=73.3478559539799
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 12:50:40 BST 2016, end=Fri Jul 01 12:52:40 BST 2016, operations=236.24280739510354, operationsPerMinute=118.12140369755177, mode=normal, start=Fri Jul 01 12:52:43 BST 2016, end=Fri Jul 01 12:56:43 BST 2016, operations=472.22592795242156, operationsPerMinute=118.05648198810539
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 12:56:46 BST 2016, end=Fri Jul 01 12:58:46 BST 2016, operations=406.7389740627176, operationsPerMinute=203.3694870313588, mode=normal, start=Fri Jul 01 12:58:48 BST 2016, end=Fri Jul 01 13:02:48 BST 2016, operations=812.1872163130561, operationsPerMinute=203.04680407826402
benchmark-name=derby, mod=warmup, start=Fri Jul 01 13:03:11 BST 2016, end=Fri Jul 01 13:05:11 BST 2016, operations=356.0659343948971, operationsPerMinute=178.03296719744856, mode=normal, start=Fri Jul 01 13:05:13 BST 2016, end=Fri Jul 01 13:09:13 BST 2016, operations=726.9066926461566, operationsPerMinute=181.72667316153914
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 13:09:15 BST 2016, end=Fri Jul 01 13:11:15 BST 2016, operations=207.4086982506579, operationsPerMinute=103.70434912532895, mode=normal, start=Fri Jul 01 13:11:19 BST 2016, end=Fri Jul 01 13:15:19 BST 2016, operations=415.02744488701785, operationsPerMinute=103.75686122175446
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 13:15:23 BST 2016, end=Fri Jul 01 13:17:23 BST 2016, operations=77.80329750784097, operationsPerMinute=38.90164875392048, mode=normal, start=Fri Jul 01 13:17:31 BST 2016, end=Fri Jul 01 13:21:31 BST 2016, operations=152.2393708783197, operationsPerMinute=38.059842719579926
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 13:21:40 BST 2016, end=Fri Jul 01 13:23:40 BST 2016, operations=13.87764435948414, operationsPerMinute=6.93882217974207, mode=normal, start=Fri Jul 01 13:24:24 BST 2016, end=Fri Jul 01 13:28:24 BST 2016, operations=27.638937653464147, operationsPerMinute=6.909734413366037
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 13:28:52 BST 2016, end=Fri Jul 01 13:30:52 BST 2016, operations=74.63855954057617, operationsPerMinute=37.319279770288084, mode=normal, start=Fri Jul 01 13:31:01 BST 2016, end=Fri Jul 01 13:35:01 BST 2016, operations=148.98691057631376, operationsPerMinute=37.24672764407844
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 13:35:11 BST 2016, end=Fri Jul 01 13:37:11 BST 2016, operations=43.224748528246415, operationsPerMinute=21.612374264123208, mode=normal, start=Fri Jul 01 13:37:24 BST 2016, end=Fri Jul 01 13:41:24 BST 2016, operations=86.10427805270193, operationsPerMinute=21.526069513175482
