spec.jvm2008.report.run.location=BARN-15
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 12:24:28 BST 2016, end=Fri Jul 01 12:24:28 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 13:41:47 BST 2016, end=Fri Jul 01 13:43:47 BST 2016, operations=716.5614814955313, operationsPerMinute=358.28074074776566, mode=normal, start=Fri Jul 01 13:43:49 BST 2016, end=Fri Jul 01 13:47:49 BST 2016, operations=1426.5207100340522, operationsPerMinute=356.63017750851304
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 13:47:50 BST 2016, end=Fri Jul 01 13:49:50 BST 2016, operations=575.9407408170938, operationsPerMinute=287.9703704085469, mode=normal, start=Fri Jul 01 13:49:51 BST 2016, end=Fri Jul 01 13:53:51 BST 2016, operations=1142.1010151481198, operationsPerMinute=285.52525378702995
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 13:53:52 BST 2016, end=Fri Jul 01 13:55:52 BST 2016, operations=330.0599955650974, operationsPerMinute=165.0299977825487, mode=normal, start=Fri Jul 01 13:55:55 BST 2016, end=Fri Jul 01 13:59:55 BST 2016, operations=659.6609237572195, operationsPerMinute=164.91523093930488
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 13:59:57 BST 2016, end=Fri Jul 01 14:01:57 BST 2016, operations=483.39177081088843, operationsPerMinute=241.69588540544422, mode=normal, start=Fri Jul 01 14:01:59 BST 2016, end=Fri Jul 01 14:05:59 BST 2016, operations=989.3923634336679, operationsPerMinute=247.34809085841698
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 14:06:00 BST 2016, end=Fri Jul 01 14:08:00 BST 2016, operations=119.51548061784187, operationsPerMinute=59.75774030892094, mode=normal, start=Fri Jul 01 14:08:06 BST 2016, end=Fri Jul 01 14:12:06 BST 2016, operations=239.32029873561243, operationsPerMinute=59.830074683903106
benchmark-name=serial, mod=warmup, start=Fri Jul 01 14:12:13 BST 2016, end=Fri Jul 01 14:14:13 BST 2016, operations=233.23871771862812, operationsPerMinute=116.61935885931406, mode=normal, start=Fri Jul 01 14:14:17 BST 2016, end=Fri Jul 01 14:18:17 BST 2016, operations=465.2307020875707, operationsPerMinute=116.30767552189268
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 14:18:20 BST 2016, end=Fri Jul 01 14:20:20 BST 2016, operations=179.60003356033735, operationsPerMinute=89.80001678016868, mode=normal, start=Fri Jul 01 14:20:21 BST 2016, end=Fri Jul 01 14:24:21 BST 2016, operations=359.8927861354332, operationsPerMinute=89.9731965338583
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 14:24:42 BST 2016, end=Fri Jul 01 14:26:42 BST 2016, operations=513.0048244417198, operationsPerMinute=256.5024122208599, mode=normal, start=Fri Jul 01 14:26:43 BST 2016, end=Fri Jul 01 14:30:43 BST 2016, operations=1062.3146554887385, operationsPerMinute=265.5786638721846
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 14:30:44 BST 2016, end=Fri Jul 01 14:32:44 BST 2016, operations=1020.174415421863, operationsPerMinute=510.0872077109315, mode=normal, start=Fri Jul 01 14:32:45 BST 2016, end=Fri Jul 01 14:36:45 BST 2016, operations=2012.090043425188, operationsPerMinute=503.022510856297
##-nursultan-##,BARN-15,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 12:24:28 BST 2016,Fri Jul 01 12:24:28 BST 2016,1.0,1276.595744680851,startup.helloworld,Fri Jul 01 12:24:28 BST 2016,Fri Jul 01 12:24:28 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Fri Jul 01 12:24:28 BST 2016,Fri Jul 01 12:24:42 BST 2016,1.0,4.435901227266006,startup.compiler.sunflow,Fri Jul 01 12:24:42 BST 2016,Fri Jul 01 12:24:45 BST 2016,1.0,18.055973517905507,startup.compress,Fri Jul 01 12:24:45 BST 2016,Fri Jul 01 12:24:46 BST 2016,1.0,47.50593824228029,startup.crypto.aes,Fri Jul 01 12:24:46 BST 2016,Fri Jul 01 12:24:55 BST 2016,1.0,7.09639266706091,startup.crypto.rsa,Fri Jul 01 12:24:55 BST 2016,Fri Jul 01 12:25:02 BST 2016,1.0,8.097165991902834,startup.crypto.signverify,Fri Jul 01 12:25:02 BST 2016,Fri Jul 01 12:25:09 BST 2016,1.0,9.223674096848578,startup.mpegaudio,Fri Jul 01 12:25:09 BST 2016,Fri Jul 01 12:25:11 BST 2016,1.0,26.7022696929239,startup.scimark.fft,Fri Jul 01 12:25:11 BST 2016,Fri Jul 01 12:25:12 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Fri Jul 01 12:25:12 BST 2016,Fri Jul 01 12:25:13 BST 2016,1.0,65.21739130434783,startup.scimark.monte_carlo,Fri Jul 01 12:25:13 BST 2016,Fri Jul 01 12:25:18 BST 2016,1.0,10.924981791697014,startup.scimark.sor,Fri Jul 01 12:25:18 BST 2016,Fri Jul 01 12:25:20 BST 2016,1.0,42.73504273504273,startup.scimark.sparse,Fri Jul 01 12:25:20 BST 2016,Fri Jul 01 12:25:21 BST 2016,1.0,61.03763987792472,startup.serial,Fri Jul 01 12:25:21 BST 2016,Fri Jul 01 12:25:23 BST 2016,1.0,28.91566265060241,startup.sunflow,Fri Jul 01 12:25:23 BST 2016,Fri Jul 01 12:25:29 BST 2016,1.0,9.404388714733543,startup.xml.transform,Fri Jul 01 12:25:29 BST 2016,Fri Jul 01 12:25:49 BST 2016,1.0,2.9472443265546713,startup.xml.validation,Fri Jul 01 12:25:49 BST 2016,Fri Jul 01 12:25:50 BST 2016,1.0,76.92307692307692,compiler.compiler,Fri Jul 01 12:26:01 BST 2016,Fri Jul 01 12:28:01 BST 2016,494.2097521932593,247.10487609662965,Fri Jul 01 12:28:02 BST 2016,Fri Jul 01 12:32:02 BST 2016,970.2368942088381,242.55922355220952,compiler.sunflow,Fri Jul 01 12:32:06 BST 2016,Fri Jul 01 12:34:06 BST 2016,194.60035641758728,97.30017820879364,Fri Jul 01 12:34:09 BST 2016,Fri Jul 01 12:38:09 BST 2016,387.94212259357187,96.98553064839297,compress,Fri Jul 01 12:38:13 BST 2016,Fri Jul 01 12:40:13 BST 2016,399.85054610305616,199.92527305152808,Fri Jul 01 12:40:15 BST 2016,Fri Jul 01 12:44:15 BST 2016,796.6431408073031,199.16078520182577,crypto.aes,Fri Jul 01 12:44:17 BST 2016,Fri Jul 01 12:46:17 BST 2016,139.41418490486126,69.70709245243063,Fri Jul 01 12:46:22 BST 2016,Fri Jul 01 12:50:22 BST 2016,292.43374643343145,73.10843660835786,crypto.rsa,Fri Jul 01 12:50:27 BST 2016,Fri Jul 01 12:52:27 BST 2016,235.07201169840582,117.53600584920291,Fri Jul 01 12:52:30 BST 2016,Fri Jul 01 12:56:30 BST 2016,471.2437951842441,117.81094879606103,crypto.signverify,Fri Jul 01 12:56:34 BST 2016,Fri Jul 01 12:58:34 BST 2016,407.31340561999144,203.65670280999572,Fri Jul 01 12:58:36 BST 2016,Fri Jul 01 13:02:36 BST 2016,813.2567889703563,203.31419724258907,derby,Fri Jul 01 13:02:59 BST 2016,Fri Jul 01 13:04:59 BST 2016,350.07926665943074,175.03963332971537,Fri Jul 01 13:05:01 BST 2016,Fri Jul 01 13:09:01 BST 2016,713.9299953500731,178.48249883751828,mpegaudio,Fri Jul 01 13:09:03 BST 2016,Fri Jul 01 13:11:03 BST 2016,205.98329316133885,102.99164658066942,Fri Jul 01 13:11:07 BST 2016,Fri Jul 01 13:15:07 BST 2016,415.2367860255056,103.8091965063764,scimark.fft.large,Fri Jul 01 13:15:11 BST 2016,Fri Jul 01 13:17:11 BST 2016,70.36991087082058,35.18495543541029,Fri Jul 01 13:17:21 BST 2016,Fri Jul 01 13:21:21 BST 2016,142.84642871167017,35.71160717791754,scimark.lu.large,Fri Jul 01 13:21:28 BST 2016,Fri Jul 01 13:23:28 BST 2016,13.818481775652351,6.909240887826176,Fri Jul 01 13:24:13 BST 2016,Fri Jul 01 13:28:13 BST 2016,27.79698932856455,6.949247332141137,scimark.sor.large,Fri Jul 01 13:28:57 BST 2016,Fri Jul 01 13:30:57 BST 2016,74.25389159314061,37.126945796570304,Fri Jul 01 13:31:07 BST 2016,Fri Jul 01 13:35:07 BST 2016,148.55537562343375,37.13884390585844,scimark.sparse.large,Fri Jul 01 13:35:17 BST 2016,Fri Jul 01 13:37:17 BST 2016,42.00654062640366,21.00327031320183,Fri Jul 01 13:37:31 BST 2016,Fri Jul 01 13:41:31 BST 2016,84.38412939402146,21.096032348505364,scimark.fft.small,Fri Jul 01 13:41:47 BST 2016,Fri Jul 01 13:43:47 BST 2016,716.5614814955313,358.28074074776566,Fri Jul 01 13:43:49 BST 2016,Fri Jul 01 13:47:49 BST 2016,1426.5207100340522,356.63017750851304,scimark.lu.small,Fri Jul 01 13:47:50 BST 2016,Fri Jul 01 13:49:50 BST 2016,575.9407408170938,287.9703704085469,Fri Jul 01 13:49:51 BST 2016,Fri Jul 01 13:53:51 BST 2016,1142.1010151481198,285.52525378702995,scimark.sor.small,Fri Jul 01 13:53:52 BST 2016,Fri Jul 01 13:55:52 BST 2016,330.0599955650974,165.0299977825487,Fri Jul 01 13:55:55 BST 2016,Fri Jul 01 13:59:55 BST 2016,659.6609237572195,164.91523093930488,scimark.sparse.small,Fri Jul 01 13:59:57 BST 2016,Fri Jul 01 14:01:57 BST 2016,483.39177081088843,241.69588540544422,Fri Jul 01 14:01:59 BST 2016,Fri Jul 01 14:05:59 BST 2016,989.3923634336679,247.34809085841698,scimark.monte_carlo,Fri Jul 01 14:06:00 BST 2016,Fri Jul 01 14:08:00 BST 2016,119.51548061784187,59.75774030892094,Fri Jul 01 14:08:06 BST 2016,Fri Jul 01 14:12:06 BST 2016,239.32029873561243,59.830074683903106,serial,Fri Jul 01 14:12:13 BST 2016,Fri Jul 01 14:14:13 BST 2016,233.23871771862812,116.61935885931406,Fri Jul 01 14:14:17 BST 2016,Fri Jul 01 14:18:17 BST 2016,465.2307020875707,116.30767552189268,sunflow,Fri Jul 01 14:18:20 BST 2016,Fri Jul 01 14:20:20 BST 2016,179.60003356033735,89.80001678016868,Fri Jul 01 14:20:21 BST 2016,Fri Jul 01 14:24:21 BST 2016,359.8927861354332,89.9731965338583,xml.transform,Fri Jul 01 14:24:42 BST 2016,Fri Jul 01 14:26:42 BST 2016,513.0048244417198,256.5024122208599,Fri Jul 01 14:26:43 BST 2016,Fri Jul 01 14:30:43 BST 2016,1062.3146554887385,265.5786638721846,xml.validation,Fri Jul 01 14:30:44 BST 2016,Fri Jul 01 14:32:44 BST 2016,1020.174415421863,510.0872077109315,Fri Jul 01 14:32:45 BST 2016,Fri Jul 01 14:36:45 BST 2016,2012.090043425188,503.022510856297
