spec.jvm2008.report.run.location=BARN-17
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 21:19:48 BST 2016, end=Fri Jul 01 21:19:48 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 21:19:48 BST 2016, end=Fri Jul 01 21:19:48 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 21:19:48 BST 2016, end=Fri Jul 01 21:20:01 BST 2016, operations=1.0, operationsPerMinute=4.44642063139173
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 21:20:01 BST 2016, end=Fri Jul 01 21:20:05 BST 2016, operations=1.0, operationsPerMinute=16.944365998305564
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 21:20:05 BST 2016, end=Fri Jul 01 21:20:06 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 21:20:06 BST 2016, end=Fri Jul 01 21:20:15 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 21:20:15 BST 2016, end=Fri Jul 01 21:20:22 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 21:20:22 BST 2016, end=Fri Jul 01 21:20:29 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 21:20:29 BST 2016, end=Fri Jul 01 21:20:31 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 21:20:31 BST 2016, end=Fri Jul 01 21:20:32 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 21:20:32 BST 2016, end=Fri Jul 01 21:20:33 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 21:20:33 BST 2016, end=Fri Jul 01 21:20:38 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 21:20:38 BST 2016, end=Fri Jul 01 21:20:40 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 21:20:40 BST 2016, end=Fri Jul 01 21:20:41 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 21:20:41 BST 2016, end=Fri Jul 01 21:20:43 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 21:20:43 BST 2016, end=Fri Jul 01 21:20:49 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 21:20:49 BST 2016, end=Fri Jul 01 21:21:09 BST 2016, operations=1.0, operationsPerMinute=2.9977516862353233
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 21:21:09 BST 2016, end=Fri Jul 01 21:21:10 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 21:21:21 BST 2016, end=Fri Jul 01 21:23:21 BST 2016, operations=486.0454158173743, operationsPerMinute=243.02270790868715, mode=normal, start=Fri Jul 01 21:23:22 BST 2016, end=Fri Jul 01 21:27:22 BST 2016, operations=990.3131894991307, operationsPerMinute=247.57829737478266
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 21:27:26 BST 2016, end=Fri Jul 01 21:29:26 BST 2016, operations=193.7421802399741, operationsPerMinute=96.87109011998704, mode=normal, start=Fri Jul 01 21:29:30 BST 2016, end=Fri Jul 01 21:33:30 BST 2016, operations=390.2647004218912, operationsPerMinute=97.5661751054728
benchmark-name=compress, mod=warmup, start=Fri Jul 01 21:33:33 BST 2016, end=Fri Jul 01 21:35:33 BST 2016, operations=400.41891951077713, operationsPerMinute=200.20945975538856, mode=normal, start=Fri Jul 01 21:35:35 BST 2016, end=Fri Jul 01 21:39:35 BST 2016, operations=799.6144012555834, operationsPerMinute=199.90360031389585
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 21:39:36 BST 2016, end=Fri Jul 01 21:41:36 BST 2016, operations=139.02741640255306, operationsPerMinute=69.51370820127653, mode=normal, start=Fri Jul 01 21:41:41 BST 2016, end=Fri Jul 01 21:45:41 BST 2016, operations=293.926273214766, operationsPerMinute=73.4815683036915
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 21:45:46 BST 2016, end=Fri Jul 01 21:47:46 BST 2016, operations=234.87620081845165, operationsPerMinute=117.43810040922583, mode=normal, start=Fri Jul 01 21:47:48 BST 2016, end=Fri Jul 01 21:51:48 BST 2016, operations=469.16785584608493, operationsPerMinute=117.29196396152123
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 21:51:52 BST 2016, end=Fri Jul 01 21:53:52 BST 2016, operations=405.8957250544097, operationsPerMinute=202.94786252720485, mode=normal, start=Fri Jul 01 21:53:53 BST 2016, end=Fri Jul 01 21:57:53 BST 2016, operations=814.6444444444444, operationsPerMinute=203.6611111111111
benchmark-name=derby, mod=warmup, start=Fri Jul 01 21:58:16 BST 2016, end=Fri Jul 01 22:00:16 BST 2016, operations=360.406796304158, operationsPerMinute=180.203398152079, mode=normal, start=Fri Jul 01 22:00:18 BST 2016, end=Fri Jul 01 22:04:18 BST 2016, operations=726.5296335393878, operationsPerMinute=181.63240838484694
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 22:04:20 BST 2016, end=Fri Jul 01 22:06:20 BST 2016, operations=207.41511913966463, operationsPerMinute=103.70755956983231, mode=normal, start=Fri Jul 01 22:06:23 BST 2016, end=Fri Jul 01 22:10:23 BST 2016, operations=415.34680949625687, operationsPerMinute=103.83670237406422
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 22:10:27 BST 2016, end=Fri Jul 01 22:12:27 BST 2016, operations=73.83420873646284, operationsPerMinute=36.91710436823142, mode=normal, start=Fri Jul 01 22:12:38 BST 2016, end=Fri Jul 01 22:16:38 BST 2016, operations=153.63953479231776, operationsPerMinute=38.40988369807944
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 22:16:45 BST 2016, end=Fri Jul 01 22:18:45 BST 2016, operations=13.885561464140428, operationsPerMinute=6.942780732070214, mode=normal, start=Fri Jul 01 22:19:28 BST 2016, end=Fri Jul 01 22:23:28 BST 2016, operations=27.76673881885207, operationsPerMinute=6.941684704713017
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 22:24:04 BST 2016, end=Fri Jul 01 22:26:04 BST 2016, operations=74.62560761843753, operationsPerMinute=37.312803809218764, mode=normal, start=Fri Jul 01 22:26:13 BST 2016, end=Fri Jul 01 22:30:13 BST 2016, operations=149.14216289579696, operationsPerMinute=37.28554072394924
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 22:30:24 BST 2016, end=Fri Jul 01 22:32:24 BST 2016, operations=42.71570824474434, operationsPerMinute=21.35785412237217, mode=normal, start=Fri Jul 01 22:32:36 BST 2016, end=Fri Jul 01 22:36:36 BST 2016, operations=86.39777317705696, operationsPerMinute=21.59944329426424
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 22:36:48 BST 2016, end=Fri Jul 01 22:38:48 BST 2016, operations=741.6504985754987, operationsPerMinute=370.82524928774933, mode=normal, start=Fri Jul 01 22:38:49 BST 2016, end=Fri Jul 01 22:42:49 BST 2016, operations=1488.092204838636, operationsPerMinute=372.023051209659
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 22:42:50 BST 2016, end=Fri Jul 01 22:44:50 BST 2016, operations=574.0053915813451, operationsPerMinute=287.00269579067253, mode=normal, start=Fri Jul 01 22:44:52 BST 2016, end=Fri Jul 01 22:48:52 BST 2016, operations=1150.6564815242311, operationsPerMinute=287.6641203810578
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 22:48:53 BST 2016, end=Fri Jul 01 22:50:53 BST 2016, operations=330.7384738305811, operationsPerMinute=165.36923691529054, mode=normal, start=Fri Jul 01 22:50:55 BST 2016, end=Fri Jul 01 22:54:55 BST 2016, operations=660.2145368363156, operationsPerMinute=165.0536342090789
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 22:54:57 BST 2016, end=Fri Jul 01 22:56:57 BST 2016, operations=512.1190449646972, operationsPerMinute=256.0595224823486, mode=normal, start=Fri Jul 01 22:56:58 BST 2016, end=Fri Jul 01 23:00:58 BST 2016, operations=1024.5543013749536, operationsPerMinute=256.1385753437384
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 23:01:00 BST 2016, end=Fri Jul 01 23:03:00 BST 2016, operations=119.41211765902261, operationsPerMinute=59.706058829511306, mode=normal, start=Fri Jul 01 23:03:06 BST 2016, end=Fri Jul 01 23:07:06 BST 2016, operations=238.54632636192446, operationsPerMinute=59.636581590481114
benchmark-name=serial, mod=warmup, start=Fri Jul 01 23:07:11 BST 2016, end=Fri Jul 01 23:09:11 BST 2016, operations=243.74281413884654, operationsPerMinute=121.87140706942327, mode=normal, start=Fri Jul 01 23:09:15 BST 2016, end=Fri Jul 01 23:13:15 BST 2016, operations=466.05878986844334, operationsPerMinute=116.51469746711084
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 23:13:19 BST 2016, end=Fri Jul 01 23:15:19 BST 2016, operations=178.1295275262329, operationsPerMinute=89.06476376311645, mode=normal, start=Fri Jul 01 23:15:20 BST 2016, end=Fri Jul 01 23:19:20 BST 2016, operations=358.83219249975616, operationsPerMinute=89.70804812493904
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 23:19:41 BST 2016, end=Fri Jul 01 23:21:41 BST 2016, operations=496.692875830142, operationsPerMinute=248.346437915071, mode=normal, start=Fri Jul 01 23:21:43 BST 2016, end=Fri Jul 01 23:25:43 BST 2016, operations=1053.153271539545, operationsPerMinute=263.2883178848862
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 23:25:44 BST 2016, end=Fri Jul 01 23:27:44 BST 2016, operations=1033.1146828136125, operationsPerMinute=516.5573414068062, mode=normal, start=Fri Jul 01 23:27:45 BST 2016, end=Fri Jul 01 23:31:45 BST 2016, operations=2000.5385804068826, operationsPerMinute=500.13464510172065
##-nursultan-##,BARN-17,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 21:19:48 BST 2016,Fri Jul 01 21:19:48 BST 2016,1.0,1276.595744680851,startup.helloworld,Fri Jul 01 21:19:48 BST 2016,Fri Jul 01 21:19:48 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Fri Jul 01 21:19:48 BST 2016,Fri Jul 01 21:20:01 BST 2016,1.0,4.44642063139173,startup.compiler.sunflow,Fri Jul 01 21:20:01 BST 2016,Fri Jul 01 21:20:05 BST 2016,1.0,16.944365998305564,startup.compress,Fri Jul 01 21:20:05 BST 2016,Fri Jul 01 21:20:06 BST 2016,1.0,47.50593824228029,startup.crypto.aes,Fri Jul 01 21:20:06 BST 2016,Fri Jul 01 21:20:15 BST 2016,1.0,7.082989021367017,startup.crypto.rsa,Fri Jul 01 21:20:15 BST 2016,Fri Jul 01 21:20:22 BST 2016,1.0,8.079719903043362,startup.crypto.signverify,Fri Jul 01 21:20:22 BST 2016,Fri Jul 01 21:20:29 BST 2016,1.0,9.179926560587516,startup.mpegaudio,Fri Jul 01 21:20:29 BST 2016,Fri Jul 01 21:20:31 BST 2016,1.0,26.52519893899204,startup.scimark.fft,Fri Jul 01 21:20:31 BST 2016,Fri Jul 01 21:20:32 BST 2016,1.0,83.56545961002786,startup.scimark.lu,Fri Jul 01 21:20:32 BST 2016,Fri Jul 01 21:20:33 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Fri Jul 01 21:20:33 BST 2016,Fri Jul 01 21:20:38 BST 2016,1.0,10.865628395508873,startup.scimark.sor,Fri Jul 01 21:20:38 BST 2016,Fri Jul 01 21:20:40 BST 2016,1.0,41.81184668989547,startup.scimark.sparse,Fri Jul 01 21:20:40 BST 2016,Fri Jul 01 21:20:41 BST 2016,1.0,61.03763987792472,startup.serial,Fri Jul 01 21:20:41 BST 2016,Fri Jul 01 21:20:43 BST 2016,1.0,28.694404591104735,startup.sunflow,Fri Jul 01 21:20:43 BST 2016,Fri Jul 01 21:20:49 BST 2016,1.0,9.358914365933552,startup.xml.transform,Fri Jul 01 21:20:49 BST 2016,Fri Jul 01 21:21:09 BST 2016,1.0,2.9977516862353233,startup.xml.validation,Fri Jul 01 21:21:09 BST 2016,Fri Jul 01 21:21:10 BST 2016,1.0,75.37688442211055,compiler.compiler,Fri Jul 01 21:21:21 BST 2016,Fri Jul 01 21:23:21 BST 2016,486.0454158173743,243.02270790868715,Fri Jul 01 21:23:22 BST 2016,Fri Jul 01 21:27:22 BST 2016,990.3131894991307,247.57829737478266,compiler.sunflow,Fri Jul 01 21:27:26 BST 2016,Fri Jul 01 21:29:26 BST 2016,193.7421802399741,96.87109011998704,Fri Jul 01 21:29:30 BST 2016,Fri Jul 01 21:33:30 BST 2016,390.2647004218912,97.5661751054728,compress,Fri Jul 01 21:33:33 BST 2016,Fri Jul 01 21:35:33 BST 2016,400.41891951077713,200.20945975538856,Fri Jul 01 21:35:35 BST 2016,Fri Jul 01 21:39:35 BST 2016,799.6144012555834,199.90360031389585,crypto.aes,Fri Jul 01 21:39:36 BST 2016,Fri Jul 01 21:41:36 BST 2016,139.02741640255306,69.51370820127653,Fri Jul 01 21:41:41 BST 2016,Fri Jul 01 21:45:41 BST 2016,293.926273214766,73.4815683036915,crypto.rsa,Fri Jul 01 21:45:46 BST 2016,Fri Jul 01 21:47:46 BST 2016,234.87620081845165,117.43810040922583,Fri Jul 01 21:47:48 BST 2016,Fri Jul 01 21:51:48 BST 2016,469.16785584608493,117.29196396152123,crypto.signverify,Fri Jul 01 21:51:52 BST 2016,Fri Jul 01 21:53:52 BST 2016,405.8957250544097,202.94786252720485,Fri Jul 01 21:53:53 BST 2016,Fri Jul 01 21:57:53 BST 2016,814.6444444444444,203.6611111111111,derby,Fri Jul 01 21:58:16 BST 2016,Fri Jul 01 22:00:16 BST 2016,360.406796304158,180.203398152079,Fri Jul 01 22:00:18 BST 2016,Fri Jul 01 22:04:18 BST 2016,726.5296335393878,181.63240838484694,mpegaudio,Fri Jul 01 22:04:20 BST 2016,Fri Jul 01 22:06:20 BST 2016,207.41511913966463,103.70755956983231,Fri Jul 01 22:06:23 BST 2016,Fri Jul 01 22:10:23 BST 2016,415.34680949625687,103.83670237406422,scimark.fft.large,Fri Jul 01 22:10:27 BST 2016,Fri Jul 01 22:12:27 BST 2016,73.83420873646284,36.91710436823142,Fri Jul 01 22:12:38 BST 2016,Fri Jul 01 22:16:38 BST 2016,153.63953479231776,38.40988369807944,scimark.lu.large,Fri Jul 01 22:16:45 BST 2016,Fri Jul 01 22:18:45 BST 2016,13.885561464140428,6.942780732070214,Fri Jul 01 22:19:28 BST 2016,Fri Jul 01 22:23:28 BST 2016,27.76673881885207,6.941684704713017,scimark.sor.large,Fri Jul 01 22:24:04 BST 2016,Fri Jul 01 22:26:04 BST 2016,74.62560761843753,37.312803809218764,Fri Jul 01 22:26:13 BST 2016,Fri Jul 01 22:30:13 BST 2016,149.14216289579696,37.28554072394924,scimark.sparse.large,Fri Jul 01 22:30:24 BST 2016,Fri Jul 01 22:32:24 BST 2016,42.71570824474434,21.35785412237217,Fri Jul 01 22:32:36 BST 2016,Fri Jul 01 22:36:36 BST 2016,86.39777317705696,21.59944329426424,scimark.fft.small,Fri Jul 01 22:36:48 BST 2016,Fri Jul 01 22:38:48 BST 2016,741.6504985754987,370.82524928774933,Fri Jul 01 22:38:49 BST 2016,Fri Jul 01 22:42:49 BST 2016,1488.092204838636,372.023051209659,scimark.lu.small,Fri Jul 01 22:42:50 BST 2016,Fri Jul 01 22:44:50 BST 2016,574.0053915813451,287.00269579067253,Fri Jul 01 22:44:52 BST 2016,Fri Jul 01 22:48:52 BST 2016,1150.6564815242311,287.6641203810578,scimark.sor.small,Fri Jul 01 22:48:53 BST 2016,Fri Jul 01 22:50:53 BST 2016,330.7384738305811,165.36923691529054,Fri Jul 01 22:50:55 BST 2016,Fri Jul 01 22:54:55 BST 2016,660.2145368363156,165.0536342090789,scimark.sparse.small,Fri Jul 01 22:54:57 BST 2016,Fri Jul 01 22:56:57 BST 2016,512.1190449646972,256.0595224823486,Fri Jul 01 22:56:58 BST 2016,Fri Jul 01 23:00:58 BST 2016,1024.5543013749536,256.1385753437384,scimark.monte_carlo,Fri Jul 01 23:01:00 BST 2016,Fri Jul 01 23:03:00 BST 2016,119.41211765902261,59.706058829511306,Fri Jul 01 23:03:06 BST 2016,Fri Jul 01 23:07:06 BST 2016,238.54632636192446,59.636581590481114,serial,Fri Jul 01 23:07:11 BST 2016,Fri Jul 01 23:09:11 BST 2016,243.74281413884654,121.87140706942327,Fri Jul 01 23:09:15 BST 2016,Fri Jul 01 23:13:15 BST 2016,466.05878986844334,116.51469746711084,sunflow,Fri Jul 01 23:13:19 BST 2016,Fri Jul 01 23:15:19 BST 2016,178.1295275262329,89.06476376311645,Fri Jul 01 23:15:20 BST 2016,Fri Jul 01 23:19:20 BST 2016,358.83219249975616,89.70804812493904,xml.transform,Fri Jul 01 23:19:41 BST 2016,Fri Jul 01 23:21:41 BST 2016,496.692875830142,248.346437915071,Fri Jul 01 23:21:43 BST 2016,Fri Jul 01 23:25:43 BST 2016,1053.153271539545,263.2883178848862,xml.validation,Fri Jul 01 23:25:44 BST 2016,Fri Jul 01 23:27:44 BST 2016,1033.1146828136125,516.5573414068062,Fri Jul 01 23:27:45 BST 2016,Fri Jul 01 23:31:45 BST 2016,2000.5385804068826,500.13464510172065
