spec.jvm2008.report.run.location=ROBLIB005
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:09 BST 2016, end=Thu May 26 14:21:09 BST 2016, operations=1.0, operationsPerMinute=800.0
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:09 BST 2016, end=Thu May 26 14:21:09 BST 2016, operations=1.0, operationsPerMinute=104.71204188481676
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:09 BST 2016, end=Thu May 26 14:21:30 BST 2016, operations=1.0, operationsPerMinute=2.9424746211563924
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:30 BST 2016, end=Thu May 26 14:21:35 BST 2016, operations=1.0, operationsPerMinute=11.928429423459244
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:35 BST 2016, end=Thu May 26 14:21:36 BST 2016, operations=1.0, operationsPerMinute=39.682539682539684
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:45 BST 2016, operations=1.0, operationsPerMinute=6.467608062951385
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:45 BST 2016, end=Thu May 26 14:21:53 BST 2016, operations=1.0, operationsPerMinute=7.787151200519143
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:53 BST 2016, end=Thu May 26 14:22:00 BST 2016, operations=1.0, operationsPerMinute=8.85608856088561
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:00 BST 2016, end=Thu May 26 14:22:03 BST 2016, operations=1.0, operationsPerMinute=20.100502512562816
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:03 BST 2016, end=Thu May 26 14:22:04 BST 2016, operations=1.0, operationsPerMinute=62.5
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:04 BST 2016, end=Thu May 26 14:22:05 BST 2016, operations=1.0, operationsPerMinute=50.2092050209205
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:05 BST 2016, end=Thu May 26 14:22:12 BST 2016, operations=1.0, operationsPerMinute=9.06344410876133
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:12 BST 2016, end=Thu May 26 14:22:13 BST 2016, operations=1.0, operationsPerMinute=36.03603603603604
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:13 BST 2016, end=Thu May 26 14:22:15 BST 2016, operations=1.0, operationsPerMinute=48.19277108433735
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:15 BST 2016, end=Thu May 26 14:22:17 BST 2016, operations=1.0, operationsPerMinute=20.957038071952496
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:17 BST 2016, end=Thu May 26 14:22:24 BST 2016, operations=1.0, operationsPerMinute=8.71206621170321
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:24 BST 2016, end=Thu May 26 14:22:51 BST 2016, operations=1.0, operationsPerMinute=2.26466369744093
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:51 BST 2016, end=Thu May 26 14:22:52 BST 2016, operations=1.0, operationsPerMinute=41.95804195804196
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:06 BST 2016, end=Thu May 26 14:25:06 BST 2016, operations=391.9732473651734, operationsPerMinute=195.9866236825867, mode=normal, start=Thu May 26 14:25:07 BST 2016, end=Thu May 26 14:29:07 BST 2016, operations=790.1593640453718, operationsPerMinute=197.53984101134296
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:13 BST 2016, end=Thu May 26 14:31:13 BST 2016, operations=159.9875276304034, operationsPerMinute=79.9937638152017, mode=normal, start=Thu May 26 14:31:17 BST 2016, end=Thu May 26 14:35:17 BST 2016, operations=313.4708180854731, operationsPerMinute=78.36770452136828
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:21 BST 2016, end=Thu May 26 14:37:21 BST 2016, operations=334.18066401184075, operationsPerMinute=167.09033200592037, mode=normal, start=Thu May 26 14:37:24 BST 2016, end=Thu May 26 14:41:24 BST 2016, operations=666.9546216350464, operationsPerMinute=166.7386554087616
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:26 BST 2016, end=Thu May 26 14:43:26 BST 2016, operations=111.45166403836942, operationsPerMinute=55.72583201918471, mode=normal, start=Thu May 26 14:43:33 BST 2016, end=Thu May 26 14:47:33 BST 2016, operations=235.29781672113955, operationsPerMinute=58.82445418028489
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:40 BST 2016, end=Thu May 26 14:49:40 BST 2016, operations=196.82096473187732, operationsPerMinute=98.41048236593866, mode=normal, start=Thu May 26 14:49:43 BST 2016, end=Thu May 26 14:53:43 BST 2016, operations=393.37488756869845, operationsPerMinute=98.34372189217461
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:53:47 BST 2016, end=Thu May 26 14:55:47 BST 2016, operations=328.26390938923464, operationsPerMinute=164.13195469461732, mode=normal, start=Thu May 26 14:55:49 BST 2016, end=Thu May 26 14:59:49 BST 2016, operations=652.9333673419969, operationsPerMinute=163.23334183549923
benchmark-name=derby, mod=warmup, start=Thu May 26 15:00:50 BST 2016, end=Thu May 26 15:02:50 BST 2016, operations=248.23045015476143, operationsPerMinute=124.11522507738071, mode=normal, start=Thu May 26 15:02:53 BST 2016, end=Thu May 26 15:06:53 BST 2016, operations=502.32137651268613, operationsPerMinute=125.58034412817153
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:06:56 BST 2016, end=Thu May 26 15:08:56 BST 2016, operations=164.6761705158024, operationsPerMinute=82.3380852579012, mode=normal, start=Thu May 26 15:09:00 BST 2016, end=Thu May 26 15:13:00 BST 2016, operations=323.45252687739503, operationsPerMinute=80.86313171934876
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:13:05 BST 2016, end=Thu May 26 15:15:05 BST 2016, operations=120.67315074142971, operationsPerMinute=60.336575370714854, mode=normal, start=Thu May 26 15:15:09 BST 2016, end=Thu May 26 15:19:09 BST 2016, operations=238.78730920552147, operationsPerMinute=59.69682730138037
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:19:15 BST 2016, end=Thu May 26 15:21:15 BST 2016, operations=24.832770007246197, operationsPerMinute=12.416385003623098, mode=normal, start=Thu May 26 15:21:40 BST 2016, end=Thu May 26 15:25:40 BST 2016, operations=49.856339235379856, operationsPerMinute=12.464084808844964
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:26:06 BST 2016, end=Thu May 26 15:28:06 BST 2016, operations=68.00223601793795, operationsPerMinute=34.00111800896897, mode=normal, start=Thu May 26 15:28:19 BST 2016, end=Thu May 26 15:32:19 BST 2016, operations=135.082353439977, operationsPerMinute=33.77058835999425
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:32:28 BST 2016, end=Thu May 26 15:34:28 BST 2016, operations=79.91013199810875, operationsPerMinute=39.955065999054376, mode=normal, start=Thu May 26 15:34:38 BST 2016, end=Thu May 26 15:38:38 BST 2016, operations=159.71022876326643, operationsPerMinute=39.92755719081661
