spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 20:02:49 BST 2016, end=Tue Jul 05 20:02:49 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 20:02:49 BST 2016, end=Tue Jul 05 20:02:49 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 20:02:49 BST 2016, end=Tue Jul 05 20:03:04 BST 2016, operations=1.0, operationsPerMinute=3.9489272081084636
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 20:03:04 BST 2016, end=Tue Jul 05 20:03:07 BST 2016, operations=1.0, operationsPerMinute=17.72002362669817
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 20:03:07 BST 2016, end=Tue Jul 05 20:03:09 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 20:03:09 BST 2016, end=Tue Jul 05 20:03:17 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 20:03:17 BST 2016, end=Tue Jul 05 20:03:25 BST 2016, operations=1.0, operationsPerMinute=8.114687584527996
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 20:03:25 BST 2016, end=Tue Jul 05 20:03:31 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 20:03:31 BST 2016, end=Tue Jul 05 20:03:33 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 20:03:33 BST 2016, end=Tue Jul 05 20:03:34 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 20:03:34 BST 2016, end=Tue Jul 05 20:03:35 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 20:03:35 BST 2016, end=Tue Jul 05 20:03:40 BST 2016, operations=1.0, operationsPerMinute=10.95890410958904
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 20:03:40 BST 2016, end=Tue Jul 05 20:03:42 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 20:03:42 BST 2016, end=Tue Jul 05 20:03:43 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 20:03:43 BST 2016, end=Tue Jul 05 20:03:45 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 20:03:45 BST 2016, end=Tue Jul 05 20:03:51 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 20:03:51 BST 2016, end=Tue Jul 05 20:04:11 BST 2016, operations=1.0, operationsPerMinute=2.990877822640945
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 20:04:11 BST 2016, end=Tue Jul 05 20:04:12 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 20:04:24 BST 2016, end=Tue Jul 05 20:06:24 BST 2016, operations=487.2207693094133, operationsPerMinute=243.61038465470665, mode=normal, start=Tue Jul 05 20:06:25 BST 2016, end=Tue Jul 05 20:10:25 BST 2016, operations=1025.8977232680268, operationsPerMinute=256.4744308170067
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 20:10:29 BST 2016, end=Tue Jul 05 20:12:29 BST 2016, operations=201.03869764704947, operationsPerMinute=100.51934882352474, mode=normal, start=Tue Jul 05 20:12:33 BST 2016, end=Tue Jul 05 20:16:33 BST 2016, operations=397.40044935805423, operationsPerMinute=99.35011233951356
benchmark-name=compress, mod=warmup, start=Tue Jul 05 20:16:36 BST 2016, end=Tue Jul 05 20:18:36 BST 2016, operations=400.01676418402604, operationsPerMinute=200.00838209201302, mode=normal, start=Tue Jul 05 20:18:38 BST 2016, end=Tue Jul 05 20:22:38 BST 2016, operations=799.948470972306, operationsPerMinute=199.9871177430765
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 20:22:40 BST 2016, end=Tue Jul 05 20:24:40 BST 2016, operations=138.98877415873284, operationsPerMinute=69.49438707936642, mode=normal, start=Tue Jul 05 20:24:44 BST 2016, end=Tue Jul 05 20:28:44 BST 2016, operations=293.8332471814051, operationsPerMinute=73.45831179535128
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 20:28:49 BST 2016, end=Tue Jul 05 20:30:49 BST 2016, operations=237.32085233094122, operationsPerMinute=118.66042616547061, mode=normal, start=Tue Jul 05 20:30:52 BST 2016, end=Tue Jul 05 20:34:52 BST 2016, operations=473.46842169845286, operationsPerMinute=118.36710542461321
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 20:34:55 BST 2016, end=Tue Jul 05 20:36:55 BST 2016, operations=407.5903484373973, operationsPerMinute=203.79517421869866, mode=normal, start=Tue Jul 05 20:36:57 BST 2016, end=Tue Jul 05 20:40:57 BST 2016, operations=816.0539218136182, operationsPerMinute=204.01348045340455
benchmark-name=derby, mod=warmup, start=Tue Jul 05 20:41:39 BST 2016, end=Tue Jul 05 20:43:39 BST 2016, operations=363.3291402634914, operationsPerMinute=181.6645701317457, mode=normal, start=Tue Jul 05 20:43:40 BST 2016, end=Tue Jul 05 20:47:40 BST 2016, operations=728.7664414307627, operationsPerMinute=182.19161035769068
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 20:47:43 BST 2016, end=Tue Jul 05 20:49:43 BST 2016, operations=208.29609268719108, operationsPerMinute=104.14804634359554, mode=normal, start=Tue Jul 05 20:49:46 BST 2016, end=Tue Jul 05 20:53:46 BST 2016, operations=416.7805217780208, operationsPerMinute=104.1951304445052
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 20:53:50 BST 2016, end=Tue Jul 05 20:55:50 BST 2016, operations=70.94831450190932, operationsPerMinute=35.47415725095466, mode=normal, start=Tue Jul 05 20:55:59 BST 2016, end=Tue Jul 05 20:59:59 BST 2016, operations=156.88881535736283, operationsPerMinute=39.22220383934071
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 21:00:07 BST 2016, end=Tue Jul 05 21:02:07 BST 2016, operations=13.773523125594192, operationsPerMinute=6.886761562797096, mode=normal, start=Tue Jul 05 21:02:52 BST 2016, end=Tue Jul 05 21:06:52 BST 2016, operations=27.87174803659899, operationsPerMinute=6.967937009149748
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 21:07:27 BST 2016, end=Tue Jul 05 21:09:27 BST 2016, operations=74.74011181603399, operationsPerMinute=37.370055908016994, mode=normal, start=Tue Jul 05 21:09:35 BST 2016, end=Tue Jul 05 21:13:35 BST 2016, operations=149.27185469456728, operationsPerMinute=37.31796367364182
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 21:13:46 BST 2016, end=Tue Jul 05 21:15:46 BST 2016, operations=42.96027062546661, operationsPerMinute=21.480135312733307, mode=normal, start=Tue Jul 05 21:15:58 BST 2016, end=Tue Jul 05 21:19:58 BST 2016, operations=85.8313815860763, operationsPerMinute=21.457845396519076
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jul 05 21:20:12 BST 2016, end=Tue Jul 05 21:22:12 BST 2016, operations=701.6745854869513, operationsPerMinute=350.83729274347564, mode=normal, start=Tue Jul 05 21:22:13 BST 2016, end=Tue Jul 05 21:26:13 BST 2016, operations=1468.8456966468766, operationsPerMinute=367.21142416171915
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jul 05 21:26:14 BST 2016, end=Tue Jul 05 21:28:14 BST 2016, operations=576.6887954314541, operationsPerMinute=288.34439771572704, mode=normal, start=Tue Jul 05 21:28:16 BST 2016, end=Tue Jul 05 21:32:16 BST 2016, operations=1130.8730530521666, operationsPerMinute=282.71826326304165
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jul 05 21:32:17 BST 2016, end=Tue Jul 05 21:34:17 BST 2016, operations=330.19906856134963, operationsPerMinute=165.09953428067482, mode=normal, start=Tue Jul 05 21:34:19 BST 2016, end=Tue Jul 05 21:38:19 BST 2016, operations=660.6632655607793, operationsPerMinute=165.16581639019483
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jul 05 21:38:21 BST 2016, end=Tue Jul 05 21:40:21 BST 2016, operations=504.08159355965927, operationsPerMinute=252.04079677982963, mode=normal, start=Tue Jul 05 21:40:22 BST 2016, end=Tue Jul 05 21:44:22 BST 2016, operations=1021.176389786684, operationsPerMinute=255.294097446671
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jul 05 21:44:23 BST 2016, end=Tue Jul 05 21:46:23 BST 2016, operations=119.83255837520629, operationsPerMinute=59.916279187603145, mode=normal, start=Tue Jul 05 21:46:31 BST 2016, end=Tue Jul 05 21:50:31 BST 2016, operations=239.03454521838106, operationsPerMinute=59.758636304595264
benchmark-name=serial, mod=warmup, start=Tue Jul 05 21:50:37 BST 2016, end=Tue Jul 05 21:52:37 BST 2016, operations=237.61626820948635, operationsPerMinute=118.80813410474317, mode=normal, start=Tue Jul 05 21:52:41 BST 2016, end=Tue Jul 05 21:56:41 BST 2016, operations=470.84744041754715, operationsPerMinute=117.71186010438679
benchmark-name=sunflow, mod=warmup, start=Tue Jul 05 21:56:44 BST 2016, end=Tue Jul 05 21:58:44 BST 2016, operations=179.9844703047648, operationsPerMinute=89.9922351523824, mode=normal, start=Tue Jul 05 21:58:46 BST 2016, end=Tue Jul 05 22:02:46 BST 2016, operations=357.7474903474904, operationsPerMinute=89.4368725868726
benchmark-name=xml.transform, mod=warmup, start=Tue Jul 05 22:03:07 BST 2016, end=Tue Jul 05 22:05:07 BST 2016, operations=485.7079674048276, operationsPerMinute=242.8539837024138, mode=normal, start=Tue Jul 05 22:05:08 BST 2016, end=Tue Jul 05 22:09:08 BST 2016, operations=1018.8048170818922, operationsPerMinute=254.70120427047306
benchmark-name=xml.validation, mod=warmup, start=Tue Jul 05 22:09:10 BST 2016, end=Tue Jul 05 22:11:10 BST 2016, operations=1010.4035646568968, operationsPerMinute=505.2017823284484, mode=normal, start=Tue Jul 05 22:11:10 BST 2016, end=Tue Jul 05 22:15:10 BST 2016, operations=2014.2785427908939, operationsPerMinute=503.56963569772347
##-nursultan-##,GREY-05,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Tue Jul 05 20:02:49 BST 2016,Tue Jul 05 20:02:49 BST 2016,1.0,1304.3478260869565,startup.helloworld,Tue Jul 05 20:02:49 BST 2016,Tue Jul 05 20:02:49 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Tue Jul 05 20:02:49 BST 2016,Tue Jul 05 20:03:04 BST 2016,1.0,3.9489272081084636,startup.compiler.sunflow,Tue Jul 05 20:03:04 BST 2016,Tue Jul 05 20:03:07 BST 2016,1.0,17.72002362669817,startup.compress,Tue Jul 05 20:03:07 BST 2016,Tue Jul 05 20:03:09 BST 2016,1.0,48.07692307692308,startup.crypto.aes,Tue Jul 05 20:03:09 BST 2016,Tue Jul 05 20:03:17 BST 2016,1.0,7.122507122507122,startup.crypto.rsa,Tue Jul 05 20:03:17 BST 2016,Tue Jul 05 20:03:25 BST 2016,1.0,8.114687584527996,startup.crypto.signverify,Tue Jul 05 20:03:25 BST 2016,Tue Jul 05 20:03:31 BST 2016,1.0,9.114385538508278,startup.mpegaudio,Tue Jul 05 20:03:31 BST 2016,Tue Jul 05 20:03:33 BST 2016,1.0,26.89376961004034,startup.scimark.fft,Tue Jul 05 20:03:33 BST 2016,Tue Jul 05 20:03:34 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Tue Jul 05 20:03:34 BST 2016,Tue Jul 05 20:03:35 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Tue Jul 05 20:03:35 BST 2016,Tue Jul 05 20:03:40 BST 2016,1.0,10.95890410958904,startup.scimark.sor,Tue Jul 05 20:03:40 BST 2016,Tue Jul 05 20:03:42 BST 2016,1.0,42.73504273504273,startup.scimark.sparse,Tue Jul 05 20:03:42 BST 2016,Tue Jul 05 20:03:43 BST 2016,1.0,61.03763987792472,startup.serial,Tue Jul 05 20:03:43 BST 2016,Tue Jul 05 20:03:45 BST 2016,1.0,28.694404591104735,startup.sunflow,Tue Jul 05 20:03:45 BST 2016,Tue Jul 05 20:03:51 BST 2016,1.0,9.380863039399625,startup.xml.transform,Tue Jul 05 20:03:51 BST 2016,Tue Jul 05 20:04:11 BST 2016,1.0,2.990877822640945,startup.xml.validation,Tue Jul 05 20:04:11 BST 2016,Tue Jul 05 20:04:12 BST 2016,1.0,75.37688442211055,compiler.compiler,Tue Jul 05 20:04:24 BST 2016,Tue Jul 05 20:06:24 BST 2016,487.2207693094133,243.61038465470665,Tue Jul 05 20:06:25 BST 2016,Tue Jul 05 20:10:25 BST 2016,1025.8977232680268,256.4744308170067,compiler.sunflow,Tue Jul 05 20:10:29 BST 2016,Tue Jul 05 20:12:29 BST 2016,201.03869764704947,100.51934882352474,Tue Jul 05 20:12:33 BST 2016,Tue Jul 05 20:16:33 BST 2016,397.40044935805423,99.35011233951356,compress,Tue Jul 05 20:16:36 BST 2016,Tue Jul 05 20:18:36 BST 2016,400.01676418402604,200.00838209201302,Tue Jul 05 20:18:38 BST 2016,Tue Jul 05 20:22:38 BST 2016,799.948470972306,199.9871177430765,crypto.aes,Tue Jul 05 20:22:40 BST 2016,Tue Jul 05 20:24:40 BST 2016,138.98877415873284,69.49438707936642,Tue Jul 05 20:24:44 BST 2016,Tue Jul 05 20:28:44 BST 2016,293.8332471814051,73.45831179535128,crypto.rsa,Tue Jul 05 20:28:49 BST 2016,Tue Jul 05 20:30:49 BST 2016,237.32085233094122,118.66042616547061,Tue Jul 05 20:30:52 BST 2016,Tue Jul 05 20:34:52 BST 2016,473.46842169845286,118.36710542461321,crypto.signverify,Tue Jul 05 20:34:55 BST 2016,Tue Jul 05 20:36:55 BST 2016,407.5903484373973,203.79517421869866,Tue Jul 05 20:36:57 BST 2016,Tue Jul 05 20:40:57 BST 2016,816.0539218136182,204.01348045340455,derby,Tue Jul 05 20:41:39 BST 2016,Tue Jul 05 20:43:39 BST 2016,363.3291402634914,181.6645701317457,Tue Jul 05 20:43:40 BST 2016,Tue Jul 05 20:47:40 BST 2016,728.7664414307627,182.19161035769068,mpegaudio,Tue Jul 05 20:47:43 BST 2016,Tue Jul 05 20:49:43 BST 2016,208.29609268719108,104.14804634359554,Tue Jul 05 20:49:46 BST 2016,Tue Jul 05 20:53:46 BST 2016,416.7805217780208,104.1951304445052,scimark.fft.large,Tue Jul 05 20:53:50 BST 2016,Tue Jul 05 20:55:50 BST 2016,70.94831450190932,35.47415725095466,Tue Jul 05 20:55:59 BST 2016,Tue Jul 05 20:59:59 BST 2016,156.88881535736283,39.22220383934071,scimark.lu.large,Tue Jul 05 21:00:07 BST 2016,Tue Jul 05 21:02:07 BST 2016,13.773523125594192,6.886761562797096,Tue Jul 05 21:02:52 BST 2016,Tue Jul 05 21:06:52 BST 2016,27.87174803659899,6.967937009149748,scimark.sor.large,Tue Jul 05 21:07:27 BST 2016,Tue Jul 05 21:09:27 BST 2016,74.74011181603399,37.370055908016994,Tue Jul 05 21:09:35 BST 2016,Tue Jul 05 21:13:35 BST 2016,149.27185469456728,37.31796367364182,scimark.sparse.large,Tue Jul 05 21:13:46 BST 2016,Tue Jul 05 21:15:46 BST 2016,42.96027062546661,21.480135312733307,Tue Jul 05 21:15:58 BST 2016,Tue Jul 05 21:19:58 BST 2016,85.8313815860763,21.457845396519076,scimark.fft.small,Tue Jul 05 21:20:12 BST 2016,Tue Jul 05 21:22:12 BST 2016,701.6745854869513,350.83729274347564,Tue Jul 05 21:22:13 BST 2016,Tue Jul 05 21:26:13 BST 2016,1468.8456966468766,367.21142416171915,scimark.lu.small,Tue Jul 05 21:26:14 BST 2016,Tue Jul 05 21:28:14 BST 2016,576.6887954314541,288.34439771572704,Tue Jul 05 21:28:16 BST 2016,Tue Jul 05 21:32:16 BST 2016,1130.8730530521666,282.71826326304165,scimark.sor.small,Tue Jul 05 21:32:17 BST 2016,Tue Jul 05 21:34:17 BST 2016,330.19906856134963,165.09953428067482,Tue Jul 05 21:34:19 BST 2016,Tue Jul 05 21:38:19 BST 2016,660.6632655607793,165.16581639019483,scimark.sparse.small,Tue Jul 05 21:38:21 BST 2016,Tue Jul 05 21:40:21 BST 2016,504.08159355965927,252.04079677982963,Tue Jul 05 21:40:22 BST 2016,Tue Jul 05 21:44:22 BST 2016,1021.176389786684,255.294097446671,scimark.monte_carlo,Tue Jul 05 21:44:23 BST 2016,Tue Jul 05 21:46:23 BST 2016,119.83255837520629,59.916279187603145,Tue Jul 05 21:46:31 BST 2016,Tue Jul 05 21:50:31 BST 2016,239.03454521838106,59.758636304595264,serial,Tue Jul 05 21:50:37 BST 2016,Tue Jul 05 21:52:37 BST 2016,237.61626820948635,118.80813410474317,Tue Jul 05 21:52:41 BST 2016,Tue Jul 05 21:56:41 BST 2016,470.84744041754715,117.71186010438679,sunflow,Tue Jul 05 21:56:44 BST 2016,Tue Jul 05 21:58:44 BST 2016,179.9844703047648,89.9922351523824,Tue Jul 05 21:58:46 BST 2016,Tue Jul 05 22:02:46 BST 2016,357.7474903474904,89.4368725868726,xml.transform,Tue Jul 05 22:03:07 BST 2016,Tue Jul 05 22:05:07 BST 2016,485.7079674048276,242.8539837024138,Tue Jul 05 22:05:08 BST 2016,Tue Jul 05 22:09:08 BST 2016,1018.8048170818922,254.70120427047306,xml.validation,Tue Jul 05 22:09:10 BST 2016,Tue Jul 05 22:11:10 BST 2016,1010.4035646568968,505.2017823284484,Tue Jul 05 22:11:10 BST 2016,Tue Jul 05 22:15:10 BST 2016,2014.2785427908939,503.56963569772347
