spec.jvm2008.report.run.location=LAW054
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Mon Jun 27 11:46:31 BST 2016, end=Mon Jun 27 11:46:31 BST 2016, operations=1.0, operationsPerMinute=923.0769230769231
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 11:46:31 BST 2016, end=Mon Jun 27 11:46:31 BST 2016, operations=1.0, operationsPerMinute=461.53846153846155
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 11:46:31 BST 2016, end=Mon Jun 27 11:46:49 BST 2016, operations=1.0, operationsPerMinute=3.3755274261603376
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 11:46:49 BST 2016, end=Mon Jun 27 11:46:53 BST 2016, operations=1.0, operationsPerMinute=14.120969639915273
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 11:46:53 BST 2016, end=Mon Jun 27 11:46:55 BST 2016, operations=1.0, operationsPerMinute=42.342978122794634
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 11:46:55 BST 2016, end=Mon Jun 27 11:47:04 BST 2016, operations=1.0, operationsPerMinute=6.6130276644990635
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 11:47:04 BST 2016, end=Mon Jun 27 11:47:12 BST 2016, operations=1.0, operationsPerMinute=7.734949078251901
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 11:47:12 BST 2016, end=Mon Jun 27 11:47:18 BST 2016, operations=1.0, operationsPerMinute=9.099181073703367
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 11:47:18 BST 2016, end=Mon Jun 27 11:47:21 BST 2016, operations=1.0, operationsPerMinute=22.156573116691284
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 11:47:21 BST 2016, end=Mon Jun 27 11:47:22 BST 2016, operations=1.0, operationsPerMinute=62.82722513089005
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 11:47:22 BST 2016, end=Mon Jun 27 11:47:23 BST 2016, operations=1.0, operationsPerMinute=54.39709882139619
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 11:47:23 BST 2016, end=Mon Jun 27 11:47:29 BST 2016, operations=1.0, operationsPerMinute=9.7624471200781
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 11:47:29 BST 2016, end=Mon Jun 27 11:47:31 BST 2016, operations=1.0, operationsPerMinute=38.21656050955414
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 11:47:31 BST 2016, end=Mon Jun 27 11:47:32 BST 2016, operations=1.0, operationsPerMinute=51.94805194805195
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 11:47:32 BST 2016, end=Mon Jun 27 11:47:34 BST 2016, operations=1.0, operationsPerMinute=22.471910112359552
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 11:47:34 BST 2016, end=Mon Jun 27 11:47:41 BST 2016, operations=1.0, operationsPerMinute=9.161704076958314
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 11:47:41 BST 2016, end=Mon Jun 27 11:48:05 BST 2016, operations=1.0, operationsPerMinute=2.4569018467712214
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 11:48:05 BST 2016, end=Mon Jun 27 11:48:07 BST 2016, operations=1.0, operationsPerMinute=53.05039787798408
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 11:48:20 BST 2016, end=Mon Jun 27 11:50:20 BST 2016, operations=407.4204148396338, operationsPerMinute=203.7102074198169, mode=normal, start=Mon Jun 27 11:50:21 BST 2016, end=Mon Jun 27 11:54:21 BST 2016, operations=829.5483638257921, operationsPerMinute=207.38709095644802
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 11:54:26 BST 2016, end=Mon Jun 27 11:56:26 BST 2016, operations=159.9910761004065, operationsPerMinute=79.99553805020325, mode=normal, start=Mon Jun 27 11:56:31 BST 2016, end=Mon Jun 27 12:00:31 BST 2016, operations=324.60540929054594, operationsPerMinute=81.15135232263648
benchmark-name=compress, mod=warmup, start=Mon Jun 27 12:00:35 BST 2016, end=Mon Jun 27 12:02:35 BST 2016, operations=350.6701635395345, operationsPerMinute=175.33508176976724, mode=normal, start=Mon Jun 27 12:02:37 BST 2016, end=Mon Jun 27 12:06:37 BST 2016, operations=701.3612240616962, operationsPerMinute=175.34030601542406
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 12:06:39 BST 2016, end=Mon Jun 27 12:08:39 BST 2016, operations=115.13037811580185, operationsPerMinute=57.56518905790092, mode=normal, start=Mon Jun 27 12:08:44 BST 2016, end=Mon Jun 27 12:12:44 BST 2016, operations=243.1188644743764, operationsPerMinute=60.7797161185941
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 12:12:49 BST 2016, end=Mon Jun 27 12:14:49 BST 2016, operations=204.45894676170957, operationsPerMinute=102.22947338085478, mode=normal, start=Mon Jun 27 12:14:53 BST 2016, end=Mon Jun 27 12:18:53 BST 2016, operations=409.2562091423904, operationsPerMinute=102.3140522855976
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 12:18:56 BST 2016, end=Mon Jun 27 12:20:56 BST 2016, operations=351.3406396247718, operationsPerMinute=175.6703198123859, mode=normal, start=Mon Jun 27 12:20:58 BST 2016, end=Mon Jun 27 12:24:58 BST 2016, operations=701.9174169604721, operationsPerMinute=175.47935424011803
benchmark-name=derby, mod=warmup, start=Mon Jun 27 12:26:10 BST 2016, end=Mon Jun 27 12:28:10 BST 2016, operations=259.43907857970424, operationsPerMinute=129.71953928985212, mode=normal, start=Mon Jun 27 12:28:13 BST 2016, end=Mon Jun 27 12:32:13 BST 2016, operations=520.6825831508334, operationsPerMinute=130.17064578770834
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 12:32:16 BST 2016, end=Mon Jun 27 12:34:16 BST 2016, operations=172.63665796273807, operationsPerMinute=86.31832898136904, mode=normal, start=Mon Jun 27 12:34:21 BST 2016, end=Mon Jun 27 12:38:21 BST 2016, operations=346.2744715701283, operationsPerMinute=86.56861789253207
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 12:38:26 BST 2016, end=Mon Jun 27 12:40:26 BST 2016, operations=67.29620792942131, operationsPerMinute=33.64810396471066, mode=normal, start=Mon Jun 27 12:40:32 BST 2016, end=Mon Jun 27 12:44:32 BST 2016, operations=144.0538590616561, operationsPerMinute=36.01346476541403
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 12:44:43 BST 2016, end=Mon Jun 27 12:46:43 BST 2016, operations=13.09898685120093, operationsPerMinute=6.549493425600465, mode=normal, start=Mon Jun 27 12:47:35 BST 2016, end=Mon Jun 27 12:51:35 BST 2016, operations=26.299663361629843, operationsPerMinute=6.574915840407461
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 12:52:17 BST 2016, end=Mon Jun 27 12:54:17 BST 2016, operations=68.6772669804308, operationsPerMinute=34.3386334902154, mode=normal, start=Mon Jun 27 12:54:28 BST 2016, end=Mon Jun 27 12:58:28 BST 2016, operations=137.80485537470474, operationsPerMinute=34.451213843676186
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 12:58:40 BST 2016, end=Mon Jun 27 13:00:40 BST 2016, operations=43.07602623506057, operationsPerMinute=21.538013117530284, mode=normal, start=Mon Jun 27 13:00:54 BST 2016, end=Mon Jun 27 13:04:54 BST 2016, operations=86.00258197717802, operationsPerMinute=21.500645494294506
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 13:05:08 BST 2016, end=Mon Jun 27 13:07:08 BST 2016, operations=581.8911561515375, operationsPerMinute=290.94557807576876, mode=normal, start=Mon Jun 27 13:07:09 BST 2016, end=Mon Jun 27 13:11:09 BST 2016, operations=1170.4419789006276, operationsPerMinute=292.6104947251569
