spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Wed Jun 29 18:29:24 BST 2016, end=Wed Jun 29 18:29:24 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 18:29:24 BST 2016, end=Wed Jun 29 18:29:24 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 18:29:24 BST 2016, end=Wed Jun 29 18:29:45 BST 2016, operations=1.0, operationsPerMinute=2.8875306800134752
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 18:29:45 BST 2016, end=Wed Jun 29 18:29:50 BST 2016, operations=1.0, operationsPerMinute=13.26259946949602
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 18:29:50 BST 2016, end=Wed Jun 29 18:29:51 BST 2016, operations=1.0, operationsPerMinute=37.71213073538655
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 18:29:51 BST 2016, end=Wed Jun 29 18:30:01 BST 2016, operations=1.0, operationsPerMinute=5.944714158327554
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 18:30:01 BST 2016, end=Wed Jun 29 18:30:10 BST 2016, operations=1.0, operationsPerMinute=7.14881448826403
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 18:30:10 BST 2016, end=Wed Jun 29 18:30:17 BST 2016, operations=1.0, operationsPerMinute=8.288437629506838
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 18:30:17 BST 2016, end=Wed Jun 29 18:30:20 BST 2016, operations=1.0, operationsPerMinute=19.62066710268149
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 18:30:20 BST 2016, end=Wed Jun 29 18:30:21 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 18:30:21 BST 2016, end=Wed Jun 29 18:30:22 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 18:30:22 BST 2016, end=Wed Jun 29 18:30:29 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 18:30:29 BST 2016, end=Wed Jun 29 18:30:31 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 18:30:31 BST 2016, end=Wed Jun 29 18:30:32 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 18:30:32 BST 2016, end=Wed Jun 29 18:30:35 BST 2016, operations=1.0, operationsPerMinute=19.828155981493722
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 18:30:35 BST 2016, end=Wed Jun 29 18:30:42 BST 2016, operations=1.0, operationsPerMinute=8.527572484366116
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 18:30:42 BST 2016, end=Wed Jun 29 18:31:10 BST 2016, operations=1.0, operationsPerMinute=2.1097788248531946
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 18:31:10 BST 2016, end=Wed Jun 29 18:31:12 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 18:31:29 BST 2016, end=Wed Jun 29 18:33:29 BST 2016, operations=359.17469867898456, operationsPerMinute=179.58734933949228, mode=normal, start=Wed Jun 29 18:33:31 BST 2016, end=Wed Jun 29 18:37:31 BST 2016, operations=727.1123430340269, operationsPerMinute=181.77808575850673
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 18:37:37 BST 2016, end=Wed Jun 29 18:39:37 BST 2016, operations=141.01919269873227, operationsPerMinute=70.50959634936613, mode=normal, start=Wed Jun 29 18:39:41 BST 2016, end=Wed Jun 29 18:43:41 BST 2016, operations=280.80889654222347, operationsPerMinute=70.20222413555587
benchmark-name=compress, mod=warmup, start=Wed Jun 29 18:43:47 BST 2016, end=Wed Jun 29 18:45:47 BST 2016, operations=274.0914091362106, operationsPerMinute=137.0457045681053, mode=normal, start=Wed Jun 29 18:45:50 BST 2016, end=Wed Jun 29 18:49:50 BST 2016, operations=544.9388397962206, operationsPerMinute=136.23470994905514
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 18:49:53 BST 2016, end=Wed Jun 29 18:51:53 BST 2016, operations=85.73754074710266, operationsPerMinute=42.86877037355133, mode=normal, start=Wed Jun 29 18:52:01 BST 2016, end=Wed Jun 29 18:56:01 BST 2016, operations=178.78215483549224, operationsPerMinute=44.69553870887306
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 18:56:09 BST 2016, end=Wed Jun 29 18:58:09 BST 2016, operations=140.58836885258347, operationsPerMinute=70.29418442629174, mode=normal, start=Wed Jun 29 18:58:15 BST 2016, end=Wed Jun 29 19:02:15 BST 2016, operations=293.9044434439922, operationsPerMinute=73.47611086099805
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 19:02:19 BST 2016, end=Wed Jun 29 19:04:19 BST 2016, operations=231.9380072121951, operationsPerMinute=115.96900360609754, mode=normal, start=Wed Jun 29 19:04:22 BST 2016, end=Wed Jun 29 19:08:22 BST 2016, operations=503.098265511467, operationsPerMinute=125.77456637786675
benchmark-name=derby, mod=warmup, start=Wed Jun 29 19:09:49 BST 2016, end=Wed Jun 29 19:11:49 BST 2016, operations=203.718767141178, operationsPerMinute=101.859383570589, mode=normal, start=Wed Jun 29 19:11:52 BST 2016, end=Wed Jun 29 19:15:52 BST 2016, operations=411.44488361879667, operationsPerMinute=102.86122090469917
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 19:15:55 BST 2016, end=Wed Jun 29 19:17:55 BST 2016, operations=135.31271162715387, operationsPerMinute=67.65635581357694, mode=normal, start=Wed Jun 29 19:17:59 BST 2016, end=Wed Jun 29 19:21:59 BST 2016, operations=270.4737756878628, operationsPerMinute=67.6184439219657
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 19:22:04 BST 2016, end=Wed Jun 29 19:24:04 BST 2016, operations=55.5606939771003, operationsPerMinute=27.78034698855015, mode=normal, start=Wed Jun 29 19:24:11 BST 2016, end=Wed Jun 29 19:28:11 BST 2016, operations=124.48418299645041, operationsPerMinute=31.121045749112604
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 19:28:24 BST 2016, end=Wed Jun 29 19:30:24 BST 2016, operations=11.611621966193109, operationsPerMinute=5.8058109830965545, mode=normal, start=Wed Jun 29 19:30:58 BST 2016, end=Wed Jun 29 19:34:58 BST 2016, operations=23.17317630511604, operationsPerMinute=5.79329407627901
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 19:35:37 BST 2016, end=Wed Jun 29 19:37:37 BST 2016, operations=55.73002857348466, operationsPerMinute=27.86501428674233, mode=normal, start=Wed Jun 29 19:37:46 BST 2016, end=Wed Jun 29 19:41:46 BST 2016, operations=111.24740812235925, operationsPerMinute=27.81185203058981
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 19:41:56 BST 2016, end=Wed Jun 29 19:43:56 BST 2016, operations=37.46177957136129, operationsPerMinute=18.730889785680645, mode=normal, start=Wed Jun 29 19:44:14 BST 2016, end=Wed Jun 29 19:48:14 BST 2016, operations=75.1028230022607, operationsPerMinute=18.775705750565177
