spec.jvm2008.report.run.location=SUNSPACE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Wed Jun 29 15:21:44 BST 2016, end=Wed Jun 29 15:21:44 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 15:21:44 BST 2016, end=Wed Jun 29 15:21:44 BST 2016, operations=1.0, operationsPerMinute=174.9271137026239
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 15:21:44 BST 2016, end=Wed Jun 29 15:22:19 BST 2016, operations=1.0, operationsPerMinute=1.7294056609211967
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 15:22:19 BST 2016, end=Wed Jun 29 15:22:25 BST 2016, operations=1.0, operationsPerMinute=9.566326530612244
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 15:22:25 BST 2016, end=Wed Jun 29 15:22:27 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 15:22:27 BST 2016, end=Wed Jun 29 15:22:39 BST 2016, operations=1.0, operationsPerMinute=5.060728744939271
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 15:22:39 BST 2016, end=Wed Jun 29 15:22:48 BST 2016, operations=1.0, operationsPerMinute=6.608657341116863
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 15:22:48 BST 2016, end=Wed Jun 29 15:22:56 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 15:22:56 BST 2016, end=Wed Jun 29 15:23:00 BST 2016, operations=1.0, operationsPerMinute=13.354106387714221
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 15:23:00 BST 2016, end=Wed Jun 29 15:23:02 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 15:23:02 BST 2016, end=Wed Jun 29 15:23:04 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 15:23:04 BST 2016, end=Wed Jun 29 15:23:13 BST 2016, operations=1.0, operationsPerMinute=6.497022198159177
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 15:23:13 BST 2016, end=Wed Jun 29 15:23:15 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 15:23:15 BST 2016, end=Wed Jun 29 15:23:18 BST 2016, operations=1.0, operationsPerMinute=24.499795835034707
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 15:23:18 BST 2016, end=Wed Jun 29 15:23:23 BST 2016, operations=1.0, operationsPerMinute=12.52871163082063
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 15:23:23 BST 2016, end=Wed Jun 29 15:23:30 BST 2016, operations=1.0, operationsPerMinute=7.913479293062516
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 15:23:30 BST 2016, end=Wed Jun 29 15:24:18 BST 2016, operations=1.0, operationsPerMinute=1.261856190456161
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 15:24:18 BST 2016, end=Wed Jun 29 15:24:19 BST 2016, operations=1.0, operationsPerMinute=34.03289846851957
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 15:24:42 BST 2016, end=Wed Jun 29 15:26:42 BST 2016, operations=287.2135094139301, operationsPerMinute=143.60675470696506, mode=normal, start=Wed Jun 29 15:26:44 BST 2016, end=Wed Jun 29 15:30:44 BST 2016, operations=599.5931880550563, operationsPerMinute=149.89829701376408
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 15:30:52 BST 2016, end=Wed Jun 29 15:32:52 BST 2016, operations=114.20835454618752, operationsPerMinute=57.10417727309376, mode=normal, start=Wed Jun 29 15:32:58 BST 2016, end=Wed Jun 29 15:36:58 BST 2016, operations=223.60294223224997, operationsPerMinute=55.90073555806249
benchmark-name=compress, mod=warmup, start=Wed Jun 29 15:37:03 BST 2016, end=Wed Jun 29 15:39:03 BST 2016, operations=249.19235344640262, operationsPerMinute=124.59617672320131, mode=normal, start=Wed Jun 29 15:39:07 BST 2016, end=Wed Jun 29 15:43:07 BST 2016, operations=497.5184276832841, operationsPerMinute=124.37960692082102
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 15:43:10 BST 2016, end=Wed Jun 29 15:45:10 BST 2016, operations=70.40760150992669, operationsPerMinute=35.203800754963346, mode=normal, start=Wed Jun 29 15:45:19 BST 2016, end=Wed Jun 29 15:49:19 BST 2016, operations=148.62860163511607, operationsPerMinute=37.15715040877902
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 15:49:31 BST 2016, end=Wed Jun 29 15:51:31 BST 2016, operations=150.2046115883325, operationsPerMinute=75.10230579416626, mode=normal, start=Wed Jun 29 15:51:35 BST 2016, end=Wed Jun 29 15:55:35 BST 2016, operations=300.37343293873, operationsPerMinute=75.0933582346825
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 15:55:41 BST 2016, end=Wed Jun 29 15:57:41 BST 2016, operations=241.07298890345245, operationsPerMinute=120.53649445172623, mode=normal, start=Wed Jun 29 15:57:44 BST 2016, end=Wed Jun 29 16:01:44 BST 2016, operations=482.336885437966, operationsPerMinute=120.5842213594915
benchmark-name=derby, mod=warmup, start=Wed Jun 29 16:02:35 BST 2016, end=Wed Jun 29 16:04:35 BST 2016, operations=168.29517587036355, operationsPerMinute=84.14758793518178, mode=normal, start=Wed Jun 29 16:04:40 BST 2016, end=Wed Jun 29 16:08:40 BST 2016, operations=338.3796296296296, operationsPerMinute=84.5949074074074
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 16:08:44 BST 2016, end=Wed Jun 29 16:10:44 BST 2016, operations=113.90077994973095, operationsPerMinute=56.95038997486547, mode=normal, start=Wed Jun 29 16:10:51 BST 2016, end=Wed Jun 29 16:14:51 BST 2016, operations=227.9936224039431, operationsPerMinute=56.99840560098578
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 16:14:55 BST 2016, end=Wed Jun 29 16:16:55 BST 2016, operations=33.19293650050417, operationsPerMinute=16.596468250252084, mode=normal, start=Wed Jun 29 16:17:17 BST 2016, end=Wed Jun 29 16:21:17 BST 2016, operations=71.09075972146961, operationsPerMinute=17.772689930367402
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 16:21:37 BST 2016, end=Wed Jun 29 16:23:37 BST 2016, operations=8.829617283871361, operationsPerMinute=4.4148086419356805, mode=normal, start=Wed Jun 29 16:25:01 BST 2016, end=Wed Jun 29 16:29:01 BST 2016, operations=17.682167023627017, operationsPerMinute=4.420541755906754
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 16:30:13 BST 2016, end=Wed Jun 29 16:32:13 BST 2016, operations=49.44852861845843, operationsPerMinute=24.724264309229216, mode=normal, start=Wed Jun 29 16:32:29 BST 2016, end=Wed Jun 29 16:36:29 BST 2016, operations=98.78433617727892, operationsPerMinute=24.69608404431973
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 16:36:40 BST 2016, end=Wed Jun 29 16:38:40 BST 2016, operations=28.32786744308973, operationsPerMinute=14.163933721544865, mode=normal, start=Wed Jun 29 16:39:08 BST 2016, end=Wed Jun 29 16:43:08 BST 2016, operations=56.624849871301464, operationsPerMinute=14.156212467825366
