spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 01:15:34 BST 2016, end=Mon Jul 04 01:15:34 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 02:36:28 BST 2016, end=Mon Jul 04 02:38:28 BST 2016, operations=520.7158874500728, operationsPerMinute=260.3579437250364, mode=normal, start=Mon Jul 04 02:38:29 BST 2016, end=Mon Jul 04 02:42:29 BST 2016, operations=1001.3513352164878, operationsPerMinute=250.33783380412194
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 02:43:26 BST 2016, end=Mon Jul 04 02:45:26 BST 2016, operations=422.6181690495865, operationsPerMinute=211.30908452479326, mode=normal, start=Mon Jul 04 02:45:29 BST 2016, end=Mon Jul 04 02:49:29 BST 2016, operations=819.5430113578035, operationsPerMinute=204.88575283945087
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 02:49:41 BST 2016, end=Mon Jul 04 02:51:41 BST 2016, operations=248.06421232453891, operationsPerMinute=124.03210616226946, mode=normal, start=Mon Jul 04 02:51:49 BST 2016, end=Mon Jul 04 02:55:49 BST 2016, operations=424.07616231434355, operationsPerMinute=106.01904057858589
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 02:55:53 BST 2016, end=Mon Jul 04 02:57:53 BST 2016, operations=385.7726000559754, operationsPerMinute=192.8863000279877, mode=normal, start=Mon Jul 04 02:58:02 BST 2016, end=Mon Jul 04 03:02:02 BST 2016, operations=607.453860914582, operationsPerMinute=151.8634652286455
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 03:02:54 BST 2016, end=Mon Jul 04 03:04:54 BST 2016, operations=89.53229917630422, operationsPerMinute=44.76614958815211, mode=normal, start=Mon Jul 04 03:05:02 BST 2016, end=Mon Jul 04 03:09:02 BST 2016, operations=178.8646338090085, operationsPerMinute=44.716158452252124
benchmark-name=serial, mod=warmup, start=Mon Jul 04 03:09:10 BST 2016, end=Mon Jul 04 03:11:10 BST 2016, operations=180.4598726347839, operationsPerMinute=90.22993631739195, mode=normal, start=Mon Jul 04 03:11:14 BST 2016, end=Mon Jul 04 03:15:14 BST 2016, operations=360.49901260751517, operationsPerMinute=90.12475315187879
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 03:15:18 BST 2016, end=Mon Jul 04 03:17:18 BST 2016, operations=135.29863408779028, operationsPerMinute=67.64931704389514, mode=normal, start=Mon Jul 04 03:17:19 BST 2016, end=Mon Jul 04 03:21:19 BST 2016, operations=214.80112908927856, operationsPerMinute=53.70028227231964
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 03:21:41 BST 2016, end=Mon Jul 04 03:23:41 BST 2016, operations=392.41498490591033, operationsPerMinute=196.20749245295517, mode=normal, start=Mon Jul 04 03:23:43 BST 2016, end=Mon Jul 04 03:27:43 BST 2016, operations=774.9514745295494, operationsPerMinute=193.73786863238735
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 03:27:45 BST 2016, end=Mon Jul 04 03:29:45 BST 2016, operations=793.4237520325053, operationsPerMinute=396.71187601625263, mode=normal, start=Mon Jul 04 03:29:46 BST 2016, end=Mon Jul 04 03:33:46 BST 2016, operations=1563.085848982319, operationsPerMinute=390.77146224557976
##-nursultan-##,GREY-02,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 01:15:34 BST 2016,Mon Jul 04 01:15:34 BST 2016,1.0,1276.595744680851,startup.helloworld,Mon Jul 04 01:15:34 BST 2016,Mon Jul 04 01:15:34 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Mon Jul 04 01:15:34 BST 2016,Mon Jul 04 01:15:48 BST 2016,1.0,4.503828254015914,startup.compiler.sunflow,Mon Jul 04 01:15:48 BST 2016,Mon Jul 04 01:15:51 BST 2016,1.0,17.641870038224052,startup.compress,Mon Jul 04 01:15:51 BST 2016,Mon Jul 04 01:15:52 BST 2016,1.0,45.248868778280546,startup.crypto.aes,Mon Jul 04 01:15:52 BST 2016,Mon Jul 04 01:16:01 BST 2016,1.0,6.980802792321117,startup.crypto.rsa,Mon Jul 04 01:16:01 BST 2016,Mon Jul 04 01:16:08 BST 2016,1.0,8.012820512820513,startup.crypto.signverify,Mon Jul 04 01:16:08 BST 2016,Mon Jul 04 01:16:15 BST 2016,1.0,8.584919158677922,startup.mpegaudio,Mon Jul 04 01:16:15 BST 2016,Mon Jul 04 01:16:18 BST 2016,1.0,25.641025641025642,startup.scimark.fft,Mon Jul 04 01:16:18 BST 2016,Mon Jul 04 01:16:18 BST 2016,1.0,78.53403141361257,startup.scimark.lu,Mon Jul 04 01:16:18 BST 2016,Mon Jul 04 01:16:19 BST 2016,1.0,64.1025641025641,startup.scimark.monte_carlo,Mon Jul 04 01:16:19 BST 2016,Mon Jul 04 01:16:25 BST 2016,1.0,10.366275051831375,startup.scimark.sor,Mon Jul 04 01:16:25 BST 2016,Mon Jul 04 01:16:27 BST 2016,1.0,40.48582995951417,startup.scimark.sparse,Mon Jul 04 01:16:27 BST 2016,Mon Jul 04 01:16:28 BST 2016,1.0,59.171597633136095,startup.serial,Mon Jul 04 01:16:28 BST 2016,Mon Jul 04 01:16:30 BST 2016,1.0,27.47252747252747,startup.sunflow,Mon Jul 04 01:16:30 BST 2016,Mon Jul 04 01:16:37 BST 2016,1.0,8.94454382826476,startup.xml.transform,Mon Jul 04 01:16:37 BST 2016,Mon Jul 04 01:16:58 BST 2016,1.0,2.8364770954474543,startup.xml.validation,Mon Jul 04 01:16:58 BST 2016,Mon Jul 04 01:16:59 BST 2016,1.0,73.98273736128236,compiler.compiler,Mon Jul 04 01:17:09 BST 2016,Mon Jul 04 01:19:09 BST 2016,440.3551324743614,220.1775662371807,Mon Jul 04 01:19:11 BST 2016,Mon Jul 04 01:23:11 BST 2016,891.1750330666264,222.7937582666566,compiler.sunflow,Mon Jul 04 01:23:15 BST 2016,Mon Jul 04 01:25:15 BST 2016,174.27545916926965,87.13772958463483,Mon Jul 04 01:25:20 BST 2016,Mon Jul 04 01:29:20 BST 2016,351.7500563883349,87.93751409708372,compress,Mon Jul 04 01:29:24 BST 2016,Mon Jul 04 01:31:24 BST 2016,299.80525355872646,149.90262677936323,Mon Jul 04 01:31:27 BST 2016,Mon Jul 04 01:35:27 BST 2016,532.8344618741412,133.2086154685353,crypto.aes,Mon Jul 04 01:36:14 BST 2016,Mon Jul 04 01:38:14 BST 2016,105.7933829440501,52.89669147202505,Mon Jul 04 01:38:20 BST 2016,Mon Jul 04 01:42:20 BST 2016,223.3121180915096,55.8280295228774,crypto.rsa,Mon Jul 04 01:42:26 BST 2016,Mon Jul 04 01:44:26 BST 2016,175.396438436361,87.6982192181805,Mon Jul 04 01:44:30 BST 2016,Mon Jul 04 01:48:30 BST 2016,330.9517372916813,82.73793432292032,crypto.signverify,Mon Jul 04 01:48:36 BST 2016,Mon Jul 04 01:50:36 BST 2016,305.81698779847625,152.90849389923812,Mon Jul 04 01:50:38 BST 2016,Mon Jul 04 01:54:38 BST 2016,498.68705068442966,124.67176267110742,derby,Mon Jul 04 01:55:29 BST 2016,Mon Jul 04 01:57:29 BST 2016,268.9000187851935,134.45000939259674,Mon Jul 04 01:57:31 BST 2016,Mon Jul 04 02:01:31 BST 2016,474.14953475304463,118.53738368826116,mpegaudio,Mon Jul 04 02:02:06 BST 2016,Mon Jul 04 02:04:06 BST 2016,155.98888855219283,77.99444427609642,Mon Jul 04 02:04:10 BST 2016,Mon Jul 04 02:08:10 BST 2016,248.0309329781652,62.0077332445413,scimark.fft.large,Mon Jul 04 02:08:16 BST 2016,Mon Jul 04 02:10:16 BST 2016,63.43248117073584,31.71624058536792,Mon Jul 04 02:10:45 BST 2016,Mon Jul 04 02:14:45 BST 2016,147.1947991237223,36.798699780930576,scimark.lu.large,Mon Jul 04 02:14:53 BST 2016,Mon Jul 04 02:16:53 BST 2016,14.062966251800585,7.031483125900293,Mon Jul 04 02:17:53 BST 2016,Mon Jul 04 02:21:53 BST 2016,27.8687584677884,6.9671896169471,scimark.sor.large,Mon Jul 04 02:22:35 BST 2016,Mon Jul 04 02:24:35 BST 2016,56.91619710840216,28.45809855420108,Mon Jul 04 02:25:00 BST 2016,Mon Jul 04 02:29:00 BST 2016,108.8043087270371,27.201077181759274,scimark.sparse.large,Mon Jul 04 02:30:00 BST 2016,Mon Jul 04 02:32:00 BST 2016,41.73673091231317,20.868365456156585,Mon Jul 04 02:32:15 BST 2016,Mon Jul 04 02:36:15 BST 2016,87.2962522207529,21.824063055188226,scimark.fft.small,Mon Jul 04 02:36:28 BST 2016,Mon Jul 04 02:38:28 BST 2016,520.7158874500728,260.3579437250364,Mon Jul 04 02:38:29 BST 2016,Mon Jul 04 02:42:29 BST 2016,1001.3513352164878,250.33783380412194,scimark.lu.small,Mon Jul 04 02:43:26 BST 2016,Mon Jul 04 02:45:26 BST 2016,422.6181690495865,211.30908452479326,Mon Jul 04 02:45:29 BST 2016,Mon Jul 04 02:49:29 BST 2016,819.5430113578035,204.88575283945087,scimark.sor.small,Mon Jul 04 02:49:41 BST 2016,Mon Jul 04 02:51:41 BST 2016,248.06421232453891,124.03210616226946,Mon Jul 04 02:51:49 BST 2016,Mon Jul 04 02:55:49 BST 2016,424.07616231434355,106.01904057858589,scimark.sparse.small,Mon Jul 04 02:55:53 BST 2016,Mon Jul 04 02:57:53 BST 2016,385.7726000559754,192.8863000279877,Mon Jul 04 02:58:02 BST 2016,Mon Jul 04 03:02:02 BST 2016,607.453860914582,151.8634652286455,scimark.monte_carlo,Mon Jul 04 03:02:54 BST 2016,Mon Jul 04 03:04:54 BST 2016,89.53229917630422,44.76614958815211,Mon Jul 04 03:05:02 BST 2016,Mon Jul 04 03:09:02 BST 2016,178.8646338090085,44.716158452252124,serial,Mon Jul 04 03:09:10 BST 2016,Mon Jul 04 03:11:10 BST 2016,180.4598726347839,90.22993631739195,Mon Jul 04 03:11:14 BST 2016,Mon Jul 04 03:15:14 BST 2016,360.49901260751517,90.12475315187879,sunflow,Mon Jul 04 03:15:18 BST 2016,Mon Jul 04 03:17:18 BST 2016,135.29863408779028,67.64931704389514,Mon Jul 04 03:17:19 BST 2016,Mon Jul 04 03:21:19 BST 2016,214.80112908927856,53.70028227231964,xml.transform,Mon Jul 04 03:21:41 BST 2016,Mon Jul 04 03:23:41 BST 2016,392.41498490591033,196.20749245295517,Mon Jul 04 03:23:43 BST 2016,Mon Jul 04 03:27:43 BST 2016,774.9514745295494,193.73786863238735,xml.validation,Mon Jul 04 03:27:45 BST 2016,Mon Jul 04 03:29:45 BST 2016,793.4237520325053,396.71187601625263,Mon Jul 04 03:29:46 BST 2016,Mon Jul 04 03:33:46 BST 2016,1563.085848982319,390.77146224557976
