spec.jvm2008.report.run.location=BEDSONTC049
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:58 BST 2016, end=Fri Jun 03 15:01:58 BST 2016, operations=1.0, operationsPerMinute=1363.6363636363637
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:58 BST 2016, end=Fri Jun 03 15:01:58 BST 2016, operations=1.0, operationsPerMinute=594.059405940594
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:58 BST 2016, end=Fri Jun 03 15:02:11 BST 2016, operations=1.0, operationsPerMinute=4.691164972634871
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:11 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=18.066847335140018
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:15 BST 2016, operations=1.0, operationsPerMinute=46.51162790697674
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:15 BST 2016, end=Fri Jun 03 15:02:23 BST 2016, operations=1.0, operationsPerMinute=7.20634158059092
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:31 BST 2016, operations=1.0, operationsPerMinute=8.204567209079721
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:31 BST 2016, end=Fri Jun 03 15:02:37 BST 2016, operations=1.0, operationsPerMinute=9.36183491964425
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:37 BST 2016, end=Fri Jun 03 15:02:40 BST 2016, operations=1.0, operationsPerMinute=25.89555459646094
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:40 BST 2016, end=Fri Jun 03 15:02:40 BST 2016, operations=1.0, operationsPerMinute=79.89347536617844
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:40 BST 2016, end=Fri Jun 03 15:02:41 BST 2016, operations=1.0, operationsPerMinute=64.93506493506493
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:41 BST 2016, end=Fri Jun 03 15:02:47 BST 2016, operations=1.0, operationsPerMinute=10.357327809425168
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:47 BST 2016, end=Fri Jun 03 15:02:48 BST 2016, operations=1.0, operationsPerMinute=40.43126684636118
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:48 BST 2016, end=Fri Jun 03 15:02:50 BST 2016, operations=1.0, operationsPerMinute=58.53658536585366
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:50 BST 2016, end=Fri Jun 03 15:02:52 BST 2016, operations=1.0, operationsPerMinute=27.637033625057576
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:52 BST 2016, end=Fri Jun 03 15:02:58 BST 2016, operations=1.0, operationsPerMinute=9.644751647645073
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:58 BST 2016, end=Fri Jun 03 15:03:18 BST 2016, operations=1.0, operationsPerMinute=2.9733881758263543
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:18 BST 2016, end=Fri Jun 03 15:03:19 BST 2016, operations=1.0, operationsPerMinute=73.17073170731707
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:29 BST 2016, end=Fri Jun 03 15:05:29 BST 2016, operations=489.06175290288877, operationsPerMinute=244.53087645144439, mode=normal, start=Fri Jun 03 15:05:30 BST 2016, end=Fri Jun 03 15:09:30 BST 2016, operations=983.4266196989745, operationsPerMinute=245.85665492474362
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:34 BST 2016, end=Fri Jun 03 15:11:34 BST 2016, operations=199.81093742084784, operationsPerMinute=99.90546871042392, mode=normal, start=Fri Jun 03 15:11:38 BST 2016, end=Fri Jun 03 15:15:38 BST 2016, operations=393.09725310601425, operationsPerMinute=98.27431327650356
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:41 BST 2016, end=Fri Jun 03 15:17:41 BST 2016, operations=395.6557955002621, operationsPerMinute=197.82789775013106, mode=normal, start=Fri Jun 03 15:17:43 BST 2016, end=Fri Jun 03 15:21:43 BST 2016, operations=796.3694309387336, operationsPerMinute=199.0923577346834
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:45 BST 2016, end=Fri Jun 03 15:23:45 BST 2016, operations=139.27702179779695, operationsPerMinute=69.63851089889847, mode=normal, start=Fri Jun 03 15:23:50 BST 2016, end=Fri Jun 03 15:27:50 BST 2016, operations=291.65504062334395, operationsPerMinute=72.91376015583599
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:56 BST 2016, end=Fri Jun 03 15:29:56 BST 2016, operations=232.30984204782823, operationsPerMinute=116.15492102391411, mode=normal, start=Fri Jun 03 15:29:59 BST 2016, end=Fri Jun 03 15:33:59 BST 2016, operations=464.85465145056764, operationsPerMinute=116.21366286264191
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:03 BST 2016, end=Fri Jun 03 15:36:03 BST 2016, operations=403.29273188383576, operationsPerMinute=201.64636594191788, mode=normal, start=Fri Jun 03 15:36:05 BST 2016, end=Fri Jun 03 15:40:05 BST 2016, operations=807.7694996645337, operationsPerMinute=201.94237491613342
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:28 BST 2016, end=Fri Jun 03 15:42:28 BST 2016, operations=357.35636639035266, operationsPerMinute=178.67818319517633, mode=normal, start=Fri Jun 03 15:42:30 BST 2016, end=Fri Jun 03 15:46:30 BST 2016, operations=712.190027439785, operationsPerMinute=178.04750685994625
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:32 BST 2016, end=Fri Jun 03 15:48:32 BST 2016, operations=205.78412187332714, operationsPerMinute=102.89206093666357, mode=normal, start=Fri Jun 03 15:48:36 BST 2016, end=Fri Jun 03 15:52:36 BST 2016, operations=409.8129838213416, operationsPerMinute=102.4532459553354
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:40 BST 2016, end=Fri Jun 03 15:54:40 BST 2016, operations=78.59389562980905, operationsPerMinute=39.29694781490453, mode=normal, start=Fri Jun 03 15:54:46 BST 2016, end=Fri Jun 03 15:58:46 BST 2016, operations=146.1484868815731, operationsPerMinute=36.53712172039327
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:55 BST 2016, end=Fri Jun 03 16:00:55 BST 2016, operations=13.917535261285561, operationsPerMinute=6.958767630642781, mode=normal, start=Fri Jun 03 16:01:39 BST 2016, end=Fri Jun 03 16:05:39 BST 2016, operations=27.668950964416375, operationsPerMinute=6.917237741104094
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:09 BST 2016, end=Fri Jun 03 16:08:09 BST 2016, operations=72.77443954268469, operationsPerMinute=36.387219771342345, mode=normal, start=Fri Jun 03 16:08:19 BST 2016, end=Fri Jun 03 16:12:19 BST 2016, operations=134.85565703365353, operationsPerMinute=33.71391425841338
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:32 BST 2016, end=Fri Jun 03 16:14:32 BST 2016, operations=41.46707508286297, operationsPerMinute=20.733537541431485, mode=normal, start=Fri Jun 03 16:14:49 BST 2016, end=Fri Jun 03 16:18:49 BST 2016, operations=82.1071059791153, operationsPerMinute=20.526776494778826
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 03 16:19:00 BST 2016, end=Fri Jun 03 16:21:00 BST 2016, operations=687.1345932497472, operationsPerMinute=343.5672966248736, mode=normal, start=Fri Jun 03 16:21:02 BST 2016, end=Fri Jun 03 16:25:02 BST 2016, operations=1441.8790459534769, operationsPerMinute=360.4697614883692
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 03 16:25:03 BST 2016, end=Fri Jun 03 16:27:03 BST 2016, operations=570.2513118536274, operationsPerMinute=285.1256559268137, mode=normal, start=Fri Jun 03 16:27:04 BST 2016, end=Fri Jun 03 16:31:04 BST 2016, operations=1140.8612711285198, operationsPerMinute=285.21531778212994
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 03 16:31:06 BST 2016, end=Fri Jun 03 16:33:06 BST 2016, operations=327.7349328889868, operationsPerMinute=163.8674664444934, mode=normal, start=Fri Jun 03 16:33:08 BST 2016, end=Fri Jun 03 16:37:08 BST 2016, operations=655.3589314742269, operationsPerMinute=163.83973286855672
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 03 16:37:10 BST 2016, end=Fri Jun 03 16:39:10 BST 2016, operations=491.1175989309399, operationsPerMinute=245.55879946546995, mode=normal, start=Fri Jun 03 16:39:12 BST 2016, end=Fri Jun 03 16:43:12 BST 2016, operations=1009.8963241184908, operationsPerMinute=252.4740810296227
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 03 16:43:14 BST 2016, end=Fri Jun 03 16:45:14 BST 2016, operations=119.30191484829504, operationsPerMinute=59.65095742414752, mode=normal, start=Fri Jun 03 16:45:18 BST 2016, end=Fri Jun 03 16:49:18 BST 2016, operations=238.30550317083, operationsPerMinute=59.5763757927075
benchmark-name=serial, mod=warmup, start=Fri Jun 03 16:49:26 BST 2016, end=Fri Jun 03 16:51:26 BST 2016, operations=238.433453086635, operationsPerMinute=119.2167265433175, mode=normal, start=Fri Jun 03 16:51:29 BST 2016, end=Fri Jun 03 16:55:29 BST 2016, operations=460.207932169457, operationsPerMinute=115.05198304236426
benchmark-name=sunflow, mod=warmup, start=Fri Jun 03 16:55:32 BST 2016, end=Fri Jun 03 16:57:32 BST 2016, operations=179.02662712743432, operationsPerMinute=89.51331356371716, mode=normal, start=Fri Jun 03 16:57:34 BST 2016, end=Fri Jun 03 17:01:34 BST 2016, operations=356.71704658164606, operationsPerMinute=89.17926164541151
benchmark-name=xml.transform, mod=warmup, start=Fri Jun 03 17:01:54 BST 2016, end=Fri Jun 03 17:03:54 BST 2016, operations=528.3359094669765, operationsPerMinute=264.1679547334883, mode=normal, start=Fri Jun 03 17:03:55 BST 2016, end=Fri Jun 03 17:07:55 BST 2016, operations=1054.7311448064129, operationsPerMinute=263.6827862016032
benchmark-name=xml.validation, mod=warmup, start=Fri Jun 03 17:07:57 BST 2016, end=Fri Jun 03 17:09:57 BST 2016, operations=1011.6420294032138, operationsPerMinute=505.8210147016069, mode=normal, start=Fri Jun 03 17:09:58 BST 2016, end=Fri Jun 03 17:13:58 BST 2016, operations=1983.9958131749697, operationsPerMinute=495.99895329374243
